Year,Migrationsstatus,Überwiegender Lebensunterhalt,Units,Value
2014,mit Migrationshintergrund,"Arbeitslosengeld I / Hartz IV","in 1000",99
2013,ohne Migrationshintergrund,"Arbeitslosengeld I / Hartz IV","in 1000",211
2013,mit Migrationshintergrund,"Arbeitslosengeld I / Hartz IV","in 1000",110
2012,ohne Migrationshintergrund,"Arbeitslosengeld I / Hartz IV","in 1000",214
2012,mit Migrationshintergrund,"Arbeitslosengeld I / Hartz IV","in 1000",103
2011,ohne Migrationshintergrund,"Arbeitslosengeld I / Hartz IV","in 1000",232
2011,mit Migrationshintergrund,"Arbeitslosengeld I / Hartz IV","in 1000",112
2022,ohne Migrationshintergrund,"Rente und Pension","in 1000",1580.274531
2022,mit Migrationshintergrund,"Rente und Pension","in 1000",190.778709
2021,ohne Migrationshintergrund,"Rente und Pension","in 1000",1568.269964
2021,mit Migrationshintergrund,"Rente und Pension","in 1000",196.972381
2020,ohne Migrationshintergrund,"Rente und Pension","in 1000",1636
2020,mit Migrationshintergrund,"Rente und Pension","in 1000",176
2019,ohne Migrationshintergrund,"Rente und Pension","in 1000",1534.6
2019,mit Migrationshintergrund,"Rente und Pension","in 1000",167.3
2018,ohne Migrationshintergrund,"Rente und Pension","in 1000",1538.7
2018,mit Migrationshintergrund,"Rente und Pension","in 1000",159.2
2017,ohne Migrationshintergrund,"Rente und Pension","in 1000",1515
2017,mit Migrationshintergrund,"Rente und Pension","in 1000",160
2016,ohne Migrationshintergrund,"Rente und Pension","in 1000",1593
2016,mit Migrationshintergrund,"Rente und Pension","in 1000",152
2015,ohne Migrationshintergrund,"Rente und Pension","in 1000",1608
2015,mit Migrationshintergrund,"Rente und Pension","in 1000",143
2014,ohne Migrationshintergrund,"Rente und Pension","in 1000",1575
2014,mit Migrationshintergrund,"Rente und Pension","in 1000",140
2013,ohne Migrationshintergrund,"Rente und Pension","in 1000",1581
2013,mit Migrationshintergrund,"Rente und Pension","in 1000",137
2012,ohne Migrationshintergrund,"Rente und Pension","in 1000",1577
2012,mit Migrationshintergrund,"Rente und Pension","in 1000",131
2011,ohne Migrationshintergrund,"Rente und Pension","in 1000",1593
2011,mit Migrationshintergrund,"Rente und Pension","in 1000",126
2022,ohne Migrationshintergrund,"Einkünfte von Angehörigen","in 1000",1264.667327
2022,mit Migrationshintergrund,"Einkünfte von Angehörigen","in 1000",641.3256
2021,ohne Migrationshintergrund,"Einkünfte von Angehörigen","in 1000",1272.621304
2021,mit Migrationshintergrund,"Einkünfte von Angehörigen","in 1000",642.604809
2020,ohne Migrationshintergrund,"Einkünfte von Angehörigen","in 1000",1205
2020,mit Migrationshintergrund,"Einkünfte von Angehörigen","in 1000",547
2019,ohne Migrationshintergrund,"Einkünfte von Angehörigen","in 1000",1362.4
2019,mit Migrationshintergrund,"Einkünfte von Angehörigen","in 1000",625.8
2018,ohne Migrationshintergrund,"Einkünfte von Angehörigen","in 1000",1405.5
2018,mit Migrationshintergrund,"Einkünfte von Angehörigen","in 1000",624.2
2017,ohne Migrationshintergrund,"Einkünfte von Angehörigen","in 1000",1451
2017,mit Migrationshintergrund,"Einkünfte von Angehörigen","in 1000",612
2016,ohne Migrationshintergrund,"Einkünfte von Angehörigen","in 1000",1547
2016,mit Migrationshintergrund,"Einkünfte von Angehörigen","in 1000",585
2015,ohne Migrationshintergrund,"Einkünfte von Angehörigen","in 1000",1591
2015,mit Migrationshintergrund,"Einkünfte von Angehörigen","in 1000",540
2014,ohne Migrationshintergrund,"Einkünfte von Angehörigen","in 1000",1657
2014,mit Migrationshintergrund,"Einkünfte von Angehörigen","in 1000",547
2013,ohne Migrationshintergrund,"Einkünfte von Angehörigen","in 1000",1683
2013,mit Migrationshintergrund,"Einkünfte von Angehörigen","in 1000",557
2012,ohne Migrationshintergrund,"Einkünfte von Angehörigen","in 1000",1727
2012,mit Migrationshintergrund,"Einkünfte von Angehörigen","in 1000",528
2011,ohne Migrationshintergrund,"Einkünfte von Angehörigen","in 1000",1714
2011,mit Migrationshintergrund,"Einkünfte von Angehörigen","in 1000",504
2022,ohne Migrationshintergrund,"Sozialhilfe","in 1000",46.905609
2022,mit Migrationshintergrund,"Sozialhilfe","in 1000",46.220132
2021,ohne Migrationshintergrund,"Sozialhilfe","in 1000",49.191677
2021,mit Migrationshintergrund,"Sozialhilfe","in 1000",38.142018
2020,ohne Migrationshintergrund,"Sozialhilfe","in 1000",39
2020,mit Migrationshintergrund,"Sozialhilfe","in 1000",41
2019,ohne Migrationshintergrund,"Sozialhilfe","in 1000",39
2019,mit Migrationshintergrund,"Sozialhilfe","in 1000",40.2
2018,ohne Migrationshintergrund,"Sozialhilfe","in 1000",31.8
2018,mit Migrationshintergrund,"Sozialhilfe","in 1000",40.9
2017,ohne Migrationshintergrund,"Sozialhilfe","in 1000",43
2017,mit Migrationshintergrund,"Sozialhilfe","in 1000",46
2016,ohne Migrationshintergrund,"Sozialhilfe","in 1000",62
2016,mit Migrationshintergrund,"Sozialhilfe","in 1000",55
2015,ohne Migrationshintergrund,"Sozialhilfe","in 1000",54
2015,mit Migrationshintergrund,"Sozialhilfe","in 1000",40
2014,ohne Migrationshintergrund,"Sozialhilfe","in 1000",62
2014,mit Migrationshintergrund,"Sozialhilfe","in 1000",30
2013,ohne Migrationshintergrund,"Sozialhilfe","in 1000",45
2013,mit Migrationshintergrund,"Sozialhilfe","in 1000",25
2012,ohne Migrationshintergrund,"Sozialhilfe","in 1000",49
2012,mit Migrationshintergrund,"Sozialhilfe","in 1000",25
2011,ohne Migrationshintergrund,"Sozialhilfe","in 1000",51
2011,mit Migrationshintergrund,"Sozialhilfe","in 1000",28
2022,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte","in 1000",218.913438
2022,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte","in 1000",91.546501
2021,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte","in 1000",211.344995
2021,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte","in 1000",87.525205
2020,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte","in 1000",209
2020,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte","in 1000",105
2019,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte","in 1000",140.4
2019,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte","in 1000",89.9
2018,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte","in 1000",140.9
2018,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte","in 1000",89.5
2017,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte","in 1000",185
2017,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte","in 1000",118
2016,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte","in 1000",138
2016,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte","in 1000",100
2015,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte","in 1000",139
2015,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte","in 1000",41
2014,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte","in 1000",104
2014,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte","in 1000",26
2013,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte","in 1000",92
2013,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte","in 1000",30
2012,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte","in 1000",136
2012,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte","in 1000",36
2011,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte","in 1000",133
2011,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte","in 1000",30
2022,ohne Migrationshintergrund,"Insgesamt",%,100
2022,mit Migrationshintergrund,"Insgesamt",%,100
2021,ohne Migrationshintergrund,"Insgesamt",%,100
2021,mit Migrationshintergrund,"Insgesamt",%,100
2020,ohne Migrationshintergrund,"Insgesamt",%,100
2020,mit Migrationshintergrund,"Insgesamt",%,100
2019,ohne Migrationshintergrund,"Insgesamt",%,100
2019,mit Migrationshintergrund,"Insgesamt",%,100
2018,ohne Migrationshintergrund,"Insgesamt",%,100
2018,mit Migrationshintergrund,"Insgesamt",%,100
2017,ohne Migrationshintergrund,"Insgesamt",%,100
2017,mit Migrationshintergrund,"Insgesamt",%,100
2016,ohne Migrationshintergrund,"Insgesamt",%,100
2016,mit Migrationshintergrund,"Insgesamt",%,100
2015,ohne Migrationshintergrund,"Insgesamt",%,100
2015,mit Migrationshintergrund,"Insgesamt",%,100
2014,ohne Migrationshintergrund,"Insgesamt",%,100
2014,mit Migrationshintergrund,"Insgesamt",%,100
2013,ohne Migrationshintergrund,"Insgesamt",%,100
2013,mit Migrationshintergrund,"Insgesamt",%,100
2012,ohne Migrationshintergrund,"Insgesamt",%,100
2012,mit Migrationshintergrund,"Insgesamt",%,100
2011,ohne Migrationshintergrund,"Insgesamt",%,100
2011,mit Migrationshintergrund,"Insgesamt",%,100
2022,ohne Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit",%,45.5956634269016
2022,mit Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit",%,41.1222946481569
2021,ohne Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit",%,45.5737656863898
2021,mit Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit",%,40.4698075233899
2020,ohne Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit",%,47.187141216992
2020,mit Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit",%,42.2691879866518
2019,ohne Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit",%,47.131973457852
2019,mit Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit",%,40.7355575459024
2018,ohne Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit",%,46.4052929809047
2018,mit Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit",%,40.4871401805485
2017,ohne Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit",%,46.0735506664525
2017,mit Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit",%,37.7425044091711
2016,ohne Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit",%,45.0226597905923
2016,mit Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit",%,37.2647427854454
2015,ohne Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit",%,44.3394765370915
2015,mit Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit",%,37.7840909090909
2014,ohne Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit",%,43.8637424171722
2014,mit Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit",%,38.1791483113069
2013,ohne Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit",%,43.3233955750824
2013,mit Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit",%,39.0347764371895
2012,ohne Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit",%,42.9429892141757
2012,mit Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit",%,37.2234935163997
2011,ohne Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit",%,42.872487340801
2011,mit Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit",%,37.1563236449332
2022,ohne Migrationshintergrund,"Arbeitslosengeld I / Hartz IV",%,2.5434361926247
2022,mit Migrationshintergrund,"Arbeitslosengeld I / Hartz IV",%,10.6575143675963
2021,ohne Migrationshintergrund,"Arbeitslosengeld I / Hartz IV",%,2.65920232493417
2021,mit Migrationshintergrund,"Arbeitslosengeld I / Hartz IV",%,9.41528899424141
2020,ohne Migrationshintergrund,"Arbeitslosengeld I / Hartz IV",%,2.14859767098573
2020,mit Migrationshintergrund,"Arbeitslosengeld I / Hartz IV",%,9.39933259176863
2019,ohne Migrationshintergrund,"Arbeitslosengeld I / Hartz IV",%,2.46415990824937
2019,mit Migrationshintergrund,"Arbeitslosengeld I / Hartz IV",%,7.58508732646664
2018,ohne Migrationshintergrund,"Arbeitslosengeld I / Hartz IV",%,2.54986734794144
2018,mit Migrationshintergrund,"Arbeitslosengeld I / Hartz IV",%,7.63072730369613
2017,ohne Migrationshintergrund,"Arbeitslosengeld I / Hartz IV",%,2.63369198651036
2017,mit Migrationshintergrund,"Arbeitslosengeld I / Hartz IV",%,7.2310405643739
2016,ohne Migrationshintergrund,"Arbeitslosengeld I / Hartz IV",%,2.78168463822472
2016,mit Migrationshintergrund,"Arbeitslosengeld I / Hartz IV",%,6.7754077791719
2015,ohne Migrationshintergrund,"Arbeitslosengeld I / Hartz IV",%,3.12838779619018
2015,mit Migrationshintergrund,"Arbeitslosengeld I / Hartz IV",%,7.95454545454545
2014,ohne Migrationshintergrund,"Arbeitslosengeld I / Hartz IV",%,3.28200342199409
2014,mit Migrationshintergrund,"Arbeitslosengeld I / Hartz IV",%,7.26872246696035
2013,ohne Migrationshintergrund,"Arbeitslosengeld I / Hartz IV",%,3.3108426172917
2013,mit Migrationshintergrund,"Arbeitslosengeld I / Hartz IV",%,7.8069552874379
2012,ohne Migrationshintergrund,"Arbeitslosengeld I / Hartz IV",%,3.29738058551618
2012,mit Migrationshintergrund,"Arbeitslosengeld I / Hartz IV",%,7.85659801678108
2011,ohne Migrationshintergrund,"Arbeitslosengeld I / Hartz IV",%,3.55992020868498
2011,mit Migrationshintergrund,"Arbeitslosengeld I / Hartz IV",%,8.79811468970935
2022,ohne Migrationshintergrund,"Rente und Pension",%,26.3454706191863
2022,mit Migrationshintergrund,"Rente und Pension",%,9.48516486609827
2021,ohne Migrationshintergrund,"Rente und Pension",%,26.1765493069195
2021,mit Migrationshintergrund,"Rente und Pension",%,10.2266863496545
2020,ohne Migrationshintergrund,"Rente und Pension",%,26.8328686239134
2020,mit Migrationshintergrund,"Rente und Pension",%,9.78865406006674
2019,ohne Migrationshintergrund,"Rente und Pension",%,25.142950765954
2019,mit Migrationshintergrund,"Rente und Pension",%,9.36520376175549
2018,ohne Migrationshintergrund,"Rente und Pension",%,25.1989780878451
2018,mit Migrationshintergrund,"Rente und Pension",%,9.03877817521149
2017,ohne Migrationshintergrund,"Rente und Pension",%,24.3295326802634
2017,mit Migrationshintergrund,"Rente und Pension",%,9.40623162845385
2016,ohne Migrationshintergrund,"Rente und Pension",%,24.8945147679325
2016,mit Migrationshintergrund,"Rente und Pension",%,9.5357590966123
2015,ohne Migrationshintergrund,"Rente und Pension",%,24.9032058231377
2015,mit Migrationshintergrund,"Rente und Pension",%,10.15625
2014,ohne Migrationshintergrund,"Rente und Pension",%,24.4983667755483
2014,mit Migrationshintergrund,"Rente und Pension",%,10.2790014684288
2013,ohne Migrationshintergrund,"Rente und Pension",%,24.8077828338302
2013,mit Migrationshintergrund,"Rente und Pension",%,9.72320794889993
2012,ohne Migrationshintergrund,"Rente und Pension",%,24.2989214175655
2012,mit Migrationshintergrund,"Rente und Pension",%,9.99237223493516
2011,ohne Migrationshintergrund,"Rente und Pension",%,24.443762467393
2011,mit Migrationshintergrund,"Rente und Pension",%,9.89787902592302
2022,ohne Migrationshintergrund,"Einkünfte von Angehörigen",%,21.0838403409814
2022,mit Migrationshintergrund,"Einkünfte von Angehörigen",%,31.885523708253
2021,ohne Migrationshintergrund,"Einkünfte von Angehörigen",%,21.2417728311426
2021,mit Migrationshintergrund,"Einkünfte von Angehörigen",%,33.363651264502
2020,ohne Migrationshintergrund,"Einkünfte von Angehörigen",%,19.763818271281
2020,mit Migrationshintergrund,"Einkünfte von Angehörigen",%,30.4226918798665
2019,ohne Migrationshintergrund,"Einkünfte von Angehörigen",%,22.321618743344
2019,mit Migrationshintergrund,"Einkünfte von Angehörigen",%,35.0313479623824
2018,ohne Migrationshintergrund,"Einkünfte von Angehörigen",%,23.0175886803577
2018,mit Migrationshintergrund,"Einkünfte von Angehörigen",%,35.4397320161245
2017,ohne Migrationshintergrund,"Einkünfte von Angehörigen",%,23.3017504416252
2017,mit Migrationshintergrund,"Einkünfte von Angehörigen",%,35.978835978836
2016,ohne Migrationshintergrund,"Einkünfte von Angehörigen",%,24.1756524456946
2016,mit Migrationshintergrund,"Einkünfte von Angehörigen",%,36.7001254705144
2015,ohne Migrationshintergrund,"Einkünfte von Angehörigen",%,24.6399256620722
2015,mit Migrationshintergrund,"Einkünfte von Angehörigen",%,38.3522727272727
2014,ohne Migrationshintergrund,"Einkünfte von Angehörigen",%,25.7738372997356
2014,mit Migrationshintergrund,"Einkünfte von Angehörigen",%,40.1615271659325
2013,ohne Migrationshintergrund,"Einkünfte von Angehörigen",%,26.4082849521418
2013,mit Migrationshintergrund,"Einkünfte von Angehörigen",%,39.5315826827537
2012,ohne Migrationshintergrund,"Einkünfte von Angehörigen",%,26.6101694915254
2012,mit Migrationshintergrund,"Einkünfte von Angehörigen",%,40.2745995423341
2011,ohne Migrationshintergrund,"Einkünfte von Angehörigen",%,26.3004449900261
2011,mit Migrationshintergrund,"Einkünfte von Angehörigen",%,39.5915161036921
2022,ohne Migrationshintergrund,"Sozialhilfe",%,0.781984597956252
2022,mit Migrationshintergrund,"Sozialhilfe",%,2.29797955154851
2021,ohne Migrationshintergrund,"Sozialhilfe",%,0.821075700000181
2021,mit Migrationshintergrund,"Sozialhilfe",%,1.98031040112611
2020,ohne Migrationshintergrund,"Sozialhilfe",%,0.639658848614073
2020,mit Migrationshintergrund,"Sozialhilfe",%,2.28031145717464
2019,ohne Migrationshintergrund,"Sozialhilfe",%,0.638977635782748
2019,mit Migrationshintergrund,"Sozialhilfe",%,2.25033587102553
2018,ohne Migrationshintergrund,"Sozialhilfe",%,0.520782155841604
2018,mit Migrationshintergrund,"Sozialhilfe",%,2.32214841310396
2017,ohne Migrationshintergrund,"Sozialhilfe",%,0.690541191585033
2017,mit Migrationshintergrund,"Sozialhilfe",%,2.70429159318048
2016,ohne Migrationshintergrund,"Sozialhilfe",%,0.968901390842319
2016,mit Migrationshintergrund,"Sozialhilfe",%,3.4504391468005
2015,ohne Migrationshintergrund,"Sozialhilfe",%,0.836301688090444
2015,mit Migrationshintergrund,"Sozialhilfe",%,2.84090909090909
2014,ohne Migrationshintergrund,"Sozialhilfe",%,0.964380152434282
2014,mit Migrationshintergrund,"Sozialhilfe",%,2.20264317180617
2013,ohne Migrationshintergrund,"Sozialhilfe",%,0.706103875725718
2013,mit Migrationshintergrund,"Sozialhilfe",%,1.77430801987225
2012,ohne Migrationshintergrund,"Sozialhilfe",%,0.755007704160247
2012,mit Migrationshintergrund,"Sozialhilfe",%,1.906941266209
2011,ohne Migrationshintergrund,"Sozialhilfe",%,0.78256866656437
2011,mit Migrationshintergrund,"Sozialhilfe",%,2.19952867242734
2022,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",%,3.64960482234973
2022,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",%,4.551522858347
2021,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",%,3.52763415061372
2021,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",%,4.54425546708606
2020,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",%,3.42791536821388
2020,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",%,5.83982202447164
2019,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",%,2.30031948881789
2019,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",%,5.03246753246753
2018,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",%,2.3074907471095
2018,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",%,5.08147391131551
2017,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",%,2.97093303356351
2017,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",%,6.93709582598472
2016,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",%,2.15658696671355
2016,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",%,6.27352572145546
