Year,Gebietseinheit,Migrationsstatus,Geschlecht,Units,Value
2014,Niedersachsen,mit Migrationshintergrund,Insgesamt,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,160.990443
2014,Niedersachsen,mit Migrationshintergrund,männlich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,133.09289
2014,Niedersachsen,mit Migrationshintergrund,weiblich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,27.897553
2010,Niedersachsen,mit Migrationshintergrund,Insgesamt,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,144.068745
2010,Niedersachsen,mit Migrationshintergrund,männlich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,118.871832
2010,Niedersachsen,mit Migrationshintergrund,weiblich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,25.196913
2006,Niedersachsen,mit Migrationshintergrund,Insgesamt,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,110.189513
2006,Niedersachsen,mit Migrationshintergrund,männlich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,98.970125
2006,Niedersachsen,mit Migrationshintergrund,weiblich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,11.219388
2018,Deutschland,mit Migrationshintergrund,Insgesamt,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,1844.834571
2018,Deutschland,mit Migrationshintergrund,männlich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,1468.516179
2018,Deutschland,mit Migrationshintergrund,weiblich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,376.318392
2014,Deutschland,mit Migrationshintergrund,Insgesamt,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,1519.032565
2014,Deutschland,mit Migrationshintergrund,männlich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,1250.524459
2014,Deutschland,mit Migrationshintergrund,weiblich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,268.508106000001
2010,Deutschland,mit Migrationshintergrund,Insgesamt,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,1390.63153000001
2010,Deutschland,mit Migrationshintergrund,männlich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,1168.85625500001
2010,Deutschland,mit Migrationshintergrund,weiblich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,221.775275000001
2006,Deutschland,mit Migrationshintergrund,Insgesamt,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,1144.057913
2006,Deutschland,mit Migrationshintergrund,männlich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,990.034888999997
2006,Deutschland,mit Migrationshintergrund,weiblich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,154.023024
2018,Niedersachsen,Insgesamt,Insgesamt,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,47.6044807338717
2018,Niedersachsen,Insgesamt,männlich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,53.5565688292953
2018,Niedersachsen,Insgesamt,weiblich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,34.5062162287551
2014,Niedersachsen,Insgesamt,Insgesamt,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,52.3141352139804
2014,Niedersachsen,Insgesamt,männlich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,59.1091181408314
2014,Niedersachsen,Insgesamt,weiblich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,37.4153137482061
2010,Niedersachsen,Insgesamt,Insgesamt,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,52.6373073974127
2010,Niedersachsen,Insgesamt,männlich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,58.9412260208691
2010,Niedersachsen,Insgesamt,weiblich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,38.9170412774561
2006,Niedersachsen,Insgesamt,Insgesamt,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,47.8896917723236
2006,Niedersachsen,Insgesamt,männlich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,54.5043458561991
2006,Niedersachsen,Insgesamt,weiblich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,32.463258231151
2018,Deutschland,Insgesamt,Insgesamt,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,41.2243913911407
2018,Deutschland,Insgesamt,männlich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,46.6671375273018
2018,Deutschland,Insgesamt,weiblich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,30.6520881320159
2014,Deutschland,Insgesamt,Insgesamt,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,44.0174270694244
2014,Deutschland,Insgesamt,männlich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,50.1070647602888
2014,Deutschland,Insgesamt,weiblich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,31.7700843581858
2010,Deutschland,Insgesamt,Insgesamt,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,44.3966342694003
2010,Deutschland,Insgesamt,männlich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,50.3402845183119
2010,Deutschland,Insgesamt,weiblich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,31.7864518847399
2006,Deutschland,Insgesamt,Insgesamt,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,40.6857854106325
2006,Deutschland,Insgesamt,männlich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,46.7372842304123
2006,Deutschland,Insgesamt,weiblich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,27.7247499467737
2018,Niedersachsen,ohne Migrationshintergrund,Insgesamt,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,51.5065017853712
2018,Niedersachsen,ohne Migrationshintergrund,männlich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,58.4587635076849
2018,Niedersachsen,ohne Migrationshintergrund,weiblich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,36.9269485967577
2014,Niedersachsen,ohne Migrationshintergrund,Insgesamt,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,55.2477231861181
2014,Niedersachsen,ohne Migrationshintergrund,männlich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,62.3987591339801
2014,Niedersachsen,ohne Migrationshintergrund,weiblich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,39.8447429661937
2010,Niedersachsen,ohne Migrationshintergrund,Insgesamt,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,55.8543043514056
2010,Niedersachsen,ohne Migrationshintergrund,männlich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,62.6501101961609
2010,Niedersachsen,ohne Migrationshintergrund,weiblich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,41.4214112664925
2006,Niedersachsen,ohne Migrationshintergrund,Insgesamt,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,50.8643358771688
2006,Niedersachsen,ohne Migrationshintergrund,männlich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,58.0667320692905
2006,Niedersachsen,ohne Migrationshintergrund,weiblich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,34.6924341125636
2018,Deutschland,ohne Migrationshintergrund,Insgesamt,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,45.7723920342992
2018,Deutschland,ohne Migrationshintergrund,männlich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,52.4238637917887
2018,Deutschland,ohne Migrationshintergrund,weiblich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,33.5680090328596
2014,Deutschland,ohne Migrationshintergrund,Insgesamt,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,47.1803039903445
2014,Deutschland,ohne Migrationshintergrund,männlich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,53.9156507604092
2014,Deutschland,ohne Migrationshintergrund,weiblich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,34.1126195922929
2010,Deutschland,ohne Migrationshintergrund,Insgesamt,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,47.5721420721468
2010,Deutschland,ohne Migrationshintergrund,männlich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,54.1916051811794
2010,Deutschland,ohne Migrationshintergrund,weiblich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,34.069527987991
2006,Deutschland,ohne Migrationshintergrund,Insgesamt,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,43.7660827990433
2006,Deutschland,ohne Migrationshintergrund,männlich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,50.7081572029391
2006,Deutschland,ohne Migrationshintergrund,weiblich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,29.6507345629915
2018,Niedersachsen,mit Migrationshintergrund,Insgesamt,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,29.0559675614358
2018,Niedersachsen,mit Migrationshintergrund,männlich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,32.1530053858929
2018,Niedersachsen,mit Migrationshintergrund,weiblich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,20.3680657809466
2014,Niedersachsen,mit Migrationshintergrund,Insgesamt,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,33.1196760431841
2014,Niedersachsen,mit Migrationshintergrund,männlich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,38.4608331344687
2014,Niedersachsen,mit Migrationshintergrund,weiblich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,19.9212527353958
2010,Niedersachsen,mit Migrationshintergrund,Insgesamt,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,30.651785591209
2010,Niedersachsen,mit Migrationshintergrund,männlich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,35.0551018073291
2010,Niedersachsen,mit Migrationshintergrund,weiblich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,19.2464033555785
2006,Niedersachsen,mit Migrationshintergrund,Insgesamt,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,25.4332746205013
2006,Niedersachsen,mit Migrationshintergrund,männlich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,30.0378528063061
2006,Niedersachsen,mit Migrationshintergrund,weiblich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,10.8123331736805
2018,Deutschland,mit Migrationshintergrund,Insgesamt,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,22.8248309626466
2018,Deutschland,mit Migrationshintergrund,männlich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,25.5058247184734
2018,Deutschland,mit Migrationshintergrund,weiblich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,16.1857002825021
2014,Deutschland,mit Migrationshintergrund,Insgesamt,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,26.2271541614716
2014,Deutschland,mit Migrationshintergrund,männlich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,30.2813181328742
2014,Deutschland,mit Migrationshintergrund,weiblich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,16.1543439855695
2010,Deutschland,mit Migrationshintergrund,Insgesamt,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,25.3998738408142
2010,Deutschland,mit Migrationshintergrund,männlich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,29.1968229858095
2010,Deutschland,mit Migrationshintergrund,weiblich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,15.0704883154193
2006,Deutschland,mit Migrationshintergrund,Insgesamt,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,21.4457826550879
2006,Deutschland,mit Migrationshintergrund,männlich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,24.6522780091026
2006,Deutschland,mit Migrationshintergrund,weiblich,Eigentümerquote der Bezugspersonen mit selbstbewohnten Wohneigentum in Prozent,11.6803159649535
