Year,Erreichter Schulabschluss,Besuchte Schule,Nationalität,Units,Value
2021,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1952
2021,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1799
2021,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Ausländerinnen und Ausländer,Anzahl,3411
2020,Insgesamt,Insgesamt,Deutsche,Anzahl,88196
2020,Allgemeine Hochschulreife¹⁾,Insgesamt,Deutsche,Anzahl,4509
2020,Fachhochschulreife,Insgesamt,Deutsche,Anzahl,11549
2020,Schulischer Teil der Fachhochschulreife,Insgesamt,Deutsche,Anzahl,1019
2020,Realschulabschluss,Insgesamt,Deutsche,Anzahl,4190
2020,Hauptschulabschluss,Insgesamt,Deutsche,Anzahl,1109
2020,Erfolgreicher Besuch,Insgesamt,Deutsche,Anzahl,43809
2020,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Deutsche,Anzahl,3380
2020,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Deutsche,Anzahl,7791
2020,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Deutsche,Anzahl,20570
2020,Insgesamt,Insgesamt,Ausländerinnen und Ausländer,Anzahl,10180
2020,Allgemeine Hochschulreife¹⁾,Insgesamt,Ausländerinnen und Ausländer,Anzahl,136
2020,Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,490
2020,Schulischer Teil der Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,51
2020,Realschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,832
2020,Hauptschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,257
2020,Erfolgreicher Besuch,Insgesamt,Ausländerinnen und Ausländer,Anzahl,2559
2020,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Ausländerinnen und Ausländer,Anzahl,2185
2020,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1576
2020,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Ausländerinnen und Ausländer,Anzahl,3823
2019,Insgesamt,Insgesamt,Deutsche,Anzahl,89298
2019,Allgemeine Hochschulreife¹⁾,Insgesamt,Deutsche,Anzahl,5135
2019,Fachhochschulreife,Insgesamt,Deutsche,Anzahl,11557
2019,Schulischer Teil der Fachhochschulreife,Insgesamt,Deutsche,Anzahl,990
2019,Realschulabschluss,Insgesamt,Deutsche,Anzahl,4156
2019,Hauptschulabschluss,Insgesamt,Deutsche,Anzahl,872
2019,Erfolgreicher Besuch,Insgesamt,Deutsche,Anzahl,44373
2019,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Deutsche,Anzahl,3371
2019,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Deutsche,Anzahl,8491
2019,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Deutsche,Anzahl,22021
2019,Insgesamt,Insgesamt,Ausländerinnen und Ausländer,Anzahl,9712
2019,Allgemeine Hochschulreife¹⁾,Insgesamt,Ausländerinnen und Ausländer,Anzahl,131
2019,Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,445
2019,Schulischer Teil der Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,54
2019,Realschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,487
2019,Hauptschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,190
2019,Erfolgreicher Besuch,Insgesamt,Ausländerinnen und Ausländer,Anzahl,2209
2019,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Ausländerinnen und Ausländer,Anzahl,2953
2019,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1351
2019,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Ausländerinnen und Ausländer,Anzahl,4115
2018,Insgesamt,Insgesamt,Deutsche,Anzahl,93254
2018,Allgemeine Hochschulreife¹⁾,Insgesamt,Deutsche,Anzahl,5370
2018,Fachhochschulreife,Insgesamt,Deutsche,Anzahl,12507
2018,Schulischer Teil der Fachhochschulreife,Insgesamt,Deutsche,Anzahl,1162
2018,Realschulabschluss,Insgesamt,Deutsche,Anzahl,4452
2018,Hauptschulabschluss,Insgesamt,Deutsche,Anzahl,812
2018,Erfolgreicher Besuch,Insgesamt,Deutsche,Anzahl,45797
2018,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Deutsche,Anzahl,3328
2018,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Deutsche,Anzahl,9019
2018,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Deutsche,Anzahl,22839
2018,Insgesamt,Insgesamt,Ausländerinnen und Ausländer,Anzahl,11028
2018,Allgemeine Hochschulreife¹⁾,Insgesamt,Ausländerinnen und Ausländer,Anzahl,179
2018,Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,562
2018,Schulischer Teil der Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,50
2018,Realschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,351
2018,Hauptschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,113
2018,Erfolgreicher Besuch,Insgesamt,Ausländerinnen und Ausländer,Anzahl,2058
2018,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Ausländerinnen und Ausländer,Anzahl,4343
2018,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1352
2018,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Ausländerinnen und Ausländer,Anzahl,4212
2017,Insgesamt,Insgesamt,Deutsche,Anzahl,98520
2017,Allgemeine Hochschulreife¹⁾,Insgesamt,Deutsche,Anzahl,5823
2017,Fachhochschulreife,Insgesamt,Deutsche,Anzahl,13130
2017,Schulischer Teil der Fachhochschulreife,Insgesamt,Deutsche,Anzahl,1182
2017,Realschulabschluss,Insgesamt,Deutsche,Anzahl,5814
2017,Hauptschulabschluss,Insgesamt,Deutsche,Anzahl,792
2017,Erfolgreicher Besuch,Insgesamt,Deutsche,Anzahl,47119
2017,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Deutsche,Anzahl,3554
2017,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Deutsche,Anzahl,9362
2017,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Deutsche,Anzahl,23711
2017,Insgesamt,Insgesamt,Ausländerinnen und Ausländer,Anzahl,10785
2017,Allgemeine Hochschulreife¹⁾,Insgesamt,Ausländerinnen und Ausländer,Anzahl,168
2017,Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,528
2017,Schulischer Teil der Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,62
2017,Realschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,354
2017,Hauptschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,78
2017,Erfolgreicher Besuch,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1895
2017,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Ausländerinnen und Ausländer,Anzahl,5186
2017,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1167
2017,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Ausländerinnen und Ausländer,Anzahl,3703
2016,Insgesamt,Insgesamt,Deutsche,Anzahl,99911
2016,Allgemeine Hochschulreife¹⁾,Insgesamt,Deutsche,Anzahl,5774
2016,Fachhochschulreife,Insgesamt,Deutsche,Anzahl,13455
2016,Schulischer Teil der Fachhochschulreife,Insgesamt,Deutsche,Anzahl,1119
2016,Realschulabschluss,Insgesamt,Deutsche,Anzahl,5857
2016,Hauptschulabschluss,Insgesamt,Deutsche,Anzahl,982
2016,Erfolgreicher Besuch,Insgesamt,Deutsche,Anzahl,47300
2016,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Deutsche,Anzahl,3438
2016,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Deutsche,Anzahl,9488
2016,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Deutsche,Anzahl,21879
2016,Insgesamt,Insgesamt,Ausländerinnen und Ausländer,Anzahl,7025
2016,Allgemeine Hochschulreife¹⁾,Insgesamt,Ausländerinnen und Ausländer,Anzahl,143
2016,Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,544
2016,Schulischer Teil der Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,53
2016,Realschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,376
2016,Hauptschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,81
2016,Erfolgreicher Besuch,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1666
2016,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Ausländerinnen und Ausländer,Anzahl,2239
2016,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1072
2016,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Ausländerinnen und Ausländer,Anzahl,2781
2015,Insgesamt,Insgesamt,Deutsche,Anzahl,103911
2015,Allgemeine Hochschulreife¹⁾,Insgesamt,Deutsche,Anzahl,5752
2015,Fachhochschulreife,Insgesamt,Deutsche,Anzahl,14006
2015,Schulischer Teil der Fachhochschulreife,Insgesamt,Deutsche,Anzahl,965
2015,Realschulabschluss,Insgesamt,Deutsche,Anzahl,6374
2015,Hauptschulabschluss,Insgesamt,Deutsche,Anzahl,954
2015,Erfolgreicher Besuch,Insgesamt,Deutsche,Anzahl,49608
2015,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Deutsche,Anzahl,3839
2015,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Deutsche,Anzahl,9936
2015,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Deutsche,Anzahl,21781
2015,Insgesamt,Insgesamt,Ausländerinnen und Ausländer,Anzahl,5620
2015,Allgemeine Hochschulreife¹⁾,Insgesamt,Ausländerinnen und Ausländer,Anzahl,152
2015,Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,467
2015,Schulischer Teil der Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,42
2015,Realschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,374
2015,Hauptschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,87
2015,Erfolgreicher Besuch,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1709
2015,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Ausländerinnen und Ausländer,Anzahl,988
2015,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1021
2015,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1664
2014,Insgesamt,Insgesamt,Deutsche,Anzahl,104051
2014,Allgemeine Hochschulreife¹⁾,Insgesamt,Deutsche,Anzahl,5636
2014,Fachhochschulreife,Insgesamt,Deutsche,Anzahl,13110
2014,Schulischer Teil der Fachhochschulreife,Insgesamt,Deutsche,Anzahl,1079
2014,Realschulabschluss,Insgesamt,Deutsche,Anzahl,6902
2014,Hauptschulabschluss,Insgesamt,Deutsche,Anzahl,1126
2014,Erfolgreicher Besuch,Insgesamt,Deutsche,Anzahl,50395
2014,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Deutsche,Anzahl,3277
2014,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Deutsche,Anzahl,9870
2014,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Deutsche,Anzahl,24474
2014,Insgesamt,Insgesamt,Ausländerinnen und Ausländer,Anzahl,5199
2014,Allgemeine Hochschulreife¹⁾,Insgesamt,Ausländerinnen und Ausländer,Anzahl,146
2014,Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,516
2014,Schulischer Teil der Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,56
2014,Realschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,345
2014,Hauptschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,78
2014,Erfolgreicher Besuch,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1713
2014,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Ausländerinnen und Ausländer,Anzahl,659
2014,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,950
2014,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1702
2013,Insgesamt,Insgesamt,Deutsche,Anzahl,104228
2013,Allgemeine Hochschulreife¹⁾,Insgesamt,Deutsche,Anzahl,5776
2013,Fachhochschulreife,Insgesamt,Deutsche,Anzahl,12991
2013,Schulischer Teil der Fachhochschulreife,Insgesamt,Deutsche,Anzahl,974
2013,Realschulabschluss,Insgesamt,Deutsche,Anzahl,6908
2013,Hauptschulabschluss,Insgesamt,Deutsche,Anzahl,1041
2013,Erfolgreicher Besuch,Insgesamt,Deutsche,Anzahl,50629
2013,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Deutsche,Anzahl,3021
2013,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Deutsche,Anzahl,10050
2013,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Deutsche,Anzahl,22108
2013,Insgesamt,Insgesamt,Ausländerinnen und Ausländer,Anzahl,5000
2013,Allgemeine Hochschulreife¹⁾,Insgesamt,Ausländerinnen und Ausländer,Anzahl,179
2013,Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,466
2013,Schulischer Teil der Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,27
2013,Realschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,352
2013,Hauptschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,56
2013,Erfolgreicher Besuch,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1631
2013,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Ausländerinnen und Ausländer,Anzahl,550
2013,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,951
2013,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1431
2012,Insgesamt,Insgesamt,Deutsche,Anzahl,107575
2012,Allgemeine Hochschulreife¹⁾,Insgesamt,Deutsche,Anzahl,6064
2012,Fachhochschulreife,Insgesamt,Deutsche,Anzahl,14040
2012,Schulischer Teil der Fachhochschulreife,Insgesamt,Deutsche,Anzahl,1091
2012,Realschulabschluss,Insgesamt,Deutsche,Anzahl,7655
2012,Hauptschulabschluss,Insgesamt,Deutsche,Anzahl,1199
2012,Erfolgreicher Besuch,Insgesamt,Deutsche,Anzahl,50738
2012,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Deutsche,Anzahl,2978
2012,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Deutsche,Anzahl,12136
2012,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Deutsche,Anzahl,23647
2012,Insgesamt,Insgesamt,Ausländerinnen und Ausländer,Anzahl,5183
2012,Allgemeine Hochschulreife¹⁾,Insgesamt,Ausländerinnen und Ausländer,Anzahl,152
2012,Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,509
2012,Schulischer Teil der Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,41
2012,Realschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,414
2012,Hauptschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,55
2012,Erfolgreicher Besuch,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1682
2012,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Ausländerinnen und Ausländer,Anzahl,598
2012,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1086
2012,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1466
2011,Insgesamt,Insgesamt,Deutsche,Anzahl,110111
2011,Allgemeine Hochschulreife¹⁾,Insgesamt,Deutsche,Anzahl,5556
2011,Fachhochschulreife,Insgesamt,Deutsche,Anzahl,13619
2011,Schulischer Teil der Fachhochschulreife,Insgesamt,Deutsche,Anzahl,911
2011,Realschulabschluss,Insgesamt,Deutsche,Anzahl,7975
2011,Hauptschulabschluss,Insgesamt,Deutsche,Anzahl,1557
2011,Erfolgreicher Besuch,Insgesamt,Deutsche,Anzahl,52869
2011,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Deutsche,Anzahl,3221
2011,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Deutsche,Anzahl,12385
2011,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Deutsche,Anzahl,23450
2011,Insgesamt,Insgesamt,Ausländerinnen und Ausländer,Anzahl,5001
2011,Allgemeine Hochschulreife¹⁾,Insgesamt,Ausländerinnen und Ausländer,Anzahl,147
2011,Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,468
2011,Schulischer Teil der Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,17
2011,Realschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,390
2011,Hauptschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,86
2011,Erfolgreicher Besuch,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1784
2011,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Ausländerinnen und Ausländer,Anzahl,479
2011,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1022
2011,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1493
2022,Insgesamt,Berufsschule (Teilzeit),Deutsche,Anzahl,38545
2022,Allgemeine Hochschulreife¹⁾,Berufsschule (Teilzeit),Deutsche,Anzahl,0
2022,Fachhochschulreife,Berufsschule (Teilzeit),Deutsche,Anzahl,92
2022,Schulischer Teil der Fachhochschulreife,Berufsschule (Teilzeit),Deutsche,Anzahl,0
2022,Realschulabschluss,Berufsschule (Teilzeit),Deutsche,Anzahl,3381
2022,Hauptschulabschluss,Berufsschule (Teilzeit),Deutsche,Anzahl,146
2022,Erfolgreicher Besuch,Berufsschule (Teilzeit),Deutsche,Anzahl,27653
2022,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Berufsschule (Teilzeit),Deutsche,Anzahl,866
2022,Ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),Deutsche,Anzahl,2745
2022,nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),Deutsche,Anzahl,11184
2022,Insgesamt,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,3446
2022,Allgemeine Hochschulreife¹⁾,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,0
2022,Fachhochschulreife,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,6
2022,Schulischer Teil der Fachhochschulreife,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,0
2022,Realschulabschluss,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,915
2022,Hauptschulabschluss,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,46
2022,Erfolgreicher Besuch,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,1421
2022,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,28
2022,Ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,679
2022,nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,1784
2021,Insgesamt,Berufsschule (Teilzeit),Deutsche,Anzahl,38429
2021,Allgemeine Hochschulreife¹⁾,Berufsschule (Teilzeit),Deutsche,Anzahl,0
2021,Fachhochschulreife,Berufsschule (Teilzeit),Deutsche,Anzahl,97
2021,Schulischer Teil der Fachhochschulreife,Berufsschule (Teilzeit),Deutsche,Anzahl,0
2021,Realschulabschluss,Berufsschule (Teilzeit),Deutsche,Anzahl,3421
2021,Hauptschulabschluss,Berufsschule (Teilzeit),Deutsche,Anzahl,137
2021,Erfolgreicher Besuch,Berufsschule (Teilzeit),Deutsche,Anzahl,27892
2021,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Berufsschule (Teilzeit),Deutsche,Anzahl,807
2021,Ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),Deutsche,Anzahl,2410
2021,nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),Deutsche,Anzahl,9797
2021,Insgesamt,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,3208
2021,Allgemeine Hochschulreife¹⁾,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,0
2021,Fachhochschulreife,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,4
2021,Schulischer Teil der Fachhochschulreife,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,0
2021,Realschulabschluss,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,787
2021,Hauptschulabschluss,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,63
2021,Erfolgreicher Besuch,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,1421
2021,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,25
2021,Ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,609
2021,nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,1521
2020,Insgesamt,Berufsschule (Teilzeit),Deutsche,Anzahl,40331
2020,Allgemeine Hochschulreife¹⁾,Berufsschule (Teilzeit),Deutsche,Anzahl,0
2020,Fachhochschulreife,Berufsschule (Teilzeit),Deutsche,Anzahl,104
2020,Schulischer Teil der Fachhochschulreife,Berufsschule (Teilzeit),Deutsche,Anzahl,0
2020,Realschulabschluss,Berufsschule (Teilzeit),Deutsche,Anzahl,3445
2020,Hauptschulabschluss,Berufsschule (Teilzeit),Deutsche,Anzahl,163
2020,Erfolgreicher Besuch,Berufsschule (Teilzeit),Deutsche,Anzahl,29386
2020,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Berufsschule (Teilzeit),Deutsche,Anzahl,812
2020,Ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),Deutsche,Anzahl,2686
2020,nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),Deutsche,Anzahl,10848
2020,Insgesamt,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,2667
2020,Allgemeine Hochschulreife¹⁾,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,0
2020,Fachhochschulreife,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,3
2020,Schulischer Teil der Fachhochschulreife,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,0
2020,Realschulabschluss,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,590
