Year,Wirtschaftsabschnitte (WZ 2008) Zusammenfassungen,Geschlecht,Units,Value
2018,Kunst  Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen,Insgesamt,in 1000,31.15317
2018,Insgesamt (inkl. sonstiger Abschnitte),Insgesamt,in 1000,805.91227
2017,Land- und Forstwirtschaft  Fischerei,Insgesamt,in 1000,11.42443
2017,Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,Insgesamt,in 1000,185.04506
2017,Energieversorgung; Wasserversorgung  Entsorg.  Beseitig. v. Umweltverschmutzungen,Insgesamt,in 1000,8.26193
2017,Baugewerbe,Insgesamt,in 1000,63.57268
2017,Handel  Instandhaltung und Reparatur von Kfz,Insgesamt,in 1000,125.8814
2017,Verkehr und Lagerei; Information und Kommunikation,Insgesamt,in 1000,60.93678
2017,Gastgewerbe,Insgesamt,in 1000,51.63832
2017,Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche  wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen,Insgesamt,in 1000,83.74615
2017,ÖffentlicheVerwaltung  Verteidigung  Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen,Insgesamt,in 1000,153.97228
2017,Kunst  Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen,Insgesamt,in 1000,34.12491
2017,Insgesamt (inkl. sonstiger Abschnitte),Insgesamt,in 1000,786.12054
2016,Land- und Forstwirtschaft  Fischerei,Insgesamt,in 1000,11.42641
2016,Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,Insgesamt,in 1000,162.05356
2016,Energieversorgung; Wasserversorgung  Entsorg.  Beseitig. v. Umweltverschmutzungen,Insgesamt,in 1000,6.41776
2016,Baugewerbe,Insgesamt,in 1000,52.61318
2016,Handel  Instandhaltung und Reparatur von Kfz,Insgesamt,in 1000,106.77966
2016,Verkehr und Lagerei; Information und Kommunikation,Insgesamt,in 1000,50.4989
2016,Gastgewerbe,Insgesamt,in 1000,48.5409
2016,Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche  wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen,Insgesamt,in 1000,75.9719
2016,ÖffentlicheVerwaltung  Verteidigung  Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen,Insgesamt,in 1000,127.76136
2016,Kunst  Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen,Insgesamt,in 1000,27.67761
2016,Insgesamt (inkl. sonstiger Abschnitte),Insgesamt,in 1000,677.16357
2015,Land- und Forstwirtschaft  Fischerei,Insgesamt,in 1000,10.00167
2015,Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,Insgesamt,in 1000,141.48393
2015,Energieversorgung; Wasserversorgung  Entsorg.  Beseitig. v. Umweltverschmutzungen,Insgesamt,in 1000,6.79859
2015,Baugewerbe,Insgesamt,in 1000,45.39813
2015,Handel  Instandhaltung und Reparatur von Kfz,Insgesamt,in 1000,100.92942
2015,Verkehr und Lagerei; Information und Kommunikation,Insgesamt,in 1000,44.8455
2015,Gastgewerbe,Insgesamt,in 1000,48.02391
2015,Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche  wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen,Insgesamt,in 1000,68.12898
2015,Öff.Verwaltung  Verteidigung  Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen,Insgesamt,in 1000,118.23508
2015,Kunst  Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen,Insgesamt,in 1000,28.68398
2015,Insgesamt (inkl. sonstiger Abschnitte),Insgesamt,in 1000,617.30963
2014,Land- und Forstwirtschaft  Fischerei,Insgesamt,in 1000,9.61809
2014,Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,Insgesamt,in 1000,134.3787
2014,Energieversorgung; Wasserversorgung  Entsorg.  Beseitig. v. Umweltverschmutzungen,Insgesamt,in 1000,6.8612
2014,Baugewerbe,Insgesamt,in 1000,47.16467
2014,Handel  Instandhaltung und Reparatur von Kfz,Insgesamt,in 1000,98.40937
2014,Verkehr und Lagerei; Information und Kommunikation,Insgesamt,in 1000,41.79382
2014,Gastgewerbe,Insgesamt,in 1000,43.57618
2014,Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche  wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen,Insgesamt,in 1000,67.51069
2014,ÖffentlicheVerwaltung  Verteidigung  Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen,Insgesamt,in 1000,115.81437
2014,Kunst  Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen,Insgesamt,in 1000,28.58216
2014,Insgesamt (inkl. sonstiger Abschnitte),Insgesamt,in 1000,599.417
2013,Land- und Forstwirtschaft  Fischerei,Insgesamt,in 1000,8.12229
2013,Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,Insgesamt,in 1000,129.34106
2013,Energieversorgung; Wasserversorgung  Entsorg.  Beseitig. v. Umweltverschmutzungen,Insgesamt,in 1000,7.47687
2013,Baugewerbe,Insgesamt,in 1000,44.42089
2013,Handel  Instandhaltung und Reparatur von Kfz,Insgesamt,in 1000,102.08666
2013,Verkehr und Lagerei; Information und Kommunikation,Insgesamt,in 1000,42.455
2013,Gastgewerbe,Insgesamt,in 1000,47.83908
2013,Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche  wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen,Insgesamt,in 1000,71.11767
2013,ÖffentlicheVerwaltung  Verteidigung  Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen,Insgesamt,in 1000,111.62261
2013,Kunst  Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen,Insgesamt,in 1000,30.32854
2013,Insgesamt (inkl. sonstiger Abschnitte),Insgesamt,in 1000,600.97931
2012,Land- und Forstwirtschaft  Fischerei,Insgesamt,in 1000,7.10295
2012,Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,Insgesamt,in 1000,131.66736
2012,Energieversorgung; Wasserversorgung  Entsorg.  Beseitig. v. Umweltverschmutzungen,Insgesamt,in 1000,6.70766
2012,Baugewerbe,Insgesamt,in 1000,40.42969
2012,Handel  Instandhaltung und Reparatur von Kfz,Insgesamt,in 1000,83.40251
2012,Verkehr und Lagerei; Information und Kommunikation,Insgesamt,in 1000,39.50961
2012,Gastgewerbe,Insgesamt,in 1000,45.34827
2012,Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche  wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen,Insgesamt,in 1000,64.83805
2012,Öff.Verwaltung  Verteidigung  Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen,Insgesamt,in 1000,107.72747
2012,Kunst  Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen,Insgesamt,in 1000,31.068
2012,Insgesamt (inkl. sonstiger Abschnitte),Insgesamt,in 1000,565.63011
2011,Land- und Forstwirtschaft  Fischerei,Insgesamt,in 1000,9.83701
2011,Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,Insgesamt,in 1000,127.25463
2011,Energieversorgung; Wasserversorgung  Entsorg.  Beseitig. v. Umweltverschmutzungen,Insgesamt,in 1000,7.43789
2011,Baugewerbe,Insgesamt,in 1000,41.39158
2011,Handel  Instandhaltung und Reparatur von Kfz,Insgesamt,in 1000,86.49311
2011,Verkehr und Lagerei; Information und Kommunikation,Insgesamt,in 1000,35.64328
2011,Gastgewerbe,Insgesamt,in 1000,43.4605
2011,Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche  wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen,Insgesamt,in 1000,65.77005
2011,Öff.Verwaltung  Verteidigung  Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen,Insgesamt,in 1000,101.65639
2011,Kunst  Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen,Insgesamt,in 1000,23.8918
2011,Insgesamt (inkl. sonstiger Abschnitte),Insgesamt,in 1000,548.69433
2010,Land- und Forstwirtschaft  Fischerei,Insgesamt,in 1000,7.90266
2010,Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,Insgesamt,in 1000,129.84919
2010,Energieversorgung; Wasserversorgung  Entsorg.  Beseitig. v. Umweltverschmutzungen,Insgesamt,in 1000,6.08956
2010,Baugewerbe,Insgesamt,in 1000,38.96301
2010,Handel  Instandhaltung und Reparatur von Kfz,Insgesamt,in 1000,83.05168
2010,Verkehr und Lagerei; Information und Kommunikation,Insgesamt,in 1000,36.23751
2010,Gastgewerbe,Insgesamt,in 1000,43.08923
2010,Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche  wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen,Insgesamt,in 1000,66.08848
2010,Öff.Verwaltung  Verteidigung  Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen,Insgesamt,in 1000,110.24489
2010,Kunst  Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen,Insgesamt,in 1000,25.87738
2010,Insgesamt (inkl. sonstiger Abschnitte),Insgesamt,in 1000,553.26731
2019,Land- und Forstwirtschaft  Fischerei,Männer,in 1000,8.09706
2019,Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,Männer,in 1000,137.23995
2019,Energieversorgung; Wasserversorgung  Entsorg.  Beseitig. v. Umweltverschmutzungen,Männer,in 1000,5.87054
2019,Baugewerbe,Männer,in 1000,61.42324
2019,Handel  Instandhaltung und Reparatur von Kfz,Männer,in 1000,70.29412
2019,Verkehr und Lagerei; Information und Kommunikation,Männer,in 1000,54.42498
2019,Gastgewerbe,Männer,in 1000,31.72892
2019,Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche  wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen,Männer,in 1000,43.8466
2019,ÖffentlicheVerwaltung  Verteidigung  Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen,Männer,in 1000,43.38992
2019,Kunst  Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen,Männer,in 1000,13.56075
2019,Insgesamt (inkl. sonstiger Abschnitte),Männer,in 1000,470.17716
2018,Land- und Forstwirtschaft  Fischerei,Männer,in 1000,9.23728
2018,Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,Männer,in 1000,141.85381
2018,Energieversorgung; Wasserversorgung  Entsorg.  Beseitig. v. Umweltverschmutzungen,Männer,in 1000,6.92941
2018,Baugewerbe,Männer,in 1000,58.64286
2018,Handel  Instandhaltung und Reparatur von Kfz,Männer,in 1000,67.82863
2018,Verkehr und Lagerei; Information und Kommunikation,Männer,in 1000,50.17224
2018,Gastgewerbe,Männer,in 1000,31.44165
2018,Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche  wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen,Männer,in 1000,40.48726
2018,ÖffentlicheVerwaltung  Verteidigung  Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen,Männer,in 1000,42.32957
2018,Kunst  Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen,Männer,in 1000,11.60702
2018,Insgesamt (inkl. sonstiger Abschnitte),Männer,in 1000,460.73617
2017,Land- und Forstwirtschaft  Fischerei,Männer,in 1000,8.36436
2017,Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,Männer,in 1000,143.43661
2017,Energieversorgung; Wasserversorgung  Entsorg.  Beseitig. v. Umweltverschmutzungen,Männer,in 1000,6.47833
2017,Baugewerbe,Männer,in 1000,57.10233
2017,Handel  Instandhaltung und Reparatur von Kfz,Männer,in 1000,65.7515
2017,Verkehr und Lagerei; Information und Kommunikation,Männer,in 1000,48.32745
2017,Gastgewerbe,Männer,in 1000,26.69622
2017,Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche  wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen,Männer,in 1000,39.16312
2017,ÖffentlicheVerwaltung  Verteidigung  Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen,Männer,in 1000,44.20756
2017,Kunst  Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen,Männer,in 1000,12.36978
2017,Insgesamt (inkl. sonstiger Abschnitte),Männer,in 1000,452.36585
2016,Land- und Forstwirtschaft  Fischerei,Männer,in 1000,8.39828
2016,Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,Männer,in 1000,123.89064
2016,Energieversorgung; Wasserversorgung  Entsorg.  Beseitig. v. Umweltverschmutzungen,Männer,in 1000,5.17429
2016,Baugewerbe,Männer,in 1000,47.02018
2016,Handel  Instandhaltung und Reparatur von Kfz,Männer,in 1000,59.01031
2016,Verkehr und Lagerei; Information und Kommunikation,Männer,in 1000,39.85748
2016,Gastgewerbe,Männer,in 1000,25.97501
2016,Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche  wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen,Männer,in 1000,34.71445
2016,ÖffentlicheVerwaltung  Verteidigung  Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen,Männer,in 1000,35.62593
2016,Kunst  Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen,Männer,in 1000,9.75166
2016,Insgesamt (inkl. sonstiger Abschnitte),Männer,in 1000,389.66021
2015,Land- und Forstwirtschaft  Fischerei,Männer,in 1000,7.45721
2015,Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,Männer,in 1000,106.61516
2015,Energieversorgung; Wasserversorgung  Entsorg.  Beseitig. v. Umweltverschmutzungen,Männer,in 1000,5.03943
2015,Baugewerbe,Männer,in 1000,42.17635
2015,Handel  Instandhaltung und Reparatur von Kfz,Männer,in 1000,57.30595
2015,Verkehr und Lagerei; Information und Kommunikation,Männer,in 1000,35.54383
2015,Gastgewerbe,Männer,in 1000,24.28513
2015,Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche  wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen,Männer,in 1000,29.16293
2015,Öff.Verwaltung  Verteidigung  Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen,Männer,in 1000,29.30551
2015,Kunst  Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen,Männer,in 1000,10.86446
2015,Insgesamt (inkl. sonstiger Abschnitte),Männer,in 1000,348.5413
2014,Land- und Forstwirtschaft  Fischerei,Männer,in 1000,6.33607
2014,Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,Männer,in 1000,101.78074
2014,Energieversorgung; Wasserversorgung  Entsorg.  Beseitig. v. Umweltverschmutzungen,Männer,in 1000,5.31538
2014,Baugewerbe,Männer,in 1000,43.50207
2014,Handel  Instandhaltung und Reparatur von Kfz,Männer,in 1000,54.19261
2014,Verkehr und Lagerei; Information und Kommunikation,Männer,in 1000,32.27196
2014,Gastgewerbe,Männer,in 1000,22.15498
2014,Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche  wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen,Männer,in 1000,29.38483
2014,ÖffentlicheVerwaltung  Verteidigung  Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen,Männer,in 1000,29.18779
2014,Kunst  Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen,Männer,in 1000,10.49938
2014,Insgesamt (inkl. sonstiger Abschnitte),Männer,in 1000,335.4823
2013,Land- und Forstwirtschaft  Fischerei,Männer,in 1000,5.63979
2013,Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,Männer,in 1000,97.88157
2013,Energieversorgung; Wasserversorgung  Entsorg.  Beseitig. v. Umweltverschmutzungen,Männer,in 1000,5.0329
2013,Baugewerbe,Männer,in 1000,40.3535
2013,Handel  Instandhaltung und Reparatur von Kfz,Männer,in 1000,56.33749
2013,Verkehr und Lagerei; Information und Kommunikation,Männer,in 1000,32.46283
2013,Gastgewerbe,Männer,in 1000,24.68042
2013,Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche  wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen,Männer,in 1000,30.2764
2013,ÖffentlicheVerwaltung  Verteidigung  Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen,Männer,in 1000,28.30402
2013,Kunst  Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen,Männer,in 1000,10.52907
2013,Insgesamt (inkl. sonstiger Abschnitte),Männer,in 1000,331.93194
2012,Land- und Forstwirtschaft  Fischerei,Männer,in 1000,4.74845
2012,Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,Männer,in 1000,103.27019
2012,Energieversorgung; Wasserversorgung  Entsorg.  Beseitig. v. Umweltverschmutzungen,Männer,in 1000,4.6591
2012,Baugewerbe,Männer,in 1000,36.89753
2012,Handel  Instandhaltung und Reparatur von Kfz,Männer,in 1000,42.78841
2012,Verkehr und Lagerei; Information und Kommunikation,Männer,in 1000,30.84138
2012,Gastgewerbe,Männer,in 1000,21.6441
2012,Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche  wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen,Männer,in 1000,30.43182
2012,Öff.Verwaltung  Verteidigung  Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen,Männer,in 1000,27.84985
2012,Kunst  Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen,Männer,in 1000,10.02529
2012,Insgesamt (inkl. sonstiger Abschnitte),Männer,in 1000,314.28734
2011,Land- und Forstwirtschaft  Fischerei,Männer,in 1000,6.99081
2011,Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,Männer,in 1000,97.08204
2011,Energieversorgung; Wasserversorgung  Entsorg.  Beseitig. v. Umweltverschmutzungen,Männer,in 1000,6.25116
2011,Baugewerbe,Männer,in 1000,37.43239
2011,Handel  Instandhaltung und Reparatur von Kfz,Männer,in 1000,44.09932
2011,Verkehr und Lagerei; Information und Kommunikation,Männer,in 1000,28.45287
2011,Gastgewerbe,Männer,in 1000,21.70217
2011,Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche  wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen,Männer,in 1000,28.26149
2011,Öff.Verwaltung  Verteidigung  Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen,Männer,in 1000,25.22802
2011,Kunst  Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen,Männer,in 1000,7.7126
2011,Insgesamt (inkl. sonstiger Abschnitte),Männer,in 1000,303.62559
2010,Land- und Forstwirtschaft  Fischerei,Männer,in 1000,5.15707
2010,Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,Männer,in 1000,99.31678
2010,Energieversorgung; Wasserversorgung  Entsorg.  Beseitig. v. Umweltverschmutzungen,Männer,in 1000,
2010,Baugewerbe,Männer,in 1000,34.97291
2010,Handel  Instandhaltung und Reparatur von Kfz,Männer,in 1000,44.27626
2010,Verkehr und Lagerei; Information und Kommunikation,Männer,in 1000,28.7331
2010,Gastgewerbe,Männer,in 1000,22.54625
2010,Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche  wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen,Männer,in 1000,30.43019
2010,Öff.Verwaltung  Verteidigung  Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen,Männer,in 1000,30.26269
2010,Kunst  Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen,Männer,in 1000,8.6784
2010,Insgesamt (inkl. sonstiger Abschnitte),Männer,in 1000,309.77223
2019,Land- und Forstwirtschaft  Fischerei,Frauen,in 1000,3.32662
2019,Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,Frauen,in 1000,43.81269
2019,Energieversorgung; Wasserversorgung  Entsorg.  Beseitig. v. Umweltverschmutzungen,Frauen,in 1000,1.97601
2019,Baugewerbe,Frauen,in 1000,7.38939
2019,Handel  Instandhaltung und Reparatur von Kfz,Frauen,in 1000,60.60571
2019,Verkehr und Lagerei; Information und Kommunikation,Frauen,in 1000,12.73896
2019,Gastgewerbe,Frauen,in 1000,25.85134
2019,Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche  wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen,Frauen,in 1000,48.48909
2019,ÖffentlicheVerwaltung  Verteidigung  Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen,Frauen,in 1000,117.28995
2019,Kunst  Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen,Frauen,in 1000,19.33703
2019,Insgesamt (inkl. sonstiger Abschnitte),Frauen,in 1000,348.16636
2018,Land- und Forstwirtschaft  Fischerei,Frauen,in 1000,4.91233
2018,Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,Frauen,in 1000,45.82994
2018,Energieversorgung; Wasserversorgung  Entsorg.  Beseitig. v. Umweltverschmutzungen,Frauen,in 1000,1.99579
2018,Baugewerbe,Frauen,in 1000,6.54735
2018,Handel  Instandhaltung und Reparatur von Kfz,Frauen,in 1000,62.08959
2018,Verkehr und Lagerei; Information und Kommunikation,Frauen,in 1000,11.51253
2018,Gastgewerbe,Frauen,in 1000,26.75016
2018,Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche  wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen,Frauen,in 1000,46.75056
2018,ÖffentlicheVerwaltung  Verteidigung  Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen,Frauen,in 1000,113.60674
2018,Kunst  Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen,Frauen,in 1000,19.54615
2018,Insgesamt (inkl. sonstiger Abschnitte),Frauen,in 1000,345.1761
2017,Land- und Forstwirtschaft  Fischerei,Frauen,in 1000,3.06007
2017,Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,Frauen,in 1000,41.60845
2017,Energieversorgung; Wasserversorgung  Entsorg.  Beseitig. v. Umweltverschmutzungen,Frauen,in 1000,1.7836
2017,Baugewerbe,Frauen,in 1000,6.47035
2017,Handel  Instandhaltung und Reparatur von Kfz,Frauen,in 1000,60.12989
2017,Verkehr und Lagerei; Information und Kommunikation,Frauen,in 1000,12.60933
2017,Gastgewerbe,Frauen,in 1000,24.9421
2017,Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche  wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen,Frauen,in 1000,44.58303
2017,ÖffentlicheVerwaltung  Verteidigung  Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen,Frauen,in 1000,109.76472
2017,Kunst  Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen,Frauen,in 1000,21.75512
2017,Insgesamt (inkl. sonstiger Abschnitte),Frauen,in 1000,333.75469
2016,Land- und Forstwirtschaft  Fischerei,Frauen,in 1000,3.02813
2016,Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,Frauen,in 1000,38.16291
2016,Energieversorgung; Wasserversorgung  Entsorg.  Beseitig. v. Umweltverschmutzungen,Frauen,in 1000,1.24347
2016,Baugewerbe,Frauen,in 1000,5.593
2016,Handel  Instandhaltung und Reparatur von Kfz,Frauen,in 1000,47.76935
2016,Verkehr und Lagerei; Information und Kommunikation,Frauen,in 1000,10.64142
2016,Gastgewerbe,Frauen,in 1000,22.56588
2016,Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche  wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen,Frauen,in 1000,41.25745
2016,ÖffentlicheVerwaltung  Verteidigung  Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen,Frauen,in 1000,92.13542
2016,Kunst  Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen,Frauen,in 1000,17.92594
2016,Insgesamt (inkl. sonstiger Abschnitte),Frauen,in 1000,287.50335
2015,Land- und Forstwirtschaft  Fischerei,Frauen,in 1000,2.54446
2015,Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,Frauen,in 1000,34.86878
2015,Energieversorgung; Wasserversorgung  Entsorg.  Beseitig. v. Umweltverschmutzungen,Frauen,in 1000,1.75916
2015,Baugewerbe,Frauen,in 1000,3.22179
2015,Handel  Instandhaltung und Reparatur von Kfz,Frauen,in 1000,43.62347
2015,Verkehr und Lagerei; Information und Kommunikation,Frauen,in 1000,9.30167
2015,Gastgewerbe,Frauen,in 1000,23.73878
