Year,Land,Value
2010,"Georgien",67
2010,"Indien",243
2010,"Irak",1176
2010,"Iran,Islamische Republik",337
2010,"Kasachstan",483
2010,"Libanon",54
2010,"Syrien, Arabische Republik",302
2010,"Australien und Ozeanien",-120
2010,"Sonstige Ziele",0
2010,"Insgesamt",14458
2011,"Europa insgesamt",17971
2011,"Albanien",23
2011,"Bulgarien",1193
2011,"Kosovo",240
2011,"Moldau, Republik",33
2011,"Nordmazedonien",12
2011,"Polen",7870
2011,"Rumänien",2693
2011,"Russische Föderation",1590
2011,"Türkei",41
2011,"Ukraine",304
2011,"EU Staaten",16351
2011,"Afrika insgesamt",838
2011,"Burundi",6
2011,"Amerika insgesamt",549
2011,"Kolumbien",72
2011,"Asien insgesamt",4001
2011,"Afghanistan",538
2011,"Georgien",56
2011,"Indien",162
2011,"Irak",525
2011,"Iran,Islamische Republik",487
2011,"Kasachstan",559
2011,"Libanon",42
2011,"Syrien, Arabische Republik",610
2011,"Australien und Ozeanien",1
2011,"Sonstige Ziele",310
2011,"Insgesamt",23670
2012,"Europa insgesamt",21801
2012,"Albanien",91
2012,"Bulgarien",1439
2012,"Kosovo",229
2012,"Moldau, Republik",75
2012,"Nordmazedonien",356
2012,"Polen",8059
2012,"Rumänien",2257
2012,"Russische Föderation",1551
2012,"Türkei",-140
2012,"Ukraine",360
2012,"EU Staaten",19117
2012,"Afrika insgesamt",1199
2012,"Burundi",9
2012,"Amerika insgesamt",504
2012,"Kolumbien",110
2012,"Asien insgesamt",4526
2012,"Afghanistan",433
2012,"Georgien",167
2012,"Indien",213
2012,"Irak",244
2012,"Iran,Islamische Republik",624
2012,"Kasachstan",430
2012,"Libanon",88
2012,"Syrien, Arabische Republik",860
2012,"Australien und Ozeanien",-23
2012,"Sonstige Ziele",-487
2012,"Insgesamt",27520
2013,"Europa insgesamt",24542
2013,"Albanien",287
2013,"Bulgarien",1385
2013,"Kosovo",460
2013,"Moldau, Republik",90
2013,"Nordmazedonien",357
2013,"Polen",7980
2013,"Rumänien",1978
2013,"Russische Föderation",2915
2013,"Türkei",-332
2013,"Ukraine",462
2013,"EU Staaten",19519
2013,"Afrika insgesamt",2863
2013,"Burundi",2
2013,"Amerika insgesamt",213
2013,"Kolumbien",60
2013,"Asien insgesamt",7392
2013,"Afghanistan",489
2013,"Georgien",207
2013,"Indien",270
2013,"Irak",366
2013,"Iran,Islamische Republik",790
2013,"Kasachstan",809
2013,"Libanon",179
2013,"Syrien, Arabische Republik",2374
2013,"Australien und Ozeanien",-41
2013,"Sonstige Ziele",-34
2013,"Insgesamt",34935
2014,"Europa insgesamt",33237
2014,"Albanien",1687
2014,"Bulgarien",2957
2014,"Kosovo",1350
2014,"Moldau, Republik",302
2014,"Nordmazedonien",487
2014,"Polen",8211
2014,"Rumänien",5802
2014,"Russische Föderation",2928
2014,"Türkei",105
2014,"Ukraine",1002
2014,"EU Staaten",22319
2014,"Afrika insgesamt",4009
2014,"Burundi",4
2014,"Amerika insgesamt",402
2014,"Kolumbien",39
2014,"Asien insgesamt",16519
2014,"Afghanistan",703
2014,"Georgien",354
2014,"Indien",331
2014,"Irak",969
2014,"Iran,Islamische Republik",398
2014,"Kasachstan",2144
2014,"Libanon",562
2014,"Syrien, Arabische Republik",8965
2014,"Australien und Ozeanien",-72
2014,"Sonstige Ziele",-52
2014,"Insgesamt",54043
2015,"Europa insgesamt",46652
2015,"Albanien",4365
2015,"Bulgarien",3977
2015,"Kosovo",1736
2015,"Moldau, Republik",496
2015,"Nordmazedonien",1275
2015,"Polen",9466
2015,"Rumänien",7216
2015,"Russische Föderation",3502
2015,"Türkei",1240
2015,"Ukraine",1278
2015,"EU Staaten",28550
2015,"Afrika insgesamt",10488
2015,"Burundi",23
2015,"Amerika insgesamt",630
2015,"Kolumbien",83
2015,"Asien insgesamt",61462
2015,"Afghanistan",8239
2015,"Georgien",518
2015,"Indien",303
2015,"Irak",10619
2015,"Iran,Islamische Republik",1830
2015,"Kasachstan",2022
2015,"Libanon",1277
2015,"Syrien, Arabische Republik",32462
2015,"Australien und Ozeanien",-17
2015,"Sonstige Ziele",384
2015,"Insgesamt",119599
2016,"Europa insgesamt",13142
2016,"Albanien",-3085
2016,"Bulgarien",2117
2016,"Kosovo",-952
2016,"Moldau, Republik",645
2016,"Nordmazedonien",-617
2016,"Polen",3051
2016,"Rumänien",5328
2016,"Russische Föderation",3933
2016,"Türkei",1394
2016,"Ukraine",1185
2016,"EU Staaten",14665
2016,"Afrika insgesamt",2057
2016,"Burundi",39
2016,"Amerika insgesamt",507
2016,"Kolumbien",135
2016,"Asien insgesamt",41755
2016,"Afghanistan",7203
2016,"Georgien",-38
2016,"Indien",419
2016,"Irak",11434
2016,"Iran,Islamische Republik",2013
2016,"Kasachstan",2385
2016,"Libanon",677
2016,"Syrien, Arabische Republik",14970
2016,"Australien und Ozeanien",-71
2016,"Sonstige Ziele",-19210
2016,"Insgesamt",38180
2017,"Europa insgesamt",28885
2017,"Albanien",-475
2017,"Bulgarien",2734
2017,"Kosovo",261
2017,"Moldau, Republik",948
2017,"Nordmazedonien",14
2017,"Polen",4250
2017,"Rumänien",7347
2017,"Russische Föderation",3319
2017,"Türkei",4136
2017,"Ukraine",1299
2017,"EU Staaten",19231
2017,"Afrika insgesamt",435
2017,"Burundi",5
2017,"Amerika insgesamt",1120
2017,"Kolumbien",100
2017,"Asien insgesamt",15521
2017,"Afghanistan",415
2017,"Georgien",69
2017,"Indien",605
2017,"Irak",3703
2017,"Iran,Islamische Republik",721
2017,"Kasachstan",2653
2017,"Libanon",362
2017,"Syrien, Arabische Republik",4273
2017,"Australien und Ozeanien",-4
2017,"Sonstige Ziele",-7352
2017,"Insgesamt",38605
2018,"Europa insgesamt",28790
2018,"Albanien",360
2018,"Bulgarien",2367
2018,"Kosovo",475
2018,"Moldau, Republik",1127
2018,"Nordmazedonien",299
2018,"Polen",2738
2018,"Rumänien",6857
2018,"Russische Föderation",3913
2018,"Türkei",3491
2018,"Ukraine",1433
2018,"EU Staaten",16473
2018,"Afrika insgesamt",2810
2018,"Burundi",7
2018,"Amerika insgesamt",1453
2018,"Kolumbien",222
2018,"Asien insgesamt",13273
2018,"Afghanistan",418
2018,"Georgien",155
2018,"Indien",801
2018,"Irak",2179
2018,"Iran,Islamische Republik",1388
2018,"Kasachstan",2340
2018,"Libanon",322
2018,"Syrien, Arabische Republik",3042
2018,"Australien und Ozeanien",50
2018,"Sonstige Ziele",-1367
2018,"Insgesamt",45009
2019,"Europa insgesamt",22129
2019,"Albanien",632
2019,"Bulgarien",1600
2019,"Kosovo",724
2019,"Moldau, Republik",1414
2019,"Nordmazedonien",515
2019,"Polen",367
2019,"Rumänien",4306
2019,"Russische Föderation",3949
2019,"Türkei",3628
2019,"Ukraine",1154
2019,"EU Staaten",9026
2019,"Afrika insgesamt",3958
2019,"Burundi",16
2019,"Amerika insgesamt",1603
2019,"Kolumbien",562
2019,"Asien insgesamt",13061
2019,"Afghanistan",363
2019,"Georgien",102
2019,"Indien",1170
2019,"Irak",1223
2019,"Iran,Islamische Republik",1040
2019,"Kasachstan",2584
2019,"Libanon",1069
2019,"Syrien, Arabische Republik",2544
2019,"Australien und Ozeanien",50
2019,"Sonstige Ziele",-2585
2019,"Insgesamt",38216
2020,"Europa insgesamt",18765
2020,"Albanien",562
2020,"Bulgarien",2537
2020,"Kosovo",488
2020,"Moldau, Republik",1040
2020,"Nordmazedonien",312
2020,"Polen",677
2020,"Rumänien",4838
2020,"Russische Föderation",2202
2020,"Türkei",1763
2020,"Ukraine",702
2020,"EU Staaten",10615
2020,"Afrika insgesamt",1873
2020,"Burundi",13
2020,"Amerika insgesamt",702
2020,"Kolumbien",254
2020,"Asien insgesamt",8483
2020,"Afghanistan",713
2020,"Georgien",106
2020,"Indien",429
2020,"Irak",1092
2020,"Iran,Islamische Republik",545
2020,"Kasachstan",1710
2020,"Libanon",511
2020,"Syrien, Arabische Republik",2368
2020,"Australien und Ozeanien",117
2020,"Sonstige Ziele",-2791
2020,"Insgesamt",27149
2021,"Europa insgesamt",21310
2021,"Albanien",754
2021,"Bulgarien",1695
2021,"Kosovo",868
2021,"Moldau, Republik",1194
2021,"Nordmazedonien",721
2021,"Polen",663
2021,"Rumänien",4152
2021,"Russische Föderation",3645
2021,"Türkei",2539
2021,"Ukraine",881
2021,"EU Staaten",9127
2021,"Afrika insgesamt",3301
2021,"Burundi",28
2021,"Amerika insgesamt",1379
2021,"Kolumbien",478
2021,"Asien insgesamt",18923
2021,"Afghanistan",2468
2021,"Georgien",648
2021,"Indien",1199
2021,"Irak",2193
2021,"Iran,Islamische Republik",1004
2021,"Kasachstan",2665
2021,"Libanon",1185
2021,"Syrien, Arabische Republik",4936
2021,"Australien und Ozeanien",30
2021,"Sonstige Ziele",-3053
2021,"Insgesamt",41890
2022,"Europa insgesamt",123403
2022,"Albanien",1010
2022,"Bulgarien",1140
2022,"Kosovo",925
2022,"Moldau, Republik",1236
2022,"Nordmazedonien",717
2022,"Polen",1814
2022,"Rumänien",3342
2022,"Russische Föderation",4021
2022,"Türkei",4683
2022,"Ukraine",103031
2022,"EU Staaten",7135
2022,"Afrika insgesamt",4831
2022,"Burundi",716
2022,"Amerika insgesamt",1964
2022,"Kolumbien",1650
2022,"Asien insgesamt",24505
2022,"Afghanistan",5066
2022,"Georgien",1116
2022,"Indien",1666
2022,"Irak",1613
2022,"Iran,Islamische Republik",1739
2022,"Kasachstan",2421
2022,"Libanon",1330
2022,"Syrien, Arabische Republik",6260
2022,"Australien und Ozeanien",-149
2022,"Sonstige Ziele",-5746
2022,"Insgesamt",148808
