Year,Wanderungsziel,Units,Value
2009,"Amerika insgesamt",Anzahl,4375
2009,"Vereinigte Staaten",Anzahl,1844
2009,"Asien insgesamt",Anzahl,5258
2009,"China",Anzahl,1033
2009,"Australien und Ozeanien",Anzahl,562
2009,"Sonstige Ziele",Anzahl,3003
2009,"unbekanntes Ausland",Anzahl,121
2009,"ohne Angabe",Anzahl,19
2009,"Insgesamt",Anzahl,66282
2010,"Europa insgesamt",Anzahl,48102
2010,"Bulgarien",Anzahl,2242
2010,"Griechenland",Anzahl,698
2010,"Italien",Anzahl,1232
2010,"Moldau, Republik",Anzahl,29
2010,"Niederlande",Anzahl,1520
2010,"Österreich",Anzahl,859
2010,"Polen",Anzahl,20217
2010,"Rumänien",Anzahl,6223
2010,"Russische Föderation",Anzahl,1061
2010,"Schweiz",Anzahl,1285
2010,"Serbien",Anzahl,907
2010,"Spanien",Anzahl,1320
2010,"Türkei",Anzahl,1817
2010,"Ukraine",Anzahl,242
2010,"Ungarn",Anzahl,2054
2010,"Vereinigtes Königreich, Nordirland",Anzahl,1176
2010,"EU Staaten",Anzahl,41807
2010,"Afrika insgesamt",Anzahl,1208
2010,"Amerika insgesamt",Anzahl,4047
2010,"Vereinigte Staaten",Anzahl,1698
2010,"Asien insgesamt",Anzahl,5517
2010,"China",Anzahl,1166
2010,"Australien und Ozeanien",Anzahl,547
2010,"Sonstige Ziele",Anzahl,2904
2010,"unbekanntes Ausland",Anzahl,110
2010,"ohne Angabe",Anzahl,9
2010,"Insgesamt",Anzahl,62325
2011,"Europa insgesamt",Anzahl,53877
2011,"Bulgarien",Anzahl,2627
2011,"Griechenland",Anzahl,582
2011,"Italien",Anzahl,1460
2011,"Moldau, Republik",Anzahl,44
2011,"Niederlande",Anzahl,1579
2011,"Österreich",Anzahl,896
2011,"Polen",Anzahl,21030
2011,"Rumänien",Anzahl,8799
2011,"Russische Föderation",Anzahl,1015
2011,"Schweiz",Anzahl,1391
2011,"Serbien",Anzahl,1116
2011,"Spanien",Anzahl,1320
2011,"Türkei",Anzahl,1727
2011,"Ukraine",Anzahl,293
2011,"Ungarn",Anzahl,2534
2011,"Vereinigtes Königreich, Nordirland",Anzahl,1276
2011,"EU Staaten",Anzahl,47208
2011,"Afrika insgesamt",Anzahl,1259
2011,"Amerika insgesamt",Anzahl,4034
2011,"Vereinigte Staaten",Anzahl,1785
2011,"Asien insgesamt",Anzahl,5517
2011,"China",Anzahl,1113
2011,"Australien und Ozeanien",Anzahl,535
2011,"Sonstige Ziele",Anzahl,2615
2011,"unbekanntes Ausland",Anzahl,95
2011,"ohne Angabe",Anzahl,43
2011,"Insgesamt",Anzahl,67837
2012,"Europa insgesamt",Anzahl,57738
2012,"Bulgarien",Anzahl,2688
2012,"Griechenland",Anzahl,732
2012,"Italien",Anzahl,1227
2012,"Moldau, Republik",Anzahl,44
2012,"Niederlande",Anzahl,1576
2012,"Österreich",Anzahl,845
2012,"Polen",Anzahl,23197
2012,"Rumänien",Anzahl,10064
2012,"Russische Föderation",Anzahl,1022
2012,"Schweiz",Anzahl,1204
2012,"Serbien",Anzahl,1262
2012,"Spanien",Anzahl,1276
2012,"Türkei",Anzahl,1743
2012,"Ukraine",Anzahl,261
2012,"Ungarn",Anzahl,2651
2012,"Vereinigtes Königreich, Nordirland",Anzahl,1177
2012,"EU Staaten",Anzahl,50761
2012,"Afrika insgesamt",Anzahl,1257
2012,"Amerika insgesamt",Anzahl,3832
2012,"Vereinigte Staaten",Anzahl,1767
2012,"Asien insgesamt",Anzahl,5342
2012,"China",Anzahl,1087
2012,"Australien und Ozeanien",Anzahl,500
2012,"Sonstige Ziele",Anzahl,2812
2012,"unbekanntes Ausland",Anzahl,70
2012,"ohne Angabe",Anzahl,57
2012,"Insgesamt",Anzahl,71481
2013,"Europa insgesamt",Anzahl,63077
2013,"Bulgarien",Anzahl,2956
2013,"Griechenland",Anzahl,822
2013,"Italien",Anzahl,1448
2013,"Moldau, Republik",Anzahl,65
2013,"Niederlande",Anzahl,1538
2013,"Österreich",Anzahl,901
2013,"Polen",Anzahl,24637
2013,"Rumänien",Anzahl,11001
2013,"Russische Föderation",Anzahl,1104
2013,"Schweiz",Anzahl,1163
2013,"Serbien",Anzahl,1248
2013,"Spanien",Anzahl,1655
2013,"Türkei",Anzahl,1809
2013,"Ukraine",Anzahl,252
2013,"Ungarn",Anzahl,3419
2013,"Vereinigtes Königreich, Nordirland",Anzahl,1227
2013,"EU Staaten",Anzahl,55590
2013,"Afrika insgesamt",Anzahl,1355
2013,"Amerika insgesamt",Anzahl,3847
2013,"Vereinigte Staaten",Anzahl,1641
2013,"Asien insgesamt",Anzahl,5163
2013,"China",Anzahl,1087
2013,"Australien und Ozeanien",Anzahl,554
2013,"Sonstige Ziele",Anzahl,1990
2013,"unbekanntes Ausland",Anzahl,127
2013,"ohne Angabe",Anzahl,61
2013,"Insgesamt",Anzahl,75986
2014,"Europa insgesamt",Anzahl,70667
2014,"Bulgarien",Anzahl,3884
2014,"Griechenland",Anzahl,1251
2014,"Italien",Anzahl,2196
2014,"Moldau, Republik",Anzahl,98
2014,"Niederlande",Anzahl,1661
2014,"Österreich",Anzahl,904
2014,"Polen",Anzahl,24817
2014,"Rumänien",Anzahl,13262
2014,"Russische Föderation",Anzahl,1287
2014,"Schweiz",Anzahl,1121
2014,"Serbien",Anzahl,1655
2014,"Spanien",Anzahl,1957
2014,"Türkei",Anzahl,1821
2014,"Ukraine",Anzahl,284
2014,"Ungarn",Anzahl,3489
2014,"Vereinigtes Königreich, Nordirland",Anzahl,1531
2014,"EU Staaten",Anzahl,61810
2014,"Afrika insgesamt",Anzahl,2023
2014,"Amerika insgesamt",Anzahl,4067
2014,"Vereinigte Staaten",Anzahl,1828
2014,"Asien insgesamt",Anzahl,5882
2014,"China",Anzahl,1287
2014,"Australien und Ozeanien",Anzahl,572
2014,"Sonstige Ziele",Anzahl,1927
2014,"unbekanntes Ausland",Anzahl,147
2014,"ohne Angabe",Anzahl,20
2014,"Insgesamt",Anzahl,85138
2015,"Europa insgesamt",Anzahl,71404
2015,"Bulgarien",Anzahl,3816
2015,"Griechenland",Anzahl,915
2015,"Italien",Anzahl,2040
2015,"Moldau, Republik",Anzahl,157
2015,"Niederlande",Anzahl,1615
2015,"Österreich",Anzahl,793
2015,"Polen",Anzahl,22535
2015,"Rumänien",Anzahl,14396
2015,"Russische Föderation",Anzahl,965
2015,"Schweiz",Anzahl,1078
2015,"Serbien",Anzahl,2648
2015,"Spanien",Anzahl,1623
2015,"Türkei",Anzahl,1644
2015,"Ukraine",Anzahl,317
2015,"Ungarn",Anzahl,2997
2015,"Vereinigtes Königreich, Nordirland",Anzahl,1497
2015,"EU Staaten",Anzahl,58568
2015,"Afrika insgesamt",Anzahl,2438
2015,"Amerika insgesamt",Anzahl,3859
2015,"Vereinigte Staaten",Anzahl,1637
2015,"Asien insgesamt",Anzahl,5817
2015,"China",Anzahl,1371
2015,"Australien und Ozeanien",Anzahl,531
2015,"Sonstige Ziele",Anzahl,3002
2015,"unbekanntes Ausland",Anzahl,201
2015,"ohne Angabe",Anzahl,1548
2015,"Insgesamt",Anzahl,87051
2016,"Europa insgesamt",Anzahl,88788
2016,"Bulgarien",Anzahl,5272
2016,"Griechenland",Anzahl,1336
2016,"Italien",Anzahl,2521
2016,"Moldau, Republik",Anzahl,369
2016,"Niederlande",Anzahl,1744
2016,"Österreich",Anzahl,902
2016,"Polen",Anzahl,23500
2016,"Rumänien",Anzahl,19889
2016,"Russische Föderation",Anzahl,917
2016,"Schweiz",Anzahl,930
2016,"Serbien",Anzahl,3256
2016,"Spanien",Anzahl,1936
2016,"Türkei",Anzahl,1926
2016,"Ukraine",Anzahl,478
2016,"Ungarn",Anzahl,3035
2016,"Vereinigtes Königreich, Nordirland",Anzahl,1339
2016,"EU Staaten",Anzahl,68721
2016,"Afrika insgesamt",Anzahl,6689
2016,"Amerika insgesamt",Anzahl,4286
2016,"Vereinigte Staaten",Anzahl,1847
2016,"Asien insgesamt",Anzahl,7351
2016,"China",Anzahl,1499
2016,"Australien und Ozeanien",Anzahl,593
2016,"Sonstige Ziele",Anzahl,29314
2016,"unbekanntes Ausland",Anzahl,2054
2016,"ohne Angabe",Anzahl,26271
2016,"Insgesamt",Anzahl,137021
2017,"Europa insgesamt",Anzahl,74075
2017,"Bulgarien",Anzahl,4786
2017,"Griechenland",Anzahl,1197
2017,"Italien",Anzahl,2241
2017,"Moldau, Republik",Anzahl,466
2017,"Niederlande",Anzahl,1657
2017,"Österreich",Anzahl,887
2017,"Polen",Anzahl,19715
2017,"Rumänien",Anzahl,20284
2017,"Russische Föderation",Anzahl,994
2017,"Schweiz",Anzahl,906
2017,"Serbien",Anzahl,1385
2017,"Spanien",Anzahl,1568
2017,"Türkei",Anzahl,1636
2017,"Ukraine",Anzahl,708
2017,"Ungarn",Anzahl,2765
2017,"Vereinigtes Königreich, Nordirland",Anzahl,1090
2017,"EU Staaten",Anzahl,62569
2017,"Afrika insgesamt",Anzahl,4200
2017,"Amerika insgesamt",Anzahl,3611
2017,"Vereinigte Staaten",Anzahl,1556
2017,"Asien insgesamt",Anzahl,5946
2017,"China",Anzahl,1469
2017,"Australien und Ozeanien",Anzahl,566
2017,"Sonstige Ziele",Anzahl,18898
2017,"unbekanntes Ausland",Anzahl,1069
2017,"ohne Angabe",Anzahl,17357
2017,"Insgesamt",Anzahl,107296
2018,"Europa insgesamt",Anzahl,78856
2018,"Bulgarien",Anzahl,5917
2018,"Griechenland",Anzahl,1253
2018,"Italien",Anzahl,2369
2018,"Moldau, Republik",Anzahl,844
2018,"Niederlande",Anzahl,1725
2018,"Österreich",Anzahl,932
2018,"Polen",Anzahl,19819
2018,"Rumänien",Anzahl,24730
2018,"Russische Föderation",Anzahl,921
2018,"Schweiz",Anzahl,826
2018,"Serbien",Anzahl,1235
2018,"Spanien",Anzahl,1715
2018,"Türkei",Anzahl,1901
2018,"Ukraine",Anzahl,683
2018,"Ungarn",Anzahl,2578
2018,"Vereinigtes Königreich, Nordirland",Anzahl,1193
2018,"EU Staaten",Anzahl,69033
2018,"Afrika insgesamt",Anzahl,2701
2018,"Amerika insgesamt",Anzahl,3577
2018,"Vereinigte Staaten",Anzahl,1446
2018,"Asien insgesamt",Anzahl,6360
2018,"China",Anzahl,1522
2018,"Australien und Ozeanien",Anzahl,524
2018,"Sonstige Ziele",Anzahl,17345
2018,"unbekanntes Ausland",Anzahl,829
2018,"ohne Angabe",Anzahl,16512
2018,"Insgesamt",Anzahl,109363
2019,"Europa insgesamt",Anzahl,81579
2019,"Bulgarien",Anzahl,6733
2019,"Griechenland",Anzahl,1378
2019,"Italien",Anzahl,2546
2019,"Moldau, Republik",Anzahl,1098
2019,"Niederlande",Anzahl,1891
2019,"Österreich",Anzahl,974
2019,"Polen",Anzahl,19712
2019,"Rumänien",Anzahl,25445
2019,"Russische Föderation",Anzahl,910
2019,"Schweiz",Anzahl,984
2019,"Serbien",Anzahl,1152
2019,"Spanien",Anzahl,1641
2019,"Türkei",Anzahl,1769
2019,"Ukraine",Anzahl,1070
2019,"Ungarn",Anzahl,2332
2019,"Vereinigtes Königreich, Nordirland",Anzahl,1200
2019,"EU Staaten",Anzahl,71647
2019,"Afrika insgesamt",Anzahl,2560
2019,"Amerika insgesamt",Anzahl,3820
2019,"Vereinigte Staaten",Anzahl,1482
2019,"Asien insgesamt",Anzahl,6229
2019,"China",Anzahl,1559
2019,"Australien und Ozeanien",Anzahl,497
2019,"Sonstige Ziele",Anzahl,18248
2019,"unbekanntes Ausland",Anzahl,875
2019,"ohne Angabe",Anzahl,17373
2019,"Insgesamt",Anzahl,112933
2020,"Europa insgesamt",Anzahl,62401
2020,"Bulgarien",Anzahl,5255
2020,"Griechenland",Anzahl,1150
2020,"Italien",Anzahl,1734
2020,"Moldau, Republik",Anzahl,958
2020,"Niederlande",Anzahl,1498
2020,"Österreich",Anzahl,861
2020,"Polen",Anzahl,14364
2020,"Rumänien",Anzahl,19738
2020,"Russische Föderation",Anzahl,599
2020,"Schweiz",Anzahl,770
2020,"Serbien",Anzahl,805
2020,"Spanien",Anzahl,1173
2020,"Türkei",Anzahl,1395
2020,"Ukraine",Anzahl,752
2020,"Ungarn",Anzahl,2020
2020,"Vereinigtes Königreich, Nordirland",Anzahl,887
2020,"EU Staaten",Anzahl,55071
2020,"Afrika insgesamt",Anzahl,2013
2020,"Amerika insgesamt",Anzahl,2624
2020,"Vereinigte Staaten",Anzahl,958
2020,"Asien insgesamt",Anzahl,4526
2020,"China",Anzahl,1309
2020,"Australien und Ozeanien",Anzahl,287
2020,"Sonstige Ziele",Anzahl,14276
2020,"unbekanntes Ausland",Anzahl,424
2020,"ohne Angabe",Anzahl,13852
2020,"Insgesamt",Anzahl,86127
2021,"Europa insgesamt",Anzahl,63032
2021,"Bulgarien",Anzahl,6181
2021,"Griechenland",Anzahl,1184
2021,"Italien",Anzahl,1687
2021,"Moldau, Republik",Anzahl,1220
2021,"Niederlande",Anzahl,1419
2021,"Österreich",Anzahl,966
2021,"Polen",Anzahl,13698
2021,"Rumänien",Anzahl,19945
2021,"Russische Föderation",Anzahl,718
2021,"Schweiz",Anzahl,867
2021,"Serbien",Anzahl,769
2021,"Spanien",Anzahl,1422
2021,"Türkei",Anzahl,1528
2021,"Ukraine",Anzahl,762
2021,"Ungarn",Anzahl,1805
2021,"Vereinigtes Königreich, Nordirland",Anzahl,773
2021,"EU Staaten",Anzahl,54312
2021,"Afrika insgesamt",Anzahl,1798
2021,"Amerika insgesamt",Anzahl,2496
2021,"Vereinigte Staaten",Anzahl,997
2021,"Asien insgesamt",Anzahl,4209
2021,"China",Anzahl,1171
2021,"Australien und Ozeanien",Anzahl,215
2021,"Sonstige Ziele",Anzahl,14437
2021,"unbekanntes Ausland",Anzahl,576
2021,"ohne Angabe",Anzahl,13861
2021,"Insgesamt",Anzahl,86187
2022,"Europa insgesamt",Anzahl,82940
2022,"Bulgarien",Anzahl,6398
2022,"Griechenland",Anzahl,1333
2022,"Italien",Anzahl,1955
2022,"Moldau, Republik",Anzahl,1851
2022,"Niederlande",Anzahl,1485
2022,"Österreich",Anzahl,1087
2022,"Polen",Anzahl,12609
2022,"Rumänien",Anzahl,20697
2022,"Russische Föderation",Anzahl,1059
2022,"Schweiz",Anzahl,1188
2022,"Serbien",Anzahl,992
2022,"Spanien",Anzahl,1793
2022,"Türkei",Anzahl,1964
2022,"Ukraine",Anzahl,16321
2022,"Ungarn",Anzahl,1741
2022,"Vereinigtes Königreich, Nordirland",Anzahl,949
2022,"EU Staaten",Anzahl,55723
2022,"Afrika insgesamt",Anzahl,2218
2022,"Amerika insgesamt",Anzahl,4054
2022,"Vereinigte Staaten",Anzahl,1709
2022,"Asien insgesamt",Anzahl,5642
2022,"China",Anzahl,940
2022,"Australien und Ozeanien",Anzahl,465
2022,"Sonstige Ziele",Anzahl,16624
2022,"unbekanntes Ausland",Anzahl,866
2022,"ohne Angabe",Anzahl,15758
2022,"Insgesamt",Anzahl,111943
