Year,Altersgruppe,Geschlecht,Migrationsstatus,Units,Value
2022,45 – 55,Insgesamt,mit Migrationshintergrund,%,3.37
2022,55 – 65,Insgesamt,mit Migrationshintergrund,%,2.89
2022,15 – 65,Insgesamt,mit Migrationshintergrund,%,3.44
2022,15 – 25,Männer,mit Migrationshintergrund,%,4.63
2022,25 – 35,Männer,mit Migrationshintergrund,%,4.29
2022,35 – 45,Männer,mit Migrationshintergrund,%,4.37
2022,45 – 55,Männer,mit Migrationshintergrund,%,4
2022,55 – 65,Männer,mit Migrationshintergrund,%,3.56
2022,15 – 65,Männer,mit Migrationshintergrund,%,4.21
2022,15 – 25,Frauen,mit Migrationshintergrund,%,2.44
2022,25 – 35,Frauen,mit Migrationshintergrund,%,3.47
2022,35 – 45,Frauen,mit Migrationshintergrund,%,2.09
2022,45 – 55,Frauen,mit Migrationshintergrund,%,2.76
2022,55 – 65,Frauen,mit Migrationshintergrund,%,2.22
2022,15 – 65,Frauen,mit Migrationshintergrund,%,2.62
2021,15 – 25,Insgesamt,mit und ohne Migrationshintergrund,%,3.47
2021,25 – 35,Insgesamt,mit und ohne Migrationshintergrund,%,3.47
2021,35 – 45,Insgesamt,mit und ohne Migrationshintergrund,%,2.73
2021,45 – 55,Insgesamt,mit und ohne Migrationshintergrund,%,2.22
2021,55 – 65,Insgesamt,mit und ohne Migrationshintergrund,%,1.85
2021,15 – 65,Insgesamt,mit und ohne Migrationshintergrund,%,2.7
2021,15 – 25,Männer,mit und ohne Migrationshintergrund,%,4.12
2021,25 – 35,Männer,mit und ohne Migrationshintergrund,%,4.35
2021,35 – 45,Männer,mit und ohne Migrationshintergrund,%,2.95
2021,45 – 55,Männer,mit und ohne Migrationshintergrund,%,2.55
2021,55 – 65,Männer,mit und ohne Migrationshintergrund,%,2.19
2021,15 – 65,Männer,mit und ohne Migrationshintergrund,%,3.18
2021,15 – 25,Frauen,mit und ohne Migrationshintergrund,%,2.77
2021,25 – 35,Frauen,mit und ohne Migrationshintergrund,%,2.51
2021,35 – 45,Frauen,mit und ohne Migrationshintergrund,%,2.5
2021,45 – 55,Frauen,mit und ohne Migrationshintergrund,%,1.9
2021,55 – 65,Frauen,mit und ohne Migrationshintergrund,%,1.52
2021,15 – 65,Frauen,mit und ohne Migrationshintergrund,%,2.2
2021,15 – 25,Insgesamt,ohne Migrationshintergrund,%,3.07
2021,25 – 35,Insgesamt,ohne Migrationshintergrund,%,2.65
2021,35 – 45,Insgesamt,ohne Migrationshintergrund,%,2.29
2021,45 – 55,Insgesamt,ohne Migrationshintergrund,%,1.73
2021,55 – 65,Insgesamt,ohne Migrationshintergrund,%,1.6
2021,15 – 65,Insgesamt,ohne Migrationshintergrund,%,2.18
2021,15 – 25,Männer,ohne Migrationshintergrund,%,3.36
2021,25 – 35,Männer,ohne Migrationshintergrund,%,3.34
2021,35 – 45,Männer,ohne Migrationshintergrund,%,2.34
2021,45 – 55,Männer,ohne Migrationshintergrund,%,1.98
2021,55 – 65,Männer,ohne Migrationshintergrund,%,1.88
2021,15 – 65,Männer,ohne Migrationshintergrund,%,2.5
2021,15 – 25,Frauen,ohne Migrationshintergrund,%,2.78
2021,25 – 35,Frauen,ohne Migrationshintergrund,%,1.92
2021,35 – 45,Frauen,ohne Migrationshintergrund,%,2.23
2021,45 – 55,Frauen,ohne Migrationshintergrund,%,1.49
2021,55 – 65,Frauen,ohne Migrationshintergrund,%,1.33
2021,15 – 65,Frauen,ohne Migrationshintergrund,%,1.86
2021,15 – 25,Insgesamt,mit Migrationshintergrund,%,4.34
2021,25 – 35,Insgesamt,mit Migrationshintergrund,%,5.35
2021,35 – 45,Insgesamt,mit Migrationshintergrund,%,3.69
2021,45 – 55,Insgesamt,mit Migrationshintergrund,%,3.91
2021,55 – 65,Insgesamt,mit Migrationshintergrund,%,3.15
2021,15 – 65,Insgesamt,mit Migrationshintergrund,%,4.2
2021,15 – 25,Männer,mit Migrationshintergrund,%,5.71
2021,25 – 35,Männer,mit Migrationshintergrund,%,6.55
2021,35 – 45,Männer,mit Migrationshintergrund,%,4.29
2021,45 – 55,Männer,mit Migrationshintergrund,%,4.45
2021,55 – 65,Männer,mit Migrationshintergrund,%,3.77
2021,15 – 65,Männer,mit Migrationshintergrund,%,5.12
2021,15 – 25,Frauen,mit Migrationshintergrund,%,2.75
2021,25 – 35,Frauen,mit Migrationshintergrund,%,3.94
2021,35 – 45,Frauen,mit Migrationshintergrund,%,3.1
2021,45 – 55,Frauen,mit Migrationshintergrund,%,3.35
2021,55 – 65,Frauen,mit Migrationshintergrund,%,2.51
2021,15 – 65,Frauen,mit Migrationshintergrund,%,3.2
2019,15 – 25,Insgesamt,mit und ohne Migrationshintergrund,%,3.21
2019,25 – 35,Insgesamt,mit und ohne Migrationshintergrund,%,3.59
2019,35 – 45,Insgesamt,mit und ohne Migrationshintergrund,%,2.44
2019,45 – 55,Insgesamt,mit und ohne Migrationshintergrund,%,1.84
2019,55 – 65,Insgesamt,mit und ohne Migrationshintergrund,%,1.75
2019,15 – 65,Insgesamt,mit und ohne Migrationshintergrund,%,2.48
2019,15 – 25,Männer,mit und ohne Migrationshintergrund,%,3.55
2019,25 – 35,Männer,mit und ohne Migrationshintergrund,%,4.64
2019,35 – 45,Männer,mit und ohne Migrationshintergrund,%,2.85
2019,45 – 55,Männer,mit und ohne Migrationshintergrund,%,2.3
2019,55 – 65,Männer,mit und ohne Migrationshintergrund,%,2.16
2019,15 – 65,Männer,mit und ohne Migrationshintergrund,%,3.03
2019,15 – 25,Frauen,mit und ohne Migrationshintergrund,%,2.85
2019,25 – 35,Frauen,mit und ohne Migrationshintergrund,%,2.41
2019,35 – 45,Frauen,mit und ohne Migrationshintergrund,%,2.04
2019,45 – 55,Frauen,mit und ohne Migrationshintergrund,%,1.36
2019,55 – 65,Frauen,mit und ohne Migrationshintergrund,%,1.35
2019,15 – 65,Frauen,mit und ohne Migrationshintergrund,%,1.91
2019,15 – 25,Insgesamt,ohne Migrationshintergrund,%,2.6
2019,25 – 35,Insgesamt,ohne Migrationshintergrund,%,2.9
2019,35 – 45,Insgesamt,ohne Migrationshintergrund,%,1.78
2019,45 – 55,Insgesamt,ohne Migrationshintergrund,%,1.5
2019,55 – 65,Insgesamt,ohne Migrationshintergrund,%,1.53
2019,15 – 65,Insgesamt,ohne Migrationshintergrund,%,1.96
2019,15 – 25,Männer,ohne Migrationshintergrund,%,2.86
2019,25 – 35,Männer,ohne Migrationshintergrund,%,3.6
2019,35 – 45,Männer,ohne Migrationshintergrund,%,2.04
2019,45 – 55,Männer,ohne Migrationshintergrund,%,1.97
2019,55 – 65,Männer,ohne Migrationshintergrund,%,1.81
2019,15 – 65,Männer,ohne Migrationshintergrund,%,2.37
2019,15 – 25,Frauen,ohne Migrationshintergrund,%,2.33
2019,25 – 35,Frauen,ohne Migrationshintergrund,%,2.14
2019,35 – 45,Frauen,ohne Migrationshintergrund,%,1.52
2019,45 – 55,Frauen,ohne Migrationshintergrund,%,1.02
2019,55 – 65,Frauen,ohne Migrationshintergrund,%,1.27
2019,15 – 65,Frauen,ohne Migrationshintergrund,%,1.55
2019,15 – 25,Insgesamt,mit Migrationshintergrund,%,4.78
2019,25 – 35,Insgesamt,mit Migrationshintergrund,%,5.24
2019,35 – 45,Insgesamt,mit Migrationshintergrund,%,3.98
2019,45 – 55,Insgesamt,mit Migrationshintergrund,%,3.32
2019,55 – 65,Insgesamt,mit Migrationshintergrund,%,2.96
2019,15 – 65,Insgesamt,mit Migrationshintergrund,%,4.16
2019,15 – 25,Männer,mit Migrationshintergrund,%,5.24
2019,25 – 35,Männer,mit Migrationshintergrund,%,6.96
2019,35 – 45,Männer,mit Migrationshintergrund,%,4.63
2019,45 – 55,Männer,mit Migrationshintergrund,%,3.78
2019,55 – 65,Männer,mit Migrationshintergrund,%,4.03
2019,15 – 65,Männer,mit Migrationshintergrund,%,5.09
2019,15 – 25,Frauen,mit Migrationshintergrund,%,4.25
2019,25 – 35,Frauen,mit Migrationshintergrund,%,3.09
2019,35 – 45,Frauen,mit Migrationshintergrund,%,3.29
2019,45 – 55,Frauen,mit Migrationshintergrund,%,2.86
2019,55 – 65,Frauen,mit Migrationshintergrund,%,1.84
2019,15 – 65,Frauen,mit Migrationshintergrund,%,3.13
2018,15 – 25,Insgesamt,mit und ohne Migrationshintergrund,%,3.15
2018,25 – 35,Insgesamt,mit und ohne Migrationshintergrund,%,3.68
2018,35 – 45,Insgesamt,mit und ohne Migrationshintergrund,%,2.55
2018,45 – 55,Insgesamt,mit und ohne Migrationshintergrund,%,2.08
2018,55 – 65,Insgesamt,mit und ohne Migrationshintergrund,%,1.97
2018,15 – 65,Insgesamt,mit und ohne Migrationshintergrund,%,2.62
2018,15 – 25,Männer,mit und ohne Migrationshintergrund,%,3.48
2018,25 – 35,Männer,mit und ohne Migrationshintergrund,%,4.32
2018,35 – 45,Männer,mit und ohne Migrationshintergrund,%,3.19
2018,45 – 55,Männer,mit und ohne Migrationshintergrund,%,2.31
2018,55 – 65,Männer,mit und ohne Migrationshintergrund,%,2.37
2018,15 – 65,Männer,mit und ohne Migrationshintergrund,%,3.06
2018,15 – 25,Frauen,mit und ohne Migrationshintergrund,%,2.8
2018,25 – 35,Frauen,mit und ohne Migrationshintergrund,%,2.98
2018,35 – 45,Frauen,mit und ohne Migrationshintergrund,%,1.92
2018,45 – 55,Frauen,mit und ohne Migrationshintergrund,%,1.84
2018,55 – 65,Frauen,mit und ohne Migrationshintergrund,%,1.58
2018,15 – 65,Frauen,mit und ohne Migrationshintergrund,%,2.15
2018,15 – 25,Insgesamt,ohne Migrationshintergrund,%,2.82
2018,25 – 35,Insgesamt,ohne Migrationshintergrund,%,3.02
2018,35 – 45,Insgesamt,ohne Migrationshintergrund,%,1.7
2018,45 – 55,Insgesamt,ohne Migrationshintergrund,%,1.8
2018,55 – 65,Insgesamt,ohne Migrationshintergrund,%,1.86
2018,15 – 65,Insgesamt,ohne Migrationshintergrund,%,2.17
2018,15 – 25,Männer,ohne Migrationshintergrund,%,2.84
2018,25 – 35,Männer,ohne Migrationshintergrund,%,3.49
2018,35 – 45,Männer,ohne Migrationshintergrund,%,2.1
2018,45 – 55,Männer,ohne Migrationshintergrund,%,2.08
2018,55 – 65,Männer,ohne Migrationshintergrund,%,2.18
2018,15 – 65,Männer,ohne Migrationshintergrund,%,2.48
2018,15 – 25,Frauen,ohne Migrationshintergrund,%,2.81
2018,25 – 35,Frauen,ohne Migrationshintergrund,%,2.51
2018,35 – 45,Frauen,ohne Migrationshintergrund,%,1.3
2018,45 – 55,Frauen,ohne Migrationshintergrund,%,1.51
2018,55 – 65,Frauen,ohne Migrationshintergrund,%,1.55
2018,15 – 65,Frauen,ohne Migrationshintergrund,%,1.85
2018,15 – 25,Insgesamt,mit Migrationshintergrund,%,4.03
2018,25 – 35,Insgesamt,mit Migrationshintergrund,%,5.24
2018,35 – 45,Insgesamt,mit Migrationshintergrund,%,4.48
2018,45 – 55,Insgesamt,mit Migrationshintergrund,%,3.36
2018,55 – 65,Insgesamt,mit Migrationshintergrund,%,2.6
2018,15 – 65,Insgesamt,mit Migrationshintergrund,%,4.1
2018,15 – 25,Männer,mit Migrationshintergrund,%,5.09
2018,25 – 35,Männer,mit Migrationshintergrund,%,6.22
2018,35 – 45,Männer,mit Migrationshintergrund,%,5.47
2018,45 – 55,Männer,mit Migrationshintergrund,%,3.39
2018,55 – 65,Männer,mit Migrationshintergrund,%,3.42
2018,15 – 65,Männer,mit Migrationshintergrund,%,4.92
2018,15 – 25,Frauen,mit Migrationshintergrund,%,2.77
2018,25 – 35,Frauen,mit Migrationshintergrund,%,4.1
2018,35 – 45,Frauen,mit Migrationshintergrund,%,3.4
2018,45 – 55,Frauen,mit Migrationshintergrund,%,3.33
2018,55 – 65,Frauen,mit Migrationshintergrund,%,1.78
2018,15 – 65,Frauen,mit Migrationshintergrund,%,3.19
2017,15 – 25,Insgesamt,mit und ohne Migrationshintergrund,%,3.15
2017,25 – 35,Insgesamt,mit und ohne Migrationshintergrund,%,4.03
2017,35 – 45,Insgesamt,mit und ohne Migrationshintergrund,%,2.92
2017,45 – 55,Insgesamt,mit und ohne Migrationshintergrund,%,2.59
2017,55 – 65,Insgesamt,mit und ohne Migrationshintergrund,%,2.37
2017,15 – 65,Insgesamt,mit und ohne Migrationshintergrund,%,2.96
2017,15 – 25,Männer,mit und ohne Migrationshintergrund,%,3.69
2017,25 – 35,Männer,mit und ohne Migrationshintergrund,%,4.89
2017,35 – 45,Männer,mit und ohne Migrationshintergrund,%,3.07
2017,45 – 55,Männer,mit und ohne Migrationshintergrund,%,3.09
2017,55 – 65,Männer,mit und ohne Migrationshintergrund,%,2.81
2017,15 – 65,Männer,mit und ohne Migrationshintergrund,%,3.48
2017,15 – 25,Frauen,mit und ohne Migrationshintergrund,%,2.55
2017,25 – 35,Frauen,mit und ohne Migrationshintergrund,%,3.07
2017,35 – 45,Frauen,mit und ohne Migrationshintergrund,%,2.77
2017,45 – 55,Frauen,mit und ohne Migrationshintergrund,%,2.09
2017,55 – 65,Frauen,mit und ohne Migrationshintergrund,%,1.94
2017,15 – 65,Frauen,mit und ohne Migrationshintergrund,%,2.43
2017,15 – 25,Insgesamt,ohne Migrationshintergrund,%,2.49
2017,25 – 35,Insgesamt,ohne Migrationshintergrund,%,3.22
2017,35 – 45,Insgesamt,ohne Migrationshintergrund,%,2.16
2017,45 – 55,Insgesamt,ohne Migrationshintergrund,%,2.13
2017,55 – 65,Insgesamt,ohne Migrationshintergrund,%,2.09
2017,15 – 65,Insgesamt,ohne Migrationshintergrund,%,2.36
2017,15 – 25,Männer,ohne Migrationshintergrund,%,2.94
2017,25 – 35,Männer,ohne Migrationshintergrund,%,3.64
2017,35 – 45,Männer,ohne Migrationshintergrund,%,2.21
2017,45 – 55,Männer,ohne Migrationshintergrund,%,2.55
2017,55 – 65,Männer,ohne Migrationshintergrund,%,2.43
2017,15 – 65,Männer,ohne Migrationshintergrund,%,2.72
2017,15 – 25,Frauen,ohne Migrationshintergrund,%,2.01
2017,25 – 35,Frauen,ohne Migrationshintergrund,%,2.75
2017,35 – 45,Frauen,ohne Migrationshintergrund,%,2.11
2017,45 – 55,Frauen,ohne Migrationshintergrund,%,1.7
2017,55 – 65,Frauen,ohne Migrationshintergrund,%,1.75
2017,15 – 65,Frauen,ohne Migrationshintergrund,%,2
2017,15 – 25,Insgesamt,mit Migrationshintergrund,%,4.84
2017,25 – 35,Insgesamt,mit Migrationshintergrund,%,5.87
2017,35 – 45,Insgesamt,mit Migrationshintergrund,%,4.75
2017,45 – 55,Insgesamt,mit Migrationshintergrund,%,4.82
2017,55 – 65,Insgesamt,mit Migrationshintergrund,%,3.92
2017,15 – 65,Insgesamt,mit Migrationshintergrund,%,4.93
2017,15 – 25,Männer,mit Migrationshintergrund,%,5.46
2017,25 – 35,Männer,mit Migrationshintergrund,%,7.53
2017,35 – 45,Männer,mit Migrationshintergrund,%,5.09
2017,45 – 55,Männer,mit Migrationshintergrund,%,5.56
2017,55 – 65,Männer,mit Migrationshintergrund,%,4.93
2017,15 – 65,Männer,mit Migrationshintergrund,%,5.85
2017,15 – 25,Frauen,mit Migrationshintergrund,%,4.05
2017,25 – 35,Frauen,mit Migrationshintergrund,%,3.84
2017,35 – 45,Frauen,mit Migrationshintergrund,%,4.41
2017,45 – 55,Frauen,mit Migrationshintergrund,%,4.01
2017,55 – 65,Frauen,mit Migrationshintergrund,%,2.97
2017,15 – 65,Frauen,mit Migrationshintergrund,%,3.91
2016,15 – 25,Insgesamt,mit und ohne Migrationshintergrund,%,3.36
2016,25 – 35,Insgesamt,mit und ohne Migrationshintergrund,%,4.52
2016,35 – 45,Insgesamt,mit und ohne Migrationshintergrund,%,3.32
2016,45 – 55,Insgesamt,mit und ohne Migrationshintergrund,%,2.46
2016,55 – 65,Insgesamt,mit und ohne Migrationshintergrund,%,2.46
2016,15 – 65,Insgesamt,mit und ohne Migrationshintergrund,%,3.15
2016,15 – 25,Männer,mit und ohne Migrationshintergrund,%,4.11
2016,25 – 35,Männer,mit und ohne Migrationshintergrund,%,5.37
2016,35 – 45,Männer,mit und ohne Migrationshintergrund,%,4.12
2016,45 – 55,Männer,mit und ohne Migrationshintergrund,%,2.89
2016,55 – 65,Männer,mit und ohne Migrationshintergrund,%,2.98
2016,15 – 65,Männer,mit und ohne Migrationshintergrund,%,3.81
2016,15 – 25,Frauen,mit und ohne Migrationshintergrund,%,2.56
2016,25 – 35,Frauen,mit und ohne Migrationshintergrund,%,3.56
2016,35 – 45,Frauen,mit und ohne Migrationshintergrund,%,2.53
2016,45 – 55,Frauen,mit und ohne Migrationshintergrund,%,2.02
2016,55 – 65,Frauen,mit und ohne Migrationshintergrund,%,1.95
2016,15 – 65,Frauen,mit und ohne Migrationshintergrund,%,2.46
2016,15 – 25,Insgesamt,ohne Migrationshintergrund,%,3.01
2016,25 – 35,Insgesamt,ohne Migrationshintergrund,%,4
2016,35 – 45,Insgesamt,ohne Migrationshintergrund,%,2.44
2016,45 – 55,Insgesamt,ohne Migrationshintergrund,%,2.16
2016,55 – 65,Insgesamt,ohne Migrationshintergrund,%,2.15
2016,15 – 65,Insgesamt,ohne Migrationshintergrund,%,2.65
2016,15 – 25,Männer,ohne Migrationshintergrund,%,3.58
2016,25 – 35,Männer,ohne Migrationshintergrund,%,4.52
2016,35 – 45,Männer,ohne Migrationshintergrund,%,2.88
2016,45 – 55,Männer,ohne Migrationshintergrund,%,2.42
2016,55 – 65,Männer,ohne Migrationshintergrund,%,2.63
2016,15 – 65,Männer,ohne Migrationshintergrund,%,3.1
2016,15 – 25,Frauen,ohne Migrationshintergrund,%,2.42
2016,25 – 35,Frauen,ohne Migrationshintergrund,%,3.45
2016,35 – 45,Frauen,ohne Migrationshintergrund,%,2
2016,45 – 55,Frauen,ohne Migrationshintergrund,%,1.91
2016,55 – 65,Frauen,ohne Migrationshintergrund,%,1.67
2016,15 – 65,Frauen,ohne Migrationshintergrund,%,2.2
2016,15 – 25,Insgesamt,mit Migrationshintergrund,%,4.45
2016,25 – 35,Insgesamt,mit Migrationshintergrund,%,5.94
2016,35 – 45,Insgesamt,mit Migrationshintergrund,%,6
2016,45 – 55,Insgesamt,mit Migrationshintergrund,%,4.13
2016,55 – 65,Insgesamt,mit Migrationshintergrund,%,4.31
2016,15 – 65,Insgesamt,mit Migrationshintergrund,%,5.07
2016,15 – 25,Männer,mit Migrationshintergrund,%,5.61
2016,25 – 35,Männer,mit Migrationshintergrund,%,7.57
2016,35 – 45,Männer,mit Migrationshintergrund,%,7.82
2016,45 – 55,Männer,mit Migrationshintergrund,%,5.49
2016,55 – 65,Männer,mit Migrationshintergrund,%,5.09
2016,15 – 65,Männer,mit Migrationshintergrund,%,6.47
2016,15 – 25,Frauen,mit Migrationshintergrund,%,3.01
2016,25 – 35,Frauen,mit Migrationshintergrund,%,3.9
2016,35 – 45,Frauen,mit Migrationshintergrund,%,4.16
2016,45 – 55,Frauen,mit Migrationshintergrund,%,2.69
2016,55 – 65,Frauen,mit Migrationshintergrund,%,3.54
2016,15 – 65,Frauen,mit Migrationshintergrund,%,3.5
2015,15 – 25,Insgesamt,mit und ohne Migrationshintergrund,%,3.03
2015,25 – 35,Insgesamt,mit und ohne Migrationshintergrund,%,4.33
2015,35 – 45,Insgesamt,mit und ohne Migrationshintergrund,%,3.52
2015,45 – 55,Insgesamt,mit und ohne Migrationshintergrund,%,3.27
2015,55 – 65,Insgesamt,mit und ohne Migrationshintergrund,%,2.61
2015,15 – 65,Insgesamt,mit und ohne Migrationshintergrund,%,3.33
2015,15 – 25,Männer,mit und ohne Migrationshintergrund,%,3.38
2015,25 – 35,Männer,mit und ohne Migrationshintergrund,%,5.26
2015,35 – 45,Männer,mit und ohne Migrationshintergrund,%,3.9
2015,45 – 55,Männer,mit und ohne Migrationshintergrund,%,3.51
2015,55 – 65,Männer,mit und ohne Migrationshintergrund,%,3.16
2015,15 – 65,Männer,mit und ohne Migrationshintergrund,%,3.8
2015,15 – 25,Frauen,mit und ohne Migrationshintergrund,%,2.65
2015,25 – 35,Frauen,mit und ohne Migrationshintergrund,%,3.37
2015,35 – 45,Frauen,mit und ohne Migrationshintergrund,%,3.15
2015,45 – 55,Frauen,mit und ohne Migrationshintergrund,%,3.03
2015,55 – 65,Frauen,mit und ohne Migrationshintergrund,%,2.09
2015,15 – 65,Frauen,mit und ohne Migrationshintergrund,%,2.85
2015,15 – 25,Insgesamt,ohne Migrationshintergrund,%,2.88
2015,25 – 35,Insgesamt,ohne Migrationshintergrund,%,3.79
2015,35 – 45,Insgesamt,ohne Migrationshintergrund,%,3.06
2015,45 – 55,Insgesamt,ohne Migrationshintergrund,%,2.91
2015,55 – 65,Insgesamt,ohne Migrationshintergrund,%,2.24
2015,15 – 65,Insgesamt,ohne Migrationshintergrund,%,2.93
2015,15 – 25,Männer,ohne Migrationshintergrund,%,3.27
2015,25 – 35,Männer,ohne Migrationshintergrund,%,4.91
2015,35 – 45,Männer,ohne Migrationshintergrund,%,3.41
2015,45 – 55,Männer,ohne Migrationshintergrund,%,3.03
2015,55 – 65,Männer,ohne Migrationshintergrund,%,2.55
2015,15 – 65,Männer,ohne Migrationshintergrund,%,3.36
2015,15 – 25,Frauen,ohne Migrationshintergrund,%,2.45
2015,25 – 35,Frauen,ohne Migrationshintergrund,%,2.6
2015,35 – 45,Frauen,ohne Migrationshintergrund,%,2.71
2015,45 – 55,Frauen,ohne Migrationshintergrund,%,2.79
2015,55 – 65,Frauen,ohne Migrationshintergrund,%,1.95
2015,15 – 65,Frauen,ohne Migrationshintergrund,%,2.5
2015,15 – 25,Insgesamt,mit Migrationshintergrund,%,3.56
2015,25 – 35,Insgesamt,mit Migrationshintergrund,%,6.16
2015,35 – 45,Insgesamt,mit Migrationshintergrund,%,5.11
2015,45 – 55,Insgesamt,mit Migrationshintergrund,%,5.45
2015,55 – 65,Insgesamt,mit Migrationshintergrund,%,4.88
2015,15 – 65,Insgesamt,mit Migrationshintergrund,%,5.07
2015,15 – 25,Männer,mit Migrationshintergrund,%,3.72
2015,25 – 35,Männer,mit Migrationshintergrund,%,6.44
2015,35 – 45,Männer,mit Migrationshintergrund,%,5.56
2015,45 – 55,Männer,mit Migrationshintergrund,%,6.3
2015,55 – 65,Männer,mit Migrationshintergrund,%,7.1
2015,15 – 65,Männer,mit Migrationshintergrund,%,5.75
2015,15 – 25,Frauen,mit Migrationshintergrund,%,3.37
2015,25 – 35,Frauen,mit Migrationshintergrund,%,5.88
2015,35 – 45,Frauen,mit Migrationshintergrund,%,4.66
2015,45 – 55,Frauen,mit Migrationshintergrund,%,4.54
2015,55 – 65,Frauen,mit Migrationshintergrund,%,2.89
2015,15 – 65,Frauen,mit Migrationshintergrund,%,4.37
2014,15 – 25,Insgesamt,mit und ohne Migrationshintergrund,%,3.36
2014,25 – 35,Insgesamt,mit und ohne Migrationshintergrund,%,4.86
2014,35 – 45,Insgesamt,mit und ohne Migrationshintergrund,%,3.68
2014,45 – 55,Insgesamt,mit und ohne Migrationshintergrund,%,3.39
2014,55 – 65,Insgesamt,mit und ohne Migrationshintergrund,%,3.07
2014,15 – 65,Insgesamt,mit und ohne Migrationshintergrund,%,3.64
2014,15 – 25,Männer,mit und ohne Migrationshintergrund,%,3.98
2014,25 – 35,Männer,mit und ohne Migrationshintergrund,%,5.71
2014,35 – 45,Männer,mit und ohne Migrationshintergrund,%,4.25
2014,45 – 55,Männer,mit und ohne Migrationshintergrund,%,3.77
2014,55 – 65,Männer,mit und ohne Migrationshintergrund,%,3.84
2014,15 – 65,Männer,mit und ohne Migrationshintergrund,%,4.26
2014,15 – 25,Frauen,mit und ohne Migrationshintergrund,%,2.7
2014,25 – 35,Frauen,mit und ohne Migrationshintergrund,%,3.99
2014,35 – 45,Frauen,mit und ohne Migrationshintergrund,%,3.11
2014,45 – 55,Frauen,mit und ohne Migrationshintergrund,%,3.01
2014,55 – 65,Frauen,mit und ohne Migrationshintergrund,%,2.33
2014,15 – 65,Frauen,mit und ohne Migrationshintergrund,%,3.01
2014,15 – 25,Insgesamt,ohne Migrationshintergrund,%,3.14
2014,25 – 35,Insgesamt,ohne Migrationshintergrund,%,4.53
2014,35 – 45,Insgesamt,ohne Migrationshintergrund,%,3.23
2014,45 – 55,Insgesamt,ohne Migrationshintergrund,%,3
2014,55 – 65,Insgesamt,ohne Migrationshintergrund,%,2.72
2014,15 – 65,Insgesamt,ohne Migrationshintergrund,%,3.26
2014,15 – 25,Männer,ohne Migrationshintergrund,%,3.97
2014,25 – 35,Männer,ohne Migrationshintergrund,%,5.38
2014,35 – 45,Männer,ohne Migrationshintergrund,%,3.69
2014,45 – 55,Männer,ohne Migrationshintergrund,%,3.26
2014,55 – 65,Männer,ohne Migrationshintergrund,%,3.31
2014,15 – 65,Männer,ohne Migrationshintergrund,%,3.82
2014,15 – 25,Frauen,ohne Migrationshintergrund,%,2.25
