Year,Höchster beruflicher Abschluss,Migrationshintergrund,Geschlecht,Units,Value
2014,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,51.96
2014,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,29.1
2013,Ohne Abschluss,mit und ohne Migrationshintergrund,Frauen,%,19.86
2013,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,55.05
2013,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,25.09
2012,Ohne Abschluss,mit und ohne Migrationshintergrund,Frauen,%,19.8
2012,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,54.6
2012,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,25.6
2011,Ohne Abschluss,mit und ohne Migrationshintergrund,Frauen,%,18.73
2011,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,56.97
2011,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,24.3
2005,Ohne Abschluss,mit und ohne Migrationshintergrund,Frauen,%,25.605238235645
2005,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,58.3039934476581
2005,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,16.0907683166969
2022,Ohne Abschluss,mit Migrationshintergrund,Insgesamt,%,45.7572857190006
2022,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Insgesamt,%,30.014191887521
2022,Tertiärer Abschluss,mit Migrationshintergrund,Insgesamt,%,24.2285223934783
2021,Ohne Abschluss,mit Migrationshintergrund,Insgesamt,%,44.9015614392396
2021,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Insgesamt,%,32.8615071283096
2021,Tertiärer Abschluss,mit Migrationshintergrund,Insgesamt,%,22.2369314324508
2019,Ohne Abschluss,mit Migrationshintergrund,Insgesamt,%,39.78
2019,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Insgesamt,%,34.21
2019,Tertiärer Abschluss,mit Migrationshintergrund,Insgesamt,%,26.02
2018,Ohne Abschluss,mit Migrationshintergrund,Insgesamt,%,38.44
2018,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Insgesamt,%,36.17
2018,Tertiärer Abschluss,mit Migrationshintergrund,Insgesamt,%,25.4
2017,Ohne Abschluss,mit Migrationshintergrund,Insgesamt,%,36.37
2017,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Insgesamt,%,39.16
2017,Tertiärer Abschluss,mit Migrationshintergrund,Insgesamt,%,24.48
2016,Ohne Abschluss,mit Migrationshintergrund,Insgesamt,%,38.9
2016,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Insgesamt,%,37.78
2016,Tertiärer Abschluss,mit Migrationshintergrund,Insgesamt,%,23.32
2015,Ohne Abschluss,mit Migrationshintergrund,Insgesamt,%,35.28
2015,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Insgesamt,%,41.94
2015,Tertiärer Abschluss,mit Migrationshintergrund,Insgesamt,%,22.79
2014,Ohne Abschluss,mit Migrationshintergrund,Insgesamt,%,34.82
2014,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Insgesamt,%,43.53
2014,Tertiärer Abschluss,mit Migrationshintergrund,Insgesamt,%,21.65
2013,Ohne Abschluss,mit Migrationshintergrund,Insgesamt,%,33.85
2013,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Insgesamt,%,45.58
2013,Tertiärer Abschluss,mit Migrationshintergrund,Insgesamt,%,20.57
2012,Ohne Abschluss,mit Migrationshintergrund,Insgesamt,%,37.55
2012,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Insgesamt,%,44.77
2012,Tertiärer Abschluss,mit Migrationshintergrund,Insgesamt,%,17.68
2011,Ohne Abschluss,mit Migrationshintergrund,Insgesamt,%,36.04
2011,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Insgesamt,%,46.69
2011,Tertiärer Abschluss,mit Migrationshintergrund,Insgesamt,%,17.27
2005,Ohne Abschluss,mit Migrationshintergrund,Insgesamt,%,46.8547833338137
2005,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Insgesamt,%,41.5251248491722
2005,Tertiärer Abschluss,mit Migrationshintergrund,Insgesamt,%,11.6200918170141
2022,Ohne Abschluss,mit Migrationshintergrund,Männer,%,47.9940194368303
2022,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Männer,%,29.85920757538
2022,Tertiärer Abschluss,mit Migrationshintergrund,Männer,%,22.1467729877897
2021,Ohne Abschluss,mit Migrationshintergrund,Männer,%,47.6937558832758
2021,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Männer,%,32.2121117037967
2021,Tertiärer Abschluss,mit Migrationshintergrund,Männer,%,20.0941324129275
2019,Ohne Abschluss,mit Migrationshintergrund,Männer,%,42.48
2019,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Männer,%,34.56
2019,Tertiärer Abschluss,mit Migrationshintergrund,Männer,%,22.97
2018,Ohne Abschluss,mit Migrationshintergrund,Männer,%,41.18
2018,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Männer,%,35.78
2018,Tertiärer Abschluss,mit Migrationshintergrund,Männer,%,23.04
2017,Ohne Abschluss,mit Migrationshintergrund,Männer,%,39.1
2017,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Männer,%,38.63
2017,Tertiärer Abschluss,mit Migrationshintergrund,Männer,%,22.26
2016,Ohne Abschluss,mit Migrationshintergrund,Männer,%,40.37
2016,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Männer,%,37.34
2016,Tertiärer Abschluss,mit Migrationshintergrund,Männer,%,22.3
2015,Ohne Abschluss,mit Migrationshintergrund,Männer,%,34.89
2015,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Männer,%,45.3
2015,Tertiärer Abschluss,mit Migrationshintergrund,Männer,%,19.82
2014,Ohne Abschluss,mit Migrationshintergrund,Männer,%,34.54
2014,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Männer,%,46.49
2014,Tertiärer Abschluss,mit Migrationshintergrund,Männer,%,18.97
2013,Ohne Abschluss,mit Migrationshintergrund,Männer,%,32.41
2013,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Männer,%,48.37
2013,Tertiärer Abschluss,mit Migrationshintergrund,Männer,%,19.22
2012,Ohne Abschluss,mit Migrationshintergrund,Männer,%,35.11
2012,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Männer,%,49.01
2012,Tertiärer Abschluss,mit Migrationshintergrund,Männer,%,15.88
2011,Ohne Abschluss,mit Migrationshintergrund,Männer,%,35.87
2011,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Männer,%,47.69
2011,Tertiärer Abschluss,mit Migrationshintergrund,Männer,%,16.44
2005,Ohne Abschluss,mit Migrationshintergrund,Männer,%,44.0526146489995
2005,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Männer,%,45.5549345516048
2005,Tertiärer Abschluss,mit Migrationshintergrund,Männer,%,10.3924507993957
2022,Ohne Abschluss,mit Migrationshintergrund,Frauen,%,43.2371727381203
2022,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Frauen,%,30.1888116796519
2022,Tertiärer Abschluss,mit Migrationshintergrund,Frauen,%,26.5740155822278
2021,Ohne Abschluss,mit Migrationshintergrund,Frauen,%,41.6118299445471
2021,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Frauen,%,33.626617375231
2021,Tertiärer Abschluss,mit Migrationshintergrund,Frauen,%,24.7615526802218
2019,Ohne Abschluss,mit Migrationshintergrund,Frauen,%,36.43
2019,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Frauen,%,33.77
2019,Tertiärer Abschluss,mit Migrationshintergrund,Frauen,%,29.8
2018,Ohne Abschluss,mit Migrationshintergrund,Frauen,%,35.28
2018,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Frauen,%,36.61
2018,Tertiärer Abschluss,mit Migrationshintergrund,Frauen,%,28.11
2017,Ohne Abschluss,mit Migrationshintergrund,Frauen,%,33.03
2017,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Frauen,%,39.79
2017,Tertiärer Abschluss,mit Migrationshintergrund,Frauen,%,27.18
2016,Ohne Abschluss,mit Migrationshintergrund,Frauen,%,37.09
2016,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Frauen,%,38.32
2016,Tertiärer Abschluss,mit Migrationshintergrund,Frauen,%,24.59
2015,Ohne Abschluss,mit Migrationshintergrund,Frauen,%,35.66
2015,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Frauen,%,38.6
2015,Tertiärer Abschluss,mit Migrationshintergrund,Frauen,%,25.74
2014,Ohne Abschluss,mit Migrationshintergrund,Frauen,%,35.1
2014,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Frauen,%,40.51
2014,Tertiärer Abschluss,mit Migrationshintergrund,Frauen,%,24.39
2013,Ohne Abschluss,mit Migrationshintergrund,Frauen,%,35.22
2013,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Frauen,%,42.93
2013,Tertiärer Abschluss,mit Migrationshintergrund,Frauen,%,21.86
2012,Ohne Abschluss,mit Migrationshintergrund,Frauen,%,39.84
2012,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Frauen,%,40.79
2012,Tertiärer Abschluss,mit Migrationshintergrund,Frauen,%,19.37
2011,Ohne Abschluss,mit Migrationshintergrund,Frauen,%,36.21
2011,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Frauen,%,45.69
2011,Tertiärer Abschluss,mit Migrationshintergrund,Frauen,%,18.1
2005,Ohne Abschluss,mit Migrationshintergrund,Frauen,%,49.6560392107803
2005,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Frauen,%,37.4966278592614
2005,Tertiärer Abschluss,mit Migrationshintergrund,Frauen,%,12.8473329299583
2022,Ohne Abschluss,ohne Migrationshintergrund,Insgesamt,%,18.9084309617257
2022,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Insgesamt,%,54.2848289904683
2022,Tertiärer Abschluss,ohne Migrationshintergrund,Insgesamt,%,26.8052645557293
2021,Ohne Abschluss,ohne Migrationshintergrund,Insgesamt,%,17.6241753690501
2021,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Insgesamt,%,56.635505724344
2021,Tertiärer Abschluss,ohne Migrationshintergrund,Insgesamt,%,25.7403189066059
2019,Ohne Abschluss,ohne Migrationshintergrund,Insgesamt,%,14.03
2019,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Insgesamt,%,52.18
2019,Tertiärer Abschluss,ohne Migrationshintergrund,Insgesamt,%,33.79
2018,Ohne Abschluss,ohne Migrationshintergrund,Insgesamt,%,14.77
2018,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Insgesamt,%,53.64
2018,Tertiärer Abschluss,ohne Migrationshintergrund,Insgesamt,%,31.58
2017,Ohne Abschluss,ohne Migrationshintergrund,Insgesamt,%,15.47
2017,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Insgesamt,%,53.59
2017,Tertiärer Abschluss,ohne Migrationshintergrund,Insgesamt,%,30.95
2016,Ohne Abschluss,ohne Migrationshintergrund,Insgesamt,%,16.14
2016,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Insgesamt,%,55.07
2016,Tertiärer Abschluss,ohne Migrationshintergrund,Insgesamt,%,28.78
2015,Ohne Abschluss,ohne Migrationshintergrund,Insgesamt,%,14.59
2015,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Insgesamt,%,54.45
2015,Tertiärer Abschluss,ohne Migrationshintergrund,Insgesamt,%,30.96
2014,Ohne Abschluss,ohne Migrationshintergrund,Insgesamt,%,14.99
2014,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Insgesamt,%,57.02
2014,Tertiärer Abschluss,ohne Migrationshintergrund,Insgesamt,%,27.99
2013,Ohne Abschluss,ohne Migrationshintergrund,Insgesamt,%,15.73
2013,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Insgesamt,%,58.89
2013,Tertiärer Abschluss,ohne Migrationshintergrund,Insgesamt,%,25.38
2012,Ohne Abschluss,ohne Migrationshintergrund,Insgesamt,%,14.73
2012,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Insgesamt,%,58.91
2012,Tertiärer Abschluss,ohne Migrationshintergrund,Insgesamt,%,26.36
2011,Ohne Abschluss,ohne Migrationshintergrund,Insgesamt,%,14.82
2011,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Insgesamt,%,60.75
2011,Tertiärer Abschluss,ohne Migrationshintergrund,Insgesamt,%,24.43
2005,Ohne Abschluss,ohne Migrationshintergrund,Insgesamt,%,17.6277665618852
2005,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Insgesamt,%,63.9142755706801
2005,Tertiärer Abschluss,ohne Migrationshintergrund,Insgesamt,%,18.4579578674347
2022,Ohne Abschluss,ohne Migrationshintergrund,Männer,%,20.1794753796595
2022,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Männer,%,55.5913483663139
2022,Tertiärer Abschluss,ohne Migrationshintergrund,Männer,%,24.2291762540267
2021,Ohne Abschluss,ohne Migrationshintergrund,Männer,%,19.2232563483856
2021,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Männer,%,57.2762265885327
2021,Tertiärer Abschluss,ohne Migrationshintergrund,Männer,%,23.5005170630817
2019,Ohne Abschluss,ohne Migrationshintergrund,Männer,%,14.58
2019,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Männer,%,55.02
2019,Tertiärer Abschluss,ohne Migrationshintergrund,Männer,%,30.4
2018,Ohne Abschluss,ohne Migrationshintergrund,Männer,%,15.91
2018,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Männer,%,56.34
2018,Tertiärer Abschluss,ohne Migrationshintergrund,Männer,%,27.75
2017,Ohne Abschluss,ohne Migrationshintergrund,Männer,%,16.23
2017,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Männer,%,56.45
2017,Tertiärer Abschluss,ohne Migrationshintergrund,Männer,%,27.32
2016,Ohne Abschluss,ohne Migrationshintergrund,Männer,%,17.64
2016,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Männer,%,56.62
2016,Tertiärer Abschluss,ohne Migrationshintergrund,Männer,%,25.74
2015,Ohne Abschluss,ohne Migrationshintergrund,Männer,%,15.87
2015,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Männer,%,56.3
2015,Tertiärer Abschluss,ohne Migrationshintergrund,Männer,%,27.82
2014,Ohne Abschluss,ohne Migrationshintergrund,Männer,%,15.81
2014,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Männer,%,58.63
2014,Tertiärer Abschluss,ohne Migrationshintergrund,Männer,%,25.55
2013,Ohne Abschluss,ohne Migrationshintergrund,Männer,%,16.4
2013,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Männer,%,58.93
2013,Tertiärer Abschluss,ohne Migrationshintergrund,Männer,%,24.67
2012,Ohne Abschluss,ohne Migrationshintergrund,Männer,%,15.78
2012,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Männer,%,59
2012,Tertiärer Abschluss,ohne Migrationshintergrund,Männer,%,25.22
2011,Ohne Abschluss,ohne Migrationshintergrund,Männer,%,15.94
2011,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Männer,%,61.29
2011,Tertiärer Abschluss,ohne Migrationshintergrund,Männer,%,22.76
2005,Ohne Abschluss,ohne Migrationshintergrund,Männer,%,16.6292894947499
2005,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Männer,%,63.504708417192
2005,Tertiärer Abschluss,ohne Migrationshintergrund,Männer,%,19.8660020880582
2022,Ohne Abschluss,ohne Migrationshintergrund,Frauen,%,17.569532812216
2022,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Frauen,%,52.9085620796219
2022,Tertiärer Abschluss,ohne Migrationshintergrund,Frauen,%,29.5188753559959
2021,Ohne Abschluss,ohne Migrationshintergrund,Frauen,%,15.9266939074221
2021,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Frauen,%,55.9553576873818
2021,Tertiärer Abschluss,ohne Migrationshintergrund,Frauen,%,28.1179484051961
2019,Ohne Abschluss,ohne Migrationshintergrund,Frauen,%,13.44
2019,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Frauen,%,49.09
2019,Tertiärer Abschluss,ohne Migrationshintergrund,Frauen,%,37.47
2018,Ohne Abschluss,ohne Migrationshintergrund,Frauen,%,13.54
2018,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Frauen,%,50.72
2018,Tertiärer Abschluss,ohne Migrationshintergrund,Frauen,%,35.74
2017,Ohne Abschluss,ohne Migrationshintergrund,Frauen,%,14.64
2017,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Frauen,%,50.49
2017,Tertiärer Abschluss,ohne Migrationshintergrund,Frauen,%,34.87
2016,Ohne Abschluss,ohne Migrationshintergrund,Frauen,%,14.54
2016,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Frauen,%,53.41
2016,Tertiärer Abschluss,ohne Migrationshintergrund,Frauen,%,32.06
2015,Ohne Abschluss,ohne Migrationshintergrund,Frauen,%,13.22
2015,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Frauen,%,52.48
2015,Tertiärer Abschluss,ohne Migrationshintergrund,Frauen,%,34.3
2014,Ohne Abschluss,ohne Migrationshintergrund,Frauen,%,14.14
2014,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Frauen,%,55.36
2014,Tertiärer Abschluss,ohne Migrationshintergrund,Frauen,%,30.5
2013,Ohne Abschluss,ohne Migrationshintergrund,Frauen,%,15.04
2013,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Frauen,%,58.85
2013,Tertiärer Abschluss,ohne Migrationshintergrund,Frauen,%,26.11
2012,Ohne Abschluss,ohne Migrationshintergrund,Frauen,%,13.67
2012,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Frauen,%,58.82
2012,Tertiärer Abschluss,ohne Migrationshintergrund,Frauen,%,27.51
2011,Ohne Abschluss,ohne Migrationshintergrund,Frauen,%,13.71
2011,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Frauen,%,60.21
2011,Tertiärer Abschluss,ohne Migrationshintergrund,Frauen,%,26.08
2005,Ohne Abschluss,ohne Migrationshintergrund,Frauen,%,18.6403409415612
2005,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Frauen,%,64.3296209742111
2005,Tertiärer Abschluss,ohne Migrationshintergrund,Frauen,%,17.0300380842277
