Year,Land der Staatsangehörigkeit,Kategorie,Units,Value
2021,"übrige afrikanische Staaten",Ausländerinnen und Ausländer,Anzahl,6015
2021,"Afrika insgesamt",Ausländerinnen und Ausländer,Anzahl,46230
2021,"übrige amerikanische Staaten",Ausländerinnen und Ausländer,Anzahl,1435
2021,"Amerika insgesamt",Ausländerinnen und Ausländer,Anzahl,18165
2021,"Afghanistan",Ausländerinnen und Ausländer,Anzahl,24190
2021,"China",Ausländerinnen und Ausländer,Anzahl,9900
2021,"Indien",Ausländerinnen und Ausländer,Anzahl,8475
2021,"Irak",Ausländerinnen und Ausländer,Anzahl,45695
2021,"Iran, Islamische Republik",Ausländerinnen und Ausländer,Anzahl,11150
2021,"Syrien, Arabische Republik",Ausländerinnen und Ausländer,Anzahl,92430
2021,"Vietnam",Ausländerinnen und Ausländer,Anzahl,9135
2021,"übrige asiatische Staaten",Ausländerinnen und Ausländer,Anzahl,3925
2021,"Asien insgesamt",Ausländerinnen und Ausländer,Anzahl,244965
2021,"Australien und Ozeanien",Ausländerinnen und Ausländer,Anzahl,1010
2021,"staatenlos",Ausländerinnen und Ausländer,Anzahl,3590
2021,"ungeklärt,oh.Angabe,unbekannt",Ausländerinnen und Ausländer,Anzahl,9480
2021,"Ausländer insgesamt",Ausländerinnen und Ausländer,Anzahl,895490
2020,"Bulgarien",Ausländerinnen und Ausländer,Anzahl,31155
2020,"Griechenland",Ausländerinnen und Ausländer,Anzahl,18695
2020,"Italien",Ausländerinnen und Ausländer,Anzahl,28950
2020,"Serbien (ohne Kosovo) ab 2008",Ausländerinnen und Ausländer,Anzahl,19300
2020,"Kroatien",Ausländerinnen und Ausländer,Anzahl,11915
2020,"Kosovo",Ausländerinnen und Ausländer,Anzahl,16890
2020,"Niederlande",Ausländerinnen und Ausländer,Anzahl,29725
2020,"Polen",Ausländerinnen und Ausländer,Anzahl,98355
2020,"Rumänien",Ausländerinnen und Ausländer,Anzahl,64675
2020,"Russische Föderation",Ausländerinnen und Ausländer,Anzahl,22335
2020,"Spanien",Ausländerinnen und Ausländer,Anzahl,11855
2020,"Türkei",Ausländerinnen und Ausländer,Anzahl,88085
2020,"Ukraine",Ausländerinnen und Ausländer,Anzahl,11410
2020,"übrige europäische Staaten",Ausländerinnen und Ausländer,Anzahl,5
2020,"Europa insgesamt",Ausländerinnen und Ausländer,Anzahl,552325
2020,"übrige afrikanische Staaten",Ausländerinnen und Ausländer,Anzahl,5430
2020,"Afrika insgesamt",Ausländerinnen und Ausländer,Anzahl,43135
2020,"übrige amerikanische Staaten",Ausländerinnen und Ausländer,Anzahl,1335
2020,"Amerika insgesamt",Ausländerinnen und Ausländer,Anzahl,17255
2020,"Afghanistan",Ausländerinnen und Ausländer,Anzahl,21830
2020,"China",Ausländerinnen und Ausländer,Anzahl,10165
2020,"Indien",Ausländerinnen und Ausländer,Anzahl,7360
2020,"Irak",Ausländerinnen und Ausländer,Anzahl,42860
2020,"Iran, Islamische Republik",Ausländerinnen und Ausländer,Anzahl,10790
2020,"Syrien, Arabische Republik",Ausländerinnen und Ausländer,Anzahl,87680
2020,"Vietnam",Ausländerinnen und Ausländer,Anzahl,8785
2020,"übrige asiatische Staaten",Ausländerinnen und Ausländer,Anzahl,3595
2020,"Asien insgesamt",Ausländerinnen und Ausländer,Anzahl,231560
2020,"Australien und Ozeanien",Ausländerinnen und Ausländer,Anzahl,1030
2020,"staatenlos",Ausländerinnen und Ausländer,Anzahl,3465
2020,"ungeklärt,oh.Angabe,unbekannt",Ausländerinnen und Ausländer,Anzahl,9090
2020,"Ausländer insgesamt",Ausländerinnen und Ausländer,Anzahl,857895
2019,"Bulgarien",Ausländerinnen und Ausländer,Anzahl,28360
2019,"Griechenland",Ausländerinnen und Ausländer,Anzahl,18815
2019,"Italien",Ausländerinnen und Ausländer,Anzahl,28825
2019,"Serbien (ohne Kosovo) ab 2008",Ausländerinnen und Ausländer,Anzahl,19115
2019,"Kroatien",Ausländerinnen und Ausländer,Anzahl,11915
2019,"Kosovo",Ausländerinnen und Ausländer,Anzahl,16475
2019,"Niederlande",Ausländerinnen und Ausländer,Anzahl,29865
2019,"Polen",Ausländerinnen und Ausländer,Anzahl,98015
2019,"Rumänien",Ausländerinnen und Ausländer,Anzahl,58980
2019,"Russische Föderation",Ausländerinnen und Ausländer,Anzahl,22260
2019,"Spanien",Ausländerinnen und Ausländer,Anzahl,11970
2019,"Türkei",Ausländerinnen und Ausländer,Anzahl,88735
2019,"Ukraine",Ausländerinnen und Ausländer,Anzahl,11345
2019,"übrige europäische Staaten",Ausländerinnen und Ausländer,Anzahl,5
2019,"Europa insgesamt",Ausländerinnen und Ausländer,Anzahl,542155
2019,"übrige afrikanische Staaten",Ausländerinnen und Ausländer,Anzahl,4990
2019,"Afrika insgesamt",Ausländerinnen und Ausländer,Anzahl,42015
2019,"übrige amerikanische Staaten",Ausländerinnen und Ausländer,Anzahl,1355
2019,"Amerika insgesamt",Ausländerinnen und Ausländer,Anzahl,17580
2019,"Afghanistan",Ausländerinnen und Ausländer,Anzahl,21190
2019,"China",Ausländerinnen und Ausländer,Anzahl,10490
2019,"Indien",Ausländerinnen und Ausländer,Anzahl,7025
2019,"Irak",Ausländerinnen und Ausländer,Anzahl,41035
2019,"Iran, Islamische Republik",Ausländerinnen und Ausländer,Anzahl,10780
2019,"Syrien, Arabische Republik",Ausländerinnen und Ausländer,Anzahl,84805
2019,"Vietnam",Ausländerinnen und Ausländer,Anzahl,8760
2019,"übrige asiatische Staaten",Ausländerinnen und Ausländer,Anzahl,3570
2019,"Asien insgesamt",Ausländerinnen und Ausländer,Anzahl,226045
2019,"Australien und Ozeanien",Ausländerinnen und Ausländer,Anzahl,1065
2019,"staatenlos",Ausländerinnen und Ausländer,Anzahl,3540
2019,"ungeklärt,oh.Angabe,unbekannt",Ausländerinnen und Ausländer,Anzahl,8730
2019,"Ausländer insgesamt",Ausländerinnen und Ausländer,Anzahl,841165
2018,"Bulgarien",Ausländerinnen und Ausländer,Anzahl,25990
2018,"Griechenland",Ausländerinnen und Ausländer,Anzahl,18790
2018,"Italien",Ausländerinnen und Ausländer,Anzahl,28535
2018,"Serbien (ohne Kosovo) ab 2008",Ausländerinnen und Ausländer,Anzahl,18830
2018,"Kroatien",Ausländerinnen und Ausländer,Anzahl,11405
2018,"Kosovo",Ausländerinnen und Ausländer,Anzahl,15795
2018,"Niederlande",Ausländerinnen und Ausländer,Anzahl,29910
2018,"Polen",Ausländerinnen und Ausländer,Anzahl,97145
2018,"Rumänien",Ausländerinnen und Ausländer,Anzahl,52635
2018,"Russische Föderation",Ausländerinnen und Ausländer,Anzahl,21820
2018,"Spanien",Ausländerinnen und Ausländer,Anzahl,11845
2018,"Türkei",Ausländerinnen und Ausländer,Anzahl,89275
2018,"Ukraine",Ausländerinnen und Ausländer,Anzahl,11030
2018,"übrige europäische Staaten",Ausländerinnen und Ausländer,Anzahl,5
2018,"Europa insgesamt",Ausländerinnen und Ausländer,Anzahl,528900
2018,"übrige afrikanische Staaten",Ausländerinnen und Ausländer,Anzahl,4380
2018,"Afrika insgesamt",Ausländerinnen und Ausländer,Anzahl,39055
2018,"übrige amerikanische Staaten",Ausländerinnen und Ausländer,Anzahl,1230
2018,"Amerika insgesamt",Ausländerinnen und Ausländer,Anzahl,16515
2018,"Afghanistan",Ausländerinnen und Ausländer,Anzahl,20695
2018,"China",Ausländerinnen und Ausländer,Anzahl,10150
2018,"Indien",Ausländerinnen und Ausländer,Anzahl,6030
2018,"Irak",Ausländerinnen und Ausländer,Anzahl,39155
2018,"Iran, Islamische Republik",Ausländerinnen und Ausländer,Anzahl,10145
2018,"Syrien, Arabische Republik",Ausländerinnen und Ausländer,Anzahl,79930
2018,"Vietnam",Ausländerinnen und Ausländer,Anzahl,8655
2018,"übrige asiatische Staaten",Ausländerinnen und Ausländer,Anzahl,3500
2018,"Asien insgesamt",Ausländerinnen und Ausländer,Anzahl,215705
2018,"Australien und Ozeanien",Ausländerinnen und Ausländer,Anzahl,1015
2018,"staatenlos",Ausländerinnen und Ausländer,Anzahl,3290
2018,"ungeklärt,oh.Angabe,unbekannt",Ausländerinnen und Ausländer,Anzahl,8560
2018,"Ausländer insgesamt",Ausländerinnen und Ausländer,Anzahl,813080
2017,"Bulgarien",Ausländerinnen und Ausländer,Anzahl,23270
2017,"Griechenland",Ausländerinnen und Ausländer,Anzahl,18580
2017,"Italien",Ausländerinnen und Ausländer,Anzahl,28090
2017,"Serbien (ohne Kosovo) ab 2008",Ausländerinnen und Ausländer,Anzahl,18770
2017,"Kroatien",Ausländerinnen und Ausländer,Anzahl,10455
2017,"Kosovo",Ausländerinnen und Ausländer,Anzahl,15420
2017,"Niederlande",Ausländerinnen und Ausländer,Anzahl,30230
2017,"Polen",Ausländerinnen und Ausländer,Anzahl,94210
2017,"Rumänien",Ausländerinnen und Ausländer,Anzahl,43860
2017,"Russische Föderation",Ausländerinnen und Ausländer,Anzahl,21365
2017,"Spanien",Ausländerinnen und Ausländer,Anzahl,11785
2017,"Türkei",Ausländerinnen und Ausländer,Anzahl,89675
2017,"Ukraine",Ausländerinnen und Ausländer,Anzahl,10595
2017,"übrige europäische Staaten",Ausländerinnen und Ausländer,Anzahl,5
2017,"Europa insgesamt",Ausländerinnen und Ausländer,Anzahl,509435
2017,"übrige afrikanische Staaten",Ausländerinnen und Ausländer,Anzahl,3685
2017,"Afrika insgesamt",Ausländerinnen und Ausländer,Anzahl,36290
2017,"übrige amerikanische Staaten",Ausländerinnen und Ausländer,Anzahl,1140
2017,"Amerika insgesamt",Ausländerinnen und Ausländer,Anzahl,15560
2017,"Afghanistan",Ausländerinnen und Ausländer,Anzahl,20080
2017,"China",Ausländerinnen und Ausländer,Anzahl,9670
2017,"Indien",Ausländerinnen und Ausländer,Anzahl,5065
2017,"Irak",Ausländerinnen und Ausländer,Anzahl,36340
2017,"Iran, Islamische Republik",Ausländerinnen und Ausländer,Anzahl,8870
2017,"Syrien, Arabische Republik",Ausländerinnen und Ausländer,Anzahl,74755
2017,"Vietnam",Ausländerinnen und Ausländer,Anzahl,8560
2017,"übrige asiatische Staaten",Ausländerinnen und Ausländer,Anzahl,3270
2017,"Asien insgesamt",Ausländerinnen und Ausländer,Anzahl,203165
2017,"Australien und Ozeanien",Ausländerinnen und Ausländer,Anzahl,995
2017,"staatenlos",Ausländerinnen und Ausländer,Anzahl,3030
2017,"ungeklärt,oh.Angabe,unbekannt",Ausländerinnen und Ausländer,Anzahl,8335
2017,"Ausländer insgesamt",Ausländerinnen und Ausländer,Anzahl,776860
2016,"Bulgarien",Ausländerinnen und Ausländer,Anzahl,20670
2016,"Griechenland",Ausländerinnen und Ausländer,Anzahl,18300
2016,"Italien",Ausländerinnen und Ausländer,Anzahl,27765
2016,"Serbien (ohne Kosovo) ab 2008",Ausländerinnen und Ausländer,Anzahl,18620
2016,"Kroatien",Ausländerinnen und Ausländer,Anzahl,9605
2016,"Kosovo",Ausländerinnen und Ausländer,Anzahl,15170
2016,"Niederlande",Ausländerinnen und Ausländer,Anzahl,30465
2016,"Polen",Ausländerinnen und Ausländer,Anzahl,90175
2016,"Rumänien",Ausländerinnen und Ausländer,Anzahl,37250
2016,"Russische Föderation",Ausländerinnen und Ausländer,Anzahl,21275
2016,"Spanien",Ausländerinnen und Ausländer,Anzahl,11770
2016,"Türkei",Ausländerinnen und Ausländer,Anzahl,90185
2016,"Ukraine",Ausländerinnen und Ausländer,Anzahl,10390
2016,"übrige europäische Staaten",Ausländerinnen und Ausländer,Anzahl,5
2016,"Europa insgesamt",Ausländerinnen und Ausländer,Anzahl,494310
2016,"übrige afrikanische Staaten",Ausländerinnen und Ausländer,Anzahl,3070
2016,"Afrika insgesamt",Ausländerinnen und Ausländer,Anzahl,34265
2016,"übrige amerikanische Staaten",Ausländerinnen und Ausländer,Anzahl,1115
2016,"Amerika insgesamt",Ausländerinnen und Ausländer,Anzahl,15115
2016,"Afghanistan",Ausländerinnen und Ausländer,Anzahl,19775
2016,"China",Ausländerinnen und Ausländer,Anzahl,8990
2016,"Indien",Ausländerinnen und Ausländer,Anzahl,4525
2016,"Irak",Ausländerinnen und Ausländer,Anzahl,32755
2016,"Iran, Islamische Republik",Ausländerinnen und Ausländer,Anzahl,8340
2016,"Syrien, Arabische Republik",Ausländerinnen und Ausländer,Anzahl,68005
2016,"Vietnam",Ausländerinnen und Ausländer,Anzahl,8360
2016,"übrige asiatische Staaten",Ausländerinnen und Ausländer,Anzahl,3120
2016,"Asien insgesamt",Ausländerinnen und Ausländer,Anzahl,189460
2016,"Australien und Ozeanien",Ausländerinnen und Ausländer,Anzahl,945
2016,"staatenlos",Ausländerinnen und Ausländer,Anzahl,2630
2016,"ungeklärt,oh.Angabe,unbekannt",Ausländerinnen und Ausländer,Anzahl,8410
2016,"Ausländer insgesamt",Ausländerinnen und Ausländer,Anzahl,745185
2015,"Bulgarien",Ausländerinnen und Ausländer,Anzahl,17304
2015,"Griechenland",Ausländerinnen und Ausländer,Anzahl,17522
2015,"Italien",Ausländerinnen und Ausländer,Anzahl,26951
2015,"Serbien (ohne Kosovo) ab 2008",Ausländerinnen und Ausländer,Anzahl,20129
2015,"Kroatien",Ausländerinnen und Ausländer,Anzahl,8505
2015,"Kosovo",Ausländerinnen und Ausländer,Anzahl,15971
2015,"Niederlande",Ausländerinnen und Ausländer,Anzahl,30377
2015,"Polen",Ausländerinnen und Ausländer,Anzahl,83950
2015,"Rumänien",Ausländerinnen und Ausländer,Anzahl,29065
2015,"Russische Föderation",Ausländerinnen und Ausländer,Anzahl,20388
2015,"Spanien",Ausländerinnen und Ausländer,Anzahl,11532
2015,"Türkei",Ausländerinnen und Ausländer,Anzahl,90914
2015,"Ukraine",Ausländerinnen und Ausländer,Anzahl,10295
2015,"übrige europäische Staaten",Ausländerinnen und Ausländer,Anzahl,5
2015,"Europa insgesamt",Ausländerinnen und Ausländer,Anzahl,478323
2015,"übrige afrikanische Staaten",Ausländerinnen und Ausländer,Anzahl,2232
2015,"Afrika insgesamt",Ausländerinnen und Ausländer,Anzahl,29314
2015,"übrige amerikanische Staaten",Ausländerinnen und Ausländer,Anzahl,1034
2015,"Amerika insgesamt",Ausländerinnen und Ausländer,Anzahl,14766
2015,"Afghanistan",Ausländerinnen und Ausländer,Anzahl,9085
2015,"China",Ausländerinnen und Ausländer,Anzahl,8348
2015,"Indien",Ausländerinnen und Ausländer,Anzahl,4102
2015,"Irak",Ausländerinnen und Ausländer,Anzahl,17474
2015,"Iran, Islamische Republik",Ausländerinnen und Ausländer,Anzahl,6326
2015,"Syrien, Arabische Republik",Ausländerinnen und Ausländer,Anzahl,41324
2015,"Vietnam",Ausländerinnen und Ausländer,Anzahl,8165
2015,"übrige asiatische Staaten",Ausländerinnen und Ausländer,Anzahl,2931
2015,"Asien insgesamt",Ausländerinnen und Ausländer,Anzahl,130614
2015,"Australien und Ozeanien",Ausländerinnen und Ausländer,Anzahl,952
2015,"staatenlos",Ausländerinnen und Ausländer,Anzahl,2082
2015,"ungeklärt,oh.Angabe,unbekannt",Ausländerinnen und Ausländer,Anzahl,7720
2015,"Ausländer insgesamt",Ausländerinnen und Ausländer,Anzahl,663817
2014,"Bulgarien",Ausländerinnen und Ausländer,Anzahl,13006
2014,"Griechenland",Ausländerinnen und Ausländer,Anzahl,16895
2014,"Italien",Ausländerinnen und Ausländer,Anzahl,25773
2014,"Serbien (ohne Kosovo) ab 2008",Ausländerinnen und Ausländer,Anzahl,18596
2014,"Kroatien",Ausländerinnen und Ausländer,Anzahl,7429
2014,"Kosovo",Ausländerinnen und Ausländer,Anzahl,13974
2014,"Niederlande",Ausländerinnen und Ausländer,Anzahl,30232
2014,"Polen",Ausländerinnen und Ausländer,Anzahl,75160
2014,"Rumänien",Ausländerinnen und Ausländer,Anzahl,21893
2014,"Russische Föderation",Ausländerinnen und Ausländer,Anzahl,19594
2014,"Spanien",Ausländerinnen und Ausländer,Anzahl,10942
2014,"Türkei",Ausländerinnen und Ausländer,Anzahl,92271
2014,"Ukraine",Ausländerinnen und Ausländer,Anzahl,10200
2014,"übrige europäische Staaten",Ausländerinnen und Ausländer,Anzahl,6
2014,"Europa insgesamt",Ausländerinnen und Ausländer,Anzahl,438412
2014,"übrige afrikanische Staaten",Ausländerinnen und Ausländer,Anzahl,2035
2014,"Afrika insgesamt",Ausländerinnen und Ausländer,Anzahl,20813
2014,"übrige amerikanische Staaten",Ausländerinnen und Ausländer,Anzahl,983
2014,"Amerika insgesamt",Ausländerinnen und Ausländer,Anzahl,14015
2014,"Afghanistan",Ausländerinnen und Ausländer,Anzahl,4519
2014,"China",Ausländerinnen und Ausländer,Anzahl,7487
2014,"Indien",Ausländerinnen und Ausländer,Anzahl,3603
2014,"Irak",Ausländerinnen und Ausländer,Anzahl,10076
2014,"Iran, Islamische Republik",Ausländerinnen und Ausländer,Anzahl,5348
2014,"Syrien, Arabische Republik",Ausländerinnen und Ausländer,Anzahl,17013
2014,"Vietnam",Ausländerinnen und Ausländer,Anzahl,8051
2014,"übrige asiatische Staaten",Ausländerinnen und Ausländer,Anzahl,2828
2014,"Asien insgesamt",Ausländerinnen und Ausländer,Anzahl,89166
2014,"Australien und Ozeanien",Ausländerinnen und Ausländer,Anzahl,969
2014,"staatenlos",Ausländerinnen und Ausländer,Anzahl,1814
2014,"ungeklärt,oh.Angabe,unbekannt",Ausländerinnen und Ausländer,Anzahl,5754
2014,"Ausländer insgesamt",Ausländerinnen und Ausländer,Anzahl,570988
2013,"Bulgarien",Ausländerinnen und Ausländer,Anzahl,9641
2013,"Griechenland",Ausländerinnen und Ausländer,Anzahl,16257
2013,"Italien",Ausländerinnen und Ausländer,Anzahl,24509
2013,"Serbien (ohne Kosovo) ab 2008",Ausländerinnen und Ausländer,Anzahl,16956
2013,"Kroatien",Ausländerinnen und Ausländer,Anzahl,6823
2013,"Kosovo",Ausländerinnen und Ausländer,Anzahl,12862
2013,"Niederlande",Ausländerinnen und Ausländer,Anzahl,30260
2013,"Polen",Ausländerinnen und Ausländer,Anzahl,65850
2013,"Rumänien",Ausländerinnen und Ausländer,Anzahl,15614
2013,"Russische Föderation",Ausländerinnen und Ausländer,Anzahl,19399
2013,"Spanien",Ausländerinnen und Ausländer,Anzahl,10389
2013,"Türkei",Ausländerinnen und Ausländer,Anzahl,93726
2013,"Ukraine",Ausländerinnen und Ausländer,Anzahl,9884
2013,"übrige europäische Staaten",Ausländerinnen und Ausländer,Anzahl,6
2013,"Europa insgesamt",Ausländerinnen und Ausländer,Anzahl,408227
2013,"übrige afrikanische Staaten",Ausländerinnen und Ausländer,Anzahl,1826
2013,"Afrika insgesamt",Ausländerinnen und Ausländer,Anzahl,17408
2013,"übrige amerikanische Staaten",Ausländerinnen und Ausländer,Anzahl,965
2013,"Amerika insgesamt",Ausländerinnen und Ausländer,Anzahl,13537
2013,"Afghanistan",Ausländerinnen und Ausländer,Anzahl,3982
2013,"China",Ausländerinnen und Ausländer,Anzahl,6880
2013,"Indien",Ausländerinnen und Ausländer,Anzahl,3257
2013,"Irak",Ausländerinnen und Ausländer,Anzahl,9544
2013,"Iran, Islamische Republik",Ausländerinnen und Ausländer,Anzahl,5294
2013,"Syrien, Arabische Republik",Ausländerinnen und Ausländer,Anzahl,9582
2013,"Vietnam",Ausländerinnen und Ausländer,Anzahl,8076
2013,"übrige asiatische Staaten",Ausländerinnen und Ausländer,Anzahl,2833
2013,"Asien insgesamt",Ausländerinnen und Ausländer,Anzahl,78630
2013,"Australien und Ozeanien",Ausländerinnen und Ausländer,Anzahl,982
2013,"staatenlos",Ausländerinnen und Ausländer,Anzahl,1707
2013,"ungeklärt,oh.Angabe,unbekannt",Ausländerinnen und Ausländer,Anzahl,5148
2013,"Ausländer insgesamt",Ausländerinnen und Ausländer,Anzahl,525689
2012,"Bulgarien",Ausländerinnen und Ausländer,Anzahl,7755
2012,"Griechenland",Ausländerinnen und Ausländer,Anzahl,15427
2012,"Italien",Ausländerinnen und Ausländer,Anzahl,23272
2012,"Serbien (ohne Kosovo) ab 2008",Ausländerinnen und Ausländer,Anzahl,17460
2012,"Kroatien",Ausländerinnen und Ausländer,Anzahl,6495
2012,"Kosovo",Ausländerinnen und Ausländer,Anzahl,11483
2012,"Niederlande",Ausländerinnen und Ausländer,Anzahl,30048
2012,"Polen",Ausländerinnen und Ausländer,Anzahl,56054
2012,"Rumänien",Ausländerinnen und Ausländer,Anzahl,12237
2012,"Russische Föderation",Ausländerinnen und Ausländer,Anzahl,18118
2012,"Spanien",Ausländerinnen und Ausländer,Anzahl,9238
2012,"Türkei",Ausländerinnen und Ausländer,Anzahl,95470
2012,"Ukraine",Ausländerinnen und Ausländer,Anzahl,9974
2012,"übrige europäische Staaten",Ausländerinnen und Ausländer,Anzahl,6
2012,"Europa insgesamt",Ausländerinnen und Ausländer,Anzahl,383316
2012,"übrige afrikanische Staaten",Ausländerinnen und Ausländer,Anzahl,1492
2012,"Afrika insgesamt",Ausländerinnen und Ausländer,Anzahl,14464
2012,"übrige amerikanische Staaten",Ausländerinnen und Ausländer,Anzahl,920
2012,"Amerika insgesamt",Ausländerinnen und Ausländer,Anzahl,12960
2012,"Afghanistan",Ausländerinnen und Ausländer,Anzahl,3610
2012,"China",Ausländerinnen und Ausländer,Anzahl,6161
2012,"Indien",Ausländerinnen und Ausländer,Anzahl,2841
2012,"Irak",Ausländerinnen und Ausländer,Anzahl,9379
2012,"Iran, Islamische Republik",Ausländerinnen und Ausländer,Anzahl,4766
2012,"Syrien, Arabische Republik",Ausländerinnen und Ausländer,Anzahl,7200
2012,"Vietnam",Ausländerinnen und Ausländer,Anzahl,8303
2012,"übrige asiatische Staaten",Ausländerinnen und Ausländer,Anzahl,2666
2012,"Asien insgesamt",Ausländerinnen und Ausländer,Anzahl,73247
2012,"Australien und Ozeanien",Ausländerinnen und Ausländer,Anzahl,924
2012,"staatenlos",Ausländerinnen und Ausländer,Anzahl,1694
2012,"ungeklärt,oh.Angabe,unbekannt",Ausländerinnen und Ausländer,Anzahl,5405
2012,"Ausländer insgesamt",Ausländerinnen und Ausländer,Anzahl,492072
2011,"Bulgarien",Ausländerinnen und Ausländer,Anzahl,6136
2011,"Griechenland",Ausländerinnen und Ausländer,Anzahl,14785
2011,"Italien",Ausländerinnen und Ausländer,Anzahl,22676
2011,"Serbien (ohne Kosovo) ab 2008",Ausländerinnen und Ausländer,Anzahl,17706
2011,"Kroatien",Ausländerinnen und Ausländer,Anzahl,6301
2011,"Kosovo",Ausländerinnen und Ausländer,Anzahl,10768
2011,"Niederlande",Ausländerinnen und Ausländer,Anzahl,29954
2011,"Polen",Ausländerinnen und Ausländer,Anzahl,47640
2011,"Rumänien",Ausländerinnen und Ausländer,Anzahl,9101
2011,"Russische Föderation",Ausländerinnen und Ausländer,Anzahl,17813
2011,"Spanien",Ausländerinnen und Ausländer,Anzahl,8681
2011,"Türkei",Ausländerinnen und Ausländer,Anzahl,97814
2011,"Ukraine",Ausländerinnen und Ausländer,Anzahl,10136
2011,"übrige europäische Staaten",Ausländerinnen und Ausländer,Anzahl,17
2011,"Europa insgesamt",Ausländerinnen und Ausländer,Anzahl,365424
2011,"übrige afrikanische Staaten",Ausländerinnen und Ausländer,Anzahl,1510
2011,"Afrika insgesamt",Ausländerinnen und Ausländer,Anzahl,13777
2011,"übrige amerikanische Staaten",Ausländerinnen und Ausländer,Anzahl,882
2011,"Amerika insgesamt",Ausländerinnen und Ausländer,Anzahl,12418
2011,"Afghanistan",Ausländerinnen und Ausländer,Anzahl,3314
2011,"China",Ausländerinnen und Ausländer,Anzahl,5581
2011,"Indien",Ausländerinnen und Ausländer,Anzahl,2602
2011,"Irak",Ausländerinnen und Ausländer,Anzahl,9326
2011,"Iran, Islamische Republik",Ausländerinnen und Ausländer,Anzahl,4422
2011,"Syrien, Arabische Republik",Ausländerinnen und Ausländer,Anzahl,6111
2011,"Vietnam",Ausländerinnen und Ausländer,Anzahl,8843
2011,"übrige asiatische Staaten",Ausländerinnen und Ausländer,Anzahl,3137
2011,"Asien insgesamt",Ausländerinnen und Ausländer,Anzahl,71230
2011,"Australien und Ozeanien",Ausländerinnen und Ausländer,Anzahl,896
2011,"staatenlos",Ausländerinnen und Ausländer,Anzahl,1676
