Year,Geschlecht,Rechtskreis,Migrationsstatus,Migrationserfahrung,Units,Value
2019,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,,Anzahl,54842
2019,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,,Anzahl,21394
2018,männlich,Insgesamt,mit Migrationshintergrund,,Anzahl,42092
2018,weiblich,Insgesamt,mit Migrationshintergrund,,Anzahl,34169
2018,insgesamt,Insgesamt,mit Migrationshintergrund,,Anzahl,76262
2018,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,,Anzahl,59280
2018,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,,Anzahl,16982
2017,männlich,Insgesamt,mit Migrationshintergrund,,Anzahl,44084
2017,weiblich,Insgesamt,mit Migrationshintergrund,,Anzahl,35711
2017,insgesamt,Insgesamt,mit Migrationshintergrund,,Anzahl,79795
2017,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,,Anzahl,60614
2017,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,,Anzahl,19181
2016,männlich,Insgesamt,mit Migrationshintergrund,,Anzahl,41899
2016,weiblich,Insgesamt,mit Migrationshintergrund,,Anzahl,34050
2016,insgesamt,Insgesamt,mit Migrationshintergrund,,Anzahl,75950
2016,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,,Anzahl,58906
2016,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,,Anzahl,17044
2015,männlich,Insgesamt,mit Migrationshintergrund,,Anzahl,36687
2015,weiblich,Insgesamt,mit Migrationshintergrund,,Anzahl,32673
2015,insgesamt,Insgesamt,mit Migrationshintergrund,,Anzahl,69360
2015,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,,Anzahl,55175
2015,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,,Anzahl,14185
2014,männlich,Insgesamt,mit Migrationshintergrund,,Anzahl,35728
2014,weiblich,Insgesamt,mit Migrationshintergrund,,Anzahl,32263
2014,insgesamt,Insgesamt,mit Migrationshintergrund,,Anzahl,67991
2014,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,,Anzahl,52829
2014,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,,Anzahl,15162
2013,männlich,Insgesamt,mit Migrationshintergrund,,Anzahl,33945
2013,weiblich,Insgesamt,mit Migrationshintergrund,,Anzahl,30905
2013,insgesamt,Insgesamt,mit Migrationshintergrund,,Anzahl,64850
2013,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,,Anzahl,49154
2013,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,,Anzahl,15696
2023,männlich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,52714.6393656665
2023,weiblich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,53321.6332717649
2023,insgesamt,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,106036.272637434
2023,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,84200.8441515272
2023,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,21835.4284859074
2022,männlich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,48327.6537450756
2022,weiblich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,50137.1363469621
2022,insgesamt,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,98464.7900920346
2022,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,78079.9344552165
2022,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,20384.8556368217
2021,männlich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,40887.8233092949
2021,weiblich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,35575.6155487621
2021,insgesamt,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,76463.4388580554
2021,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,57382.6953735325
2021,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,19080.7434845241
2020,männlich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,41093.840530638
2020,weiblich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,33025.2649433979
2020,insgesamt,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,74119.1054740355
2020,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,53081.2674039863
2020,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,21037.8380700494
2019,männlich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,33210
2019,weiblich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,26851
2019,insgesamt,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,60061
2019,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,43477
2019,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,16584
2018,männlich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,32912
2018,weiblich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,27486
2018,insgesamt,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,60399
2018,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,47395
2018,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,13004
2017,männlich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,34440
2017,weiblich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,28764
2017,insgesamt,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,63204
2017,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,48524
2017,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,14680
2016,männlich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,32787
2016,weiblich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,27501
2016,insgesamt,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,60289
2016,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,47060
2016,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,13229
2015,männlich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,28778
2015,weiblich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,26360
2015,insgesamt,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,55138
2015,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,44028
2015,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,11110
2014,männlich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,27886
2014,weiblich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,26287
2014,insgesamt,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,54173
2014,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,42158
2014,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,12015
2013,männlich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,26387
2013,weiblich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,24952
2013,insgesamt,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,51339
2013,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,39109
2013,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Anzahl,12230
2023,männlich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,11975.1325253461
2023,weiblich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,9383.94681672215
2023,insgesamt,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,21359.0793420682
2023,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,15690.1558105696
2023,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,5668.92353149864
2022,männlich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,11339.7912801372
2022,weiblich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,8641.09168204817
2022,insgesamt,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,19980.8829621853
2022,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,14746.9701465857
2022,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,5233.91281559961
2021,männlich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,11071.5507181559
2021,weiblich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,7862.06400989289
2021,insgesamt,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,18933.6147280486
2021,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,13934.1005056664
2021,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,4999.51422238226
2020,männlich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,10774.2144474587
2020,weiblich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,7321.45602928792
2020,insgesamt,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,18095.6704767465
2020,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,12488.7811765409
2020,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,5606.88930020568
2019,männlich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,8388
2019,weiblich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,5742
2019,insgesamt,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,14130
2019,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,9845
2019,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,4285
2018,männlich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,8116
2018,weiblich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,5768
2018,insgesamt,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,13884
2018,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,10273
2018,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,3611
2017,männlich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,8523
2017,weiblich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,5995
2017,insgesamt,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,14518
2017,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,10378
2017,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,4140
2016,männlich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,8136
2016,weiblich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,5706
2016,insgesamt,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,13842
2016,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,10282
2016,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,3560
2015,männlich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,7173
2015,weiblich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,5514
2015,insgesamt,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,12687
2015,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,9749
2015,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,2938
2014,männlich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,7203
2014,weiblich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,5298
2014,insgesamt,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,12501
2014,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,9466
2014,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,3035
2013,männlich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,6983
2013,weiblich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,5355
2013,insgesamt,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,12338
2013,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,9000
2013,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Anzahl,3338
2023,männlich,Insgesamt,ohne Migrationshintergrund,,Prozent,51.145801967279
2023,weiblich,Insgesamt,ohne Migrationshintergrund,,Prozent,45.1175457132591
2023,insgesamt,Insgesamt,ohne Migrationshintergrund,,Prozent,48.3521889121154
2023,insgesamt,Rechtskreis SGB II3),ohne Migrationshintergrund,,Prozent,41.6065324554061
2023,insgesamt,Rechtskreis SGB III3),ohne Migrationshintergrund,,Prozent,63.6400262026374
2022,männlich,Insgesamt,ohne Migrationshintergrund,,Prozent,52.361466476246
2022,weiblich,Insgesamt,ohne Migrationshintergrund,,Prozent,45.6358829644788
2022,insgesamt,Insgesamt,ohne Migrationshintergrund,,Prozent,49.2443644455216
2022,insgesamt,Rechtskreis SGB II3),ohne Migrationshintergrund,,Prozent,42.2838734143239
2022,insgesamt,Rechtskreis SGB III3),ohne Migrationshintergrund,,Prozent,64.7276929503961
2021,männlich,Insgesamt,ohne Migrationshintergrund,,Prozent,56.3567447833842
2021,weiblich,Insgesamt,ohne Migrationshintergrund,,Prozent,54.0679946777508
2021,insgesamt,Insgesamt,ohne Migrationshintergrund,,Prozent,55.3408824370342
2021,insgesamt,Rechtskreis SGB II3),ohne Migrationshintergrund,,Prozent,49.7271961362039
2021,insgesamt,Rechtskreis SGB III3),ohne Migrationshintergrund,,Prozent,66.4923592961743
2020,männlich,Insgesamt,ohne Migrationshintergrund,,Prozent,57.4922815340914
2020,weiblich,Insgesamt,ohne Migrationshintergrund,,Prozent,56.4784555320739
2020,insgesamt,Insgesamt,ohne Migrationshintergrund,,Prozent,57.0535623443035
2020,insgesamt,Rechtskreis SGB II3),ohne Migrationshintergrund,,Prozent,50.6281425928176
2020,insgesamt,Rechtskreis SGB III3),ohne Migrationshintergrund,,Prozent,67.4920968959361
2019,männlich,Insgesamt,ohne Migrationshintergrund,,Prozent,55.09920676668
2019,weiblich,Insgesamt,ohne Migrationshintergrund,,Prozent,54.5477941674455
2019,insgesamt,Insgesamt,ohne Migrationshintergrund,,Prozent,54.8581545585353
2019,insgesamt,Rechtskreis SGB II3),ohne Migrationshintergrund,,Prozent,48.3849715770056
2019,insgesamt,Rechtskreis SGB III3),ohne Migrationshintergrund,,Prozent,65.8401060211723
2018,männlich,Insgesamt,ohne Migrationshintergrund,,Prozent,56.3949031389205
2018,weiblich,Insgesamt,ohne Migrationshintergrund,,Prozent,56.3720170073673
2018,insgesamt,Insgesamt,ohne Migrationshintergrund,,Prozent,56.3843294252216
2018,insgesamt,Rechtskreis SGB II3),ohne Migrationshintergrund,,Prozent,50.0257121420322
2018,insgesamt,Rechtskreis SGB III3),ohne Migrationshintergrund,,Prozent,69.7985025520639
2017,männlich,Insgesamt,ohne Migrationshintergrund,,Prozent,57.3886483142592
2017,weiblich,Insgesamt,ohne Migrationshintergrund,,Prozent,57.6296524803341
2017,insgesamt,Insgesamt,ohne Migrationshintergrund,,Prozent,57.4968440228189
2017,insgesamt,Rechtskreis SGB II3),ohne Migrationshintergrund,,Prozent,51.4637583677653
2017,insgesamt,Rechtskreis SGB III3),ohne Migrationshintergrund,,Prozent,69.4837323999682
2016,männlich,Insgesamt,ohne Migrationshintergrund,,Prozent,60.0349106725551
2016,weiblich,Insgesamt,ohne Migrationshintergrund,,Prozent,60.1502703461836
2016,insgesamt,Insgesamt,ohne Migrationshintergrund,,Prozent,60.0863962666723
2016,insgesamt,Rechtskreis SGB II3),ohne Migrationshintergrund,,Prozent,54.9579446398532
2016,insgesamt,Rechtskreis SGB III3),ohne Migrationshintergrund,,Prozent,71.357510167042
2015,männlich,Insgesamt,ohne Migrationshintergrund,,Prozent,64.120293398533
2015,weiblich,Insgesamt,ohne Migrationshintergrund,,Prozent,62.5657359562791
2015,insgesamt,Insgesamt,ohne Migrationshintergrund,,Prozent,63.4044035012742
2015,insgesamt,Rechtskreis SGB II3),ohne Migrationshintergrund,,Prozent,57.7740192552003
2015,insgesamt,Rechtskreis SGB III3),ohne Migrationshintergrund,,Prozent,75.9024887454345
2014,männlich,Insgesamt,ohne Migrationshintergrund,,Prozent,65.9985915224881
2014,weiblich,Insgesamt,ohne Migrationshintergrund,,Prozent,64.4343761712635
2014,insgesamt,Insgesamt,ohne Migrationshintergrund,,Prozent,65.2738620576939
2014,insgesamt,Rechtskreis SGB II3),ohne Migrationshintergrund,,Prozent,59.7097337573691
2014,insgesamt,Rechtskreis SGB III3),ohne Migrationshintergrund,,Prozent,76.5551792921093
2013,männlich,Insgesamt,ohne Migrationshintergrund,,Prozent,66.7961108067924
2013,weiblich,Insgesamt,ohne Migrationshintergrund,,Prozent,65.3488658915337
2013,insgesamt,Insgesamt,ohne Migrationshintergrund,,Prozent,66.1217943694788
2013,insgesamt,Rechtskreis SGB II3),ohne Migrationshintergrund,,Prozent,60.3452865959421
2013,insgesamt,Rechtskreis SGB III3),ohne Migrationshintergrund,,Prozent,76.7349479737942
2023,männlich,Insgesamt,mit Migrationshintergrund,,Prozent,48.854198032721
2023,weiblich,Insgesamt,mit Migrationshintergrund,,Prozent,54.8824542867409
2023,insgesamt,Insgesamt,mit Migrationshintergrund,,Prozent,51.6478110878846
2023,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,,Prozent,58.3934675445939
2023,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,,Prozent,36.3599737973626
2022,männlich,Insgesamt,mit Migrationshintergrund,,Prozent,47.638533523754
2022,weiblich,Insgesamt,mit Migrationshintergrund,,Prozent,54.3641170355212
2022,insgesamt,Insgesamt,mit Migrationshintergrund,,Prozent,50.7556355544784
2022,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,,Prozent,57.7161265856761
2022,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,,Prozent,35.2723070496039
