Year,Land der Staatsangehörigkeit,Kategorie,Value
WS 2020/21,"Iran, Islamische Republik",Ausländische Studierende (Frauen),538
WS 2020/21,"Staaten insgesamt",Ausländische Studierende (Frauen),10630
WS 2021/22,"China",Ausländische Studierende (Frauen),1618
WS 2021/22,"Indien",Ausländische Studierende (Frauen),493
WS 2021/22,"Syrien, Arab. Republik",Ausländische Studierende (Frauen),477
WS 2021/22,"Türkei",Ausländische Studierende (Frauen),925
WS 2021/22,"Iran, Islamische Republik",Ausländische Studierende (Frauen),599
WS 2021/22,"Staaten insgesamt",Ausländische Studierende (Frauen),10840
WS 2022/23,"China",Ausländische Studierende (Frauen),1451
WS 2022/23,"Indien",Ausländische Studierende (Frauen),606
WS 2022/23,"Syrien, Arab. Republik",Ausländische Studierende (Frauen),540
WS 2022/23,"Türkei",Ausländische Studierende (Frauen),901
WS 2022/23,"Iran, Islamische Republik",Ausländische Studierende (Frauen),680
WS 2022/23,"Staaten insgesamt",Ausländische Studierende (Frauen),11216
WS 2005/06,"China",Bildungsausländerinnen und Bildungsausländer (Insgesamt),2967
WS 2005/06,"Türkei",Bildungsausländerinnen und Bildungsausländer (Insgesamt),455
WS 2005/06,"Syrien, Arab. Republik",Bildungsausländerinnen und Bildungsausländer (Insgesamt),149
WS 2005/06,"Indien",Bildungsausländerinnen und Bildungsausländer (Insgesamt),270
WS 2005/06,"Iran, Islamische Republik",Bildungsausländerinnen und Bildungsausländer (Insgesamt),242
WS 2005/06,"Staaten insgesamt",Bildungsausländerinnen und Bildungsausländer (Insgesamt),14089
WS 2010/11,"China",Bildungsausländerinnen und Bildungsausländer (Insgesamt),2297
WS 2010/11,"Türkei",Bildungsausländerinnen und Bildungsausländer (Insgesamt),452
WS 2010/11,"Syrien, Arab. Republik",Bildungsausländerinnen und Bildungsausländer (Insgesamt),183
WS 2010/11,"Indien",Bildungsausländerinnen und Bildungsausländer (Insgesamt),273
WS 2010/11,"Iran, Islamische Republik",Bildungsausländerinnen und Bildungsausländer (Insgesamt),382
WS 2010/11,"Staaten insgesamt",Bildungsausländerinnen und Bildungsausländer (Insgesamt),11784
WS 2015/16,"China",Bildungsausländerinnen und Bildungsausländer (Insgesamt),3116
WS 2015/16,"Türkei",Bildungsausländerinnen und Bildungsausländer (Insgesamt),461
WS 2015/16,"Syrien, Arab. Republik",Bildungsausländerinnen und Bildungsausländer (Insgesamt),364
WS 2015/16,"Indien",Bildungsausländerinnen und Bildungsausländer (Insgesamt),630
WS 2015/16,"Iran, Islamische Republik",Bildungsausländerinnen und Bildungsausländer (Insgesamt),593
WS 2015/16,"Staaten insgesamt",Bildungsausländerinnen und Bildungsausländer (Insgesamt),14735
WS 2016/17,"China",Bildungsausländerinnen und Bildungsausländer (Insgesamt),3422
WS 2016/17,"Türkei",Bildungsausländerinnen und Bildungsausländer (Insgesamt),438
WS 2016/17,"Syrien, Arab. Republik",Bildungsausländerinnen und Bildungsausländer (Insgesamt),501
WS 2016/17,"Indien",Bildungsausländerinnen und Bildungsausländer (Insgesamt),701
WS 2016/17,"Iran, Islamische Republik",Bildungsausländerinnen und Bildungsausländer (Insgesamt),670
WS 2016/17,"Staaten insgesamt",Bildungsausländerinnen und Bildungsausländer (Insgesamt),16036
WS 2017/18,"China",Bildungsausländerinnen und Bildungsausländer (Insgesamt),3859
WS 2017/18,"Türkei",Bildungsausländerinnen und Bildungsausländer (Insgesamt),474
WS 2017/18,"Syrien, Arab. Republik",Bildungsausländerinnen und Bildungsausländer (Insgesamt),818
WS 2017/18,"Indien",Bildungsausländerinnen und Bildungsausländer (Insgesamt),832
WS 2017/18,"Iran, Islamische Republik",Bildungsausländerinnen und Bildungsausländer (Insgesamt),750
WS 2017/18,"Staaten insgesamt",Bildungsausländerinnen und Bildungsausländer (Insgesamt),17717
WS 2018/19,"China",Bildungsausländerinnen und Bildungsausländer (Insgesamt),4179
WS 2018/19,"Türkei",Bildungsausländerinnen und Bildungsausländer (Insgesamt),466
WS 2018/19,"Syrien, Arab. Republik",Bildungsausländerinnen und Bildungsausländer (Insgesamt),1168
WS 2018/19,"Indien",Bildungsausländerinnen und Bildungsausländer (Insgesamt),1057
WS 2018/19,"Iran, Islamische Republik",Bildungsausländerinnen und Bildungsausländer (Insgesamt),865
WS 2018/19,"Staaten insgesamt",Bildungsausländerinnen und Bildungsausländer (Insgesamt),19186
WS 2019/20,"China",Bildungsausländerinnen und Bildungsausländer (Insgesamt),4258
WS 2019/20,"Türkei",Bildungsausländerinnen und Bildungsausländer (Insgesamt),518
WS 2019/20,"Syrien, Arab. Republik",Bildungsausländerinnen und Bildungsausländer (Insgesamt),1457
WS 2019/20,"Indien",Bildungsausländerinnen und Bildungsausländer (Insgesamt),1334
WS 2019/20,"Iran, Islamische Republik",Bildungsausländerinnen und Bildungsausländer (Insgesamt),974
WS 2019/20,"Staaten insgesamt",Bildungsausländerinnen und Bildungsausländer (Insgesamt),20594
WS 2020/21,"China",Bildungsausländerinnen und Bildungsausländer (Insgesamt),4157
WS 2020/21,"Türkei",Bildungsausländerinnen und Bildungsausländer (Insgesamt),518
WS 2020/21,"Syrien, Arab. Republik",Bildungsausländerinnen und Bildungsausländer (Insgesamt),1528
WS 2020/21,"Indien",Bildungsausländerinnen und Bildungsausländer (Insgesamt),1493
WS 2020/21,"Iran, Islamische Republik",Bildungsausländerinnen und Bildungsausländer (Insgesamt),1062
WS 2020/21,"Staaten insgesamt",Bildungsausländerinnen und Bildungsausländer (Insgesamt),20647
WS 2021/22,"China",Bildungsausländerinnen und Bildungsausländer (Insgesamt),3802
WS 2021/22,"Indien",Bildungsausländerinnen und Bildungsausländer (Insgesamt),1673
WS 2021/22,"Syrien, Arab. Republik",Bildungsausländerinnen und Bildungsausländer (Insgesamt),1521
WS 2021/22,"Türkei",Bildungsausländerinnen und Bildungsausländer (Insgesamt),670
WS 2021/22,"Iran, Islamische Republik",Bildungsausländerinnen und Bildungsausländer (Insgesamt),1140
WS 2021/22,"Staaten insgesamt",Bildungsausländerinnen und Bildungsausländer (Insgesamt),20996
WS 2022/23,"China",Bildungsausländerinnen und Bildungsausländer (Insgesamt),3392
WS 2022/23,"Indien",Bildungsausländerinnen und Bildungsausländer (Insgesamt),1939
WS 2022/23,"Syrien, Arab. Republik",Bildungsausländerinnen und Bildungsausländer (Insgesamt),1422
WS 2022/23,"Türkei",Bildungsausländerinnen und Bildungsausländer (Insgesamt),758
WS 2022/23,"Iran, Islamische Republik",Bildungsausländerinnen und Bildungsausländer (Insgesamt),1254
WS 2022/23,"Staaten insgesamt",Bildungsausländerinnen und Bildungsausländer (Insgesamt),21235
WS 2005/06,"China",Bildungsausländerinnen und Bildungsausländer (Männer),1636
WS 2005/06,"Türkei",Bildungsausländerinnen und Bildungsausländer (Männer),332
WS 2005/06,"Syrien, Arab. Republik",Bildungsausländerinnen und Bildungsausländer (Männer),118
WS 2005/06,"Indien",Bildungsausländerinnen und Bildungsausländer (Männer),208
WS 2005/06,"Iran, Islamische Republik",Bildungsausländerinnen und Bildungsausländer (Männer),128
WS 2005/06,"Staaten insgesamt",Bildungsausländerinnen und Bildungsausländer (Männer),7164
WS 2010/11,"China",Bildungsausländerinnen und Bildungsausländer (Männer),1284
WS 2010/11,"Türkei",Bildungsausländerinnen und Bildungsausländer (Männer),295
WS 2010/11,"Syrien, Arab. Republik",Bildungsausländerinnen und Bildungsausländer (Männer),134
WS 2010/11,"Indien",Bildungsausländerinnen und Bildungsausländer (Männer),180
WS 2010/11,"Iran, Islamische Republik",Bildungsausländerinnen und Bildungsausländer (Männer),209
WS 2010/11,"Staaten insgesamt",Bildungsausländerinnen und Bildungsausländer (Männer),6067
WS 2015/16,"China",Bildungsausländerinnen und Bildungsausländer (Männer),1743
WS 2015/16,"Türkei",Bildungsausländerinnen und Bildungsausländer (Männer),283
WS 2015/16,"Syrien, Arab. Republik",Bildungsausländerinnen und Bildungsausländer (Männer),277
WS 2015/16,"Indien",Bildungsausländerinnen und Bildungsausländer (Männer),431
WS 2015/16,"Iran, Islamische Republik",Bildungsausländerinnen und Bildungsausländer (Männer),317
WS 2015/16,"Staaten insgesamt",Bildungsausländerinnen und Bildungsausländer (Männer),8039
WS 2016/17,"China",Bildungsausländerinnen und Bildungsausländer (Männer),1885
WS 2016/17,"Türkei",Bildungsausländerinnen und Bildungsausländer (Männer),254
WS 2016/17,"Syrien, Arab. Republik",Bildungsausländerinnen und Bildungsausländer (Männer),400
WS 2016/17,"Indien",Bildungsausländerinnen und Bildungsausländer (Männer),493
WS 2016/17,"Iran, Islamische Republik",Bildungsausländerinnen und Bildungsausländer (Männer),344
WS 2016/17,"Staaten insgesamt",Bildungsausländerinnen und Bildungsausländer (Männer),8913
WS 2017/18,"China",Bildungsausländerinnen und Bildungsausländer (Männer),2187
WS 2017/18,"Türkei",Bildungsausländerinnen und Bildungsausländer (Männer),272
WS 2017/18,"Syrien, Arab. Republik",Bildungsausländerinnen und Bildungsausländer (Männer),671
WS 2017/18,"Indien",Bildungsausländerinnen und Bildungsausländer (Männer),606
WS 2017/18,"Iran, Islamische Republik",Bildungsausländerinnen und Bildungsausländer (Männer),384
WS 2017/18,"Staaten insgesamt",Bildungsausländerinnen und Bildungsausländer (Männer),10036
WS 2018/19,"China",Bildungsausländerinnen und Bildungsausländer (Männer),2405
WS 2018/19,"Türkei",Bildungsausländerinnen und Bildungsausländer (Männer),281
WS 2018/19,"Syrien, Arab. Republik",Bildungsausländerinnen und Bildungsausländer (Männer),948
WS 2018/19,"Indien",Bildungsausländerinnen und Bildungsausländer (Männer),810
WS 2018/19,"Iran, Islamische Republik",Bildungsausländerinnen und Bildungsausländer (Männer),460
WS 2018/19,"Staaten insgesamt",Bildungsausländerinnen und Bildungsausländer (Männer),11160
WS 2019/20,"China",Bildungsausländerinnen und Bildungsausländer (Männer),2478
WS 2019/20,"Türkei",Bildungsausländerinnen und Bildungsausländer (Männer),303
WS 2019/20,"Syrien, Arab. Republik",Bildungsausländerinnen und Bildungsausländer (Männer),1157
WS 2019/20,"Indien",Bildungsausländerinnen und Bildungsausländer (Männer),1005
WS 2019/20,"Iran, Islamische Republik",Bildungsausländerinnen und Bildungsausländer (Männer),518
WS 2019/20,"Staaten insgesamt",Bildungsausländerinnen und Bildungsausländer (Männer),12113
WS 2020/21,"China",Bildungsausländerinnen und Bildungsausländer (Männer),2451
WS 2020/21,"Türkei",Bildungsausländerinnen und Bildungsausländer (Männer),310
WS 2020/21,"Syrien, Arab. Republik",Bildungsausländerinnen und Bildungsausländer (Männer),1199
WS 2020/21,"Indien",Bildungsausländerinnen und Bildungsausländer (Männer),1074
WS 2020/21,"Iran, Islamische Republik",Bildungsausländerinnen und Bildungsausländer (Männer),554
WS 2020/21,"Staaten insgesamt",Bildungsausländerinnen und Bildungsausländer (Männer),12329
WS 2021/22,"China",Bildungsausländerinnen und Bildungsausländer (Männer),2237
WS 2021/22,"Indien",Bildungsausländerinnen und Bildungsausländer (Männer),1187
WS 2021/22,"Syrien, Arab. Republik",Bildungsausländerinnen und Bildungsausländer (Männer),1184
WS 2021/22,"Türkei",Bildungsausländerinnen und Bildungsausländer (Männer),365
WS 2021/22,"Iran, Islamische Republik",Bildungsausländerinnen und Bildungsausländer (Männer),578
WS 2021/22,"Staaten insgesamt",Bildungsausländerinnen und Bildungsausländer (Männer),12332
WS 2022/23,"China",Bildungsausländerinnen und Bildungsausländer (Männer),2005
WS 2022/23,"Indien",Bildungsausländerinnen und Bildungsausländer (Männer),1342
WS 2022/23,"Syrien, Arab. Republik",Bildungsausländerinnen und Bildungsausländer (Männer),1087
WS 2022/23,"Türkei",Bildungsausländerinnen und Bildungsausländer (Männer),407
WS 2022/23,"Iran, Islamische Republik",Bildungsausländerinnen und Bildungsausländer (Männer),611
WS 2022/23,"Staaten insgesamt",Bildungsausländerinnen und Bildungsausländer (Männer),12267
WS 2005/06,"China",Bildungsausländerinnen und Bildungsausländer (Frauen),1331
WS 2005/06,"Türkei",Bildungsausländerinnen und Bildungsausländer (Frauen),123
WS 2005/06,"Syrien, Arab. Republik",Bildungsausländerinnen und Bildungsausländer (Frauen),31
WS 2005/06,"Indien",Bildungsausländerinnen und Bildungsausländer (Frauen),62
WS 2005/06,"Iran, Islamische Republik",Bildungsausländerinnen und Bildungsausländer (Frauen),114
WS 2005/06,"Staaten insgesamt",Bildungsausländerinnen und Bildungsausländer (Frauen),6925
WS 2010/11,"China",Bildungsausländerinnen und Bildungsausländer (Frauen),1013
WS 2010/11,"Türkei",Bildungsausländerinnen und Bildungsausländer (Frauen),157
WS 2010/11,"Syrien, Arab. Republik",Bildungsausländerinnen und Bildungsausländer (Frauen),49
WS 2010/11,"Indien",Bildungsausländerinnen und Bildungsausländer (Frauen),93
WS 2010/11,"Iran, Islamische Republik",Bildungsausländerinnen und Bildungsausländer (Frauen),173
WS 2010/11,"Staaten insgesamt",Bildungsausländerinnen und Bildungsausländer (Frauen),5717
WS 2015/16,"China",Bildungsausländerinnen und Bildungsausländer (Frauen),1373
WS 2015/16,"Türkei",Bildungsausländerinnen und Bildungsausländer (Frauen),178
WS 2015/16,"Syrien, Arab. Republik",Bildungsausländerinnen und Bildungsausländer (Frauen),87
WS 2015/16,"Indien",Bildungsausländerinnen und Bildungsausländer (Frauen),199
WS 2015/16,"Iran, Islamische Republik",Bildungsausländerinnen und Bildungsausländer (Frauen),276
WS 2015/16,"Staaten insgesamt",Bildungsausländerinnen und Bildungsausländer (Frauen),6696
WS 2016/17,"China",Bildungsausländerinnen und Bildungsausländer (Frauen),1537
WS 2016/17,"Türkei",Bildungsausländerinnen und Bildungsausländer (Frauen),184
WS 2016/17,"Syrien, Arab. Republik",Bildungsausländerinnen und Bildungsausländer (Frauen),101
WS 2016/17,"Indien",Bildungsausländerinnen und Bildungsausländer (Frauen),208
WS 2016/17,"Iran, Islamische Republik",Bildungsausländerinnen und Bildungsausländer (Frauen),326
WS 2016/17,"Staaten insgesamt",Bildungsausländerinnen und Bildungsausländer (Frauen),7123
WS 2017/18,"China",Bildungsausländerinnen und Bildungsausländer (Frauen),1672
WS 2017/18,"Türkei",Bildungsausländerinnen und Bildungsausländer (Frauen),202
WS 2017/18,"Syrien, Arab. Republik",Bildungsausländerinnen und Bildungsausländer (Frauen),147
WS 2017/18,"Indien",Bildungsausländerinnen und Bildungsausländer (Frauen),226
WS 2017/18,"Iran, Islamische Republik",Bildungsausländerinnen und Bildungsausländer (Frauen),366
WS 2017/18,"Staaten insgesamt",Bildungsausländerinnen und Bildungsausländer (Frauen),7681
WS 2018/19,"China",Bildungsausländerinnen und Bildungsausländer (Frauen),1774
WS 2018/19,"Türkei",Bildungsausländerinnen und Bildungsausländer (Frauen),185
WS 2018/19,"Syrien, Arab. Republik",Bildungsausländerinnen und Bildungsausländer (Frauen),220
WS 2018/19,"Indien",Bildungsausländerinnen und Bildungsausländer (Frauen),247
WS 2018/19,"Iran, Islamische Republik",Bildungsausländerinnen und Bildungsausländer (Frauen),405
WS 2018/19,"Staaten insgesamt",Bildungsausländerinnen und Bildungsausländer (Frauen),8026
WS 2019/20,"China",Bildungsausländerinnen und Bildungsausländer (Frauen),1780
WS 2019/20,"Türkei",Bildungsausländerinnen und Bildungsausländer (Frauen),215
WS 2019/20,"Syrien, Arab. Republik",Bildungsausländerinnen und Bildungsausländer (Frauen),300
WS 2019/20,"Indien",Bildungsausländerinnen und Bildungsausländer (Frauen),329
WS 2019/20,"Iran, Islamische Republik",Bildungsausländerinnen und Bildungsausländer (Frauen),456
WS 2019/20,"Staaten insgesamt",Bildungsausländerinnen und Bildungsausländer (Frauen),8481
WS 2020/21,"China",Bildungsausländerinnen und Bildungsausländer (Frauen),1706
WS 2020/21,"Türkei",Bildungsausländerinnen und Bildungsausländer (Frauen),208
WS 2020/21,"Syrien, Arab. Republik",Bildungsausländerinnen und Bildungsausländer (Frauen),329
WS 2020/21,"Indien",Bildungsausländerinnen und Bildungsausländer (Frauen),419
WS 2020/21,"Iran, Islamische Republik",Bildungsausländerinnen und Bildungsausländer (Frauen),508
WS 2020/21,"Staaten insgesamt",Bildungsausländerinnen und Bildungsausländer (Frauen),8318
WS 2021/22,"China",Bildungsausländerinnen und Bildungsausländer (Frauen),1565
WS 2021/22,"Indien",Bildungsausländerinnen und Bildungsausländer (Frauen),486
