Year,Gebietseinheit,Geschlecht,Units,GeoCode,Value
2023,"Diepholz",männlich,Jahre,RH03251,34
2023,"Diepholz",weiblich,Jahre,RH03251,35.5
2023,"Hameln-Pyrmont",insgesamt,Jahre,RH03252,34.7
2023,"Hameln-Pyrmont",männlich,Jahre,RH03252,35.4
2023,"Hameln-Pyrmont",weiblich,Jahre,RH03252,36.7
2023,"Hildesheim",insgesamt,Jahre,RH03254,36
2023,"Hildesheim",männlich,Jahre,RH03254,34.5
2023,"Hildesheim",weiblich,Jahre,RH03254,36.7
2023,"Holzminden",insgesamt,Jahre,RH03255,35.6
2023,"Holzminden",männlich,Jahre,RH03255,34.9
2023,"Holzminden",weiblich,Jahre,RH03255,37.5
2023,"Nienburg (Weser)",insgesamt,Jahre,RH03256,36.1
2023,"Nienburg (Weser)",männlich,Jahre,RH03256,33.8
2023,"Nienburg (Weser)",weiblich,Jahre,RH03256,34.5
2023,"Schaumburg",insgesamt,Jahre,RH03257,34.1
2023,"Schaumburg",männlich,Jahre,RH03257,35.6
2023,"Schaumburg",weiblich,Jahre,RH03257,37.1
2023,"Statistische Region Hannover",insgesamt,Jahre,RH032,36.3
2023,"Statistische Region Hannover",männlich,Jahre,RH032,36.5
2023,"Statistische Region Hannover",weiblich,Jahre,RH032,38
2023,"Celle",insgesamt,Jahre,RH03351,37.2
2023,"Celle",männlich,Jahre,RH03351,34.9
2023,"Celle",weiblich,Jahre,RH03351,35.7
2023,"Cuxhaven",insgesamt,Jahre,RH03352,35.3
2023,"Cuxhaven",männlich,Jahre,RH03352,35.3
2023,"Cuxhaven",weiblich,Jahre,RH03352,37.4
2023,"Harburg",insgesamt,Jahre,RH03353,36.3
2023,"Harburg",männlich,Jahre,RH03353,35.8
2023,"Harburg",weiblich,Jahre,RH03353,38
2023,"Lüchow-Dannenberg",insgesamt,Jahre,RH03354,36.7
2023,"Lüchow-Dannenberg",männlich,Jahre,RH03354,34.4
2023,"Lüchow-Dannenberg",weiblich,Jahre,RH03354,36.1
2023,"Lüneburg",insgesamt,Jahre,RH03355,35.3
2023,"Lüneburg",männlich,Jahre,RH03355,34.2
2023,"Lüneburg",weiblich,Jahre,RH03355,34.8
2023,"Osterholz",insgesamt,Jahre,RH03356,34.5
2023,"Osterholz",männlich,Jahre,RH03356,33.7
2023,"Osterholz",weiblich,Jahre,RH03356,35.7
2023,"Rotenburg (Wümme)",insgesamt,Jahre,RH03357,34.7
2023,"Rotenburg (Wümme)",männlich,Jahre,RH03357,34.9
2023,"Rotenburg (Wümme)",weiblich,Jahre,RH03357,35.3
2023,"Heidekreis",insgesamt,Jahre,RH03358,35.1
2023,"Heidekreis",männlich,Jahre,RH03358,34.5
2023,"Heidekreis",weiblich,Jahre,RH03358,35.8
2023,"Stade",insgesamt,Jahre,RH03359,35.1
2023,"Stade",männlich,Jahre,RH03359,33.9
2023,"Stade",weiblich,Jahre,RH03359,34.9
2023,"Uelzen",insgesamt,Jahre,RH03360,34.4
2023,"Uelzen",männlich,Jahre,RH03360,33.7
2023,"Uelzen",weiblich,Jahre,RH03360,35.4
2023,"Verden",insgesamt,Jahre,RH03361,34.6
2023,"Verden",männlich,Jahre,RH03361,35
2023,"Verden",weiblich,Jahre,RH03361,36.2
2023,"Statistische Region Lüneburg",insgesamt,Jahre,RH033,35.6
2023,"Statistische Region Lüneburg",männlich,Jahre,RH033,34.8
2023,"Statistische Region Lüneburg",weiblich,Jahre,RH033,36
2023,"Delmenhorst, Stadt",insgesamt,Jahre,RH03401,35.3
2023,"Delmenhorst, Stadt",männlich,Jahre,RH03401,34
2023,"Delmenhorst, Stadt",weiblich,Jahre,RH03401,34.9
2023,"Emden, Stadt",insgesamt,Jahre,RH03402,34.5
2023,"Emden, Stadt",männlich,Jahre,RH03402,32.9
2023,"Emden, Stadt",weiblich,Jahre,RH03402,32.7
2023,"Oldenburg (Oldb), Stadt",insgesamt,Jahre,RH03403,32.8
2023,"Oldenburg (Oldb), Stadt",männlich,Jahre,RH03403,32.6
2023,"Oldenburg (Oldb), Stadt",weiblich,Jahre,RH03403,34.3
2023,"Osnabrück, Stadt",insgesamt,Jahre,RH03404,33.4
2023,"Osnabrück, Stadt",männlich,Jahre,RH03404,35.6
2023,"Osnabrück, Stadt",weiblich,Jahre,RH03404,36.8
2023,"Wilhelmshaven, Stadt",insgesamt,Jahre,RH03405,36.1
2023,"Wilhelmshaven, Stadt",männlich,Jahre,RH03405,31.9
2023,"Wilhelmshaven, Stadt",weiblich,Jahre,RH03405,33.4
2023,"Ammerland",insgesamt,Jahre,RH03451,32.5
2023,"Ammerland",männlich,Jahre,RH03451,33.9
2023,"Ammerland",weiblich,Jahre,RH03451,35
2023,"Aurich",insgesamt,Jahre,RH03452,34.4
2023,"Aurich",männlich,Jahre,RH03452,33.3
2023,"Aurich",weiblich,Jahre,RH03452,34.8
2023,"Cloppenburg",insgesamt,Jahre,RH03453,34
2023,"Cloppenburg",männlich,Jahre,RH03453,33.3
2023,"Cloppenburg",weiblich,Jahre,RH03453,33.3
2023,"Emsland",insgesamt,Jahre,RH03454,33.3
2023,"Emsland",männlich,Jahre,RH03454,35.7
2023,"Emsland",weiblich,Jahre,RH03454,34.8
2023,"Friesland",insgesamt,Jahre,RH03455,35.3
2023,"Friesland",männlich,Jahre,RH03455,33.4
2023,"Friesland",weiblich,Jahre,RH03455,35
2023,"Grafschaft Bentheim",insgesamt,Jahre,RH03456,34.2
2023,"Grafschaft Bentheim",männlich,Jahre,RH03456,40.8
2023,"Grafschaft Bentheim",weiblich,Jahre,RH03456,40.7
2023,"Leer",insgesamt,Jahre,RH03457,40.7
2023,"Leer",männlich,Jahre,RH03457,34.1
2023,"Leer",weiblich,Jahre,RH03457,34.8
2023,"Oldenburg",insgesamt,Jahre,RH03458,34.4
2023,"Oldenburg",männlich,Jahre,RH03458,34.4
2023,"Oldenburg",weiblich,Jahre,RH03458,35.2
2023,"Osnabrück",insgesamt,Jahre,RH03459,34.8
2023,"Osnabrück",männlich,Jahre,RH03459,35.9
2023,"Osnabrück",weiblich,Jahre,RH03459,36.8
2023,"Vechta",insgesamt,Jahre,RH03460,36.3
2023,"Vechta",männlich,Jahre,RH03460,34.4
2023,"Vechta",weiblich,Jahre,RH03460,34.2
2023,"Wesermarsch",insgesamt,Jahre,RH03461,34.3
2023,"Wesermarsch",männlich,Jahre,RH03461,35.1
2023,"Wesermarsch",weiblich,Jahre,RH03461,35.8
2023,"Wittmund",insgesamt,Jahre,RH03462,35.4
2023,"Wittmund",männlich,Jahre,RH03462,31.8
2023,"Wittmund",weiblich,Jahre,RH03462,34.8
2023,"Statistische Region Weser-Ems",insgesamt,Jahre,RH034,33.3
2023,"Statistische Region Weser-Ems",männlich,Jahre,RH034,34.9
2023,"Statistische Region Weser-Ems",weiblich,Jahre,RH034,35.5
2023,"Niedersachsen",insgesamt,Jahre,RH030,35.2
2023,"Niedersachsen",männlich,Jahre,RH030,35.4
2023,"Niedersachsen",weiblich,Jahre,RH030,36.6
2023,"Niedersachsen",insgesamt,Jahre,RH030,35.9
2022,"Braunschweig, Stadt",männlich,Jahre,RH03101,36.3
2022,"Braunschweig, Stadt",weiblich,Jahre,RH03101,38.3
2022,"Braunschweig, Stadt",insgesamt,Jahre,RH03101,37.2
2022,"Salzgitter, Stadt",männlich,Jahre,RH03102,34.6
2022,"Salzgitter, Stadt",weiblich,Jahre,RH03102,35.1
2022,"Salzgitter, Stadt",insgesamt,Jahre,RH03102,34.8
2022,"Wolfsburg, Stadt",männlich,Jahre,RH03103,36.6
2022,"Wolfsburg, Stadt",weiblich,Jahre,RH03103,36.9
2022,"Wolfsburg, Stadt",insgesamt,Jahre,RH03103,36.7
2022,"Gifhorn",männlich,Jahre,RH03151,35.4
2022,"Gifhorn",weiblich,Jahre,RH03151,36.7
2022,"Gifhorn",insgesamt,Jahre,RH03151,36
2022,"Goslar",männlich,Jahre,RH03153,34.5
2022,"Goslar",weiblich,Jahre,RH03153,36.4
2022,"Goslar",insgesamt,Jahre,RH03153,35.4
2022,"Helmstedt",männlich,Jahre,RH03154,35.2
2022,"Helmstedt",weiblich,Jahre,RH03154,35.7
2022,"Helmstedt",insgesamt,Jahre,RH03154,35.4
2022,"Northeim",männlich,Jahre,RH03155,33.3
2022,"Northeim",weiblich,Jahre,RH03155,35.2
2022,"Northeim",insgesamt,Jahre,RH03155,34.3
2022,"Peine",männlich,Jahre,RH03157,34
2022,"Peine",weiblich,Jahre,RH03157,35.1
2022,"Peine",insgesamt,Jahre,RH03157,34.6
2022,"Wolfenbüttel",männlich,Jahre,RH03158,34.5
2022,"Wolfenbüttel",weiblich,Jahre,RH03158,35.9
2022,"Wolfenbüttel",insgesamt,Jahre,RH03158,35.2
2022,"Göttingen",männlich,Jahre,RH03159,34.9
2022,"Göttingen",weiblich,Jahre,RH03159,36
2022,"Göttingen",insgesamt,Jahre,RH03159,35.4
2022,"Statistische Region Braunschweig",männlich,Jahre,RH031,35.1
2022,"Statistische Region Braunschweig",weiblich,Jahre,RH031,36.4
2022,"Statistische Region Braunschweig",insgesamt,Jahre,RH031,35.7
2022,"Region Hannover",männlich,Jahre,RH03241,36.9
2022,"Region Hannover",weiblich,Jahre,RH03241,38.3
2022,"Region Hannover",insgesamt,Jahre,RH03241,37.6
2022,"Diepholz",männlich,Jahre,RH03251,34
2022,"Diepholz",weiblich,Jahre,RH03251,35.2
2022,"Diepholz",insgesamt,Jahre,RH03251,34.6
2022,"Hameln-Pyrmont",männlich,Jahre,RH03252,35.4
2022,"Hameln-Pyrmont",weiblich,Jahre,RH03252,36.7
2022,"Hameln-Pyrmont",insgesamt,Jahre,RH03252,36
2022,"Hildesheim",männlich,Jahre,RH03254,34.6
2022,"Hildesheim",weiblich,Jahre,RH03254,36.6
2022,"Hildesheim",insgesamt,Jahre,RH03254,35.5
2022,"Holzminden",männlich,Jahre,RH03255,35.4
2022,"Holzminden",weiblich,Jahre,RH03255,37.3
2022,"Holzminden",insgesamt,Jahre,RH03255,36.3
2022,"Nienburg (Weser)",männlich,Jahre,RH03256,33.8
2022,"Nienburg (Weser)",weiblich,Jahre,RH03256,34.2
2022,"Nienburg (Weser)",insgesamt,Jahre,RH03256,34
2022,"Schaumburg",männlich,Jahre,RH03257,35.9
2022,"Schaumburg",weiblich,Jahre,RH03257,37.3
2022,"Schaumburg",insgesamt,Jahre,RH03257,36.6
2022,"Statistische Region Hannover",männlich,Jahre,RH032,36.2
2022,"Statistische Region Hannover",weiblich,Jahre,RH032,37.6
2022,"Statistische Region Hannover",insgesamt,Jahre,RH032,36.9
2022,"Celle",männlich,Jahre,RH03351,35
2022,"Celle",weiblich,Jahre,RH03351,35.3
2022,"Celle",insgesamt,Jahre,RH03351,35.1
2022,"Cuxhaven",männlich,Jahre,RH03352,35.5
2022,"Cuxhaven",weiblich,Jahre,RH03352,37.2
2022,"Cuxhaven",insgesamt,Jahre,RH03352,36.4
2022,"Harburg",männlich,Jahre,RH03353,35.8
2022,"Harburg",weiblich,Jahre,RH03353,37.7
2022,"Harburg",insgesamt,Jahre,RH03353,36.6
2022,"Lüchow-Dannenberg",männlich,Jahre,RH03354,33.8
2022,"Lüchow-Dannenberg",weiblich,Jahre,RH03354,35.7
2022,"Lüchow-Dannenberg",insgesamt,Jahre,RH03354,34.7
2022,"Lüneburg",männlich,Jahre,RH03355,34.3
2022,"Lüneburg",weiblich,Jahre,RH03355,34.7
2022,"Lüneburg",insgesamt,Jahre,RH03355,34.5
2022,"Osterholz",männlich,Jahre,RH03356,33.8
2022,"Osterholz",weiblich,Jahre,RH03356,35.7
2022,"Osterholz",insgesamt,Jahre,RH03356,34.8
2022,"Rotenburg (Wümme)",männlich,Jahre,RH03357,35.3
2022,"Rotenburg (Wümme)",weiblich,Jahre,RH03357,35.5
2022,"Rotenburg (Wümme)",insgesamt,Jahre,RH03357,35.4
2022,"Heidekreis",männlich,Jahre,RH03358,33.5
2022,"Heidekreis",weiblich,Jahre,RH03358,35
2022,"Heidekreis",insgesamt,Jahre,RH03358,34.2
2022,"Stade",männlich,Jahre,RH03359,33.8
2022,"Stade",weiblich,Jahre,RH03359,34.7
2022,"Stade",insgesamt,Jahre,RH03359,34.2
2022,"Uelzen",männlich,Jahre,RH03360,33.7
2022,"Uelzen",weiblich,Jahre,RH03360,35.3
2022,"Uelzen",insgesamt,Jahre,RH03360,34.5
2022,"Verden",männlich,Jahre,RH03361,34.6
2022,"Verden",weiblich,Jahre,RH03361,36
2022,"Verden",insgesamt,Jahre,RH03361,35.2
2022,"Statistische Region Lüneburg",männlich,Jahre,RH033,34.7
2022,"Statistische Region Lüneburg",weiblich,Jahre,RH033,35.8
2022,"Statistische Region Lüneburg",insgesamt,Jahre,RH033,35.2
2022,"Delmenhorst, Stadt",männlich,Jahre,RH03401,34
2022,"Delmenhorst, Stadt",weiblich,Jahre,RH03401,34.9
2022,"Delmenhorst, Stadt",insgesamt,Jahre,RH03401,34.5
2022,"Emden, Stadt",männlich,Jahre,RH03402,32.7
2022,"Emden, Stadt",weiblich,Jahre,RH03402,32.3
2022,"Emden, Stadt",insgesamt,Jahre,RH03402,32.5
2022,"Oldenburg (Oldb), Stadt",männlich,Jahre,RH03403,32.4
2022,"Oldenburg (Oldb), Stadt",weiblich,Jahre,RH03403,34
2022,"Oldenburg (Oldb), Stadt",insgesamt,Jahre,RH03403,33.2
2022,"Osnabrück, Stadt",männlich,Jahre,RH03404,35.5
2022,"Osnabrück, Stadt",weiblich,Jahre,RH03404,36.6
2022,"Osnabrück, Stadt",insgesamt,Jahre,RH03404,36.1
2022,"Wilhelmshaven, Stadt",männlich,Jahre,RH03405,32
2022,"Wilhelmshaven, Stadt",weiblich,Jahre,RH03405,33.2
2022,"Wilhelmshaven, Stadt",insgesamt,Jahre,RH03405,32.6
2022,"Ammerland",männlich,Jahre,RH03451,34.3
2022,"Ammerland",weiblich,Jahre,RH03451,35.2
2022,"Ammerland",insgesamt,Jahre,RH03451,34.7
2022,"Aurich",männlich,Jahre,RH03452,33.6
2022,"Aurich",weiblich,Jahre,RH03452,34.8
2022,"Aurich",insgesamt,Jahre,RH03452,34.2
2022,"Cloppenburg",männlich,Jahre,RH03453,33.3
2022,"Cloppenburg",weiblich,Jahre,RH03453,33
2022,"Cloppenburg",insgesamt,Jahre,RH03453,33.2
2022,"Emsland",männlich,Jahre,RH03454,35.6
2022,"Emsland",weiblich,Jahre,RH03454,34.5
2022,"Emsland",insgesamt,Jahre,RH03454,35.1
2022,"Friesland",männlich,Jahre,RH03455,33.6
2022,"Friesland",weiblich,Jahre,RH03455,34.9
2022,"Friesland",insgesamt,Jahre,RH03455,34.2
2022,"Grafschaft Bentheim",männlich,Jahre,RH03456,40.4
2022,"Grafschaft Bentheim",weiblich,Jahre,RH03456,40.5
2022,"Grafschaft Bentheim",insgesamt,Jahre,RH03456,40.5
2022,"Leer",männlich,Jahre,RH03457,34.4
2022,"Leer",weiblich,Jahre,RH03457,34.7
2022,"Leer",insgesamt,Jahre,RH03457,34.6
2022,"Oldenburg",männlich,Jahre,RH03458,34.2
2022,"Oldenburg",weiblich,Jahre,RH03458,35.4
2022,"Oldenburg",insgesamt,Jahre,RH03458,34.7
2022,"Osnabrück",männlich,Jahre,RH03459,35.7
2022,"Osnabrück",weiblich,Jahre,RH03459,36.2
2022,"Osnabrück",insgesamt,Jahre,RH03459,36
2022,"Vechta",männlich,Jahre,RH03460,34
2022,"Vechta",weiblich,Jahre,RH03460,33.6
2022,"Vechta",insgesamt,Jahre,RH03460,33.8
2022,"Wesermarsch",männlich,Jahre,RH03461,35.3
2022,"Wesermarsch",weiblich,Jahre,RH03461,35.7
2022,"Wesermarsch",insgesamt,Jahre,RH03461,35.5
2022,"Wittmund",männlich,Jahre,RH03462,32
2022,"Wittmund",weiblich,Jahre,RH03462,34.4
2022,"Wittmund",insgesamt,Jahre,RH03462,33.2
2022,"Statistische Region Weser-Ems",männlich,Jahre,RH034,34.9
2022,"Statistische Region Weser-Ems",weiblich,Jahre,RH034,35.2
2022,"Statistische Region Weser-Ems",insgesamt,Jahre,RH034,35.1
2022,"Niedersachsen",männlich,Jahre,RH030,35.3
2022,"Niedersachsen",weiblich,Jahre,RH030,36.3
2022,"Niedersachsen",insgesamt,Jahre,RH030,35.8
2021,"Braunschweig, Stadt",männlich,Jahre,RH03101,37
2021,"Braunschweig, Stadt",weiblich,Jahre,RH03101,38.7
2021,"Braunschweig, Stadt",insgesamt,Jahre,RH03101,37.8
2021,"Salzgitter, Stadt",männlich,Jahre,RH03102,34.8
2021,"Salzgitter, Stadt",weiblich,Jahre,RH03102,34.9
2021,"Salzgitter, Stadt",insgesamt,Jahre,RH03102,34.8
2021,"Wolfsburg, Stadt",männlich,Jahre,RH03103,37.4
2021,"Wolfsburg, Stadt",weiblich,Jahre,RH03103,37.4
2021,"Wolfsburg, Stadt",insgesamt,Jahre,RH03103,37.4
2021,"Gifhorn",männlich,Jahre,RH03151,36.1
2021,"Gifhorn",weiblich,Jahre,RH03151,37.1
2021,"Gifhorn",insgesamt,Jahre,RH03151,36.6
2021,"Goslar",männlich,Jahre,RH03153,35.3
2021,"Goslar",weiblich,Jahre,RH03153,36.6
2021,"Goslar",insgesamt,Jahre,RH03153,35.9
2021,"Helmstedt",männlich,Jahre,RH03154,36.3
2021,"Helmstedt",weiblich,Jahre,RH03154,36.3
2021,"Helmstedt",insgesamt,Jahre,RH03154,36.3
2021,"Northeim",männlich,Jahre,RH03155,35.1
2021,"Northeim",weiblich,Jahre,RH03155,35.9
2021,"Northeim",insgesamt,Jahre,RH03155,35.5
2021,"Peine",männlich,Jahre,RH03157,34.6
2021,"Peine",weiblich,Jahre,RH03157,35.4
2021,"Peine",insgesamt,Jahre,RH03157,35
2021,"Wolfenbüttel",männlich,Jahre,RH03158,35.8
2021,"Wolfenbüttel",weiblich,Jahre,RH03158,36.7
2021,"Wolfenbüttel",insgesamt,Jahre,RH03158,36.2
2021,"Göttingen",männlich,Jahre,RH03159,35.4
2021,"Göttingen",weiblich,Jahre,RH03159,36.1
2021,"Göttingen",insgesamt,Jahre,RH03159,35.7
2021,"Statistische Region Braunschweig",männlich,Jahre,RH031,35.9
2021,"Statistische Region Braunschweig",weiblich,Jahre,RH031,36.7
2021,"Statistische Region Braunschweig",insgesamt,Jahre,RH031,36.3
2021,"Region Hannover",männlich,Jahre,RH03241,37.6
2021,"Region Hannover",weiblich,Jahre,RH03241,38.8
2021,"Region Hannover",insgesamt,Jahre,RH03241,38.2
2021,"Diepholz",männlich,Jahre,RH03251,34.6
2021,"Diepholz",weiblich,Jahre,RH03251,35.1
2021,"Diepholz",insgesamt,Jahre,RH03251,34.8
2021,"Hameln-Pyrmont",männlich,Jahre,RH03252,35.9
2021,"Hameln-Pyrmont",weiblich,Jahre,RH03252,37.1
2021,"Hameln-Pyrmont",insgesamt,Jahre,RH03252,36.5
2021,"Hildesheim",männlich,Jahre,RH03254,35.4
2021,"Hildesheim",weiblich,Jahre,RH03254,36.9
2021,"Hildesheim",insgesamt,Jahre,RH03254,36.1
2021,"Holzminden",männlich,Jahre,RH03255,37.4
2021,"Holzminden",weiblich,Jahre,RH03255,38.8
2021,"Holzminden",insgesamt,Jahre,RH03255,38
2021,"Nienburg (Weser)",männlich,Jahre,RH03256,34.5
2021,"Nienburg (Weser)",weiblich,Jahre,RH03256,34.3
2021,"Nienburg (Weser)",insgesamt,Jahre,RH03256,34.4
2021,"Schaumburg",männlich,Jahre,RH03257,37.1
2021,"Schaumburg",weiblich,Jahre,RH03257,38
2021,"Schaumburg",insgesamt,Jahre,RH03257,37.5
2021,"Statistische Region Hannover",männlich,Jahre,RH032,36.9
2021,"Statistische Region Hannover",weiblich,Jahre,RH032,38
2021,"Statistische Region Hannover",insgesamt,Jahre,RH032,37.5
2021,"Celle",männlich,Jahre,RH03351,35.4
2021,"Celle",weiblich,Jahre,RH03351,35.7
2021,"Celle",insgesamt,Jahre,RH03351,35.6
2021,"Cuxhaven",männlich,Jahre,RH03352,36.6
2021,"Cuxhaven",weiblich,Jahre,RH03352,38.1
2021,"Cuxhaven",insgesamt,Jahre,RH03352,37.3
2021,"Harburg",männlich,Jahre,RH03353,36.7
2021,"Harburg",weiblich,Jahre,RH03353,38.1
2021,"Harburg",insgesamt,Jahre,RH03353,37.3
2021,"Lüchow-Dannenberg",männlich,Jahre,RH03354,34.6
2021,"Lüchow-Dannenberg",weiblich,Jahre,RH03354,35.7
2021,"Lüchow-Dannenberg",insgesamt,Jahre,RH03354,35.1
2021,"Lüneburg",männlich,Jahre,RH03355,34.6
2021,"Lüneburg",weiblich,Jahre,RH03355,35
2021,"Lüneburg",insgesamt,Jahre,RH03355,34.8
2021,"Osterholz",männlich,Jahre,RH03356,34.8
2021,"Osterholz",weiblich,Jahre,RH03356,36.1
2021,"Osterholz",insgesamt,Jahre,RH03356,35.4
2021,"Rotenburg (Wümme)",männlich,Jahre,RH03357,36.1
2021,"Rotenburg (Wümme)",weiblich,Jahre,RH03357,35.9
2021,"Rotenburg (Wümme)",insgesamt,Jahre,RH03357,36
2021,"Heidekreis",männlich,Jahre,RH03358,34.7
2021,"Heidekreis",weiblich,Jahre,RH03358,35.4
2021,"Heidekreis",insgesamt,Jahre,RH03358,35
2021,"Stade",männlich,Jahre,RH03359,34.6
2021,"Stade",weiblich,Jahre,RH03359,34.6
2021,"Stade",insgesamt,Jahre,RH03359,34.6
2021,"Uelzen",männlich,Jahre,RH03360,34.8
2021,"Uelzen",weiblich,Jahre,RH03360,35.1
2021,"Uelzen",insgesamt,Jahre,RH03360,35
2021,"Verden",männlich,Jahre,RH03361,35.6
2021,"Verden",weiblich,Jahre,RH03361,36.5
2021,"Verden",insgesamt,Jahre,RH03361,36
2021,"Statistische Region Lüneburg",männlich,Jahre,RH033,35.5
2021,"Statistische Region Lüneburg",weiblich,Jahre,RH033,36.1
2021,"Statistische Region Lüneburg",insgesamt,Jahre,RH033,35.8
2021,"Delmenhorst, Stadt",männlich,Jahre,RH03401,34.1
2021,"Delmenhorst, Stadt",weiblich,Jahre,RH03401,34.7
2021,"Delmenhorst, Stadt",insgesamt,Jahre,RH03401,34.3
2021,"Emden, Stadt",männlich,Jahre,RH03402,32.7
2021,"Emden, Stadt",weiblich,Jahre,RH03402,32
2021,"Emden, Stadt",insgesamt,Jahre,RH03402,32.4
2021,"Oldenburg (Oldb), Stadt",männlich,Jahre,RH03403,33
2021,"Oldenburg (Oldb), Stadt",weiblich,Jahre,RH03403,33.8
2021,"Oldenburg (Oldb), Stadt",insgesamt,Jahre,RH03403,33.4
2021,"Osnabrück, Stadt",männlich,Jahre,RH03404,36.1
2021,"Osnabrück, Stadt",weiblich,Jahre,RH03404,36.8
2021,"Osnabrück, Stadt",insgesamt,Jahre,RH03404,36.4
2021,"Wilhelmshaven, Stadt",männlich,Jahre,RH03405,32.3
2021,"Wilhelmshaven, Stadt",weiblich,Jahre,RH03405,32.5
2021,"Wilhelmshaven, Stadt",insgesamt,Jahre,RH03405,32.4
2021,"Ammerland",männlich,Jahre,RH03451,34.8
2021,"Ammerland",weiblich,Jahre,RH03451,34.9
2021,"Ammerland",insgesamt,Jahre,RH03451,34.9
2021,"Aurich",männlich,Jahre,RH03452,34.2
2021,"Aurich",weiblich,Jahre,RH03452,34.7
2021,"Aurich",insgesamt,Jahre,RH03452,34.4
2021,"Cloppenburg",männlich,Jahre,RH03453,33.8
2021,"Cloppenburg",weiblich,Jahre,RH03453,32.9
2021,"Cloppenburg",insgesamt,Jahre,RH03453,33.4
2021,"Emsland",männlich,Jahre,RH03454,36.1
2021,"Emsland",weiblich,Jahre,RH03454,34.7
2021,"Emsland",insgesamt,Jahre,RH03454,35.5
2021,"Friesland",männlich,Jahre,RH03455,35.1
2021,"Friesland",weiblich,Jahre,RH03455,35.2
2021,"Friesland",insgesamt,Jahre,RH03455,35.1
2021,"Grafschaft Bentheim",männlich,Jahre,RH03456,41.4
2021,"Grafschaft Bentheim",weiblich,Jahre,RH03456,41.2
2021,"Grafschaft Bentheim",insgesamt,Jahre,RH03456,41.3
2021,"Leer",männlich,Jahre,RH03457,35.1
2021,"Leer",weiblich,Jahre,RH03457,34.8
2021,"Leer",insgesamt,Jahre,RH03457,35
2021,"Oldenburg",männlich,Jahre,RH03458,34.4
2021,"Oldenburg",weiblich,Jahre,RH03458,35.2
2021,"Oldenburg",insgesamt,Jahre,RH03458,34.8
2021,"Osnabrück",männlich,Jahre,RH03459,36.3
2021,"Osnabrück",weiblich,Jahre,RH03459,36.4
2021,"Osnabrück",insgesamt,Jahre,RH03459,36.4
2021,"Vechta",männlich,Jahre,RH03460,34
2021,"Vechta",weiblich,Jahre,RH03460,33.3
2021,"Vechta",insgesamt,Jahre,RH03460,33.7
2021,"Wesermarsch",männlich,Jahre,RH03461,36.2
2021,"Wesermarsch",weiblich,Jahre,RH03461,36.4
2021,"Wesermarsch",insgesamt,Jahre,RH03461,36.3
2021,"Wittmund",männlich,Jahre,RH03462,33
2021,"Wittmund",weiblich,Jahre,RH03462,35.2
2021,"Wittmund",insgesamt,Jahre,RH03462,34.1
2021,"Statistische Region Weser-Ems",männlich,Jahre,RH034,35.4
2021,"Statistische Region Weser-Ems",weiblich,Jahre,RH034,35.3
2021,"Statistische Region Weser-Ems",insgesamt,Jahre,RH034,35.4
2021,"Niedersachsen",männlich,Jahre,RH030,36
2021,"Niedersachsen",weiblich,Jahre,RH030,36.6
