Year,Kategorie,Geschlecht,Units,Value
Juni 2022,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer,%,12.8
Juni 2023,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer,%,15.1
Juni 2024,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer,%,14.4
Juni 2007,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,%,24.4
Juni 2008,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,%,23.6
Juni 2009,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,%,21.8
Juni 2010,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,%,20.6
Juni 2011,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,%,19.7
Juni 2012,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,%,18.5
Juni 2013,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,%,18.2
Juni 2014,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,%,18.8
Juni 2015,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,%,19.4
Juni 2016,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,%,19.5
Juni 2017,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,%,20
Juni 2018,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,%,18.2
Juni 2019,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,%,17.4
Juni 2020,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,%,20.6
Juni 2021,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,%,19.3
Juni 2022,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,%,22
Juni 2023,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,%,23.4
Juni 2024,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,%,20.5
Juni 2007,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,7.9
Juni 2008,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,6.3
Juni 2009,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,7.4
Juni 2010,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,6.6
Juni 2011,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,5.4
Juni 2012,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,5.2
Juni 2013,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,5.7
Juni 2014,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,5.3
Juni 2015,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,4.8
Juni 2016,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,5.6
Juni 2017,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,5.3
Juni 2018,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,4.7
Juni 2019,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,4.4
Juni 2020,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,6
Juni 2021,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,4.7
Juni 2022,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,4.2
Juni 2023,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,4.7
Juni 2024,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,5.2
Juni 2007,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,4.7
Juni 2008,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,3.5
Juni 2009,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,3.7
Juni 2010,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,3.5
Juni 2011,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,2.9
Juni 2012,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,3
Juni 2013,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,3.1
Juni 2014,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,3
Juni 2015,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,2.9
Juni 2016,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,3.4
Juni 2017,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,3.1
Juni 2018,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,2.9
Juni 2019,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,2.6
Juni 2020,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,3.4
Juni 2021,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,2.7
Juni 2022,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,3.2
Juni 2023,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,3.2
Juni 2024,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,3.5
Juni 2007,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,9.3
Juni 2008,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,7.5
Juni 2009,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,9
Juni 2010,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,8
Juni 2011,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,6.5
Juni 2012,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,6.1
Juni 2013,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,6.7
Juni 2014,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,6.2
Juni 2015,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,5.6
Juni 2016,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,6.6
Juni 2017,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,6.3
Juni 2018,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,5.5
Juni 2019,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,5.1
Juni 2020,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,7.1
Juni 2021,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,5.4
Juni 2022,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,4.6
Juni 2023,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,5.2
Juni 2024,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,5.9
Juni 2007,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,15.3
Juni 2008,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,13.5
Juni 2009,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,14
Juni 2010,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,13
Juni 2011,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,12
Juni 2012,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,11.3
Juni 2013,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,11.3
Juni 2014,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,12.1
Juni 2015,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,12.4
Juni 2016,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,18.7
Juni 2017,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,16.6
Juni 2018,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,13.8
Juni 2019,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,12.3
Juni 2020,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,15.2
Juni 2021,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,11.7
Juni 2022,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,12.8
Juni 2023,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,13.7
Juni 2024,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,13.3
Juni 2007,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,14.2
Juni 2008,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,12
Juni 2009,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,10.7
Juni 2010,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,10.5
Juni 2011,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,9.4
Juni 2012,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,8.8
Juni 2013,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,9.6
Juni 2014,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,10.8
Juni 2015,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,12.2
Juni 2016,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,16.9
Juni 2017,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,13.6
Juni 2018,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,11.6
Juni 2019,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,9.6
Juni 2020,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,11.4
Juni 2021,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,10.4
Juni 2022,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,18.2
Juni 2023,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,14.4
Juni 2024,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,13.5
Juni 2007,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,15.6
Juni 2008,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,14.1
Juni 2009,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,15.2
Juni 2010,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,13.9
Juni 2011,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,12.9
Juni 2012,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,12.2
Juni 2013,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,11.8
Juni 2014,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,12.4
Juni 2015,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,12.4
Juni 2016,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,19.2
Juni 2017,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,17.5
Juni 2018,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,14.3
Juni 2019,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,13
Juni 2020,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,16.1
Juni 2021,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,11.9
Juni 2022,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,11.7
Juni 2023,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,13.5
Juni 2024,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,13.2
