Year,Land der Staatsangehörigkeit,Value
2010,"Kosovo",170
2010,"Polen",422
2010,"Rumänien",136
2010,"Serbien, Serbien und Montegro",187
2010,"Türkei",1892
2010,"Ukraine",268
2010,"EU Staaten",1165
2010,"Afrika insgesamt",489
2010,"Ägypten",17
2010,"Tunesien",89
2010,"Amerika insgesamt",225
2010,"Asien insgesamt",2290
2010,"Afganistan",161
2010,"Libanon",295
2010,"Indien",41
2010,"Irak",392
2010,"Iran, Islamische Republik",245
2010,"Palestinensische Gebiete",
2010,"Syrien, Arabische Republik",219
2010,"Australien und Ozeanien",2
2010,"Sonstige Ziele",152
2010,"staatenlos",125
2010,"ungeklärt",27
2011,"Europa insgesamt",4595
2011,"Bulgarien",62
2011,"Griechenland",126
2011,"Italien",77
2011,"Kosovo",221
2011,"Polen",477
2011,"Rumänien",132
2011,"Serbien, Serbien und Montegro",258
2011,"Türkei",2010
2011,"Ukraine",380
2011,"EU Staaten",1263
2011,"Afrika insgesamt",599
2011,"Ägypten",24
2011,"Tunesien",96
2011,"Amerika insgesamt",211
2011,"Asien insgesamt",2443
2011,"Afganistan",124
2011,"Libanon",240
2011,"Indien",44
2011,"Irak",434
2011,"Iran, Islamische Republik",255
2011,"Palestinensische Gebiete",
2011,"Syrien, Arabische Republik",219
2011,"Australien und Ozeanien",3
2011,"Sonstige Ziele",144
2011,"staatenlos",99
2011,"ungeklärt",45
2012,"Europa insgesamt",5096
2012,"Bulgarien",61
2012,"Griechenland",344
2012,"Italien",89
2012,"Kosovo",181
2012,"Polen",518
2012,"Rumänien",81
2012,"Serbien, Serbien und Montegro",225
2012,"Türkei",2361
2012,"Ukraine",325
2012,"EU Staaten",1482
2012,"Afrika insgesamt",596
2012,"Ägypten",28
2012,"Tunesien",110
2012,"Amerika insgesamt",211
2012,"Asien insgesamt",2488
2012,"Afganistan",121
2012,"Libanon",209
2012,"Indien",64
2012,"Irak",273
2012,"Iran, Islamische Republik",227
2012,"Palestinensische Gebiete",
2012,"Syrien, Arabische Republik",208
2012,"Australien und Ozeanien",2
2012,"Sonstige Ziele",133
2012,"staatenlos",117
2012,"ungeklärt",16
2013,"Europa insgesamt",4900
2013,"Bulgarien",70
2013,"Griechenland",231
2013,"Italien",114
2013,"Kosovo",222
2013,"Polen",655
2013,"Rumänien",115
2013,"Serbien, Serbien und Montegro",215
2013,"Türkei",1864
2013,"Ukraine",382
2013,"EU Staaten",1739
2013,"Afrika insgesamt",589
2013,"Ägypten",30
2013,"Tunesien",111
2013,"Amerika insgesamt",228
2013,"Asien insgesamt",2348
2013,"Afganistan",129
2013,"Libanon",243
2013,"Indien",61
2013,"Irak",326
2013,"Iran, Islamische Republik",227
2013,"Palestinensische Gebiete",17
2013,"Syrien, Arabische Republik",247
2013,"Australien und Ozeanien",1
2013,"Sonstige Ziele",150
2013,"staatenlos",113
2013,"ungeklärt",37
2014,"Europa insgesamt",4399
2014,"Bulgarien",68
2014,"Griechenland",195
2014,"Italien",128
2014,"Kosovo",216
2014,"Polen",576
2014,"Rumänien",113
2014,"Serbien, Serbien und Montegro",174
2014,"Türkei",1657
2014,"Ukraine",148
2014,"EU Staaten",1769
2014,"Afrika insgesamt",596
2014,"Ägypten",30
2014,"Tunesien",119
2014,"Amerika insgesamt",256
2014,"Asien insgesamt",2364
2014,"Afganistan",129
2014,"Libanon",254
2014,"Indien",63
2014,"Irak",317
2014,"Iran, Islamische Republik",262
2014,"Palestinensische Gebiete",23
2014,"Syrien, Arabische Republik",300
2014,"Australien und Ozeanien",
2014,"Sonstige Ziele",107
2014,"staatenlos",83
2014,"ungeklärt",24
2015,"Europa insgesamt",4598
2015,"Bulgarien",73
2015,"Griechenland",191
2015,"Italien",139
2015,"Kosovo",242
2015,"Polen",559
2015,"Rumänien",156
2015,"Serbien, Serbien und Montegro",162
2015,"Türkei",1709
2015,"Ukraine",328
2015,"EU Staaten",1765
2015,"Afrika insgesamt",625
2015,"Ägypten",34
2015,"Tunesien",112
2015,"Amerika insgesamt",260
2015,"Asien insgesamt",2392
2015,"Afganistan",129
2015,"Libanon",259
2015,"Indien",65
2015,"Irak",313
2015,"Iran, Islamische Republik",221
2015,"Palestinensische Gebiete",23
2015,"Syrien, Arabische Republik",398
2015,"Australien und Ozeanien",1
2015,"Sonstige Ziele",112
2015,"staatenlos",80
2015,"ungeklärt",32
2016,"Europa insgesamt",4880
2016,"Bulgarien",76
2016,"Griechenland",222
2016,"Italien",160
2016,"Kosovo",215
2016,"Polen",650
2016,"Rumänien",193
2016,"Serbien, Serbien und Montegro",214
2016,"Türkei",1278
2016,"Ukraine",449
2016,"EU Staaten",2262
2016,"Afrika insgesamt",647
2016,"Ägypten",58
2016,"Tunesien",134
2016,"Amerika insgesamt",270
2016,"Asien insgesamt",2614
2016,"Afganistan",150
2016,"Libanon",303
2016,"Indien",96
2016,"Irak",430
2016,"Iran, Islamische Republik",255
2016,"Palestinensische Gebiete",53
2016,"Syrien, Arabische Republik",368
2016,"Australien und Ozeanien",
2016,"Sonstige Ziele",108
2016,"staatenlos",70
2016,"ungeklärt",38
2017,"Europa insgesamt",5044
2017,"Bulgarien",100
2017,"Griechenland",224
2017,"Italien",226
2017,"Kosovo",247
2017,"Polen",664
2017,"Rumänien",241
2017,"Serbien, Serbien und Montegro",142
2017,"Türkei",1208
2017,"Ukraine",238
2017,"EU Staaten",2787
2017,"Afrika insgesamt",673
2017,"Ägypten",39
2017,"Tunesien",108
2017,"Amerika insgesamt",296
2017,"Asien insgesamt",2599
2017,"Afganistan",158
2017,"Libanon",238
2017,"Indien",103
2017,"Irak",403
2017,"Iran, Islamische Republik",260
2017,"Palestinensische Gebiete",24
2017,"Syrien, Arabische Republik",444
2017,"Australien und Ozeanien",2
2017,"Sonstige Ziele",171
2017,"staatenlos",138
2017,"ungeklärt",33
2018,"Europa insgesamt",4743
2018,"Bulgarien",92
2018,"Griechenland",206
2018,"Italien",199
2018,"Kosovo",217
2018,"Polen",598
2018,"Rumänien",239
2018,"Serbien, Serbien und Montegro",254
2018,"Türkei",1185
2018,"Ukraine",180
2018,"EU Staaten",2501
2018,"Afrika insgesamt",658
2018,"Ägypten",78
2018,"Tunesien",119
2018,"Amerika insgesamt",247
2018,"Asien insgesamt",2694
2018,"Afganistan",131
2018,"Libanon",233
2018,"Indien",73
2018,"Irak",389
2018,"Iran, Islamische Republik",243
2018,"Palestinensische Gebiete",59
2018,"Syrien, Arabische Republik",664
2018,"Australien und Ozeanien",1
2018,"Sonstige Ziele",127
2018,"staatenlos",104
2018,"ungeklärt",23
2019,"Europa insgesamt",6722
2019,"Bulgarien",85
2019,"Griechenland",157
2019,"Italien",170
2019,"Kosovo",188
2019,"Polen",644
2019,"Rumänien",337
2019,"Serbien, Serbien und Montegro",275
2019,"Türkei",1331
2019,"Ukraine",303
2019,"EU Staaten",4241
2019,"Afrika insgesamt",661
2019,"Ägypten",72
2019,"Tunesien",124
2019,"Amerika insgesamt",288
2019,"Asien insgesamt",3120
2019,"Afganistan",167
2019,"Libanon",209
2019,"Indien",157
2019,"Irak",465
2019,"Iran, Islamische Republik",308
2019,"Palestinensische Gebiete",43
2019,"Syrien, Arabische Republik",857
2019,"Australien und Ozeanien",3
2019,"Sonstige Ziele",137
2019,"staatenlos",115
2019,"ungeklärt",22
2020,"Europa insgesamt",4041
2020,"Bulgarien",114
2020,"Griechenland",127
2020,"Italien",153
2020,"Kosovo",171
2020,"Polen",572
2020,"Rumänien",369
2020,"Serbien, Serbien und Montegro",268
2020,"Türkei",783
2020,"Ukraine",164
2020,"EU Staaten",2376
2020,"Afrika insgesamt",744
2020,"Ägypten",80
2020,"Tunesien",150
2020,"Amerika insgesamt",272
2020,"Asien insgesamt",3645
2020,"Afganistan",184
2020,"Libanon",194
2020,"Indien",117
2020,"Irak",477
2020,"Iran, Islamische Republik",336
2020,"Palestinensische Gebiete",42
2020,"Syrien, Arabische Republik",1414
2020,"Australien und Ozeanien",5
2020,"Sonstige Ziele",171
2020,"staatenlos",146
2020,"ungeklärt",25
2021,"Europa insgesamt",4066
2021,"Bulgarien",124
2021,"Griechenland",195
2021,"Italien",214
2021,"Kosovo",175
2021,"Polen",619
2021,"Rumänien",369
2021,"Serbien, Serbien und Montegro",187
2021,"Türkei",899
2021,"Ukraine",97
2021,"EU Staaten",2243
2021,"Afrika insgesamt",793
2021,"Ägypten",103
2021,"Tunesien",142
2021,"Amerika insgesamt",293
2021,"Asien insgesamt",5045
2021,"Afganistan",292
2021,"Libanon",200
2021,"Indien",131
2021,"Irak",527
2021,"Iran, Islamische Republik",331
2021,"Palestinensische Gebiete",145
2021,"Syrien, Arabische Republik",2592
2021,"Australien und Ozeanien",3
2021,"Sonstige Ziele",217
2021,"staatenlos",144
2021,"ungeklärt",73
2022,"Europa insgesamt",4041
2022,"Bulgarien",124
2022,"Griechenland",106
2022,"Italien",144
2022,"Kosovo",159
2022,"Polen",524
2022,"Rumänien",382
2022,"Serbien, Serbien und Montegro",200
2022,"Türkei",1088
2022,"Ukraine",473
2022,"EU Staaten",1794
2022,"Afrika insgesamt",775
2022,"Ägypten",115
2022,"Tunesien",124
2022,"Amerika insgesamt",246
2022,"Asien insgesamt",8015
2022,"Afganistan",275
2022,"Libanon",175
2022,"Indien",125
2022,"Irak",1064
2022,"Iran, Islamische Republik",427
2022,"Palestinensische Gebiete",205
2022,"Syrien, Arabische Republik",5038
2022,"Australien und Ozeanien",1
2022,"Sonstige Ziele",356
2022,"staatenlos",223
2022,"ungeklärt",133
2023,"Europa insgesamt",3622
2023,"Bulgarien",146
2023,"Griechenland",118
2023,"Italien",112
2023,"Kosovo",129
2023,"Polen",593
2023,"Rumänien",297
2023,"Serbien, Serbien und Montegro",172
2023,"Türkei",776
2023,"Ukraine",531
2023,"EU Staaten",1743
2023,"Afrika insgesamt",995
2023,"Ägypten",106
2023,"Tunesien",175
2023,"Amerika insgesamt",287
2023,"Asien insgesamt",11342
2023,"Afganistan",475
2023,"Libanon",195
2023,"Indien",199
2023,"Irak",1317
2023,"Iran, Islamische Republik",585
2023,"Palestinensische Gebiete",196
2023,"Syrien, Arabische Republik",7615
2023,"Australien und Ozeanien",0
2023,"Sonstige Ziele",622
2023,"staatenlos",481
2023,"ungeklärt",141
