Year,Abschlussart,Nationalität,Value
2012,Abschluss Förderschule2),Insgesamt,2073
2012,Ohne Abschluss,Insgesamt,2700
2012,Insgesamt,Insgesamt,87416
2011,Hochschulreife,Insgesamt,42076
2011,Fachhochschulreife1),Insgesamt,1547
2011,Realschulabschluss,Insgesamt,41338
2011,Hauptschulabschluss,Insgesamt,12695
2011,Abschluss Förderschule2),Insgesamt,2267
2011,Ohne Abschluss,Insgesamt,2818
2011,Insgesamt,Insgesamt,102741
2010,Hochschulreife,Insgesamt,24950
2010,Fachhochschulreife1),Insgesamt,1346
2010,Realschulabschluss,Insgesamt,41347
2010,Hauptschulabschluss,Insgesamt,14462
2010,Abschluss Förderschule2),Insgesamt,2153
2010,Ohne Abschluss,Insgesamt,3065
2010,Insgesamt,Insgesamt,87323
2005,Hochschulreife,Insgesamt,20073
2005,Fachhochschulreife1),Insgesamt,1757
2005,Realschulabschluss,Insgesamt,43181
2005,Hauptschulabschluss,Insgesamt,18693
2005,Abschluss Förderschule2),Insgesamt,3384
2005,Ohne Abschluss,Insgesamt,4961
2005,Insgesamt,Insgesamt,92049
2022,Hochschulreife,Deutsche,23983
2022,Fachhochschulreife1),Deutsche,2102
2022,Realschulabschluss,Deutsche,30088
2022,Hauptschulabschluss,Deutsche,8761
2022,Abschluss Förderschule2),Deutsche,1821
2022,Ohne Abschluss,Deutsche,1818
2022,Insgesamt,Deutsche,68573
2021,Hochschulreife,Deutsche,24894
2021,Fachhochschulreife1),Deutsche,1866
2021,Realschulabschluss,Deutsche,30950
2021,Hauptschulabschluss,Deutsche,8716
2021,Abschluss Förderschule2),Deutsche,1828
2021,Ohne Abschluss,Deutsche,1548
2021,Insgesamt,Deutsche,69802
2020,Hochschulreife,Deutsche,5039
2020,Fachhochschulreife1),Deutsche,1592
2020,Realschulabschluss,Deutsche,32466
2020,Hauptschulabschluss,Deutsche,8882
2020,Abschluss Förderschule2),Deutsche,1853
2020,Ohne Abschluss,Deutsche,1543
2020,Insgesamt,Deutsche,51375
2019,Hochschulreife,Deutsche,26426
2019,Fachhochschulreife1),Deutsche,2205
2019,Realschulabschluss,Deutsche,31449
2019,Hauptschulabschluss,Deutsche,9629
2019,Abschluss Förderschule2),Deutsche,1832
2019,Ohne Abschluss,Deutsche,2076
2019,Insgesamt,Deutsche,73617
2018,Hochschulreife,Deutsche,25872
2018,Fachhochschulreife1),Deutsche,2216
2018,Realschulabschluss,Deutsche,33213
2018,Hauptschulabschluss,Deutsche,9853
2018,Abschluss Förderschule2),Deutsche,1751
2018,Ohne Abschluss,Deutsche,1915
2018,Insgesamt,Deutsche,74820
2017,Hochschulreife,Deutsche,26092
2017,Fachhochschulreife1),Deutsche,2019
2017,Realschulabschluss,Deutsche,34782
2017,Hauptschulabschluss,Deutsche,10305
2017,Abschluss Förderschule2),Deutsche,1507
2017,Ohne Abschluss,Deutsche,2013
2017,Insgesamt,Deutsche,76718
2016,Hochschulreife,Deutsche,26873
2016,Fachhochschulreife1),Deutsche,1802
2016,Realschulabschluss,Deutsche,36674
2016,Hauptschulabschluss,Deutsche,10096
2016,Abschluss Förderschule2),Deutsche,1582
2016,Ohne Abschluss,Deutsche,1849
2016,Insgesamt,Deutsche,78876
2015,Hochschulreife,Deutsche,27241
2015,Fachhochschulreife1),Deutsche,1663
2015,Realschulabschluss,Deutsche,37907
2015,Hauptschulabschluss,Deutsche,9873
2015,Abschluss Förderschule2),Deutsche,1727
2015,Ohne Abschluss,Deutsche,1809
2015,Insgesamt,Deutsche,80220
2014,Hochschulreife,Deutsche,26061
2014,Fachhochschulreife1),Deutsche,1700
2014,Realschulabschluss,Deutsche,39729
2014,Hauptschulabschluss,Deutsche,10816
2014,Abschluss Förderschule2),Deutsche,1743
2014,Ohne Abschluss,Deutsche,1843
2014,Insgesamt,Deutsche,81892
2013,Hochschulreife,Deutsche,25264
2013,Fachhochschulreife1),Deutsche,1881
2013,Realschulabschluss,Deutsche,39852
2013,Hauptschulabschluss,Deutsche,11000
2013,Abschluss Förderschule2),Deutsche,1749
2013,Ohne Abschluss,Deutsche,1974
2013,Insgesamt,Deutsche,81720
2012,Hochschulreife,Deutsche,25981
2012,Fachhochschulreife1),Deutsche,1673
2012,Realschulabschluss,Deutsche,38964
2012,Hauptschulabschluss,Deutsche,11647
2012,Abschluss Förderschule2),Deutsche,1875
2012,Ohne Abschluss,Deutsche,2207
2012,Insgesamt,Deutsche,82347
2011,Hochschulreife,Deutsche,41181
2011,Fachhochschulreife1),Deutsche,1476
2011,Realschulabschluss,Deutsche,39147
2011,Hauptschulabschluss,Deutsche,11563
2011,Abschluss Förderschule2),Deutsche,1963
2011,Ohne Abschluss,Deutsche,2325
2011,Insgesamt,Deutsche,97655
2010,Hochschulreife,Deutsche,24492
2010,Fachhochschulreife1),Deutsche,1252
2010,Realschulabschluss,Deutsche,38745
2010,Hauptschulabschluss,Deutsche,12814
2010,Abschluss Förderschule2),Deutsche,1818
2010,Ohne Abschluss,Deutsche,2471
2010,Insgesamt,Deutsche,81592
2005,Hochschulreife,Deutsche,19598
2005,Fachhochschulreife1),Deutsche,1655
2005,Realschulabschluss,Deutsche,40717
2005,Hauptschulabschluss,Deutsche,16919
2005,Abschluss Förderschule2),Deutsche,2694
2005,Ohne Abschluss,Deutsche,4044
2005,Insgesamt,Deutsche,85627
2022,Hochschulreife,Ausländerinnen und Ausländer,827
2022,Fachhochschulreife1),Ausländerinnen und Ausländer,187
2022,Realschulabschluss,Ausländerinnen und Ausländer,3322
2022,Hauptschulabschluss,Ausländerinnen und Ausländer,1885
2022,Abschluss Förderschule2),Ausländerinnen und Ausländer,407
2022,Ohne Abschluss,Ausländerinnen und Ausländer,1040
2022,Insgesamt,Ausländerinnen und Ausländer,7668
2021,Hochschulreife,Ausländerinnen und Ausländer,590
2021,Fachhochschulreife1),Ausländerinnen und Ausländer,131
2021,Realschulabschluss,Ausländerinnen und Ausländer,2980
2021,Hauptschulabschluss,Ausländerinnen und Ausländer,1602
2021,Abschluss Förderschule2),Ausländerinnen und Ausländer,360
2021,Ohne Abschluss,Ausländerinnen und Ausländer,854
2021,Insgesamt,Ausländerinnen und Ausländer,6517
2020,Hochschulreife,Ausländerinnen und Ausländer,159
2020,Fachhochschulreife1),Ausländerinnen und Ausländer,101
2020,Realschulabschluss,Ausländerinnen und Ausländer,2783
2020,Hauptschulabschluss,Ausländerinnen und Ausländer,1684
2020,Abschluss Förderschule2),Ausländerinnen und Ausländer,304
2020,Ohne Abschluss,Ausländerinnen und Ausländer,912
2020,Insgesamt,Ausländerinnen und Ausländer,5943
2019,Hochschulreife,Ausländerinnen und Ausländer,654
2019,Fachhochschulreife1),Ausländerinnen und Ausländer,145
2019,Realschulabschluss,Ausländerinnen und Ausländer,2664
2019,Hauptschulabschluss,Ausländerinnen und Ausländer,1576
2019,Abschluss Förderschule2),Ausländerinnen und Ausländer,235
2019,Ohne Abschluss,Ausländerinnen und Ausländer,1281
2019,Insgesamt,Ausländerinnen und Ausländer,6555
2018,Hochschulreife,Ausländerinnen und Ausländer,651
2018,Fachhochschulreife1),Ausländerinnen und Ausländer,125
2018,Realschulabschluss,Ausländerinnen und Ausländer,2378
2018,Hauptschulabschluss,Ausländerinnen und Ausländer,1663
2018,Abschluss Förderschule2),Ausländerinnen und Ausländer,212
2018,Ohne Abschluss,Ausländerinnen und Ausländer,1215
2018,Insgesamt,Ausländerinnen und Ausländer,6244
2017,Hochschulreife,Ausländerinnen und Ausländer,642
2017,Fachhochschulreife1),Ausländerinnen und Ausländer,164
2017,Realschulabschluss,Ausländerinnen und Ausländer,2218
2017,Hauptschulabschluss,Ausländerinnen und Ausländer,1381
2017,Abschluss Förderschule2),Ausländerinnen und Ausländer,185
2017,Ohne Abschluss,Ausländerinnen und Ausländer,1125
2017,Insgesamt,Ausländerinnen und Ausländer,5715
2016,Hochschulreife,Ausländerinnen und Ausländer,681
2016,Fachhochschulreife1),Ausländerinnen und Ausländer,116
2016,Realschulabschluss,Ausländerinnen und Ausländer,2385
2016,Hauptschulabschluss,Ausländerinnen und Ausländer,1237
2016,Abschluss Förderschule2),Ausländerinnen und Ausländer,198
2016,Ohne Abschluss,Ausländerinnen und Ausländer,662
2016,Insgesamt,Ausländerinnen und Ausländer,5279
2015,Hochschulreife,Ausländerinnen und Ausländer,651
2015,Fachhochschulreife1),Ausländerinnen und Ausländer,134
2015,Realschulabschluss,Ausländerinnen und Ausländer,2734
2015,Hauptschulabschluss,Ausländerinnen und Ausländer,1247
2015,Abschluss Förderschule2),Ausländerinnen und Ausländer,280
2015,Ohne Abschluss,Ausländerinnen und Ausländer,523
2015,Insgesamt,Ausländerinnen und Ausländer,5569
2014,Hochschulreife,Ausländerinnen und Ausländer,663
2014,Fachhochschulreife1),Ausländerinnen und Ausländer,139
2014,Realschulabschluss,Ausländerinnen und Ausländer,2720
2014,Hauptschulabschluss,Ausländerinnen und Ausländer,1211
2014,Abschluss Förderschule2),Ausländerinnen und Ausländer,221
2014,Ohne Abschluss,Ausländerinnen und Ausländer,438
2014,Insgesamt,Ausländerinnen und Ausländer,5392
2013,Hochschulreife,Ausländerinnen und Ausländer,524
2013,Fachhochschulreife1),Ausländerinnen und Ausländer,82
2013,Realschulabschluss,Ausländerinnen und Ausländer,2353
2013,Hauptschulabschluss,Ausländerinnen und Ausländer,1132
2013,Abschluss Förderschule2),Ausländerinnen und Ausländer,253
2013,Ohne Abschluss,Ausländerinnen und Ausländer,396
2013,Insgesamt,Ausländerinnen und Ausländer,4740
2012,Hochschulreife,Ausländerinnen und Ausländer,674
2012,Fachhochschulreife1),Ausländerinnen und Ausländer,106
2012,Realschulabschluss,Ausländerinnen und Ausländer,2375
2012,Hauptschulabschluss,Ausländerinnen und Ausländer,1223
2012,Abschluss Förderschule2),Ausländerinnen und Ausländer,198
2012,Ohne Abschluss,Ausländerinnen und Ausländer,493
2012,Insgesamt,Ausländerinnen und Ausländer,5069
2011,Hochschulreife,Ausländerinnen und Ausländer,895
2011,Fachhochschulreife1),Ausländerinnen und Ausländer,71
2011,Realschulabschluss,Ausländerinnen und Ausländer,2191
2011,Hauptschulabschluss,Ausländerinnen und Ausländer,1132
2011,Abschluss Förderschule2),Ausländerinnen und Ausländer,304
2011,Ohne Abschluss,Ausländerinnen und Ausländer,493
2011,Insgesamt,Ausländerinnen und Ausländer,5086
2010,Hochschulreife,Ausländerinnen und Ausländer,458
2010,Fachhochschulreife1),Ausländerinnen und Ausländer,94
2010,Realschulabschluss,Ausländerinnen und Ausländer,2602
2010,Hauptschulabschluss,Ausländerinnen und Ausländer,1648
2010,Abschluss Förderschule2),Ausländerinnen und Ausländer,335
2010,Ohne Abschluss,Ausländerinnen und Ausländer,594
2010,Insgesamt,Ausländerinnen und Ausländer,5731
2005,Hochschulreife,Ausländerinnen und Ausländer,475
2005,Fachhochschulreife1),Ausländerinnen und Ausländer,102
2005,Realschulabschluss,Ausländerinnen und Ausländer,2464
2005,Hauptschulabschluss,Ausländerinnen und Ausländer,1774
2005,Abschluss Förderschule2),Ausländerinnen und Ausländer,690
2005,Ohne Abschluss,Ausländerinnen und Ausländer,917
2005,Insgesamt,Ausländerinnen und Ausländer,6422
