Year,Kategorie,Geschlecht,Units,Value
Juni 2012,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,+8.4
Juni 2013,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,+8
Juni 2014,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,+8.1
Juni 2015,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,+8.7
Juni 2016,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,+11.6
Juni 2017,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,+10.7
Juni 2018,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,+9.1
Juni 2019,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,+8.4
Juni 2020,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,+10.1
Juni 2021,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,+8.2
Juni 2022,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,+7.6
Juni 2023,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,+9.4
Juni 2024,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,+8.5
Juni 2007,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,+15.2
Juni 2008,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,+15.7
Juni 2009,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,+14.3
Juni 2010,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,+13.3
Juni 2011,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,+12.8
Juni 2012,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,+12.1
Juni 2013,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,+11.8
Juni 2014,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,+12.5
Juni 2015,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,+13.6
Juni 2016,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,+13.9
Juni 2017,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,+14.5
Juni 2018,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,+13.2
Juni 2019,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,+12.7
Juni 2020,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,+14.9
Juni 2021,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,+14
Juni 2022,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,+17
Juni 2023,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,+18
Juni 2024,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,+15
Juni 2007,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,+7.4
Juni 2008,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,+7.2
Juni 2009,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,+6.6
Juni 2010,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,+6.4
Juni 2011,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,+6.6
Juni 2012,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,+6.1
Juni 2013,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,+5.6
Juni 2014,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,+6.8
Juni 2015,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,+7.6
Juni 2016,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,+13.1
Juni 2017,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,+11.3
Juni 2018,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,+9.1
Juni 2019,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,+7.9
Juni 2020,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,+9.2
Juni 2021,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,+7
Juni 2022,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,+8.6
Juni 2023,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,+9
Juni 2024,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,+8.1
Juni 2007,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),15 bis unter 20 Jahre,Prozentpunkte,+9.5
Juni 2008,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),15 bis unter 20 Jahre,Prozentpunkte,+8.5
Juni 2009,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),15 bis unter 20 Jahre,Prozentpunkte,+7
Juni 2010,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),15 bis unter 20 Jahre,Prozentpunkte,+7
Juni 2011,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),15 bis unter 20 Jahre,Prozentpunkte,+6.5
Juni 2012,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),15 bis unter 20 Jahre,Prozentpunkte,+5.8
Juni 2013,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),15 bis unter 20 Jahre,Prozentpunkte,+6.5
Juni 2014,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),15 bis unter 20 Jahre,Prozentpunkte,+7.8
Juni 2015,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),15 bis unter 20 Jahre,Prozentpunkte,+9.3
Juni 2016,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),15 bis unter 20 Jahre,Prozentpunkte,+13.5
Juni 2017,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),15 bis unter 20 Jahre,Prozentpunkte,+10.5
Juni 2018,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),15 bis unter 20 Jahre,Prozentpunkte,+8.7
Juni 2019,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),15 bis unter 20 Jahre,Prozentpunkte,+7
Juni 2020,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),15 bis unter 20 Jahre,Prozentpunkte,+8
Juni 2021,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),15 bis unter 20 Jahre,Prozentpunkte,+7.7
Juni 2022,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),15 bis unter 20 Jahre,Prozentpunkte,+15
Juni 2023,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),15 bis unter 20 Jahre,Prozentpunkte,+11.2
Juni 2024,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),15 bis unter 20 Jahre,Prozentpunkte,+10
Juni 2007,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),20 bis unter 25 Jahre,Prozentpunkte,+6.3
Juni 2008,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),20 bis unter 25 Jahre,Prozentpunkte,+6.6
Juni 2009,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),20 bis unter 25 Jahre,Prozentpunkte,+6.2
Juni 2010,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),20 bis unter 25 Jahre,Prozentpunkte,+5.9
Juni 2011,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),20 bis unter 25 Jahre,Prozentpunkte,+6.4
Juni 2012,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),20 bis unter 25 Jahre,Prozentpunkte,+6.1
Juni 2013,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),20 bis unter 25 Jahre,Prozentpunkte,+5.1
Juni 2014,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),20 bis unter 25 Jahre,Prozentpunkte,+6.2
Juni 2015,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),20 bis unter 25 Jahre,Prozentpunkte,+6.8
Juni 2016,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),20 bis unter 25 Jahre,Prozentpunkte,+12.6
Juni 2017,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),20 bis unter 25 Jahre,Prozentpunkte,+11.2
Juni 2018,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),20 bis unter 25 Jahre,Prozentpunkte,+8.8
Juni 2019,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),20 bis unter 25 Jahre,Prozentpunkte,+7.9
Juni 2020,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),20 bis unter 25 Jahre,Prozentpunkte,+9
Juni 2021,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),20 bis unter 25 Jahre,Prozentpunkte,+6.5
Juni 2022,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),20 bis unter 25 Jahre,Prozentpunkte,+7.1
Juni 2023,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),20 bis unter 25 Jahre,Prozentpunkte,+8.3
Juni 2024,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),20 bis unter 25 Jahre,Prozentpunkte,+7.3
