Year,Altersgruppe,Geschlecht,Units,Value
2015,20 – 40,Männlich,in 1000,208.27923
2015,40 – 65,Männlich,in 1000,218.73973
2015,65 – 80,Männlich,in 1000,56.28642
2015,80 und älter,Männlich,in 1000,10.06043
2015,Insgesamt,Männlich,in 1000,712.12392
2014,0 – 3,Männlich,in 1000,32.21015
2014,3 – 6,Männlich,in 1000,30.18083
2014,6 – 15,Männlich,in 1000,97.20684
2014,15 – 20,Männlich,in 1000,49.86664
2014,20 – 40,Männlich,in 1000,198.49485
2014,40 – 65,Männlich,in 1000,209.40411
2014,65 – 80,Männlich,in 1000,56.05625
2014,80 und älter,Männlich,in 1000,9.36286
2014,Insgesamt,Männlich,in 1000,682.78253
2013,0 – 3,Männlich,in 1000,32.36027
2013,3 – 6,Männlich,in 1000,32.66129
2013,6 – 15,Männlich,in 1000,91.49189
2013,15 – 20,Männlich,in 1000,48.30245
2013,20 – 40,Männlich,in 1000,201.90835
2013,40 – 65,Männlich,in 1000,210.08564
2013,65 – 80,Männlich,in 1000,53.52813
2013,80 und älter,Männlich,in 1000,8.59688
2013,Insgesamt,Männlich,in 1000,678.93489
2012,0 – 3,Männlich,in 1000,27.89904
2012,3 – 6,Männlich,in 1000,30.91463
2012,6 – 15,Männlich,in 1000,93.99451
2012,15 – 20,Männlich,in 1000,49.12214
2012,20 – 40,Männlich,in 1000,190.89631
2012,40 – 65,Männlich,in 1000,198.17562
2012,65 – 80,Männlich,in 1000,50.49454
2012,80 und älter,Männlich,in 1000,8.1998
2012,Insgesamt,Männlich,in 1000,649.69659
2011,0 – 3,Männlich,in 1000,29.84017
2011,3 – 6,Männlich,in 1000,26.73429
2011,6 – 15,Männlich,in 1000,94.7194
2011,15 – 20,Männlich,in 1000,48.4842
2011,20 – 40,Männlich,in 1000,188.87362
2011,40 – 65,Männlich,in 1000,188.1742
2011,65 – 80,Männlich,in 1000,47.86523
2011,80 und älter,Männlich,in 1000,7.95236
2011,Insgesamt,Männlich,in 1000,632.64347
2010,0 – 3,Männlich,in 1000,29.6438
2010,3 – 6,Männlich,in 1000,34.16418
2010,6 – 15,Männlich,in 1000,91.29125
2010,15 – 20,Männlich,in 1000,52.3487
2010,20 – 40,Männlich,in 1000,200.93584
2010,40 – 65,Männlich,in 1000,209.07029
2010,65 – 80,Männlich,in 1000,49.34526
2010,80 und älter,Männlich,in 1000,8.48054
2010,Insgesamt,Männlich,in 1000,675.27986
2022,0 – 3,Weiblich,in 1000,43.78
2022,3 – 6,Weiblich,in 1000,42.72
2022,6 – 15,Weiblich,in 1000,132.16
2022,15 – 20,Weiblich,in 1000,63.47
2022,20 – 40,Weiblich,in 1000,282.85
2022,40 – 65,Weiblich,in 1000,310.99
2022,65 – 80,Weiblich,in 1000,85.06
2022,80 und älter,Weiblich,in 1000,24.99
2022,Insgesamt,Weiblich,in 1000,986.03
2021,0 – 3,Weiblich,in 1000,43.92
2021,3 – 6,Weiblich,in 1000,42.77
2021,6 – 15,Weiblich,in 1000,119.49
2021,15 – 20,Weiblich,in 1000,59.91
2021,20 – 40,Weiblich,in 1000,269.33
2021,40 – 65,Weiblich,in 1000,294.65
2021,65 – 80,Weiblich,in 1000,79.44
2021,80 und älter,Weiblich,in 1000,25.29
2021,Insgesamt,Weiblich,in 1000,934.79
2019,0 – 3,Weiblich,in 1000,42.1385
2019,3 – 6,Weiblich,in 1000,37.17029
2019,6 – 15,Weiblich,in 1000,109.78659
2019,15 – 20,Weiblich,in 1000,55.1153
2019,20 – 40,Weiblich,in 1000,256.22624
2019,40 – 65,Weiblich,in 1000,260.36651
2019,65 – 80,Weiblich,in 1000,69.25161
2019,80 und älter,Weiblich,in 1000,19.45996
2019,Insgesamt,Weiblich,in 1000,849.51499
2018,0 – 3,Weiblich,in 1000,37.8791
2018,3 – 6,Weiblich,in 1000,38.64803
2018,6 – 15,Weiblich,in 1000,103.20057
2018,15 – 20,Weiblich,in 1000,56.27779
2018,20 – 40,Weiblich,in 1000,252.66542
2018,40 – 65,Weiblich,in 1000,259.90301
2018,65 – 80,Weiblich,in 1000,66.4311
2018,80 und älter,Weiblich,in 1000,20.70491
2018,Insgesamt,Weiblich,in 1000,835.70994
2017,0 – 3,Weiblich,in 1000,39.08281
2017,3 – 6,Weiblich,in 1000,36.52432
2017,6 – 15,Weiblich,in 1000,104.13961
2017,15 – 20,Weiblich,in 1000,55.91233
2017,20 – 40,Weiblich,in 1000,255.05916
2017,40 – 65,Weiblich,in 1000,258.38357
2017,65 – 80,Weiblich,in 1000,62.01549
2017,80 und älter,Weiblich,in 1000,18.92638
2017,Insgesamt,Weiblich,in 1000,830.04367
2016,0 – 3,Weiblich,in 1000,36.86313
2016,3 – 6,Weiblich,in 1000,31.44243
2016,6 – 15,Weiblich,in 1000,95.10002
2016,15 – 20,Weiblich,in 1000,46.48517
2016,20 – 40,Weiblich,in 1000,222.21595
2016,40 – 65,Weiblich,in 1000,232.29144
2016,65 – 80,Weiblich,in 1000,62.81429
2016,80 und älter,Weiblich,in 1000,18.56535
2016,Insgesamt,Weiblich,in 1000,745.77777
2015,0 – 3,Weiblich,in 1000,30.34333
2015,3 – 6,Weiblich,in 1000,32.33085
2015,6 – 15,Weiblich,in 1000,84.3322
2015,15 – 20,Weiblich,in 1000,43.9328
2015,20 – 40,Weiblich,in 1000,204.0214
2015,40 – 65,Weiblich,in 1000,220.87495
2015,65 – 80,Weiblich,in 1000,55.83029
2015,80 und älter,Weiblich,in 1000,16.40996
2015,Insgesamt,Weiblich,in 1000,688.07579
2014,0 – 3,Weiblich,in 1000,31.5204
2014,3 – 6,Weiblich,in 1000,29.92632
2014,6 – 15,Weiblich,in 1000,86.03047
2014,15 – 20,Weiblich,in 1000,44.52965
2014,20 – 40,Weiblich,in 1000,196.50056
2014,40 – 65,Weiblich,in 1000,215.3084
2014,65 – 80,Weiblich,in 1000,52.52677
2014,80 und älter,Weiblich,in 1000,18.1894
2014,Insgesamt,Weiblich,in 1000,674.53196
2013,0 – 3,Weiblich,in 1000,25.28264
2013,3 – 6,Weiblich,in 1000,29.11624
2013,6 – 15,Weiblich,in 1000,90.23213
2013,15 – 20,Weiblich,in 1000,45.75808
2013,20 – 40,Weiblich,in 1000,203.49382
2013,40 – 65,Weiblich,in 1000,206.28955
2013,65 – 80,Weiblich,in 1000,48.62239
2013,80 und älter,Weiblich,in 1000,18.34157
2013,Insgesamt,Weiblich,in 1000,667.13641
2012,0 – 3,Weiblich,in 1000,26.68881
2012,3 – 6,Weiblich,in 1000,29.0438
2012,6 – 15,Weiblich,in 1000,89.78107
2012,15 – 20,Weiblich,in 1000,44.97681
2012,20 – 40,Weiblich,in 1000,193.85954
2012,40 – 65,Weiblich,in 1000,199.38325
2012,65 – 80,Weiblich,in 1000,49.9929
2012,80 und älter,Weiblich,in 1000,15.31055
2012,Insgesamt,Weiblich,in 1000,649.03673
2011,0 – 3,Weiblich,in 1000,25.88086
2011,3 – 6,Weiblich,in 1000,29.922
2011,6 – 15,Weiblich,in 1000,86.88413
2011,15 – 20,Weiblich,in 1000,45.07573
2011,20 – 40,Weiblich,in 1000,190.72764
2011,40 – 65,Weiblich,in 1000,198.01193
2011,65 – 80,Weiblich,in 1000,44.14781
2011,80 und älter,Weiblich,in 1000,14.3084
2011,Insgesamt,Weiblich,in 1000,634.9585
2010,0 – 3,Weiblich,in 1000,30.12173
2010,3 – 6,Weiblich,in 1000,27.64973
2010,6 – 15,Weiblich,in 1000,87.0647
2010,15 – 20,Weiblich,in 1000,46.44717
2010,20 – 40,Weiblich,in 1000,200.92061
2010,40 – 65,Weiblich,in 1000,205.49851
2010,65 – 80,Weiblich,in 1000,49.84039
2010,80 und älter,Weiblich,in 1000,12.00553
2010,Insgesamt,Weiblich,in 1000,659.54839
2022,0 – 3,Insgesamt,in 1000,92.16
2022,3 – 6,Insgesamt,in 1000,93.95
2022,6 – 15,Insgesamt,in 1000,261.92
2022,15 – 20,Insgesamt,in 1000,138.74
2022,20 – 40,Insgesamt,in 1000,596.21
2022,40 – 65,Insgesamt,in 1000,615.07
2022,65 – 80,Insgesamt,in 1000,158.31
2022,80 und älter,Insgesamt,in 1000,45.94
2022,Insgesamt,Insgesamt,in 1000,2002.3
2021,0 – 3,Insgesamt,in 1000,91.05
2021,3 – 6,Insgesamt,in 1000,85.98
2021,6 – 15,Insgesamt,in 1000,248.31
2021,15 – 20,Insgesamt,in 1000,130.99
2021,20 – 40,Insgesamt,in 1000,572.27
2021,40 – 65,Insgesamt,in 1000,593.61
2021,65 – 80,Insgesamt,in 1000,151.04
2021,80 und älter,Insgesamt,in 1000,46.06
2021,Insgesamt,Insgesamt,in 1000,1919.3
2019,0 – 3,Insgesamt,in 1000,83.31298
2019,3 – 6,Insgesamt,in 1000,75.63413
2019,6 – 15,Insgesamt,in 1000,227.47427
2019,15 – 20,Insgesamt,in 1000,117.14478
2019,20 – 40,Insgesamt,in 1000,549.78643
2019,40 – 65,Insgesamt,in 1000,533.19138
2019,65 – 80,Insgesamt,in 1000,132.4735
2019,80 und älter,Insgesamt,in 1000,31.77423
2019,Insgesamt,Insgesamt,in 1000,1750.79168
2018,0 – 3,Insgesamt,in 1000,76.94035
2018,3 – 6,Insgesamt,in 1000,74.68905
2018,6 – 15,Insgesamt,in 1000,219.62191
2018,15 – 20,Insgesamt,in 1000,115.8593
2018,20 – 40,Insgesamt,in 1000,551.89752
2018,40 – 65,Insgesamt,in 1000,525.18771
2018,65 – 80,Insgesamt,in 1000,130.6223
2018,80 und älter,Insgesamt,in 1000,31.28835
2018,Insgesamt,Insgesamt,in 1000,1726.1065
2017,0 – 3,Insgesamt,in 1000,80.29816
2017,3 – 6,Insgesamt,in 1000,73.40556
2017,6 – 15,Insgesamt,in 1000,222.89545
2017,15 – 20,Insgesamt,in 1000,122.72489
2017,20 – 40,Insgesamt,in 1000,558.99781
2017,40 – 65,Insgesamt,in 1000,521.22007
2017,65 – 80,Insgesamt,in 1000,121.68876
2017,80 und älter,Insgesamt,in 1000,32.18433
2017,Insgesamt,Insgesamt,in 1000,1733.41503
2016,0 – 3,Insgesamt,in 1000,76.32548
2016,3 – 6,Insgesamt,in 1000,70.86255
2016,6 – 15,Insgesamt,in 1000,202.42154
2016,15 – 20,Insgesamt,in 1000,105.77388
2016,20 – 40,Insgesamt,in 1000,478.61824
2016,40 – 65,Insgesamt,in 1000,473.65946
2016,65 – 80,Insgesamt,in 1000,117.94219
2016,80 und älter,Insgesamt,in 1000,31.57263
2016,Insgesamt,Insgesamt,in 1000,1557.17594
2015,0 – 3,Insgesamt,in 1000,66.64802
2015,3 – 6,Insgesamt,in 1000,64.26694
2015,6 – 15,Insgesamt,in 1000,182.41051
2015,15 – 20,Insgesamt,in 1000,96.37182
2015,20 – 40,Insgesamt,in 1000,412.30063
2015,40 – 65,Insgesamt,in 1000,439.61468
2015,65 – 80,Insgesamt,in 1000,112.11671
2015,80 und älter,Insgesamt,in 1000,26.47039
2015,Insgesamt,Insgesamt,in 1000,1400.19971
2014,0 – 3,Insgesamt,in 1000,63.73055
2014,3 – 6,Insgesamt,in 1000,60.10715
2014,6 – 15,Insgesamt,in 1000,183.23731
2014,15 – 20,Insgesamt,in 1000,94.39629
2014,20 – 40,Insgesamt,in 1000,394.99541
2014,40 – 65,Insgesamt,in 1000,424.71251
2014,65 – 80,Insgesamt,in 1000,108.58302
2014,80 und älter,Insgesamt,in 1000,27.55226
2014,Insgesamt,Insgesamt,in 1000,1357.31449
2013,0 – 3,Insgesamt,in 1000,57.64291
2013,3 – 6,Insgesamt,in 1000,61.77753
2013,6 – 15,Insgesamt,in 1000,181.72402
2013,15 – 20,Insgesamt,in 1000,94.06053
2013,20 – 40,Insgesamt,in 1000,405.40217
2013,40 – 65,Insgesamt,in 1000,416.37519
2013,65 – 80,Insgesamt,in 1000,102.15052
2013,80 und älter,Insgesamt,in 1000,26.93845
2013,Insgesamt,Insgesamt,in 1000,1346.0713
2012,0 – 3,Insgesamt,in 1000,54.58785
2012,3 – 6,Insgesamt,in 1000,59.95843
2012,6 – 15,Insgesamt,in 1000,183.77558
2012,15 – 20,Insgesamt,in 1000,94.09895
2012,20 – 40,Insgesamt,in 1000,384.75585
2012,40 – 65,Insgesamt,in 1000,397.55887
2012,65 – 80,Insgesamt,in 1000,100.48744
2012,80 und älter,Insgesamt,in 1000,23.51035
2012,Insgesamt,Insgesamt,in 1000,1298.73332
2011,0 – 3,Insgesamt,in 1000,55.72103
2011,3 – 6,Insgesamt,in 1000,56.65629
2011,6 – 15,Insgesamt,in 1000,181.60353
2011,15 – 20,Insgesamt,in 1000,93.55993
2011,20 – 40,Insgesamt,in 1000,379.60126
2011,40 – 65,Insgesamt,in 1000,386.18613
2011,65 – 80,Insgesamt,in 1000,92.01304
2011,80 und älter,Insgesamt,in 1000,22.26076
2011,Insgesamt,Insgesamt,in 1000,1267.60197
2010,0 – 3,Insgesamt,in 1000,59.76553
2010,3 – 6,Insgesamt,in 1000,61.81391
2010,6 – 15,Insgesamt,in 1000,178.35595
2010,15 – 20,Insgesamt,in 1000,98.79587
2010,20 – 40,Insgesamt,in 1000,401.85645
2010,40 – 65,Insgesamt,in 1000,414.5688
2010,65 – 80,Insgesamt,in 1000,99.18565
2010,80 und älter,Insgesamt,in 1000,20.48607
2010,Insgesamt,Insgesamt,in 1000,1334.82825
2022,0 – 3,Männlich,%,39.2981886118106
2022,3 – 6,Männlich,%,39.8305084745763
2022,6 – 15,Männlich,%,38.1344226643548
2022,15 – 20,Männlich,%,37.053263758984
2022,20 – 40,Männlich,%,31.8513549226485
2022,40 – 65,Männlich,%,21.9481738126173
2022,65 – 80,Männlich,%,12.9065792719456
2022,80 und älter,Männlich,%,9.91383391724269
2022,Insgesamt,Männlich,%,25.7729265837038
2021,0 – 3,Männlich,%,38.094083414161
2021,3 – 6,Männlich,%,36.6839290262331
2021,6 – 15,Männlich,%,38.6974676319505
2021,15 – 20,Männlich,%,34.6123880015582
2021,20 – 40,Männlich,%,31.2880837791502
2021,40 – 65,Männlich,%,21.4582047343564
2021,65 – 80,Männlich,%,12.8292420713134
2021,80 und älter,Männlich,%,9.99326404926867
2021,Insgesamt,Männlich,%,25.1975214797411
2019,0 – 3,Männlich,%,38.1124178258588
2019,3 – 6,Männlich,%,34.3820203024958
2019,6 – 15,Männlich,%,35.271621414663
2019,15 – 20,Männlich,%,30.9826868613076
2019,20 – 40,Männlich,%,30.1919486139044
2019,40 – 65,Männlich,%,19.2532906611662
2019,65 – 80,Männlich,%,11.1943013396002
2019,80 und älter,Männlich,%,6.71832729211791
2019,Insgesamt,Männlich,%,23.1620457421604
2018,0 – 3,Männlich,%,36.6760488371126
2018,3 – 6,Männlich,%,36.6669579728589
2018,6 – 15,Männlich,%,35.1003078794008
2018,15 – 20,Männlich,%,28.4580094991364
2018,20 – 40,Männlich,%,30.7189058442526
2018,40 – 65,Männlich,%,18.7870140748558
2018,65 – 80,Männlich,%,10.9728404455406
2018,80 und älter,Männlich,%,6.1906004469003
2018,Insgesamt,Männlich,%,22.901341234937
2017,0 – 3,Männlich,%,38.1484934272967
2017,3 – 6,Männlich,%,36.3403860346464
2017,6 – 15,Männlich,%,34.759146328078
2017,15 – 20,Männlich,%,30.0695669072635
2017,20 – 40,Männlich,%,31.2276267069869
2017,40 – 65,Männlich,%,18.3591802680301
2017,65 – 80,Männlich,%,10.4620213407579
2017,80 und älter,Männlich,%,8.18646867580252
2017,Insgesamt,Männlich,%,23.1003479681413
2016,0 – 3,Männlich,%,36.5888823707813
2016,3 – 6,Männlich,%,36.8330167840128
2016,6 – 15,Männlich,%,32.1850521923072
2016,15 – 20,Männlich,%,26.4732997634408
2016,20 – 40,Männlich,%,26.6714138724129
2016,40 – 65,Männlich,%,16.615843261135
2016,65 – 80,Männlich,%,9.47709555925374
2016,80 und älter,Männlich,%,7.91944369404049
2016,Insgesamt,Männlich,%,20.6347041803892
2015,0 – 3,Männlich,%,34.8820801715323
2015,3 – 6,Männlich,%,31.8740344423442
2015,6 – 15,Männlich,%,30.1870738249184
2015,15 – 20,Männlich,%,23.916923715309
2015,20 – 40,Männlich,%,22.9639170236563
2015,40 – 65,Männlich,%,15.1685999524457
2015,65 – 80,Männlich,%,9.47390064708383
2015,80 und älter,Männlich,%,5.94690058543138
2015,Insgesamt,Männlich,%,18.4451632978653
2014,0 – 3,Männlich,%,31.5843627048561
2014,3 – 6,Männlich,%,31.1038203159661
2014,6 – 15,Männlich,%,28.9792344707946
2014,15 – 20,Männlich,%,23.5063372396299
2014,20 – 40,Männlich,%,22.1208437213449
2014,40 – 65,Männlich,%,14.6714989740241
2014,65 – 80,Männlich,%,9.37568417719857
2014,80 und älter,Männlich,%,5.86787795483691
2014,Insgesamt,Männlich,%,17.8335164998307
2013,0 – 3,Männlich,%,33.7437995242956
2013,3 – 6,Männlich,%,31.9329380036621
2013,6 – 15,Männlich,%,26.6802891093275
2013,15 – 20,Männlich,%,22.725873016239
2013,20 – 40,Männlich,%,22.7900986207222
2013,40 – 65,Männlich,%,14.643827899241
2013,65 – 80,Männlich,%,9.07386550681674
2013,80 und älter,Männlich,%,5.78944224541638
2013,Insgesamt,Männlich,%,17.8074948526224
2012,0 – 3,Männlich,%,30.5921730028271
2012,3 – 6,Männlich,%,29.8402583541899
2012,6 – 15,Männlich,%,26.3110674956369
2012,15 – 20,Männlich,%,22.1609414272405
2012,20 – 40,Männlich,%,21.7727782021467
2012,40 – 65,Männlich,%,13.7394698914161
2012,65 – 80,Männlich,%,8.81384191616537
2012,80 und älter,Männlich,%,5.7415561705239
2012,Insgesamt,Männlich,%,17.058831624171
2011,0 – 3,Männlich,%,31.5932176185393
2011,3 – 6,Männlich,%,27.0194560410023
2011,6 – 15,Männlich,%,25.7107484475599
2011,15 – 20,Männlich,%,21.7917025841291
2011,20 – 40,Männlich,%,21.4797434275798
2011,40 – 65,Männlich,%,13.179953025166
2011,65 – 80,Männlich,%,8.38327692024284
2011,80 und älter,Männlich,%,5.60999595071441
2011,Insgesamt,Männlich,%,16.6308134628462
2010,0 – 3,Männlich,%,32.2464496467269
2010,3 – 6,Männlich,%,32.7607394084092
2010,6 – 15,Männlich,%,24.7757565553219
2010,15 – 20,Männlich,%,22.1602735124013
2010,20 – 40,Männlich,%,21.9313459132191
2010,40 – 65,Männlich,%,14.4147547700055
2010,65 – 80,Männlich,%,8.423030439318
2010,80 und älter,Männlich,%,6.15387986853015
2010,Insgesamt,Männlich,%,17.354245878989
2022,0 – 3,Weiblich,%,38.8913564892956
2022,3 – 6,Weiblich,%,37.7318494965554
2022,6 – 15,Weiblich,%,39.6234334712478
2022,15 – 20,Weiblich,%,35.2591522693184
2022,20 – 40,Weiblich,%,30.3757638240064
2022,40 – 65,Weiblich,%,21.8977742414747
2022,65 – 80,Weiblich,%,13.5015873015873
2022,80 und älter,Weiblich,%,8.03252868760246
2022,Insgesamt,Weiblich,%,24.4562615797867
2021,0 – 3,Weiblich,%,40.1793065593267
2021,3 – 6,Weiblich,%,37.5241270398315
2021,6 – 15,Weiblich,%,37.4025730115504
2021,15 – 20,Weiblich,%,32.0786035553652
2021,20 – 40,Weiblich,%,29.6106951636488
2021,40 – 65,Weiblich,%,20.8502869435383
2021,65 – 80,Weiblich,%,12.9416939543522
2021,80 und älter,Weiblich,%,8.19427793798399
2021,Insgesamt,Weiblich,%,23.518386200789
2019,0 – 3,Weiblich,%,39.6650471568684
2019,3 – 6,Weiblich,%,34.3346115956233
2019,6 – 15,Weiblich,%,35.3394584503184
2019,15 – 20,Weiblich,%,28.0577456468605
2019,20 – 40,Weiblich,%,28.5786118492079
2019,40 – 65,Weiblich,%,18.1876979380279
2019,65 – 80,Weiblich,%,11.0794033336854
2019,80 und älter,Weiblich,%,6.98481875596389
2019,Insgesamt,Weiblich,%,21.4884077195552
2018,0 – 3,Weiblich,%,37.6489033104887
2018,3 – 6,Weiblich,%,37.6419289934766
2018,6 – 15,Weiblich,%,33.8821488846285
2018,15 – 20,Weiblich,%,28.7368514040147
2018,20 – 40,Weiblich,%,28.1945150380187
2018,40 – 65,Weiblich,%,18.3021803996227
2018,65 – 80,Weiblich,%,10.2937602731553
2018,80 und älter,Weiblich,%,7.66057833344458
2018,Insgesamt,Weiblich,%,21.2348522149998
2017,0 – 3,Weiblich,%,36.7587629439997
2017,3 – 6,Weiblich,%,36.2074002463834
2017,6 – 15,Weiblich,%,33.2228824145463
2017,15 – 20,Weiblich,%,27.9073118552318
2017,20 – 40,Weiblich,%,28.4245477056831
2017,40 – 65,Weiblich,%,18.0859518963164
2017,65 – 80,Weiblich,%,9.78278863068322
2017,80 und älter,Weiblich,%,7.21244735344966
2017,Insgesamt,Weiblich,%,21.0494418019768
2016,0 – 3,Weiblich,%,35.9979059317676
2016,3 – 6,Weiblich,%,32.5762935021534
2016,6 – 15,Weiblich,%,29.8351384634054
2016,15 – 20,Weiblich,%,22.5170310915055
2016,20 – 40,Weiblich,%,24.9705745934842
2016,40 – 65,Weiblich,%,15.9907173046843
2016,65 – 80,Weiblich,%,9.47503046705859
2016,80 und älter,Weiblich,%,6.40158699815125
2016,Insgesamt,Weiblich,%,18.5532925729543
2015,0 – 3,Weiblich,%,31.7249184746526
2015,3 – 6,Weiblich,%,32.2749175678549
2015,6 – 15,Weiblich,%,27.6493957913819
2015,15 – 20,Weiblich,%,21.8456514385213
2015,20 – 40,Weiblich,%,23.1095303232574
2015,40 – 65,Weiblich,%,15.2397394924724
2015,65 – 80,Weiblich,%,8.40815771700261
2015,80 und älter,Weiblich,%,5.63188090282874
2015,Insgesamt,Weiblich,%,17.2472210938053
2014,0 – 3,Weiblich,%,33.2102084693807
2014,3 – 6,Weiblich,%,30.9963544509061
2014,6 – 15,Weiblich,%,27.2650551373542
2014,15 – 20,Weiblich,%,21.4690189208004
2014,20 – 40,Weiblich,%,22.5489618040036
2014,40 – 65,Weiblich,%,15.10369799372
2014,65 – 80,Weiblich,%,7.82855358303022
2014,80 und älter,Weiblich,%,6.31332580522203
2014,Insgesamt,Weiblich,%,16.9887782863105
2013,0 – 3,Weiblich,%,28.3577390429477
2013,3 – 6,Weiblich,%,29.7836285706482
2013,6 – 15,Weiblich,%,27.5830868526974
2013,15 – 20,Weiblich,%,21.9663386299266
2013,20 – 40,Weiblich,%,23.4730777883818
2013,40 – 65,Weiblich,%,14.3593083502355
2013,65 – 80,Weiblich,%,7.32572038259052
2013,80 und älter,Weiblich,%,6.50711087579351
2013,Insgesamt,Weiblich,%,16.7981167798199
2012,0 – 3,Weiblich,%,29.3753341194255
2012,3 – 6,Weiblich,%,29.7190251675135
2012,6 – 15,Weiblich,%,26.7683883114831
2012,15 – 20,Weiblich,%,21.1309377131067
2012,20 – 40,Weiblich,%,22.5134175572046
2012,40 – 65,Weiblich,%,13.9370666210354
2012,65 – 80,Weiblich,%,7.59334949265576
2012,80 und älter,Weiblich,%,5.41277789691825
2012,Insgesamt,Weiblich,%,16.3495682361173
2011,0 – 3,Weiblich,%,28.2877145335437
2011,3 – 6,Weiblich,%,30.5810678845131
2011,6 – 15,Weiblich,%,25.2323081443248
2011,15 – 20,Weiblich,%,21.2434095244998
2011,20 – 40,Weiblich,%,22.0917815829775
2011,40 – 65,Weiblich,%,13.8552369192333
2011,65 – 80,Weiblich,%,6.75132282026056
2011,80 und älter,Weiblich,%,5.07407668251757
2011,Insgesamt,Weiblich,%,15.9767951850512
2010,0 – 3,Weiblich,%,31.4975426635436
2010,3 – 6,Weiblich,%,28.6464992651816
2010,6 – 15,Weiblich,%,25.2848442704952
2010,15 – 20,Weiblich,%,21.1806276788343
2010,20 – 40,Weiblich,%,22.5986420362912
2010,40 – 65,Weiblich,%,14.2173309483098
2010,65 – 80,Weiblich,%,7.45767376805026
2010,80 und älter,Weiblich,%,4.39704779019189
2010,Insgesamt,Weiblich,%,16.3594039577566
2022,0 – 3,Insgesamt,%,39.102210530782
2022,3 – 6,Insgesamt,%,38.8479986768111
2022,6 – 15,Insgesamt,%,38.8714919636099
2022,15 – 20,Insgesamt,%,36.2103614772282
2022,20 – 40,Insgesamt,%,31.1338440409611
2022,40 – 65,Insgesamt,%,21.9230179748288
2022,65 – 80,Insgesamt,%,13.2196001803698
2022,80 und älter,Insgesamt,%,8.79520609576321
2022,Insgesamt,Insgesamt,%,25.1073989271393
2021,0 – 3,Insgesamt,%,39.0722224606274
2021,3 – 6,Insgesamt,%,37.0955216153249
2021,6 – 15,Insgesamt,%,38.06392274086
2021,15 – 20,Insgesamt,%,33.4055901254718
2021,20 – 40,Insgesamt,%,30.4750696282411
2021,40 – 65,Insgesamt,%,21.1520850630169
2021,65 – 80,Insgesamt,%,12.8881417832123
2021,80 und älter,Insgesamt,%,8.91840607210626
2021,Insgesamt,Insgesamt,%,24.3507585109663
2019,0 – 3,Insgesamt,%,38.8822166261711
2019,3 – 6,Insgesamt,%,34.3587050087605
2019,6 – 15,Insgesamt,%,35.30432871337
