Year,Gebietseinheit,Wanderung,Nationalität / Geschlecht,Units,GeoCode,Value
2022,"Oldenburg (Oldb), Stadt",Zuzüge,Insgesamt,Anzahl,K03403,5381
2022,"Osnabrück, Stadt",Zuzüge,Insgesamt,Anzahl,K03404,6059
2022,"Wilhelmshaven, Stadt",Zuzüge,Insgesamt,Anzahl,K03405,2205
2022,"Ammerland",Zuzüge,Insgesamt,Anzahl,K03451,3119
2022,"Aurich",Zuzüge,Insgesamt,Anzahl,K03452,3715
2022,"Cloppenburg",Zuzüge,Insgesamt,Anzahl,K03453,12178
2022,"Emsland",Zuzüge,Insgesamt,Anzahl,K03454,12973
2022,"Friesland",Zuzüge,Insgesamt,Anzahl,K03455,1955
2022,"Grafschaft Bentheim",Zuzüge,Insgesamt,Anzahl,K03456,3826
2022,"Leer",Zuzüge,Insgesamt,Anzahl,K03457,3796
2022,"Oldenburg",Zuzüge,Insgesamt,Anzahl,K03458,4303
2022,"Osnabrück",Zuzüge,Insgesamt,Anzahl,K03459,18842
2022,"Vechta",Zuzüge,Insgesamt,Anzahl,K03460,5880
2022,"Wesermarsch",Zuzüge,Insgesamt,Anzahl,K03461,2420
2022,"Wittmund",Zuzüge,Insgesamt,Anzahl,K03462,1315
2022,"Statistische Region Weser-Ems",Zuzüge,Insgesamt,Anzahl,K034,91997
2022,"Niedersachsen",Zuzüge,Insgesamt,Anzahl,,260751
2021,"Braunschweig, Stadt",Zuzüge,Insgesamt,Anzahl,K03101,3077
2021,"Salzgitter, Stadt",Zuzüge,Insgesamt,Anzahl,K03102,1832
2021,"Wolfsburg, Stadt",Zuzüge,Insgesamt,Anzahl,K03103,1674
2021,"Gifhorn",Zuzüge,Insgesamt,Anzahl,K03151,1269
2021,"Goslar",Zuzüge,Insgesamt,Anzahl,K03153,2373
2021,"Helmstedt",Zuzüge,Insgesamt,Anzahl,K03154,685
2021,"Northeim",Zuzüge,Insgesamt,Anzahl,K03155,1015
2021,"Peine",Zuzüge,Insgesamt,Anzahl,K03157,1374
2021,"Wolfenbüttel",Zuzüge,Insgesamt,Anzahl,K03158,671
2021,"Göttingen",Zuzüge,Insgesamt,Anzahl,K03159,14068
2021,"Statistische Region Braunschweig",Zuzüge,Insgesamt,Anzahl,K031,28038
2021,"Region Hannover",Zuzüge,Insgesamt,Anzahl,K03241,14645
2021,"dav. Hannover, Lhst.",Zuzüge,Insgesamt,Anzahl,K03241001,8695
2021,"dav. Hannover, Umland",Zuzüge,Insgesamt,Anzahl,K03241999,5950
2021,"Diepholz",Zuzüge,Insgesamt,Anzahl,K03251,3202
2021,"Hameln-Pyrmont",Zuzüge,Insgesamt,Anzahl,K03252,1524
2021,"Hildesheim",Zuzüge,Insgesamt,Anzahl,K03254,2341
2021,"Holzminden",Zuzüge,Insgesamt,Anzahl,K03255,601
2021,"Nienburg (Weser)",Zuzüge,Insgesamt,Anzahl,K03256,1538
2021,"Schaumburg",Zuzüge,Insgesamt,Anzahl,K03257,1310
2021,"Statistische Region Hannover",Zuzüge,Insgesamt,Anzahl,K032,25161
2021,"Celle",Zuzüge,Insgesamt,Anzahl,K03351,1992
2021,"Cuxhaven",Zuzüge,Insgesamt,Anzahl,K03352,1527
2021,"Harburg",Zuzüge,Insgesamt,Anzahl,K03353,2944
2021,"Lüchow-Dannenberg",Zuzüge,Insgesamt,Anzahl,K03354,413
2021,"Lüneburg",Zuzüge,Insgesamt,Anzahl,K03355,1809
2021,"Osterholz",Zuzüge,Insgesamt,Anzahl,K03356,589
2021,"Rotenburg (Wümme)",Zuzüge,Insgesamt,Anzahl,K03357,1525
2021,"Heidekreis",Zuzüge,Insgesamt,Anzahl,K03358,8022
2021,"Stade",Zuzüge,Insgesamt,Anzahl,K03359,2272
2021,"Uelzen",Zuzüge,Insgesamt,Anzahl,K03360,777
2021,"Verden",Zuzüge,Insgesamt,Anzahl,K03361,1341
2021,"Statistische Region Lüneburg",Zuzüge,Insgesamt,Anzahl,K033,23211
2021,"Delmenhorst, Stadt",Zuzüge,Insgesamt,Anzahl,K03401,1363
2021,"Emden, Stadt",Zuzüge,Insgesamt,Anzahl,K03402,593
2021,"Oldenburg (Oldb), Stadt",Zuzüge,Insgesamt,Anzahl,K03403,2189
2021,"Osnabrück, Stadt",Zuzüge,Insgesamt,Anzahl,K03404,2448
2021,"Wilhelmshaven, Stadt",Zuzüge,Insgesamt,Anzahl,K03405,887
2021,"Ammerland",Zuzüge,Insgesamt,Anzahl,K03451,1574
2021,"Aurich",Zuzüge,Insgesamt,Anzahl,K03452,1589
2021,"Cloppenburg",Zuzüge,Insgesamt,Anzahl,K03453,8683
2021,"Emsland",Zuzüge,Insgesamt,Anzahl,K03454,8850
2021,"Friesland",Zuzüge,Insgesamt,Anzahl,K03455,566
2021,"Grafschaft Bentheim",Zuzüge,Insgesamt,Anzahl,K03456,1822
2021,"Leer",Zuzüge,Insgesamt,Anzahl,K03457,1813
2021,"Oldenburg",Zuzüge,Insgesamt,Anzahl,K03458,3402
2021,"Osnabrück",Zuzüge,Insgesamt,Anzahl,K03459,11171
2021,"Vechta",Zuzüge,Insgesamt,Anzahl,K03460,3396
2021,"Wesermarsch",Zuzüge,Insgesamt,Anzahl,K03461,910
2021,"Wittmund",Zuzüge,Insgesamt,Anzahl,K03462,411
2021,"Statistische Region Weser-Ems",Zuzüge,Insgesamt,Anzahl,K034,51667
2021,"Niedersachsen",Zuzüge,Insgesamt,Anzahl,,128077
2020,"Braunschweig, Stadt",Zuzüge,Insgesamt,Anzahl,K03101,2893
2020,"Salzgitter, Stadt",Zuzüge,Insgesamt,Anzahl,K03102,1843
2020,"Wolfsburg, Stadt",Zuzüge,Insgesamt,Anzahl,K03103,1353
2020,"Gifhorn",Zuzüge,Insgesamt,Anzahl,K03151,1183
2020,"Goslar",Zuzüge,Insgesamt,Anzahl,K03153,1837
2020,"Helmstedt",Zuzüge,Insgesamt,Anzahl,K03154,762
2020,"Northeim",Zuzüge,Insgesamt,Anzahl,K03155,901
2020,"Peine",Zuzüge,Insgesamt,Anzahl,K03157,1264
2020,"Wolfenbüttel",Zuzüge,Insgesamt,Anzahl,K03158,697
2020,"Göttingen",Zuzüge,Insgesamt,Anzahl,K03159,8907
2020,"Statistische Region Braunschweig",Zuzüge,Insgesamt,Anzahl,K031,21640
2020,"Region Hannover",Zuzüge,Insgesamt,Anzahl,K03241,13313
2020,"dav. Hannover, Lhst.",Zuzüge,Insgesamt,Anzahl,K03241001,7364
2020,"dav. Hannover, Umland",Zuzüge,Insgesamt,Anzahl,K03241999,5949
2020,"Diepholz",Zuzüge,Insgesamt,Anzahl,K03251,2995
2020,"Hameln-Pyrmont",Zuzüge,Insgesamt,Anzahl,K03252,1451
2020,"Hildesheim",Zuzüge,Insgesamt,Anzahl,K03254,2295
2020,"Holzminden",Zuzüge,Insgesamt,Anzahl,K03255,551
2020,"Nienburg (Weser)",Zuzüge,Insgesamt,Anzahl,K03256,1907
2020,"Schaumburg",Zuzüge,Insgesamt,Anzahl,K03257,1575
2020,"Statistische Region Hannover",Zuzüge,Insgesamt,Anzahl,K032,24087
2020,"Celle",Zuzüge,Insgesamt,Anzahl,K03351,1796
2020,"Cuxhaven",Zuzüge,Insgesamt,Anzahl,K03352,1492
2020,"Harburg",Zuzüge,Insgesamt,Anzahl,K03353,3259
2020,"Lüchow-Dannenberg",Zuzüge,Insgesamt,Anzahl,K03354,437
2020,"Lüneburg",Zuzüge,Insgesamt,Anzahl,K03355,1682
2020,"Osterholz",Zuzüge,Insgesamt,Anzahl,K03356,576
2020,"Rotenburg (Wümme)",Zuzüge,Insgesamt,Anzahl,K03357,1382
2020,"Heidekreis",Zuzüge,Insgesamt,Anzahl,K03358,5010
2020,"Stade",Zuzüge,Insgesamt,Anzahl,K03359,2432
2020,"Uelzen",Zuzüge,Insgesamt,Anzahl,K03360,799
2020,"Verden",Zuzüge,Insgesamt,Anzahl,K03361,1094
2020,"Statistische Region Lüneburg",Zuzüge,Insgesamt,Anzahl,K033,19959
2020,"Delmenhorst, Stadt",Zuzüge,Insgesamt,Anzahl,K03401,1344
2020,"Emden, Stadt",Zuzüge,Insgesamt,Anzahl,K03402,580
2020,"Oldenburg (Oldb), Stadt",Zuzüge,Insgesamt,Anzahl,K03403,2103
2020,"Osnabrück, Stadt",Zuzüge,Insgesamt,Anzahl,K03404,2040
2020,"Wilhelmshaven, Stadt",Zuzüge,Insgesamt,Anzahl,K03405,883
2020,"Ammerland",Zuzüge,Insgesamt,Anzahl,K03451,1686
2020,"Aurich",Zuzüge,Insgesamt,Anzahl,K03452,1430
2020,"Cloppenburg",Zuzüge,Insgesamt,Anzahl,K03453,8790
2020,"Emsland",Zuzüge,Insgesamt,Anzahl,K03454,8328
2020,"Friesland",Zuzüge,Insgesamt,Anzahl,K03455,595
2020,"Grafschaft Bentheim",Zuzüge,Insgesamt,Anzahl,K03456,1793
2020,"Leer",Zuzüge,Insgesamt,Anzahl,K03457,1751
2020,"Oldenburg",Zuzüge,Insgesamt,Anzahl,K03458,3544
2020,"Osnabrück",Zuzüge,Insgesamt,Anzahl,K03459,8125
2020,"Vechta",Zuzüge,Insgesamt,Anzahl,K03460,3110
2020,"Wesermarsch",Zuzüge,Insgesamt,Anzahl,K03461,1048
2020,"Wittmund",Zuzüge,Insgesamt,Anzahl,K03462,440
2020,"Statistische Region Weser-Ems",Zuzüge,Insgesamt,Anzahl,K034,47590
2020,"Niedersachsen",Zuzüge,Insgesamt,Anzahl,,113276
2019,"Braunschweig, Stadt",Zuzüge,Insgesamt,Anzahl,K03101,3914
2019,"Salzgitter, Stadt",Zuzüge,Insgesamt,Anzahl,K03102,2470
2019,"Wolfsburg, Stadt",Zuzüge,Insgesamt,Anzahl,K03103,2342
2019,"Gifhorn",Zuzüge,Insgesamt,Anzahl,K03151,1589
2019,"Goslar",Zuzüge,Insgesamt,Anzahl,K03153,3065
2019,"Helmstedt",Zuzüge,Insgesamt,Anzahl,K03154,965
2019,"Northeim",Zuzüge,Insgesamt,Anzahl,K03155,1021
2019,"Peine",Zuzüge,Insgesamt,Anzahl,K03157,1603
2019,"Wolfenbüttel",Zuzüge,Insgesamt,Anzahl,K03158,841
2019,"Göttingen",Zuzüge,Insgesamt,Anzahl,K03159,16693
2019,"Statistische Region Braunschweig",Zuzüge,Insgesamt,Anzahl,K031,34503
2019,"Region Hannover",Zuzüge,Insgesamt,Anzahl,K03241,18400
2019,"dav. Hannover, Lhst.",Zuzüge,Insgesamt,Anzahl,K03241001,10855
2019,"dav. Hannover, Umland",Zuzüge,Insgesamt,Anzahl,K03241999,7545
2019,"Diepholz",Zuzüge,Insgesamt,Anzahl,K03251,3473
2019,"Hameln-Pyrmont",Zuzüge,Insgesamt,Anzahl,K03252,1923
2019,"Hildesheim",Zuzüge,Insgesamt,Anzahl,K03254,3060
2019,"Holzminden",Zuzüge,Insgesamt,Anzahl,K03255,812
2019,"Nienburg (Weser)",Zuzüge,Insgesamt,Anzahl,K03256,2845
2019,"Schaumburg",Zuzüge,Insgesamt,Anzahl,K03257,1828
2019,"Statistische Region Hannover",Zuzüge,Insgesamt,Anzahl,K032,32341
2019,"Celle",Zuzüge,Insgesamt,Anzahl,K03351,2366
2019,"Cuxhaven",Zuzüge,Insgesamt,Anzahl,K03352,1871
2019,"Harburg",Zuzüge,Insgesamt,Anzahl,K03353,3909
2019,"Lüchow-Dannenberg",Zuzüge,Insgesamt,Anzahl,K03354,521
2019,"Lüneburg",Zuzüge,Insgesamt,Anzahl,K03355,2212
2019,"Osterholz",Zuzüge,Insgesamt,Anzahl,K03356,696
2019,"Rotenburg (Wümme)",Zuzüge,Insgesamt,Anzahl,K03357,1889
2019,"Heidekreis",Zuzüge,Insgesamt,Anzahl,K03358,6278
2019,"Stade",Zuzüge,Insgesamt,Anzahl,K03359,3345
2019,"Uelzen",Zuzüge,Insgesamt,Anzahl,K03360,1020
2019,"Verden",Zuzüge,Insgesamt,Anzahl,K03361,1482
2019,"Statistische Region Lüneburg",Zuzüge,Insgesamt,Anzahl,K033,25589
2019,"Delmenhorst, Stadt",Zuzüge,Insgesamt,Anzahl,K03401,1633
2019,"Emden, Stadt",Zuzüge,Insgesamt,Anzahl,K03402,742
2019,"Oldenburg (Oldb), Stadt",Zuzüge,Insgesamt,Anzahl,K03403,2794
2019,"Osnabrück, Stadt",Zuzüge,Insgesamt,Anzahl,K03404,2650
2019,"Wilhelmshaven, Stadt",Zuzüge,Insgesamt,Anzahl,K03405,1550
2019,"Ammerland",Zuzüge,Insgesamt,Anzahl,K03451,1900
2019,"Aurich",Zuzüge,Insgesamt,Anzahl,K03452,1925
2019,"Cloppenburg",Zuzüge,Insgesamt,Anzahl,K03453,9970
2019,"Emsland",Zuzüge,Insgesamt,Anzahl,K03454,10377
2019,"Friesland",Zuzüge,Insgesamt,Anzahl,K03455,823
2019,"Grafschaft Bentheim",Zuzüge,Insgesamt,Anzahl,K03456,2185
2019,"Leer",Zuzüge,Insgesamt,Anzahl,K03457,2601
2019,"Oldenburg",Zuzüge,Insgesamt,Anzahl,K03458,5014
2019,"Osnabrück",Zuzüge,Insgesamt,Anzahl,K03459,8425
2019,"Vechta",Zuzüge,Insgesamt,Anzahl,K03460,4323
2019,"Wesermarsch",Zuzüge,Insgesamt,Anzahl,K03461,1214
2019,"Wittmund",Zuzüge,Insgesamt,Anzahl,K03462,590
2019,"Statistische Region Weser-Ems",Zuzüge,Insgesamt,Anzahl,K034,58716
2019,"Niedersachsen",Zuzüge,Insgesamt,Anzahl,,151149
2018,"Braunschweig, Stadt",Zuzüge,Insgesamt,Anzahl,K03101,4169
2018,"Salzgitter, Stadt",Zuzüge,Insgesamt,Anzahl,K03102,2713
2018,"Wolfsburg, Stadt",Zuzüge,Insgesamt,Anzahl,K03103,2139
2018,"Gifhorn",Zuzüge,Insgesamt,Anzahl,K03151,1464
2018,"Goslar",Zuzüge,Insgesamt,Anzahl,K03153,2836
2018,"Helmstedt",Zuzüge,Insgesamt,Anzahl,K03154,806
2018,"Northeim",Zuzüge,Insgesamt,Anzahl,K03155,1104
2018,"Peine",Zuzüge,Insgesamt,Anzahl,K03157,1461
2018,"Wolfenbüttel",Zuzüge,Insgesamt,Anzahl,K03158,957
2018,"Göttingen",Zuzüge,Insgesamt,Anzahl,K03159,14983
2018,"Statistische Region Braunschweig",Zuzüge,Insgesamt,Anzahl,K031,32632
2018,"Region Hannover",Zuzüge,Insgesamt,Anzahl,K03241,19254
2018,"dav. Hannover, Lhst.",Zuzüge,Insgesamt,Anzahl,K03241001,11562
2018,"dav. Hannover, Umland",Zuzüge,Insgesamt,Anzahl,K03241999,7692
2018,"Diepholz",Zuzüge,Insgesamt,Anzahl,K03251,5166
2018,"Hameln-Pyrmont",Zuzüge,Insgesamt,Anzahl,K03252,1845
2018,"Hildesheim",Zuzüge,Insgesamt,Anzahl,K03254,3135
2018,"Holzminden",Zuzüge,Insgesamt,Anzahl,K03255,810
2018,"Nienburg (Weser)",Zuzüge,Insgesamt,Anzahl,K03256,3495
2018,"Schaumburg",Zuzüge,Insgesamt,Anzahl,K03257,1769
2018,"Statistische Region Hannover",Zuzüge,Insgesamt,Anzahl,K032,35474
2018,"Celle",Zuzüge,Insgesamt,Anzahl,K03351,2089
2018,"Cuxhaven",Zuzüge,Insgesamt,Anzahl,K03352,1849
2018,"Harburg",Zuzüge,Insgesamt,Anzahl,K03353,3671
2018,"Lüchow-Dannenberg",Zuzüge,Insgesamt,Anzahl,K03354,474
2018,"Lüneburg",Zuzüge,Insgesamt,Anzahl,K03355,2357
2018,"Osterholz",Zuzüge,Insgesamt,Anzahl,K03356,721
2018,"Rotenburg (Wümme)",Zuzüge,Insgesamt,Anzahl,K03357,1734
2018,"Heidekreis",Zuzüge,Insgesamt,Anzahl,K03358,7574
2018,"Stade",Zuzüge,Insgesamt,Anzahl,K03359,3222
2018,"Uelzen",Zuzüge,Insgesamt,Anzahl,K03360,951
2018,"Verden",Zuzüge,Insgesamt,Anzahl,K03361,1369
2018,"Statistische Region Lüneburg",Zuzüge,Insgesamt,Anzahl,K033,26011
2018,"Delmenhorst, Stadt",Zuzüge,Insgesamt,Anzahl,K03401,1788
2018,"Emden, Stadt",Zuzüge,Insgesamt,Anzahl,K03402,740
2018,"Oldenburg (Oldb), Stadt",Zuzüge,Insgesamt,Anzahl,K03403,2922
2018,"Osnabrück, Stadt",Zuzüge,Insgesamt,Anzahl,K03404,2487
2018,"Wilhelmshaven, Stadt",Zuzüge,Insgesamt,Anzahl,K03405,1364
2018,"Ammerland",Zuzüge,Insgesamt,Anzahl,K03451,1896
2018,"Aurich",Zuzüge,Insgesamt,Anzahl,K03452,2078
2018,"Cloppenburg",Zuzüge,Insgesamt,Anzahl,K03453,9749
2018,"Emsland",Zuzüge,Insgesamt,Anzahl,K03454,10262
2018,"Friesland",Zuzüge,Insgesamt,Anzahl,K03455,724
2018,"Grafschaft Bentheim",Zuzüge,Insgesamt,Anzahl,K03456,2078
2018,"Leer",Zuzüge,Insgesamt,Anzahl,K03457,2342
2018,"Oldenburg",Zuzüge,Insgesamt,Anzahl,K03458,4917
2018,"Osnabrück",Zuzüge,Insgesamt,Anzahl,K03459,8772
2018,"Vechta",Zuzüge,Insgesamt,Anzahl,K03460,6285
2018,"Wesermarsch",Zuzüge,Insgesamt,Anzahl,K03461,1235
2018,"Wittmund",Zuzüge,Insgesamt,Anzahl,K03462,616
2018,"Statistische Region Weser-Ems",Zuzüge,Insgesamt,Anzahl,K034,60255
2018,"Niedersachsen",Zuzüge,Insgesamt,Anzahl,,154372
2017,"Braunschweig, Stadt",Zuzüge,Insgesamt,Anzahl,K03101,4253
2017,"Salzgitter, Stadt",Zuzüge,Insgesamt,Anzahl,K03102,2596
2017,"Wolfsburg, Stadt",Zuzüge,Insgesamt,Anzahl,K03103,2160
2017,"Gifhorn",Zuzüge,Insgesamt,Anzahl,K03151,1284
2017,"Goslar",Zuzüge,Insgesamt,Anzahl,K03153,2289
2017,"Helmstedt",Zuzüge,Insgesamt,Anzahl,K03154,897
2017,"Northeim",Zuzüge,Insgesamt,Anzahl,K03155,938
2017,"Peine",Zuzüge,Insgesamt,Anzahl,K03157,1269
2017,"Wolfenbüttel",Zuzüge,Insgesamt,Anzahl,K03158,874
2017,"Göttingen",Zuzüge,Insgesamt,Anzahl,K03159,14697
2017,"Statistische Region Braunschweig",Zuzüge,Insgesamt,Anzahl,K031,31257
2017,"Region Hannover",Zuzüge,Insgesamt,Anzahl,K03241,18161
2017,"dav. Hannover, Lhst.",Zuzüge,Insgesamt,Anzahl,K03241001,10589
2017,"dav. Hannover, Umland",Zuzüge,Insgesamt,Anzahl,K03241999,7572
2017,"Diepholz",Zuzüge,Insgesamt,Anzahl,K03251,4388
2017,"Hameln-Pyrmont",Zuzüge,Insgesamt,Anzahl,K03252,1773
2017,"Hildesheim",Zuzüge,Insgesamt,Anzahl,K03254,2850
2017,"Holzminden",Zuzüge,Insgesamt,Anzahl,K03255,695
2017,"Nienburg (Weser)",Zuzüge,Insgesamt,Anzahl,K03256,3624
2017,"Schaumburg",Zuzüge,Insgesamt,Anzahl,K03257,1495
2017,"Statistische Region Hannover",Zuzüge,Insgesamt,Anzahl,K032,32986
2017,"Celle",Zuzüge,Insgesamt,Anzahl,K03351,1746
2017,"Cuxhaven",Zuzüge,Insgesamt,Anzahl,K03352,1660
2017,"Harburg",Zuzüge,Insgesamt,Anzahl,K03353,3559
2017,"Lüchow-Dannenberg",Zuzüge,Insgesamt,Anzahl,K03354,494
2017,"Lüneburg",Zuzüge,Insgesamt,Anzahl,K03355,2060
2017,"Osterholz",Zuzüge,Insgesamt,Anzahl,K03356,669
2017,"Rotenburg (Wümme)",Zuzüge,Insgesamt,Anzahl,K03357,1719
2017,"Heidekreis",Zuzüge,Insgesamt,Anzahl,K03358,6864
2017,"Stade",Zuzüge,Insgesamt,Anzahl,K03359,3047
2017,"Uelzen",Zuzüge,Insgesamt,Anzahl,K03360,892
2017,"Verden",Zuzüge,Insgesamt,Anzahl,K03361,1331
2017,"Statistische Region Lüneburg",Zuzüge,Insgesamt,Anzahl,K033,24041
2017,"Delmenhorst, Stadt",Zuzüge,Insgesamt,Anzahl,K03401,1598
2017,"Emden, Stadt",Zuzüge,Insgesamt,Anzahl,K03402,804
2017,"Oldenburg (Oldb), Stadt",Zuzüge,Insgesamt,Anzahl,K03403,2743
2017,"Osnabrück, Stadt",Zuzüge,Insgesamt,Anzahl,K03404,2718
2017,"Wilhelmshaven, Stadt",Zuzüge,Insgesamt,Anzahl,K03405,1166
2017,"Ammerland",Zuzüge,Insgesamt,Anzahl,K03451,1677
2017,"Aurich",Zuzüge,Insgesamt,Anzahl,K03452,1851
2017,"Cloppenburg",Zuzüge,Insgesamt,Anzahl,K03453,9352
2017,"Emsland",Zuzüge,Insgesamt,Anzahl,K03454,8740
2017,"Friesland",Zuzüge,Insgesamt,Anzahl,K03455,690
2017,"Grafschaft Bentheim",Zuzüge,Insgesamt,Anzahl,K03456,2094
2017,"Leer",Zuzüge,Insgesamt,Anzahl,K03457,1899
2017,"Oldenburg",Zuzüge,Insgesamt,Anzahl,K03458,4824
2017,"Osnabrück",Zuzüge,Insgesamt,Anzahl,K03459,9795
2017,"Vechta",Zuzüge,Insgesamt,Anzahl,K03460,6103
2017,"Wesermarsch",Zuzüge,Insgesamt,Anzahl,K03461,1059
2017,"Wittmund",Zuzüge,Insgesamt,Anzahl,K03462,504
2017,"Statistische Region Weser-Ems",Zuzüge,Insgesamt,Anzahl,K034,57617
2017,"Niedersachsen",Zuzüge,Insgesamt,Anzahl,,145901
2016,"Braunschweig, Stadt",Zuzüge,Insgesamt,Anzahl,K03101,7804
2016,"Salzgitter, Stadt",Zuzüge,Insgesamt,Anzahl,K03102,2628
2016,"Wolfsburg, Stadt",Zuzüge,Insgesamt,Anzahl,K03103,2408
2016,"Gifhorn",Zuzüge,Insgesamt,Anzahl,K03151,1809
2016,"Goslar",Zuzüge,Insgesamt,Anzahl,K03153,2913
2016,"Helmstedt",Zuzüge,Insgesamt,Anzahl,K03154,1256
2016,"Northeim",Zuzüge,Insgesamt,Anzahl,K03155,1272
2016,"Peine",Zuzüge,Insgesamt,Anzahl,K03157,1505
2016,"Wolfenbüttel",Zuzüge,Insgesamt,Anzahl,K03158,1149
2016,"Göttingen",Zuzüge,Insgesamt,Anzahl,K03159,15419
2016,"Statistische Region Braunschweig",Zuzüge,Insgesamt,Anzahl,K031,38163
2016,"Region Hannover",Zuzüge,Insgesamt,Anzahl,K03241,20101
2016,"dav. Hannover, Lhst.",Zuzüge,Insgesamt,Anzahl,K03241001,11849
2016,"dav. Hannover, Umland",Zuzüge,Insgesamt,Anzahl,K03241999,8252
2016,"Diepholz",Zuzüge,Insgesamt,Anzahl,K03251,4742
2016,"Hameln-Pyrmont",Zuzüge,Insgesamt,Anzahl,K03252,2238
2016,"Hildesheim",Zuzüge,Insgesamt,Anzahl,K03254,4465
2016,"Holzminden",Zuzüge,Insgesamt,Anzahl,K03255,666
2016,"Nienburg (Weser)",Zuzüge,Insgesamt,Anzahl,K03256,3559
2016,"Schaumburg",Zuzüge,Insgesamt,Anzahl,K03257,1889
2016,"Statistische Region Hannover",Zuzüge,Insgesamt,Anzahl,K032,37660
2016,"Celle",Zuzüge,Insgesamt,Anzahl,K03351,2600
2016,"Cuxhaven",Zuzüge,Insgesamt,Anzahl,K03352,2197
2016,"Harburg",Zuzüge,Insgesamt,Anzahl,K03353,3838
2016,"Lüchow-Dannenberg",Zuzüge,Insgesamt,Anzahl,K03354,1281
2016,"Lüneburg",Zuzüge,Insgesamt,Anzahl,K03355,2963
2016,"Osterholz",Zuzüge,Insgesamt,Anzahl,K03356,1386
2016,"Rotenburg (Wümme)",Zuzüge,Insgesamt,Anzahl,K03357,1734
2016,"Heidekreis",Zuzüge,Insgesamt,Anzahl,K03358,10547
2016,"Stade",Zuzüge,Insgesamt,Anzahl,K03359,4064
2016,"Uelzen",Zuzüge,Insgesamt,Anzahl,K03360,1407
2016,"Verden",Zuzüge,Insgesamt,Anzahl,K03361,1376
2016,"Statistische Region Lüneburg",Zuzüge,Insgesamt,Anzahl,K033,33393
2016,"Delmenhorst, Stadt",Zuzüge,Insgesamt,Anzahl,K03401,1599
2016,"Emden, Stadt",Zuzüge,Insgesamt,Anzahl,K03402,786
2016,"Oldenburg (Oldb), Stadt",Zuzüge,Insgesamt,Anzahl,K03403,4094
2016,"Osnabrück, Stadt",Zuzüge,Insgesamt,Anzahl,K03404,4308
2016,"Wilhelmshaven, Stadt",Zuzüge,Insgesamt,Anzahl,K03405,1193
2016,"Ammerland",Zuzüge,Insgesamt,Anzahl,K03451,2068
2016,"Aurich",Zuzüge,Insgesamt,Anzahl,K03452,2273
2016,"Cloppenburg",Zuzüge,Insgesamt,Anzahl,K03453,9429
