Year,Wanderungsherkunft,Units,Value
2009,"Spanien",Anzahl,1470
2009,"Türkei",Anzahl,1636
2009,"Ukraine",Anzahl,681
2009,"Ungarn",Anzahl,2688
2009,"EU Staaten",Anzahl,46797
2009,"Afrika insgesamt",Anzahl,1732
2009,"Amerika insgesamt",Anzahl,4205
2009,"Kolumbien",Anzahl,123
2009,"Asien insgesamt",Anzahl,9945
2009,"Afghanistan",Anzahl,287
2009,"Georgien",Anzahl,265
2009,"Indien",Anzahl,547
2009,"Irak",Anzahl,2830
2009,"Iran",Anzahl,371
2009,"Kasachstan",Anzahl,1023
2009,"Syrien, Arabische Republik",Anzahl,333
2009,"Australien und Ozeanien",Anzahl,398
2009,"Sonstige Ziele",Anzahl,3193
2009,"ohne Angabe",Anzahl,51
2009,"Insgesamt",Anzahl,73925
2010,"Europa insgesamt",Anzahl,58101
2010,"Albanien",Anzahl,38
2010,"Bulgarien",Anzahl,3287
2010,"Italien",Anzahl,1613
2010,"Moldau, Republik",Anzahl,85
2010,"Polen",Anzahl,22942
2010,"Rumänien",Anzahl,8083
2010,"Russische Föderation",Anzahl,2812
2010,"Spanien",Anzahl,1601
2010,"Türkei",Anzahl,1611
2010,"Ukraine",Anzahl,613
2010,"Ungarn",Anzahl,2437
2010,"EU Staaten",Anzahl,49675
2010,"Afrika insgesamt",Anzahl,1857
2010,"Amerika insgesamt",Anzahl,4089
2010,"Kolumbien",Anzahl,171
2010,"Asien insgesamt",Anzahl,9405
2010,"Afghanistan",Anzahl,567
2010,"Georgien",Anzahl,357
2010,"Indien",Anzahl,803
2010,"Irak",Anzahl,1408
2010,"Iran",Anzahl,563
2010,"Kasachstan",Anzahl,656
2010,"Syrien, Arabische Republik",Anzahl,431
2010,"Australien und Ozeanien",Anzahl,427
2010,"Sonstige Ziele",Anzahl,2904
2010,"ohne Angabe",Anzahl,68
2010,"Insgesamt",Anzahl,76783
2011,"Europa insgesamt",Anzahl,71848
2011,"Albanien",Anzahl,64
2011,"Bulgarien",Anzahl,3820
2011,"Italien",Anzahl,1636
2011,"Moldau, Republik",Anzahl,77
2011,"Polen",Anzahl,28900
2011,"Rumänien",Anzahl,11492
2011,"Russische Föderation",Anzahl,2605
2011,"Spanien",Anzahl,1772
2011,"Türkei",Anzahl,1768
2011,"Ukraine",Anzahl,597
2011,"Ungarn",Anzahl,3229
2011,"EU Staaten",Anzahl,63559
2011,"Afrika insgesamt",Anzahl,2097
2011,"Amerika insgesamt",Anzahl,4583
2011,"Kolumbien",Anzahl,206
2011,"Asien insgesamt",Anzahl,9518
2011,"Afghanistan",Anzahl,614
2011,"Georgien",Anzahl,261
2011,"Indien",Anzahl,827
2011,"Irak",Anzahl,780
2011,"Iran",Anzahl,717
2011,"Kasachstan",Anzahl,703
2011,"Syrien, Arabische Republik",Anzahl,706
2011,"Australien und Ozeanien",Anzahl,536
2011,"Sonstige Ziele",Anzahl,2925
2011,"ohne Angabe",Anzahl,62
2011,"Insgesamt",Anzahl,91507
2012,"Europa insgesamt",Anzahl,79539
2012,"Albanien",Anzahl,171
2012,"Bulgarien",Anzahl,4127
2012,"Italien",Anzahl,2218
2012,"Moldau, Republik",Anzahl,119
2012,"Polen",Anzahl,31256
2012,"Rumänien",Anzahl,12321
2012,"Russische Föderation",Anzahl,2573
2012,"Spanien",Anzahl,2383
2012,"Türkei",Anzahl,1603
2012,"Ukraine",Anzahl,621
2012,"Ungarn",Anzahl,3937
2012,"EU Staaten",Anzahl,69878
2012,"Afrika insgesamt",Anzahl,2456
2012,"Amerika insgesamt",Anzahl,4336
2012,"Kolumbien",Anzahl,251
2012,"Asien insgesamt",Anzahl,9868
2012,"Afghanistan",Anzahl,523
2012,"Georgien",Anzahl,435
2012,"Indien",Anzahl,883
2012,"Irak",Anzahl,559
2012,"Iran",Anzahl,827
2012,"Kasachstan",Anzahl,571
2012,"Syrien, Arabische Republik",Anzahl,976
2012,"Australien und Ozeanien",Anzahl,477
2012,"Sonstige Ziele",Anzahl,2325
2012,"ohne Angabe",Anzahl,68
2012,"Insgesamt",Anzahl,99001
2013,"Europa insgesamt",Anzahl,87619
2013,"Albanien",Anzahl,420
2013,"Bulgarien",Anzahl,4341
2013,"Italien",Anzahl,3029
2013,"Moldau, Republik",Anzahl,155
2013,"Polen",Anzahl,32617
2013,"Rumänien",Anzahl,12979
2013,"Russische Föderation",Anzahl,4019
2013,"Spanien",Anzahl,3217
2013,"Türkei",Anzahl,1477
2013,"Ukraine",Anzahl,714
2013,"Ungarn",Anzahl,4419
2013,"EU Staaten",Anzahl,75109
2013,"Afrika insgesamt",Anzahl,4218
2013,"Amerika insgesamt",Anzahl,4060
2013,"Kolumbien",Anzahl,230
2013,"Asien insgesamt",Anzahl,12555
2013,"Afghanistan",Anzahl,564
2013,"Georgien",Anzahl,470
2013,"Indien",Anzahl,852
2013,"Irak",Anzahl,607
2013,"Iran",Anzahl,994
2013,"Kasachstan",Anzahl,930
2013,"Syrien, Arabische Republik",Anzahl,2508
2013,"Australien und Ozeanien",Anzahl,513
2013,"Sonstige Ziele",Anzahl,1956
2013,"ohne Angabe",Anzahl,38
2013,"Insgesamt",Anzahl,110921
2014,"Europa insgesamt",Anzahl,103904
2014,"Albanien",Anzahl,2013
2014,"Bulgarien",Anzahl,6841
2014,"Italien",Anzahl,3855
2014,"Moldau, Republik",Anzahl,400
2014,"Polen",Anzahl,33028
2014,"Rumänien",Anzahl,19064
2014,"Russische Föderation",Anzahl,4215
2014,"Spanien",Anzahl,2671
2014,"Türkei",Anzahl,1926
2014,"Ukraine",Anzahl,1286
2014,"Ungarn",Anzahl,3991
2014,"EU Staaten",Anzahl,84129
2014,"Afrika insgesamt",Anzahl,6032
2014,"Amerika insgesamt",Anzahl,4469
2014,"Kolumbien",Anzahl,193
2014,"Asien insgesamt",Anzahl,22401
2014,"Afghanistan",Anzahl,795
2014,"Georgien",Anzahl,630
2014,"Indien",Anzahl,968
2014,"Irak",Anzahl,1197
2014,"Iran",Anzahl,671
2014,"Kasachstan",Anzahl,2246
2014,"Syrien, Arabische Republik",Anzahl,9245
2014,"Australien und Ozeanien",Anzahl,500
2014,"Sonstige Ziele",Anzahl,1875
2014,"ohne Angabe",Anzahl,61
2014,"Insgesamt",Anzahl,139181
2015,"Europa insgesamt",Anzahl,118056
2015,"Albanien",Anzahl,5502
2015,"Bulgarien",Anzahl,7793
2015,"Italien",Anzahl,3885
2015,"Moldau, Republik",Anzahl,653
2015,"Polen",Anzahl,32001
2015,"Rumänien",Anzahl,21612
2015,"Russische Föderation",Anzahl,4467
2015,"Spanien",Anzahl,2452
2015,"Türkei",Anzahl,2884
2015,"Ukraine",Anzahl,1595
2015,"Ungarn",Anzahl,3797
2015,"EU Staaten",Anzahl,87118
2015,"Afrika insgesamt",Anzahl,12926
2015,"Amerika insgesamt",Anzahl,4489
2015,"Kolumbien",Anzahl,217
2015,"Asien insgesamt",Anzahl,67279
2015,"Afghanistan",Anzahl,8320
2015,"Georgien",Anzahl,892
2015,"Indien",Anzahl,1019
2015,"Irak",Anzahl,10845
2015,"Iran",Anzahl,2017
2015,"Kasachstan",Anzahl,2121
2015,"Syrien, Arabische Republik",Anzahl,32777
2015,"Australien und Ozeanien",Anzahl,514
2015,"Sonstige Ziele",Anzahl,3386
2015,"ohne Angabe",Anzahl,1044
2015,"Insgesamt",Anzahl,206650
2016,"Europa insgesamt",Anzahl,101930
2016,"Albanien",Anzahl,1057
2016,"Bulgarien",Anzahl,7389
2016,"Italien",Anzahl,3587
2016,"Moldau, Republik",Anzahl,1014
2016,"Polen",Anzahl,26551
2016,"Rumänien",Anzahl,25217
2016,"Russische Föderation",Anzahl,4850
2016,"Spanien",Anzahl,2063
2016,"Türkei",Anzahl,3320
2016,"Ukraine",Anzahl,1663
2016,"Ungarn",Anzahl,3343
2016,"EU Staaten",Anzahl,83386
2016,"Afrika insgesamt",Anzahl,8746
2016,"Amerika insgesamt",Anzahl,4793
2016,"Kolumbien",Anzahl,302
2016,"Asien insgesamt",Anzahl,49106
2016,"Afghanistan",Anzahl,7416
2016,"Georgien",Anzahl,546
2016,"Indien",Anzahl,1197
2016,"Irak",Anzahl,12033
2016,"Iran",Anzahl,2288
2016,"Kasachstan",Anzahl,2508
2016,"Syrien, Arabische Republik",Anzahl,15199
2016,"Australien und Ozeanien",Anzahl,522
2016,"Sonstige Ziele",Anzahl,10104
2016,"ohne Angabe",Anzahl,3730
2016,"Insgesamt",Anzahl,175201
2017,"Europa insgesamt",Anzahl,102960
2017,"Albanien",Anzahl,1003
2017,"Bulgarien",Anzahl,7520
2017,"Italien",Anzahl,3544
2017,"Moldau, Republik",Anzahl,1414
2017,"Polen",Anzahl,23965
2017,"Rumänien",Anzahl,27631
2017,"Russische Föderation",Anzahl,4313
2017,"Spanien",Anzahl,1774
2017,"Türkei",Anzahl,5772
2017,"Ukraine",Anzahl,2007
2017,"Ungarn",Anzahl,3205
2017,"EU Staaten",Anzahl,81800
2017,"Afrika insgesamt",Anzahl,4635
2017,"Amerika insgesamt",Anzahl,4731
2017,"Kolumbien",Anzahl,234
2017,"Asien insgesamt",Anzahl,21467
2017,"Afghanistan",Anzahl,503
2017,"Georgien",Anzahl,542
2017,"Indien",Anzahl,1423
2017,"Irak",Anzahl,4020
2017,"Iran",Anzahl,886
2017,"Kasachstan",Anzahl,2779
2017,"Syrien, Arabische Republik",Anzahl,4423
2017,"Australien und Ozeanien",Anzahl,562
2017,"Sonstige Ziele",Anzahl,11546
2017,"ohne Angabe",Anzahl,6182
2017,"Insgesamt",Anzahl,145901
2018,"Europa insgesamt",Anzahl,107646
2018,"Albanien",Anzahl,1106
2018,"Bulgarien",Anzahl,8284
2018,"Italien",Anzahl,3479
2018,"Moldau, Republik",Anzahl,1971
2018,"Polen",Anzahl,22557
2018,"Rumänien",Anzahl,31587
2018,"Russische Föderation",Anzahl,4834
2018,"Spanien",Anzahl,1893
2018,"Türkei",Anzahl,5392
2018,"Ukraine",Anzahl,2116
2018,"Ungarn",Anzahl,2759
2018,"EU Staaten",Anzahl,85506
2018,"Afrika insgesamt",Anzahl,5511
2018,"Amerika insgesamt",Anzahl,5030
2018,"Kolumbien",Anzahl,378
2018,"Asien insgesamt",Anzahl,19633
2018,"Afghanistan",Anzahl,465
2018,"Georgien",Anzahl,642
2018,"Indien",Anzahl,1602
2018,"Irak",Anzahl,2505
2018,"Iran",Anzahl,1515
2018,"Kasachstan",Anzahl,2452
2018,"Syrien, Arabische Republik",Anzahl,3244
2018,"Australien und Ozeanien",Anzahl,574
2018,"Sonstige Ziele",Anzahl,15978
2018,"ohne Angabe",Anzahl,12174
2018,"Insgesamt",Anzahl,154372
2019,"Europa insgesamt",Anzahl,103708
2019,"Albanien",Anzahl,1245
2019,"Bulgarien",Anzahl,8333
2019,"Italien",Anzahl,3649
2019,"Moldau, Republik",Anzahl,2512
2019,"Polen",Anzahl,20079
2019,"Rumänien",Anzahl,29751
2019,"Russische Föderation",Anzahl,4859
2019,"Spanien",Anzahl,1877
2019,"Türkei",Anzahl,5397
2019,"Ukraine",Anzahl,2224
2019,"Ungarn",Anzahl,2139
2019,"EU Staaten",Anzahl,80673
2019,"Afrika insgesamt",Anzahl,6518
2019,"Amerika insgesamt",Anzahl,5423
2019,"Kolumbien",Anzahl,757
2019,"Asien insgesamt",Anzahl,19290
2019,"Afghanistan",Anzahl,395
2019,"Georgien",Anzahl,571
2019,"Indien",Anzahl,1920
2019,"Irak",Anzahl,1490
2019,"Iran",Anzahl,1161
2019,"Kasachstan",Anzahl,2706
2019,"Syrien, Arabische Republik",Anzahl,2664
2019,"Australien und Ozeanien",Anzahl,547
2019,"Sonstige Ziele",Anzahl,15663
2019,"ohne Angabe",Anzahl,12914
2019,"Insgesamt",Anzahl,151149
2020,"Europa insgesamt",Anzahl,81166
2020,"Albanien",Anzahl,1059
2020,"Bulgarien",Anzahl,7792
2020,"Italien",Anzahl,2571
2020,"Moldau, Republik",Anzahl,1998
2020,"Polen",Anzahl,15041
2020,"Rumänien",Anzahl,24576
2020,"Russische Föderation",Anzahl,2801
2020,"Spanien",Anzahl,1598
2020,"Türkei",Anzahl,3158
2020,"Ukraine",Anzahl,1454
2020,"Ungarn",Anzahl,1975
2020,"EU Staaten",Anzahl,65686
2020,"Afrika insgesamt",Anzahl,3886
2020,"Amerika insgesamt",Anzahl,3326
2020,"Kolumbien",Anzahl,430
2020,"Asien insgesamt",Anzahl,13009
2020,"Afghanistan",Anzahl,745
2020,"Georgien",Anzahl,449
2020,"Indien",Anzahl,980
2020,"Irak",Anzahl,1261
2020,"Iran",Anzahl,633
2020,"Kasachstan",Anzahl,1783
2020,"Syrien, Arabische Republik",Anzahl,2407
2020,"Australien und Ozeanien",Anzahl,404
2020,"Sonstige Ziele",Anzahl,11485
2020,"ohne Angabe",Anzahl,10659
2020,"Insgesamt",Anzahl,113276
2021,"Europa insgesamt",Anzahl,84342
2021,"Albanien",Anzahl,1288
2021,"Bulgarien",Anzahl,7876
2021,"Italien",Anzahl,2189
2021,"Moldau, Republik",Anzahl,2414
2021,"Polen",Anzahl,14361
2021,"Rumänien",Anzahl,24097
2021,"Russische Föderation",Anzahl,4363
2021,"Spanien",Anzahl,1971
2021,"Türkei",Anzahl,4067
2021,"Ukraine",Anzahl,1643
2021,"Ungarn",Anzahl,1694
2021,"EU Staaten",Anzahl,63439
2021,"Afrika insgesamt",Anzahl,5099
2021,"Amerika insgesamt",Anzahl,3875
2021,"Kolumbien",Anzahl,619
2021,"Asien insgesamt",Anzahl,23132
2021,"Afghanistan",Anzahl,2520
2021,"Georgien",Anzahl,1042
2021,"Indien",Anzahl,1577
2021,"Irak",Anzahl,2342
2021,"Iran",Anzahl,1093
2021,"Kasachstan",Anzahl,2770
2021,"Syrien, Arabische Republik",Anzahl,5003
2021,"Australien und Ozeanien",Anzahl,245
2021,"Sonstige Ziele",Anzahl,11384
2021,"ohne Angabe",Anzahl,10407
2021,"Insgesamt",Anzahl,128077
2022,"Europa insgesamt",Anzahl,206343
2022,"Albanien",Anzahl,1701
2022,"Bulgarien",Anzahl,7538
2022,"Italien",Anzahl,2299
2022,"Moldau, Republik",Anzahl,3087
2022,"Polen",Anzahl,14423
2022,"Rumänien",Anzahl,24039
2022,"Russische Föderation",Anzahl,5080
2022,"Spanien",Anzahl,1971
2022,"Türkei",Anzahl,6647
2022,"Ukraine",Anzahl,119352
2022,"Ungarn",Anzahl,1787
2022,"EU Staaten",Anzahl,62858
2022,"Afrika insgesamt",Anzahl,7049
2022,"Amerika insgesamt",Anzahl,6018
2022,"Kolumbien",Anzahl,2018
2022,"Asien insgesamt",Anzahl,30147
2022,"Afghanistan",Anzahl,5133
2022,"Georgien",Anzahl,1961
2022,"Indien",Anzahl,2207
2022,"Irak",Anzahl,1785
2022,"Iran",Anzahl,1838
2022,"Kasachstan",Anzahl,2605
2022,"Syrien, Arabische Republik",Anzahl,6344
2022,"Australien und Ozeanien",Anzahl,316
2022,"Sonstige Ziele",Anzahl,10878
2022,"ohne Angabe",Anzahl,9834
2022,"Insgesamt",Anzahl,260751
