Year,Nationalität,Gebietseinheit,GeoCode,Value
2005,Ausländerinnen und Ausländer,"Emden, Stadt",K03402,14
2005,Ausländerinnen und Ausländer,"Oldenburg (Oldb), Stadt",K03403,101
2005,Ausländerinnen und Ausländer,"Osnabrück, Stadt",K03404,60
2005,Ausländerinnen und Ausländer,"Wilhelmshaven, Stadt",K03405,26
2005,Ausländerinnen und Ausländer,"Ammerland",K03451,14
2005,Ausländerinnen und Ausländer,"Aurich",K03452,43
2005,Ausländerinnen und Ausländer,"Cloppenburg",K03453,32
2005,Ausländerinnen und Ausländer,"Emsland",K03454,87
2005,Ausländerinnen und Ausländer,"Friesland",K03455,17
2005,Ausländerinnen und Ausländer,"Grafschaft Bentheim",K03456,57
2005,Ausländerinnen und Ausländer,"Leer",K03457,35
2005,Ausländerinnen und Ausländer,"Oldenburg",K03458,28
2005,Ausländerinnen und Ausländer,"Osnabrück",K03459,61
2005,Ausländerinnen und Ausländer,"Vechta",K03460,86
2005,Ausländerinnen und Ausländer,"Wesermarsch",K03461,17
2005,Ausländerinnen und Ausländer,"Wittmund",K03462,16
2005,Ausländerinnen und Ausländer,"Statistische Region Weser-Ems",K034,712
2005,Ausländerinnen und Ausländer,"Niedersachsen",,2304
2006,Ausländerinnen und Ausländer,"Braunschweig, Stadt",K03101,72
2006,Ausländerinnen und Ausländer,"Salzgitter, Stadt",K03102,37
2006,Ausländerinnen und Ausländer,"Wolfsburg, Stadt",K03103,49
2006,Ausländerinnen und Ausländer,"Gifhorn",K03151,8
2006,Ausländerinnen und Ausländer,"Goslar",K03153,44
2006,Ausländerinnen und Ausländer,"Helmstedt",K03154,12
2006,Ausländerinnen und Ausländer,"Northeim",K03155,40
2006,Ausländerinnen und Ausländer,"Peine",K03157,29
2006,Ausländerinnen und Ausländer,"Wolfenbüttel",K03158,19
2006,Ausländerinnen und Ausländer,"Göttingen",K03159,114
2006,Ausländerinnen und Ausländer,"Statistische Region Braunschweig",K031,424
2006,Ausländerinnen und Ausländer,"Region Hannover",K03241,467
2006,Ausländerinnen und Ausländer,"dav. Hannover, Lhst.",K03241001,293
2006,Ausländerinnen und Ausländer,"dav. Hannover, Umland",K03241999,174
2006,Ausländerinnen und Ausländer,"Diepholz",K03251,48
2006,Ausländerinnen und Ausländer,"Hameln-Pyrmont",K03252,64
2006,Ausländerinnen und Ausländer,"Hildesheim",K03254,107
2006,Ausländerinnen und Ausländer,"Holzminden",K03255,16
2006,Ausländerinnen und Ausländer,"Nienburg (Weser)",K03256,36
2006,Ausländerinnen und Ausländer,"Schaumburg",K03257,33
2006,Ausländerinnen und Ausländer,"Statistische Region Hannover",K032,771
2006,Ausländerinnen und Ausländer,"Celle",K03351,29
2006,Ausländerinnen und Ausländer,"Cuxhaven",K03352,44
2006,Ausländerinnen und Ausländer,"Harburg",K03353,47
2006,Ausländerinnen und Ausländer,"Lüchow-Dannenberg",K03354,10
2006,Ausländerinnen und Ausländer,"Lüneburg",K03355,29
2006,Ausländerinnen und Ausländer,"Osterholz",K03356,28
2006,Ausländerinnen und Ausländer,"Rotenburg (Wümme)",K03357,41
2006,Ausländerinnen und Ausländer,"Heidekreis",K03358,40
2006,Ausländerinnen und Ausländer,"Stade",K03359,50
2006,Ausländerinnen und Ausländer,"Uelzen",K03360,25
2006,Ausländerinnen und Ausländer,"Verden",K03361,28
2006,Ausländerinnen und Ausländer,"Statistische Region Lüneburg",K033,371
2006,Ausländerinnen und Ausländer,"Delmenhorst, Stadt",K03401,16
2006,Ausländerinnen und Ausländer,"Emden, Stadt",K03402,15
2006,Ausländerinnen und Ausländer,"Oldenburg (Oldb), Stadt",K03403,97
2006,Ausländerinnen und Ausländer,"Osnabrück, Stadt",K03404,80
2006,Ausländerinnen und Ausländer,"Wilhelmshaven, Stadt",K03405,22
2006,Ausländerinnen und Ausländer,"Ammerland",K03451,16
2006,Ausländerinnen und Ausländer,"Aurich",K03452,37
2006,Ausländerinnen und Ausländer,"Cloppenburg",K03453,20
2006,Ausländerinnen und Ausländer,"Emsland",K03454,81
2006,Ausländerinnen und Ausländer,"Friesland",K03455,19
2006,Ausländerinnen und Ausländer,"Grafschaft Bentheim",K03456,86
2006,Ausländerinnen und Ausländer,"Leer",K03457,23
2006,Ausländerinnen und Ausländer,"Oldenburg",K03458,15
2006,Ausländerinnen und Ausländer,"Osnabrück",K03459,59
2006,Ausländerinnen und Ausländer,"Vechta",K03460,92
2006,Ausländerinnen und Ausländer,"Wesermarsch",K03461,16
2006,Ausländerinnen und Ausländer,"Wittmund",K03462,14
2006,Ausländerinnen und Ausländer,"Statistische Region Weser-Ems",K034,708
2006,Ausländerinnen und Ausländer,"Niedersachsen",,2274
2007,Ausländerinnen und Ausländer,"Braunschweig, Stadt",K03101,82
2007,Ausländerinnen und Ausländer,"Salzgitter, Stadt",K03102,32
2007,Ausländerinnen und Ausländer,"Wolfsburg, Stadt",K03103,43
2007,Ausländerinnen und Ausländer,"Gifhorn",K03151,11
2007,Ausländerinnen und Ausländer,"Goslar",K03153,28
2007,Ausländerinnen und Ausländer,"Helmstedt",K03154,15
2007,Ausländerinnen und Ausländer,"Northeim",K03155,49
2007,Ausländerinnen und Ausländer,"Peine",K03157,27
2007,Ausländerinnen und Ausländer,"Wolfenbüttel",K03158,26
2007,Ausländerinnen und Ausländer,"Göttingen",K03159,113
2007,Ausländerinnen und Ausländer,"Statistische Region Braunschweig",K031,426
2007,Ausländerinnen und Ausländer,"Region Hannover",K03241,421
2007,Ausländerinnen und Ausländer,"dav. Hannover, Lhst.",K03241001,262
2007,Ausländerinnen und Ausländer,"dav. Hannover, Umland",K03241999,159
2007,Ausländerinnen und Ausländer,"Diepholz",K03251,43
2007,Ausländerinnen und Ausländer,"Hameln-Pyrmont",K03252,66
2007,Ausländerinnen und Ausländer,"Hildesheim",K03254,111
2007,Ausländerinnen und Ausländer,"Holzminden",K03255,18
2007,Ausländerinnen und Ausländer,"Nienburg (Weser)",K03256,29
2007,Ausländerinnen und Ausländer,"Schaumburg",K03257,47
2007,Ausländerinnen und Ausländer,"Statistische Region Hannover",K032,735
2007,Ausländerinnen und Ausländer,"Celle",K03351,35
2007,Ausländerinnen und Ausländer,"Cuxhaven",K03352,49
2007,Ausländerinnen und Ausländer,"Harburg",K03353,60
2007,Ausländerinnen und Ausländer,"Lüchow-Dannenberg",K03354,10
2007,Ausländerinnen und Ausländer,"Lüneburg",K03355,33
2007,Ausländerinnen und Ausländer,"Osterholz",K03356,29
2007,Ausländerinnen und Ausländer,"Rotenburg (Wümme)",K03357,38
2007,Ausländerinnen und Ausländer,"Heidekreis",K03358,23
2007,Ausländerinnen und Ausländer,"Stade",K03359,31
2007,Ausländerinnen und Ausländer,"Uelzen",K03360,20
2007,Ausländerinnen und Ausländer,"Verden",K03361,46
2007,Ausländerinnen und Ausländer,"Statistische Region Lüneburg",K033,374
2007,Ausländerinnen und Ausländer,"Delmenhorst, Stadt",K03401,28
2007,Ausländerinnen und Ausländer,"Emden, Stadt",K03402,16
2007,Ausländerinnen und Ausländer,"Oldenburg (Oldb), Stadt",K03403,95
2007,Ausländerinnen und Ausländer,"Osnabrück, Stadt",K03404,75
2007,Ausländerinnen und Ausländer,"Wilhelmshaven, Stadt",K03405,16
2007,Ausländerinnen und Ausländer,"Ammerland",K03451,20
2007,Ausländerinnen und Ausländer,"Aurich",K03452,60
2007,Ausländerinnen und Ausländer,"Cloppenburg",K03453,44
2007,Ausländerinnen und Ausländer,"Emsland",K03454,89
2007,Ausländerinnen und Ausländer,"Friesland",K03455,18
2007,Ausländerinnen und Ausländer,"Grafschaft Bentheim",K03456,109
2007,Ausländerinnen und Ausländer,"Leer",K03457,40
2007,Ausländerinnen und Ausländer,"Oldenburg",K03458,30
2007,Ausländerinnen und Ausländer,"Osnabrück",K03459,87
2007,Ausländerinnen und Ausländer,"Vechta",K03460,86
2007,Ausländerinnen und Ausländer,"Wesermarsch",K03461,28
2007,Ausländerinnen und Ausländer,"Wittmund",K03462,9
2007,Ausländerinnen und Ausländer,"Statistische Region Weser-Ems",K034,850
2007,Ausländerinnen und Ausländer,"Niedersachsen",,2385
2008,Ausländerinnen und Ausländer,"Braunschweig, Stadt",K03101,67
2008,Ausländerinnen und Ausländer,"Salzgitter, Stadt",K03102,32
2008,Ausländerinnen und Ausländer,"Wolfsburg, Stadt",K03103,50
2008,Ausländerinnen und Ausländer,"Gifhorn",K03151,34
2008,Ausländerinnen und Ausländer,"Goslar",K03153,39
2008,Ausländerinnen und Ausländer,"Helmstedt",K03154,16
2008,Ausländerinnen und Ausländer,"Northeim",K03155,55
2008,Ausländerinnen und Ausländer,"Peine",K03157,28
2008,Ausländerinnen und Ausländer,"Wolfenbüttel",K03158,9
2008,Ausländerinnen und Ausländer,"Göttingen",K03159,117
2008,Ausländerinnen und Ausländer,"Statistische Region Braunschweig",K031,447
2008,Ausländerinnen und Ausländer,"Region Hannover",K03241,395
2008,Ausländerinnen und Ausländer,"dav. Hannover, Lhst.",K03241001,237
2008,Ausländerinnen und Ausländer,"dav. Hannover, Umland",K03241999,158
2008,Ausländerinnen und Ausländer,"Diepholz",K03251,61
2008,Ausländerinnen und Ausländer,"Hameln-Pyrmont",K03252,75
2008,Ausländerinnen und Ausländer,"Hildesheim",K03254,109
2008,Ausländerinnen und Ausländer,"Holzminden",K03255,10
2008,Ausländerinnen und Ausländer,"Nienburg (Weser)",K03256,34
2008,Ausländerinnen und Ausländer,"Schaumburg",K03257,50
2008,Ausländerinnen und Ausländer,"Statistische Region Hannover",K032,734
2008,Ausländerinnen und Ausländer,"Celle",K03351,33
2008,Ausländerinnen und Ausländer,"Cuxhaven",K03352,44
2008,Ausländerinnen und Ausländer,"Harburg",K03353,62
2008,Ausländerinnen und Ausländer,"Lüchow-Dannenberg",K03354,3
2008,Ausländerinnen und Ausländer,"Lüneburg",K03355,21
2008,Ausländerinnen und Ausländer,"Osterholz",K03356,22
2008,Ausländerinnen und Ausländer,"Rotenburg (Wümme)",K03357,23
2008,Ausländerinnen und Ausländer,"Heidekreis",K03358,22
2008,Ausländerinnen und Ausländer,"Stade",K03359,38
2008,Ausländerinnen und Ausländer,"Uelzen",K03360,21
2008,Ausländerinnen und Ausländer,"Verden",K03361,33
2008,Ausländerinnen und Ausländer,"Statistische Region Lüneburg",K033,322
2008,Ausländerinnen und Ausländer,"Delmenhorst, Stadt",K03401,25
2008,Ausländerinnen und Ausländer,"Emden, Stadt",K03402,17
2008,Ausländerinnen und Ausländer,"Oldenburg (Oldb), Stadt",K03403,80
2008,Ausländerinnen und Ausländer,"Osnabrück, Stadt",K03404,89
2008,Ausländerinnen und Ausländer,"Wilhelmshaven, Stadt",K03405,9
2008,Ausländerinnen und Ausländer,"Ammerland",K03451,22
2008,Ausländerinnen und Ausländer,"Aurich",K03452,33
2008,Ausländerinnen und Ausländer,"Cloppenburg",K03453,39
2008,Ausländerinnen und Ausländer,"Emsland",K03454,108
2008,Ausländerinnen und Ausländer,"Friesland",K03455,15
2008,Ausländerinnen und Ausländer,"Grafschaft Bentheim",K03456,100
2008,Ausländerinnen und Ausländer,"Leer",K03457,36
2008,Ausländerinnen und Ausländer,"Oldenburg",K03458,28
2008,Ausländerinnen und Ausländer,"Osnabrück",K03459,83
2008,Ausländerinnen und Ausländer,"Vechta",K03460,88
2008,Ausländerinnen und Ausländer,"Wesermarsch",K03461,26
2008,Ausländerinnen und Ausländer,"Wittmund",K03462,17
2008,Ausländerinnen und Ausländer,"Statistische Region Weser-Ems",K034,815
2008,Ausländerinnen und Ausländer,"Niedersachsen",,2318
2009,Ausländerinnen und Ausländer,"Braunschweig, Stadt",K03101,63
2009,Ausländerinnen und Ausländer,"Salzgitter, Stadt",K03102,20
2009,Ausländerinnen und Ausländer,"Wolfsburg, Stadt",K03103,28
2009,Ausländerinnen und Ausländer,"Gifhorn",K03151,12
2009,Ausländerinnen und Ausländer,"Goslar",K03153,43
2009,Ausländerinnen und Ausländer,"Helmstedt",K03154,14
2009,Ausländerinnen und Ausländer,"Northeim",K03155,35
2009,Ausländerinnen und Ausländer,"Peine",K03157,23
2009,Ausländerinnen und Ausländer,"Wolfenbüttel",K03158,25
2009,Ausländerinnen und Ausländer,"Göttingen",K03159,115
2009,Ausländerinnen und Ausländer,"Statistische Region Braunschweig",K031,378
2009,Ausländerinnen und Ausländer,"Region Hannover",K03241,394
2009,Ausländerinnen und Ausländer,"dav. Hannover, Lhst.",K03241001,246
2009,Ausländerinnen und Ausländer,"dav. Hannover, Umland",K03241999,148
2009,Ausländerinnen und Ausländer,"Diepholz",K03251,61
2009,Ausländerinnen und Ausländer,"Hameln-Pyrmont",K03252,39
2009,Ausländerinnen und Ausländer,"Hildesheim",K03254,82
2009,Ausländerinnen und Ausländer,"Holzminden",K03255,14
2009,Ausländerinnen und Ausländer,"Nienburg (Weser)",K03256,19
2009,Ausländerinnen und Ausländer,"Schaumburg",K03257,6
2009,Ausländerinnen und Ausländer,"Statistische Region Hannover",K032,615
2009,Ausländerinnen und Ausländer,"Celle",K03351,32
2009,Ausländerinnen und Ausländer,"Cuxhaven",K03352,47
2009,Ausländerinnen und Ausländer,"Harburg",K03353,58
2009,Ausländerinnen und Ausländer,"Lüchow-Dannenberg",K03354,10
2009,Ausländerinnen und Ausländer,"Lüneburg",K03355,29
2009,Ausländerinnen und Ausländer,"Osterholz",K03356,22
2009,Ausländerinnen und Ausländer,"Rotenburg (Wümme)",K03357,11
2009,Ausländerinnen und Ausländer,"Heidekreis",K03358,22
2009,Ausländerinnen und Ausländer,"Stade",K03359,48
2009,Ausländerinnen und Ausländer,"Uelzen",K03360,21
2009,Ausländerinnen und Ausländer,"Verden",K03361,19
2009,Ausländerinnen und Ausländer,"Statistische Region Lüneburg",K033,319
2009,Ausländerinnen und Ausländer,"Delmenhorst, Stadt",K03401,24
2009,Ausländerinnen und Ausländer,"Emden, Stadt",K03402,17
2009,Ausländerinnen und Ausländer,"Oldenburg (Oldb), Stadt",K03403,101
2009,Ausländerinnen und Ausländer,"Osnabrück, Stadt",K03404,49
2009,Ausländerinnen und Ausländer,"Wilhelmshaven, Stadt",K03405,14
2009,Ausländerinnen und Ausländer,"Ammerland",K03451,19
2009,Ausländerinnen und Ausländer,"Aurich",K03452,30
2009,Ausländerinnen und Ausländer,"Cloppenburg",K03453,24
2009,Ausländerinnen und Ausländer,"Emsland",K03454,85
2009,Ausländerinnen und Ausländer,"Friesland",K03455,18
2009,Ausländerinnen und Ausländer,"Grafschaft Bentheim",K03456,92
2009,Ausländerinnen und Ausländer,"Leer",K03457,36
2009,Ausländerinnen und Ausländer,"Oldenburg",K03458,24
2009,Ausländerinnen und Ausländer,"Osnabrück",K03459,69
2009,Ausländerinnen und Ausländer,"Vechta",K03460,63
2009,Ausländerinnen und Ausländer,"Wesermarsch",K03461,19
2009,Ausländerinnen und Ausländer,"Wittmund",K03462,9
2009,Ausländerinnen und Ausländer,"Statistische Region Weser-Ems",K034,693
2009,Ausländerinnen und Ausländer,"Niedersachsen",,2005
2010,Ausländerinnen und Ausländer,"Braunschweig, Stadt",K03101,87
2010,Ausländerinnen und Ausländer,"Salzgitter, Stadt",K03102,27
2010,Ausländerinnen und Ausländer,"Wolfsburg, Stadt",K03103,45
2010,Ausländerinnen und Ausländer,"Gifhorn",K03151,8
2010,Ausländerinnen und Ausländer,"Goslar",K03153,32
2010,Ausländerinnen und Ausländer,"Helmstedt",K03154,8
2010,Ausländerinnen und Ausländer,"Northeim",K03155,35
2010,Ausländerinnen und Ausländer,"Peine",K03157,26
2010,Ausländerinnen und Ausländer,"Wolfenbüttel",K03158,23
2010,Ausländerinnen und Ausländer,"Göttingen",K03159,127
2010,Ausländerinnen und Ausländer,"Statistische Region Braunschweig",K031,418
2010,Ausländerinnen und Ausländer,"Region Hannover",K03241,397
2010,Ausländerinnen und Ausländer,"dav. Hannover, Lhst.",K03241001,258
2010,Ausländerinnen und Ausländer,"dav. Hannover, Umland",K03241999,139
2010,Ausländerinnen und Ausländer,"Diepholz",K03251,54
2010,Ausländerinnen und Ausländer,"Hameln-Pyrmont",K03252,39
2010,Ausländerinnen und Ausländer,"Hildesheim",K03254,91
2010,Ausländerinnen und Ausländer,"Holzminden",K03255,14
2010,Ausländerinnen und Ausländer,"Nienburg (Weser)",K03256,15
2010,Ausländerinnen und Ausländer,"Schaumburg",K03257,12
2010,Ausländerinnen und Ausländer,"Statistische Region Hannover",K032,622
2010,Ausländerinnen und Ausländer,"Celle",K03351,33
2010,Ausländerinnen und Ausländer,"Cuxhaven",K03352,47
2010,Ausländerinnen und Ausländer,"Harburg",K03353,60
2010,Ausländerinnen und Ausländer,"Lüchow-Dannenberg",K03354,4
2010,Ausländerinnen und Ausländer,"Lüneburg",K03355,21
2010,Ausländerinnen und Ausländer,"Osterholz",K03356,24
2010,Ausländerinnen und Ausländer,"Rotenburg (Wümme)",K03357,10
2010,Ausländerinnen und Ausländer,"Heidekreis",K03358,18
2010,Ausländerinnen und Ausländer,"Stade",K03359,29
2010,Ausländerinnen und Ausländer,"Uelzen",K03360,21
2010,Ausländerinnen und Ausländer,"Verden",K03361,22
2010,Ausländerinnen und Ausländer,"Statistische Region Lüneburg",K033,289
2010,Ausländerinnen und Ausländer,"Delmenhorst, Stadt",K03401,29
2010,Ausländerinnen und Ausländer,"Emden, Stadt",K03402,12
2010,Ausländerinnen und Ausländer,"Oldenburg (Oldb), Stadt",K03403,113
2010,Ausländerinnen und Ausländer,"Osnabrück, Stadt",K03404,93
2010,Ausländerinnen und Ausländer,"Wilhelmshaven, Stadt",K03405,21
2010,Ausländerinnen und Ausländer,"Ammerland",K03451,12
2010,Ausländerinnen und Ausländer,"Aurich",K03452,9
2010,Ausländerinnen und Ausländer,"Cloppenburg",K03453,23
2010,Ausländerinnen und Ausländer,"Emsland",K03454,65
2010,Ausländerinnen und Ausländer,"Friesland",K03455,12
2010,Ausländerinnen und Ausländer,"Grafschaft Bentheim",K03456,87
2010,Ausländerinnen und Ausländer,"Leer",K03457,46
2010,Ausländerinnen und Ausländer,"Oldenburg",K03458,25
2010,Ausländerinnen und Ausländer,"Osnabrück",K03459,75
2010,Ausländerinnen und Ausländer,"Vechta",K03460,62
2010,Ausländerinnen und Ausländer,"Wesermarsch",K03461,17
2010,Ausländerinnen und Ausländer,"Wittmund",K03462,9
2010,Ausländerinnen und Ausländer,"Statistische Region Weser-Ems",K034,710
2010,Ausländerinnen und Ausländer,"Niedersachsen",,2039
2011,Ausländerinnen und Ausländer,"Braunschweig, Stadt",K03101,84
2011,Ausländerinnen und Ausländer,"Salzgitter, Stadt",K03102,28
2011,Ausländerinnen und Ausländer,"Wolfsburg, Stadt",K03103,53
2011,Ausländerinnen und Ausländer,"Gifhorn",K03151,4
2011,Ausländerinnen und Ausländer,"Goslar",K03153,39
2011,Ausländerinnen und Ausländer,"Helmstedt",K03154,10
2011,Ausländerinnen und Ausländer,"Northeim",K03155,36
2011,Ausländerinnen und Ausländer,"Peine",K03157,30
2011,Ausländerinnen und Ausländer,"Wolfenbüttel",K03158,13
2011,Ausländerinnen und Ausländer,"Göttingen",K03159,126
2011,Ausländerinnen und Ausländer,"Statistische Region Braunschweig",K031,423
2011,Ausländerinnen und Ausländer,"Region Hannover",K03241,415
2011,Ausländerinnen und Ausländer,"dav. Hannover, Lhst.",K03241001,284
2011,Ausländerinnen und Ausländer,"dav. Hannover, Umland",K03241999,131
2011,Ausländerinnen und Ausländer,"Diepholz",K03251,45
2011,Ausländerinnen und Ausländer,"Hameln-Pyrmont",K03252,43
2011,Ausländerinnen und Ausländer,"Hildesheim",K03254,90
2011,Ausländerinnen und Ausländer,"Holzminden",K03255,14
2011,Ausländerinnen und Ausländer,"Nienburg (Weser)",K03256,12
2011,Ausländerinnen und Ausländer,"Schaumburg",K03257,6
2011,Ausländerinnen und Ausländer,"Statistische Region Hannover",K032,625
2011,Ausländerinnen und Ausländer,"Celle",K03351,40
2011,Ausländerinnen und Ausländer,"Cuxhaven",K03352,45
2011,Ausländerinnen und Ausländer,"Harburg",K03353,44
2011,Ausländerinnen und Ausländer,"Lüchow-Dannenberg",K03354,5
2011,Ausländerinnen und Ausländer,"Lüneburg",K03355,32
2011,Ausländerinnen und Ausländer,"Osterholz",K03356,14
2011,Ausländerinnen und Ausländer,"Rotenburg (Wümme)",K03357,10
2011,Ausländerinnen und Ausländer,"Heidekreis",K03358,18
2011,Ausländerinnen und Ausländer,"Stade",K03359,26
2011,Ausländerinnen und Ausländer,"Uelzen",K03360,17
2011,Ausländerinnen und Ausländer,"Verden",K03361,20
2011,Ausländerinnen und Ausländer,"Statistische Region Lüneburg",K033,271
2011,Ausländerinnen und Ausländer,"Delmenhorst, Stadt",K03401,20
2011,Ausländerinnen und Ausländer,"Emden, Stadt",K03402,13
2011,Ausländerinnen und Ausländer,"Oldenburg (Oldb), Stadt",K03403,84
2011,Ausländerinnen und Ausländer,"Osnabrück, Stadt",K03404,82
2011,Ausländerinnen und Ausländer,"Wilhelmshaven, Stadt",K03405,24
2011,Ausländerinnen und Ausländer,"Ammerland",K03451,27
2011,Ausländerinnen und Ausländer,"Aurich",K03452,14
2011,Ausländerinnen und Ausländer,"Cloppenburg",K03453,17
2011,Ausländerinnen und Ausländer,"Emsland",K03454,84
2011,Ausländerinnen und Ausländer,"Friesland",K03455,15
2011,Ausländerinnen und Ausländer,"Grafschaft Bentheim",K03456,56
2011,Ausländerinnen und Ausländer,"Leer",K03457,41
2011,Ausländerinnen und Ausländer,"Oldenburg",K03458,21
2011,Ausländerinnen und Ausländer,"Osnabrück",K03459,65
2011,Ausländerinnen und Ausländer,"Vechta",K03460,53
2011,Ausländerinnen und Ausländer,"Wesermarsch",K03461,19
2011,Ausländerinnen und Ausländer,"Wittmund",K03462,12
2011,Ausländerinnen und Ausländer,"Statistische Region Weser-Ems",K034,647
2011,Ausländerinnen und Ausländer,"Niedersachsen",,1966
2012,Ausländerinnen und Ausländer,"Braunschweig, Stadt",K03101,110
2012,Ausländerinnen und Ausländer,"Salzgitter, Stadt",K03102,22
2012,Ausländerinnen und Ausländer,"Wolfsburg, Stadt",K03103,60
2012,Ausländerinnen und Ausländer,"Gifhorn",K03151,35
2012,Ausländerinnen und Ausländer,"Goslar",K03153,41
2012,Ausländerinnen und Ausländer,"Helmstedt",K03154,11
2012,Ausländerinnen und Ausländer,"Northeim",K03155,32
2012,Ausländerinnen und Ausländer,"Peine",K03157,38
2012,Ausländerinnen und Ausländer,"Wolfenbüttel",K03158,19
2012,Ausländerinnen und Ausländer,"Göttingen",K03159,150
2012,Ausländerinnen und Ausländer,"Statistische Region Braunschweig",K031,518
2012,Ausländerinnen und Ausländer,"Region Hannover",K03241,466
2012,Ausländerinnen und Ausländer,"dav. Hannover, Lhst.",K03241001,335
2012,Ausländerinnen und Ausländer,"dav. Hannover, Umland",K03241999,131
2012,Ausländerinnen und Ausländer,"Diepholz",K03251,58
2012,Ausländerinnen und Ausländer,"Hameln-Pyrmont",K03252,64
2012,Ausländerinnen und Ausländer,"Hildesheim",K03254,93
2012,Ausländerinnen und Ausländer,"Holzminden",K03255,11
2012,Ausländerinnen und Ausländer,"Nienburg (Weser)",K03256,24
2012,Ausländerinnen und Ausländer,"Schaumburg",K03257,27
2012,Ausländerinnen und Ausländer,"Statistische Region Hannover",K032,743
2012,Ausländerinnen und Ausländer,"Celle",K03351,30
2012,Ausländerinnen und Ausländer,"Cuxhaven",K03352,41
2012,Ausländerinnen und Ausländer,"Harburg",K03353,42
2012,Ausländerinnen und Ausländer,"Lüchow-Dannenberg",K03354,9
2012,Ausländerinnen und Ausländer,"Lüneburg",K03355,30
2012,Ausländerinnen und Ausländer,"Osterholz",K03356,14
2012,Ausländerinnen und Ausländer,"Rotenburg (Wümme)",K03357,27
2012,Ausländerinnen und Ausländer,"Heidekreis",K03358,22
2012,Ausländerinnen und Ausländer,"Stade",K03359,44
2012,Ausländerinnen und Ausländer,"Uelzen",K03360,17
2012,Ausländerinnen und Ausländer,"Verden",K03361,34
2012,Ausländerinnen und Ausländer,"Statistische Region Lüneburg",K033,310
2012,Ausländerinnen und Ausländer,"Delmenhorst, Stadt",K03401,46
2012,Ausländerinnen und Ausländer,"Emden, Stadt",K03402,16
2012,Ausländerinnen und Ausländer,"Oldenburg (Oldb), Stadt",K03403,107
2012,Ausländerinnen und Ausländer,"Osnabrück, Stadt",K03404,74
2012,Ausländerinnen und Ausländer,"Wilhelmshaven, Stadt",K03405,19
2012,Ausländerinnen und Ausländer,"Ammerland",K03451,29
2012,Ausländerinnen und Ausländer,"Aurich",K03452,30
2012,Ausländerinnen und Ausländer,"Cloppenburg",K03453,62
2012,Ausländerinnen und Ausländer,"Emsland",K03454,115
2012,Ausländerinnen und Ausländer,"Friesland",K03455,16
2012,Ausländerinnen und Ausländer,"Grafschaft Bentheim",K03456,74
2012,Ausländerinnen und Ausländer,"Leer",K03457,36
2012,Ausländerinnen und Ausländer,"Oldenburg",K03458,43
2012,Ausländerinnen und Ausländer,"Osnabrück",K03459,81
2012,Ausländerinnen und Ausländer,"Vechta",K03460,90
2012,Ausländerinnen und Ausländer,"Wesermarsch",K03461,18
2012,Ausländerinnen und Ausländer,"Wittmund",K03462,12
2012,Ausländerinnen und Ausländer,"Statistische Region Weser-Ems",K034,868
2012,Ausländerinnen und Ausländer,"Niedersachsen",,2439
