Year,Gebietseinheit,GeoCode,Value
Veränderung aktuelles Jahr (2022) zu 2020,"Göttingen",K03159,83
Veränderung aktuelles Jahr (2022) zu 2020,"Statistische Region Braunschweig",K031,393
Veränderung aktuelles Jahr (2022) zu 2020,"Region Hannover",K03241,-19
Veränderung aktuelles Jahr (2022) zu 2020,"dav. Hannover, Lhst.",K03241001,-21
Veränderung aktuelles Jahr (2022) zu 2020,"dav. Hannover, Umland",K03241999,2
Veränderung aktuelles Jahr (2022) zu 2020,"Diepholz",K03251,5
Veränderung aktuelles Jahr (2022) zu 2020,"Hameln-Pyrmont",K03252,-11
Veränderung aktuelles Jahr (2022) zu 2020,"Hildesheim",K03254,41
Veränderung aktuelles Jahr (2022) zu 2020,"Holzminden",K03255,21
Veränderung aktuelles Jahr (2022) zu 2020,"Nienburg (Weser)",K03256,12
Veränderung aktuelles Jahr (2022) zu 2020,"Schaumburg",K03257,28
Veränderung aktuelles Jahr (2022) zu 2020,"Statistische Region Hannover",K032,77
Veränderung aktuelles Jahr (2022) zu 2020,"Celle",K03351,-89
Veränderung aktuelles Jahr (2022) zu 2020,"Cuxhaven",K03352,53
Veränderung aktuelles Jahr (2022) zu 2020,"Harburg",K03353,176
Veränderung aktuelles Jahr (2022) zu 2020,"Lüchow-Dannenberg",K03354,6
Veränderung aktuelles Jahr (2022) zu 2020,"Lüneburg",K03355,207
Veränderung aktuelles Jahr (2022) zu 2020,"Osterholz",K03356,5
Veränderung aktuelles Jahr (2022) zu 2020,"Rotenburg (Wümme)",K03357,68
Veränderung aktuelles Jahr (2022) zu 2020,"Heidekreis",K03358,-20
Veränderung aktuelles Jahr (2022) zu 2020,"Stade",K03359,43
Veränderung aktuelles Jahr (2022) zu 2020,"Uelzen",K03360,-42
Veränderung aktuelles Jahr (2022) zu 2020,"Verden",K03361,-22
Veränderung aktuelles Jahr (2022) zu 2020,"Statistische Region Lüneburg",K033,385
Veränderung aktuelles Jahr (2022) zu 2020,"Delmenhorst, Stadt",K03401,-3
Veränderung aktuelles Jahr (2022) zu 2020,"Emden, Stadt",K03402,13
Veränderung aktuelles Jahr (2022) zu 2020,"Oldenburg (Oldb), Stadt",K03403,3
Veränderung aktuelles Jahr (2022) zu 2020,"Osnabrück, Stadt",K03404,80
Veränderung aktuelles Jahr (2022) zu 2020,"Wilhelmshaven, Stadt",K03405,99
Veränderung aktuelles Jahr (2022) zu 2020,"Ammerland",K03451,-23
Veränderung aktuelles Jahr (2022) zu 2020,"Aurich",K03452,95
Veränderung aktuelles Jahr (2022) zu 2020,"Cloppenburg",K03453,-37
Veränderung aktuelles Jahr (2022) zu 2020,"Emsland",K03454,88
Veränderung aktuelles Jahr (2022) zu 2020,"Friesland",K03455,9
Veränderung aktuelles Jahr (2022) zu 2020,"Grafschaft Bentheim",K03456,144
Veränderung aktuelles Jahr (2022) zu 2020,"Leer",K03457,10
Veränderung aktuelles Jahr (2022) zu 2020,"Oldenburg",K03458,62
Veränderung aktuelles Jahr (2022) zu 2020,"Osnabrück",K03459,63
Veränderung aktuelles Jahr (2022) zu 2020,"Vechta",K03460,66
Veränderung aktuelles Jahr (2022) zu 2020,"Wesermarsch",K03461,36
Veränderung aktuelles Jahr (2022) zu 2020,"Wittmund",K03462,-19
Veränderung aktuelles Jahr (2022) zu 2020,"Statistische Region Weser-Ems",K034,686
Veränderung aktuelles Jahr (2022) zu 2020,"Niedersachsen",K030,1541
