Year,Gebietseinheit,Kategorie,Value
2014,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,72
2014,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,85
2015,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,77
2015,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,90
2016,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,78
2016,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,88
2017,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,71
2017,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,84
2018,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,73
2018,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,82
2019,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,78
2019,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,81
2020,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,75
2020,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,81
2021,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,74
2021,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,80
2022,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,73
2022,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,78
2009,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,14.4
2009,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,24.8
2010,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,18.8
2010,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,27.7
2011,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,22.46
2011,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,30.058
2012,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,26
2012,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,33
2013,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,29
2013,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,35
2014,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,33
2014,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,38
2015,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,34
2015,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,38
2016,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,34
2016,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,38
2017,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,37
2017,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,40
2018,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,39
2018,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,60
2019,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,41
2019,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,42
2020,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,37
2020,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,43
2021,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,40
2021,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,42
2022,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,43
2022,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,43
2009,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,93.2
2009,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,95.6
2010,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,92.9
2010,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,94.9
2011,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,94.669
2011,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,96.557
2012,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,98
2012,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,96
2013,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,102
2013,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,98
2014,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,103
2014,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,98
2015,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,102
2015,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,97
2016,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,100
2016,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,96
2017,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,104
2017,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,98
2018,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,103
2018,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,100
2019,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,100
2019,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,100
2020,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,104
2020,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,99
2021,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,100
2021,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,98
2022,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,102
2022,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,100
