Year,Gebietseinheit,Geschlecht,Befristung,Units,GeoCode,Value
2022,"Diepholz",männlich,zeitlich unbefristet,Anzahl,RH03251,1635
2022,"Diepholz",weiblich,zeitlich unbefristet,Anzahl,RH03251,1830
2022,"Diepholz",insgesamt,zeitlich unbefristet,Anzahl,RH03251,3460
2022,"Hameln-Pyrmont",männlich,zeitlich unbefristet,Anzahl,RH03252,2400
2022,"Hameln-Pyrmont",weiblich,zeitlich unbefristet,Anzahl,RH03252,2290
2022,"Hameln-Pyrmont",insgesamt,zeitlich unbefristet,Anzahl,RH03252,4690
2022,"Hildesheim",männlich,zeitlich unbefristet,Anzahl,RH03254,2620
2022,"Hildesheim",weiblich,zeitlich unbefristet,Anzahl,RH03254,2770
2022,"Hildesheim",insgesamt,zeitlich unbefristet,Anzahl,RH03254,5395
2022,"Holzminden",männlich,zeitlich unbefristet,Anzahl,RH03255,795
2022,"Holzminden",weiblich,zeitlich unbefristet,Anzahl,RH03255,755
2022,"Holzminden",insgesamt,zeitlich unbefristet,Anzahl,RH03255,1550
2022,"Nienburg (Weser)",männlich,zeitlich unbefristet,Anzahl,RH03256,960
2022,"Nienburg (Weser)",weiblich,zeitlich unbefristet,Anzahl,RH03256,1030
2022,"Nienburg (Weser)",insgesamt,zeitlich unbefristet,Anzahl,RH03256,1990
2022,"Schaumburg",männlich,zeitlich unbefristet,Anzahl,RH03257,1640
2022,"Schaumburg",weiblich,zeitlich unbefristet,Anzahl,RH03257,1655
2022,"Schaumburg",insgesamt,zeitlich unbefristet,Anzahl,RH03257,3300
2022,"Statistische Region Hannover",männlich,zeitlich unbefristet,Anzahl,RH032,35480
2022,"Statistische Region Hannover",weiblich,zeitlich unbefristet,Anzahl,RH032,35350
2022,"Statistische Region Hannover",insgesamt,zeitlich unbefristet,Anzahl,RH032,70830
2022,"Celle",männlich,zeitlich unbefristet,Anzahl,RH03351,1175
2022,"Celle",weiblich,zeitlich unbefristet,Anzahl,RH03351,1315
2022,"Celle",insgesamt,zeitlich unbefristet,Anzahl,RH03351,2495
2022,"Cuxhaven",männlich,zeitlich unbefristet,Anzahl,RH03352,940
2022,"Cuxhaven",weiblich,zeitlich unbefristet,Anzahl,RH03352,1095
2022,"Cuxhaven",insgesamt,zeitlich unbefristet,Anzahl,RH03352,2035
2022,"Harburg",männlich,zeitlich unbefristet,Anzahl,RH03353,2165
2022,"Harburg",weiblich,zeitlich unbefristet,Anzahl,RH03353,2180
2022,"Harburg",insgesamt,zeitlich unbefristet,Anzahl,RH03353,4345
2022,"Lüchow-Dannenberg",männlich,zeitlich unbefristet,Anzahl,RH03354,170
2022,"Lüchow-Dannenberg",weiblich,zeitlich unbefristet,Anzahl,RH03354,205
2022,"Lüchow-Dannenberg",insgesamt,zeitlich unbefristet,Anzahl,RH03354,375
2022,"Lüneburg",männlich,zeitlich unbefristet,Anzahl,RH03355,1010
2022,"Lüneburg",weiblich,zeitlich unbefristet,Anzahl,RH03355,1110
2022,"Lüneburg",insgesamt,zeitlich unbefristet,Anzahl,RH03355,2120
2022,"Osterholz",männlich,zeitlich unbefristet,Anzahl,RH03356,810
2022,"Osterholz",weiblich,zeitlich unbefristet,Anzahl,RH03356,855
2022,"Osterholz",insgesamt,zeitlich unbefristet,Anzahl,RH03356,1665
2022,"Rotenburg (Wümme)",männlich,zeitlich unbefristet,Anzahl,RH03357,990
2022,"Rotenburg (Wümme)",weiblich,zeitlich unbefristet,Anzahl,RH03357,1100
2022,"Rotenburg (Wümme)",insgesamt,zeitlich unbefristet,Anzahl,RH03357,2090
2022,"Heidekreis",männlich,zeitlich unbefristet,Anzahl,RH03358,1165
2022,"Heidekreis",weiblich,zeitlich unbefristet,Anzahl,RH03358,1130
2022,"Heidekreis",insgesamt,zeitlich unbefristet,Anzahl,RH03358,2295
2022,"Stade",männlich,zeitlich unbefristet,Anzahl,RH03359,1455
2022,"Stade",weiblich,zeitlich unbefristet,Anzahl,RH03359,1470
2022,"Stade",insgesamt,zeitlich unbefristet,Anzahl,RH03359,2925
2022,"Uelzen",männlich,zeitlich unbefristet,Anzahl,RH03360,480
2022,"Uelzen",weiblich,zeitlich unbefristet,Anzahl,RH03360,530
2022,"Uelzen",insgesamt,zeitlich unbefristet,Anzahl,RH03360,1015
2022,"Verden",männlich,zeitlich unbefristet,Anzahl,RH03361,1500
2022,"Verden",weiblich,zeitlich unbefristet,Anzahl,RH03361,1455
2022,"Verden",insgesamt,zeitlich unbefristet,Anzahl,RH03361,2955
2022,"Statistische Region Lüneburg",männlich,zeitlich unbefristet,Anzahl,RH033,11860
2022,"Statistische Region Lüneburg",weiblich,zeitlich unbefristet,Anzahl,RH033,12445
2022,"Statistische Region Lüneburg",insgesamt,zeitlich unbefristet,Anzahl,RH033,24305
2022,"Delmenhorst, Stadt",männlich,zeitlich unbefristet,Anzahl,RH03401,1710
2022,"Delmenhorst, Stadt",weiblich,zeitlich unbefristet,Anzahl,RH03401,1555
2022,"Delmenhorst, Stadt",insgesamt,zeitlich unbefristet,Anzahl,RH03401,3265
2022,"Emden, Stadt",männlich,zeitlich unbefristet,Anzahl,RH03402,325
2022,"Emden, Stadt",weiblich,zeitlich unbefristet,Anzahl,RH03402,295
2022,"Emden, Stadt",insgesamt,zeitlich unbefristet,Anzahl,RH03402,620
2022,"Oldenburg (Oldb), Stadt",männlich,zeitlich unbefristet,Anzahl,RH03403,1950
2022,"Oldenburg (Oldb), Stadt",weiblich,zeitlich unbefristet,Anzahl,RH03403,1820
2022,"Oldenburg (Oldb), Stadt",insgesamt,zeitlich unbefristet,Anzahl,RH03403,3770
2022,"Osnabrück, Stadt",männlich,zeitlich unbefristet,Anzahl,RH03404,3055
2022,"Osnabrück, Stadt",weiblich,zeitlich unbefristet,Anzahl,RH03404,2790
2022,"Osnabrück, Stadt",insgesamt,zeitlich unbefristet,Anzahl,RH03404,5840
2022,"Wilhelmshaven, Stadt",männlich,zeitlich unbefristet,Anzahl,RH03405,560
2022,"Wilhelmshaven, Stadt",weiblich,zeitlich unbefristet,Anzahl,RH03405,570
2022,"Wilhelmshaven, Stadt",insgesamt,zeitlich unbefristet,Anzahl,RH03405,1125
2022,"Ammerland",männlich,zeitlich unbefristet,Anzahl,RH03451,700
2022,"Ammerland",weiblich,zeitlich unbefristet,Anzahl,RH03451,690
2022,"Ammerland",insgesamt,zeitlich unbefristet,Anzahl,RH03451,1390
2022,"Aurich",männlich,zeitlich unbefristet,Anzahl,RH03452,665
2022,"Aurich",weiblich,zeitlich unbefristet,Anzahl,RH03452,645
2022,"Aurich",insgesamt,zeitlich unbefristet,Anzahl,RH03452,1315
2022,"Cloppenburg",männlich,zeitlich unbefristet,Anzahl,RH03453,1275
2022,"Cloppenburg",weiblich,zeitlich unbefristet,Anzahl,RH03453,1275
2022,"Cloppenburg",insgesamt,zeitlich unbefristet,Anzahl,RH03453,2550
2022,"Emsland",männlich,zeitlich unbefristet,Anzahl,RH03454,1830
2022,"Emsland",weiblich,zeitlich unbefristet,Anzahl,RH03454,1785
2022,"Emsland",insgesamt,zeitlich unbefristet,Anzahl,RH03454,3610
2022,"Friesland",männlich,zeitlich unbefristet,Anzahl,RH03455,320
2022,"Friesland",weiblich,zeitlich unbefristet,Anzahl,RH03455,365
2022,"Friesland",insgesamt,zeitlich unbefristet,Anzahl,RH03455,685
2022,"Grafschaft Bentheim",männlich,zeitlich unbefristet,Anzahl,RH03456,1110
2022,"Grafschaft Bentheim",weiblich,zeitlich unbefristet,Anzahl,RH03456,1165
2022,"Grafschaft Bentheim",insgesamt,zeitlich unbefristet,Anzahl,RH03456,2275
2022,"Leer",männlich,zeitlich unbefristet,Anzahl,RH03457,770
2022,"Leer",weiblich,zeitlich unbefristet,Anzahl,RH03457,755
2022,"Leer",insgesamt,zeitlich unbefristet,Anzahl,RH03457,1525
2022,"Oldenburg",männlich,zeitlich unbefristet,Anzahl,RH03458,750
2022,"Oldenburg",weiblich,zeitlich unbefristet,Anzahl,RH03458,775
2022,"Oldenburg",insgesamt,zeitlich unbefristet,Anzahl,RH03458,1525
2022,"Osnabrück",männlich,zeitlich unbefristet,Anzahl,RH03459,2870
2022,"Osnabrück",weiblich,zeitlich unbefristet,Anzahl,RH03459,3130
2022,"Osnabrück",insgesamt,zeitlich unbefristet,Anzahl,RH03459,6000
2022,"Vechta",männlich,zeitlich unbefristet,Anzahl,RH03460,1920
2022,"Vechta",weiblich,zeitlich unbefristet,Anzahl,RH03460,1875
2022,"Vechta",insgesamt,zeitlich unbefristet,Anzahl,RH03460,3795
2022,"Wesermarsch",männlich,zeitlich unbefristet,Anzahl,RH03461,665
2022,"Wesermarsch",weiblich,zeitlich unbefristet,Anzahl,RH03461,735
2022,"Wesermarsch",insgesamt,zeitlich unbefristet,Anzahl,RH03461,1400
2022,"Wittmund",männlich,zeitlich unbefristet,Anzahl,RH03462,205
2022,"Wittmund",weiblich,zeitlich unbefristet,Anzahl,RH03462,180
2022,"Wittmund",insgesamt,zeitlich unbefristet,Anzahl,RH03462,380
2022,"Statistische Region Weser-Ems",männlich,zeitlich unbefristet,Anzahl,RH034,20675
2022,"Statistische Region Weser-Ems",weiblich,zeitlich unbefristet,Anzahl,RH034,20400
2022,"Statistische Region Weser-Ems",insgesamt,zeitlich unbefristet,Anzahl,RH034,41075
2022,"Niedersachsen",männlich,zeitlich unbefristet,Anzahl,RH030,86395
2022,"Niedersachsen",weiblich,zeitlich unbefristet,Anzahl,RH030,86690
2022,"Niedersachsen",insgesamt,zeitlich unbefristet,Anzahl,RH030,173085
2021,"Braunschweig, Stadt",männlich,zeitlich unbefristet,Anzahl,RH03101,4200
2021,"Braunschweig, Stadt",weiblich,zeitlich unbefristet,Anzahl,RH03101,4095
2021,"Braunschweig, Stadt",insgesamt,zeitlich unbefristet,Anzahl,RH03101,8290
2021,"Salzgitter, Stadt",männlich,zeitlich unbefristet,Anzahl,RH03102,2870
2021,"Salzgitter, Stadt",weiblich,zeitlich unbefristet,Anzahl,RH03102,2740
2021,"Salzgitter, Stadt",insgesamt,zeitlich unbefristet,Anzahl,RH03102,5610
2021,"Wolfsburg, Stadt",männlich,zeitlich unbefristet,Anzahl,RH03103,1475
2021,"Wolfsburg, Stadt",weiblich,zeitlich unbefristet,Anzahl,RH03103,1500
2021,"Wolfsburg, Stadt",insgesamt,zeitlich unbefristet,Anzahl,RH03103,2975
2021,"Gifhorn",männlich,zeitlich unbefristet,Anzahl,RH03151,1275
2021,"Gifhorn",weiblich,zeitlich unbefristet,Anzahl,RH03151,1425
2021,"Gifhorn",insgesamt,zeitlich unbefristet,Anzahl,RH03151,2700
2021,"Goslar",männlich,zeitlich unbefristet,Anzahl,RH03153,1280
2021,"Goslar",weiblich,zeitlich unbefristet,Anzahl,RH03153,1245
2021,"Goslar",insgesamt,zeitlich unbefristet,Anzahl,RH03153,2525
2021,"Helmstedt",männlich,zeitlich unbefristet,Anzahl,RH03154,700
2021,"Helmstedt",weiblich,zeitlich unbefristet,Anzahl,RH03154,745
2021,"Helmstedt",insgesamt,zeitlich unbefristet,Anzahl,RH03154,1445
2021,"Northeim",männlich,zeitlich unbefristet,Anzahl,RH03155,770
2021,"Northeim",weiblich,zeitlich unbefristet,Anzahl,RH03155,845
2021,"Northeim",insgesamt,zeitlich unbefristet,Anzahl,RH03155,1615
2021,"Peine",männlich,zeitlich unbefristet,Anzahl,RH03157,1455
2021,"Peine",weiblich,zeitlich unbefristet,Anzahl,RH03157,1455
2021,"Peine",insgesamt,zeitlich unbefristet,Anzahl,RH03157,2915
2021,"Wolfenbüttel",männlich,zeitlich unbefristet,Anzahl,RH03158,735
2021,"Wolfenbüttel",weiblich,zeitlich unbefristet,Anzahl,RH03158,860
2021,"Wolfenbüttel",insgesamt,zeitlich unbefristet,Anzahl,RH03158,1595
2021,"Göttingen",männlich,zeitlich unbefristet,Anzahl,RH03159,3040
2021,"Göttingen",weiblich,zeitlich unbefristet,Anzahl,RH03159,3135
2021,"Göttingen",insgesamt,zeitlich unbefristet,Anzahl,RH03159,6170
2021,"Statistische Region Braunschweig",männlich,zeitlich unbefristet,Anzahl,RH031,17800
2021,"Statistische Region Braunschweig",weiblich,zeitlich unbefristet,Anzahl,RH031,18045
2021,"Statistische Region Braunschweig",insgesamt,zeitlich unbefristet,Anzahl,RH031,35845
2021,"Region Hannover",männlich,zeitlich unbefristet,Anzahl,RH03241,24645
2021,"Region Hannover",weiblich,zeitlich unbefristet,Anzahl,RH03241,24500
2021,"Region Hannover",insgesamt,zeitlich unbefristet,Anzahl,RH03241,49145
2021,"Diepholz",männlich,zeitlich unbefristet,Anzahl,RH03251,1590
2021,"Diepholz",weiblich,zeitlich unbefristet,Anzahl,RH03251,1760
2021,"Diepholz",insgesamt,zeitlich unbefristet,Anzahl,RH03251,3350
2021,"Hameln-Pyrmont",männlich,zeitlich unbefristet,Anzahl,RH03252,2330
2021,"Hameln-Pyrmont",weiblich,zeitlich unbefristet,Anzahl,RH03252,2265
2021,"Hameln-Pyrmont",insgesamt,zeitlich unbefristet,Anzahl,RH03252,4595
2021,"Hildesheim",männlich,zeitlich unbefristet,Anzahl,RH03254,2620
2021,"Hildesheim",weiblich,zeitlich unbefristet,Anzahl,RH03254,2775
2021,"Hildesheim",insgesamt,zeitlich unbefristet,Anzahl,RH03254,5390
2021,"Holzminden",männlich,zeitlich unbefristet,Anzahl,RH03255,780
2021,"Holzminden",weiblich,zeitlich unbefristet,Anzahl,RH03255,750
2021,"Holzminden",insgesamt,zeitlich unbefristet,Anzahl,RH03255,1530
2021,"Nienburg (Weser)",männlich,zeitlich unbefristet,Anzahl,RH03256,905
2021,"Nienburg (Weser)",weiblich,zeitlich unbefristet,Anzahl,RH03256,1005
2021,"Nienburg (Weser)",insgesamt,zeitlich unbefristet,Anzahl,RH03256,1915
2021,"Schaumburg",männlich,zeitlich unbefristet,Anzahl,RH03257,1580
2021,"Schaumburg",weiblich,zeitlich unbefristet,Anzahl,RH03257,1605
2021,"Schaumburg",insgesamt,zeitlich unbefristet,Anzahl,RH03257,3185
2021,"Statistische Region Hannover",männlich,zeitlich unbefristet,Anzahl,RH032,34445
2021,"Statistische Region Hannover",weiblich,zeitlich unbefristet,Anzahl,RH032,34665
2021,"Statistische Region Hannover",insgesamt,zeitlich unbefristet,Anzahl,RH032,69110
2021,"Celle",männlich,zeitlich unbefristet,Anzahl,RH03351,1120
2021,"Celle",weiblich,zeitlich unbefristet,Anzahl,RH03351,1300
2021,"Celle",insgesamt,zeitlich unbefristet,Anzahl,RH03351,2425
2021,"Cuxhaven",männlich,zeitlich unbefristet,Anzahl,RH03352,940
2021,"Cuxhaven",weiblich,zeitlich unbefristet,Anzahl,RH03352,1080
2021,"Cuxhaven",insgesamt,zeitlich unbefristet,Anzahl,RH03352,2020
2021,"Harburg",männlich,zeitlich unbefristet,Anzahl,RH03353,2120
2021,"Harburg",weiblich,zeitlich unbefristet,Anzahl,RH03353,2125
2021,"Harburg",insgesamt,zeitlich unbefristet,Anzahl,RH03353,4245
2021,"Lüchow-Dannenberg",männlich,zeitlich unbefristet,Anzahl,RH03354,170
2021,"Lüchow-Dannenberg",weiblich,zeitlich unbefristet,Anzahl,RH03354,205
2021,"Lüchow-Dannenberg",insgesamt,zeitlich unbefristet,Anzahl,RH03354,380
2021,"Lüneburg",männlich,zeitlich unbefristet,Anzahl,RH03355,1055
2021,"Lüneburg",weiblich,zeitlich unbefristet,Anzahl,RH03355,1095
2021,"Lüneburg",insgesamt,zeitlich unbefristet,Anzahl,RH03355,2150
2021,"Osterholz",männlich,zeitlich unbefristet,Anzahl,RH03356,770
2021,"Osterholz",weiblich,zeitlich unbefristet,Anzahl,RH03356,830
2021,"Osterholz",insgesamt,zeitlich unbefristet,Anzahl,RH03356,1600
2021,"Rotenburg (Wümme)",männlich,zeitlich unbefristet,Anzahl,RH03357,945
2021,"Rotenburg (Wümme)",weiblich,zeitlich unbefristet,Anzahl,RH03357,1090
2021,"Rotenburg (Wümme)",insgesamt,zeitlich unbefristet,Anzahl,RH03357,2035
2021,"Heidekreis",männlich,zeitlich unbefristet,Anzahl,RH03358,1065
2021,"Heidekreis",weiblich,zeitlich unbefristet,Anzahl,RH03358,1075
2021,"Heidekreis",insgesamt,zeitlich unbefristet,Anzahl,RH03358,2140
2021,"Stade",männlich,zeitlich unbefristet,Anzahl,RH03359,1395
2021,"Stade",weiblich,zeitlich unbefristet,Anzahl,RH03359,1425
2021,"Stade",insgesamt,zeitlich unbefristet,Anzahl,RH03359,2820
2021,"Uelzen",männlich,zeitlich unbefristet,Anzahl,RH03360,440
2021,"Uelzen",weiblich,zeitlich unbefristet,Anzahl,RH03360,485
2021,"Uelzen",insgesamt,zeitlich unbefristet,Anzahl,RH03360,920
2021,"Verden",männlich,zeitlich unbefristet,Anzahl,RH03361,1395
2021,"Verden",weiblich,zeitlich unbefristet,Anzahl,RH03361,1425
2021,"Verden",insgesamt,zeitlich unbefristet,Anzahl,RH03361,2820
2021,"Statistische Region Lüneburg",männlich,zeitlich unbefristet,Anzahl,RH033,11415
2021,"Statistische Region Lüneburg",weiblich,zeitlich unbefristet,Anzahl,RH033,12135
2021,"Statistische Region Lüneburg",insgesamt,zeitlich unbefristet,Anzahl,RH033,23550
2021,"Delmenhorst, Stadt",männlich,zeitlich unbefristet,Anzahl,RH03401,1665
2021,"Delmenhorst, Stadt",weiblich,zeitlich unbefristet,Anzahl,RH03401,1500
2021,"Delmenhorst, Stadt",insgesamt,zeitlich unbefristet,Anzahl,RH03401,3165
2021,"Emden, Stadt",männlich,zeitlich unbefristet,Anzahl,RH03402,300
2021,"Emden, Stadt",weiblich,zeitlich unbefristet,Anzahl,RH03402,290
2021,"Emden, Stadt",insgesamt,zeitlich unbefristet,Anzahl,RH03402,585
2021,"Oldenburg (Oldb), Stadt",männlich,zeitlich unbefristet,Anzahl,RH03403,1845
2021,"Oldenburg (Oldb), Stadt",weiblich,zeitlich unbefristet,Anzahl,RH03403,1745
2021,"Oldenburg (Oldb), Stadt",insgesamt,zeitlich unbefristet,Anzahl,RH03403,3590
2021,"Osnabrück, Stadt",männlich,zeitlich unbefristet,Anzahl,RH03404,2980
2021,"Osnabrück, Stadt",weiblich,zeitlich unbefristet,Anzahl,RH03404,2700
2021,"Osnabrück, Stadt",insgesamt,zeitlich unbefristet,Anzahl,RH03404,5685
2021,"Wilhelmshaven, Stadt",männlich,zeitlich unbefristet,Anzahl,RH03405,535
2021,"Wilhelmshaven, Stadt",weiblich,zeitlich unbefristet,Anzahl,RH03405,560
2021,"Wilhelmshaven, Stadt",insgesamt,zeitlich unbefristet,Anzahl,RH03405,1095
2021,"Ammerland",männlich,zeitlich unbefristet,Anzahl,RH03451,665
2021,"Ammerland",weiblich,zeitlich unbefristet,Anzahl,RH03451,665
2021,"Ammerland",insgesamt,zeitlich unbefristet,Anzahl,RH03451,1330
2021,"Aurich",männlich,zeitlich unbefristet,Anzahl,RH03452,650
2021,"Aurich",weiblich,zeitlich unbefristet,Anzahl,RH03452,640
2021,"Aurich",insgesamt,zeitlich unbefristet,Anzahl,RH03452,1285
2021,"Cloppenburg",männlich,zeitlich unbefristet,Anzahl,RH03453,1245
2021,"Cloppenburg",weiblich,zeitlich unbefristet,Anzahl,RH03453,1230
2021,"Cloppenburg",insgesamt,zeitlich unbefristet,Anzahl,RH03453,2475
2021,"Emsland",männlich,zeitlich unbefristet,Anzahl,RH03454,1680
2021,"Emsland",weiblich,zeitlich unbefristet,Anzahl,RH03454,1695
2021,"Emsland",insgesamt,zeitlich unbefristet,Anzahl,RH03454,3375
2021,"Friesland",männlich,zeitlich unbefristet,Anzahl,RH03455,280
2021,"Friesland",weiblich,zeitlich unbefristet,Anzahl,RH03455,355
2021,"Friesland",insgesamt,zeitlich unbefristet,Anzahl,RH03455,635
2021,"Grafschaft Bentheim",männlich,zeitlich unbefristet,Anzahl,RH03456,1140
2021,"Grafschaft Bentheim",weiblich,zeitlich unbefristet,Anzahl,RH03456,1135
2021,"Grafschaft Bentheim",insgesamt,zeitlich unbefristet,Anzahl,RH03456,2275
2021,"Leer",männlich,zeitlich unbefristet,Anzahl,RH03457,675
2021,"Leer",weiblich,zeitlich unbefristet,Anzahl,RH03457,705
2021,"Leer",insgesamt,zeitlich unbefristet,Anzahl,RH03457,1380
2021,"Oldenburg",männlich,zeitlich unbefristet,Anzahl,RH03458,735
2021,"Oldenburg",weiblich,zeitlich unbefristet,Anzahl,RH03458,755
2021,"Oldenburg",insgesamt,zeitlich unbefristet,Anzahl,RH03458,1490
2021,"Osnabrück",männlich,zeitlich unbefristet,Anzahl,RH03459,2820
2021,"Osnabrück",weiblich,zeitlich unbefristet,Anzahl,RH03459,3095
2021,"Osnabrück",insgesamt,zeitlich unbefristet,Anzahl,RH03459,5915
2021,"Vechta",männlich,zeitlich unbefristet,Anzahl,RH03460,1895
2021,"Vechta",weiblich,zeitlich unbefristet,Anzahl,RH03460,1850
2021,"Vechta",insgesamt,zeitlich unbefristet,Anzahl,RH03460,3745
2021,"Wesermarsch",männlich,zeitlich unbefristet,Anzahl,RH03461,675
2021,"Wesermarsch",weiblich,zeitlich unbefristet,Anzahl,RH03461,760
2021,"Wesermarsch",insgesamt,zeitlich unbefristet,Anzahl,RH03461,1430
2021,"Wittmund",männlich,zeitlich unbefristet,Anzahl,RH03462,180
2021,"Wittmund",weiblich,zeitlich unbefristet,Anzahl,RH03462,170
2021,"Wittmund",insgesamt,zeitlich unbefristet,Anzahl,RH03462,345
2021,"Statistische Region Weser-Ems",männlich,zeitlich unbefristet,Anzahl,RH034,19960
2021,"Statistische Region Weser-Ems",weiblich,zeitlich unbefristet,Anzahl,RH034,19845
2021,"Statistische Region Weser-Ems",insgesamt,zeitlich unbefristet,Anzahl,RH034,39805
2021,"Niedersachsen",männlich,zeitlich unbefristet,Anzahl,RH030,83620
2021,"Niedersachsen",weiblich,zeitlich unbefristet,Anzahl,RH030,84690
2021,"Niedersachsen",insgesamt,zeitlich unbefristet,Anzahl,RH030,168310
2020,"Braunschweig, Stadt",männlich,zeitlich unbefristet,Anzahl,RH03101,4095
2020,"Braunschweig, Stadt",weiblich,zeitlich unbefristet,Anzahl,RH03101,4075
2020,"Braunschweig, Stadt",insgesamt,zeitlich unbefristet,Anzahl,RH03101,8170
2020,"Salzgitter, Stadt",männlich,zeitlich unbefristet,Anzahl,RH03102,2750
2020,"Salzgitter, Stadt",weiblich,zeitlich unbefristet,Anzahl,RH03102,2735
2020,"Salzgitter, Stadt",insgesamt,zeitlich unbefristet,Anzahl,RH03102,5485
2020,"Wolfsburg, Stadt",männlich,zeitlich unbefristet,Anzahl,RH03103,1325
2020,"Wolfsburg, Stadt",weiblich,zeitlich unbefristet,Anzahl,RH03103,1445
2020,"Wolfsburg, Stadt",insgesamt,zeitlich unbefristet,Anzahl,RH03103,2770
2020,"Gifhorn",männlich,zeitlich unbefristet,Anzahl,RH03151,1200
2020,"Gifhorn",weiblich,zeitlich unbefristet,Anzahl,RH03151,1360
2020,"Gifhorn",insgesamt,zeitlich unbefristet,Anzahl,RH03151,2560
2020,"Goslar",männlich,zeitlich unbefristet,Anzahl,RH03153,1215
2020,"Goslar",weiblich,zeitlich unbefristet,Anzahl,RH03153,1235
2020,"Goslar",insgesamt,zeitlich unbefristet,Anzahl,RH03153,2450
2020,"Helmstedt",männlich,zeitlich unbefristet,Anzahl,RH03154,670
2020,"Helmstedt",weiblich,zeitlich unbefristet,Anzahl,RH03154,725
2020,"Helmstedt",insgesamt,zeitlich unbefristet,Anzahl,RH03154,1395
2020,"Northeim",männlich,zeitlich unbefristet,Anzahl,RH03155,725
2020,"Northeim",weiblich,zeitlich unbefristet,Anzahl,RH03155,825
2020,"Northeim",insgesamt,zeitlich unbefristet,Anzahl,RH03155,1550
2020,"Peine",männlich,zeitlich unbefristet,Anzahl,RH03157,1405
2020,"Peine",weiblich,zeitlich unbefristet,Anzahl,RH03157,1420
2020,"Peine",insgesamt,zeitlich unbefristet,Anzahl,RH03157,2825
2020,"Wolfenbüttel",männlich,zeitlich unbefristet,Anzahl,RH03158,705
2020,"Wolfenbüttel",weiblich,zeitlich unbefristet,Anzahl,RH03158,845
2020,"Wolfenbüttel",insgesamt,zeitlich unbefristet,Anzahl,RH03158,1550
2020,"Göttingen",männlich,zeitlich unbefristet,Anzahl,RH03159,2820
2020,"Göttingen",weiblich,zeitlich unbefristet,Anzahl,RH03159,3010
2020,"Göttingen",insgesamt,zeitlich unbefristet,Anzahl,RH03159,5825
2020,"Statistische Region Braunschweig",männlich,zeitlich unbefristet,Anzahl,RH031,16915
