Year,Gebietseinheit,Geschlecht,ohne Aufenthaltstitel,Units,GeoCode,Value
2022,"Niedersachsen",insgesamt,"insgesamt",Anzahl,RH030,107510
2021,"Braunschweig, Stadt",männlich,"insgesamt",Anzahl,RH03101,1565
2021,"Braunschweig, Stadt",weiblich,"insgesamt",Anzahl,RH03101,1045
2021,"Braunschweig, Stadt",insgesamt,"insgesamt",Anzahl,RH03101,2610
2021,"Salzgitter, Stadt",männlich,"insgesamt",Anzahl,RH03102,510
2021,"Salzgitter, Stadt",weiblich,"insgesamt",Anzahl,RH03102,360
2021,"Salzgitter, Stadt",insgesamt,"insgesamt",Anzahl,RH03102,870
2021,"Wolfsburg, Stadt",männlich,"insgesamt",Anzahl,RH03103,1100
2021,"Wolfsburg, Stadt",weiblich,"insgesamt",Anzahl,RH03103,650
2021,"Wolfsburg, Stadt",insgesamt,"insgesamt",Anzahl,RH03103,1750
2021,"Gifhorn",männlich,"insgesamt",Anzahl,RH03151,1120
2021,"Gifhorn",weiblich,"insgesamt",Anzahl,RH03151,770
2021,"Gifhorn",insgesamt,"insgesamt",Anzahl,RH03151,1890
2021,"Goslar",männlich,"insgesamt",Anzahl,RH03153,770
2021,"Goslar",weiblich,"insgesamt",Anzahl,RH03153,415
2021,"Goslar",insgesamt,"insgesamt",Anzahl,RH03153,1185
2021,"Helmstedt",männlich,"insgesamt",Anzahl,RH03154,435
2021,"Helmstedt",weiblich,"insgesamt",Anzahl,RH03154,245
2021,"Helmstedt",insgesamt,"insgesamt",Anzahl,RH03154,680
2021,"Northeim",männlich,"insgesamt",Anzahl,RH03155,690
2021,"Northeim",weiblich,"insgesamt",Anzahl,RH03155,520
2021,"Northeim",insgesamt,"insgesamt",Anzahl,RH03155,1210
2021,"Peine",männlich,"insgesamt",Anzahl,RH03157,605
2021,"Peine",weiblich,"insgesamt",Anzahl,RH03157,455
2021,"Peine",insgesamt,"insgesamt",Anzahl,RH03157,1060
2021,"Wolfenbüttel",männlich,"insgesamt",Anzahl,RH03158,645
2021,"Wolfenbüttel",weiblich,"insgesamt",Anzahl,RH03158,415
2021,"Wolfenbüttel",insgesamt,"insgesamt",Anzahl,RH03158,1060
2021,"Göttingen",männlich,"insgesamt",Anzahl,RH03159,2220
2021,"Göttingen",weiblich,"insgesamt",Anzahl,RH03159,1655
2021,"Göttingen",insgesamt,"insgesamt",Anzahl,RH03159,3870
2021,"Statistische Region Braunschweig",männlich,"insgesamt",Anzahl,RH031,9655
2021,"Statistische Region Braunschweig",weiblich,"insgesamt",Anzahl,RH031,6525
2021,"Statistische Region Braunschweig",insgesamt,"insgesamt",Anzahl,RH031,16180
2021,"Region Hannover",männlich,"insgesamt",Anzahl,RH03241,11515
2021,"Region Hannover",weiblich,"insgesamt",Anzahl,RH03241,7275
2021,"Region Hannover",insgesamt,"insgesamt",Anzahl,RH03241,18790
2021,"Diepholz",männlich,"insgesamt",Anzahl,RH03251,1080
2021,"Diepholz",weiblich,"insgesamt",Anzahl,RH03251,755
2021,"Diepholz",insgesamt,"insgesamt",Anzahl,RH03251,1840
2021,"Hameln-Pyrmont",männlich,"insgesamt",Anzahl,RH03252,725
2021,"Hameln-Pyrmont",weiblich,"insgesamt",Anzahl,RH03252,585
2021,"Hameln-Pyrmont",insgesamt,"insgesamt",Anzahl,RH03252,1310
2021,"Hildesheim",männlich,"insgesamt",Anzahl,RH03254,1515
2021,"Hildesheim",weiblich,"insgesamt",Anzahl,RH03254,870
2021,"Hildesheim",insgesamt,"insgesamt",Anzahl,RH03254,2385
2021,"Holzminden",männlich,"insgesamt",Anzahl,RH03255,295
2021,"Holzminden",weiblich,"insgesamt",Anzahl,RH03255,200
2021,"Holzminden",insgesamt,"insgesamt",Anzahl,RH03255,495
2021,"Nienburg (Weser)",männlich,"insgesamt",Anzahl,RH03256,555
2021,"Nienburg (Weser)",weiblich,"insgesamt",Anzahl,RH03256,460
2021,"Nienburg (Weser)",insgesamt,"insgesamt",Anzahl,RH03256,1020
2021,"Schaumburg",männlich,"insgesamt",Anzahl,RH03257,955
2021,"Schaumburg",weiblich,"insgesamt",Anzahl,RH03257,615
2021,"Schaumburg",insgesamt,"insgesamt",Anzahl,RH03257,1570
2021,"Statistische Region Hannover",männlich,"insgesamt",Anzahl,RH032,16640
2021,"Statistische Region Hannover",weiblich,"insgesamt",Anzahl,RH032,10770
2021,"Statistische Region Hannover",insgesamt,"insgesamt",Anzahl,RH032,27410
2021,"Celle",männlich,"insgesamt",Anzahl,RH03351,670
2021,"Celle",weiblich,"insgesamt",Anzahl,RH03351,385
2021,"Celle",insgesamt,"insgesamt",Anzahl,RH03351,1055
2021,"Cuxhaven",männlich,"insgesamt",Anzahl,RH03352,820
2021,"Cuxhaven",weiblich,"insgesamt",Anzahl,RH03352,520
2021,"Cuxhaven",insgesamt,"insgesamt",Anzahl,RH03352,1340
2021,"Harburg",männlich,"insgesamt",Anzahl,RH03353,2580
2021,"Harburg",weiblich,"insgesamt",Anzahl,RH03353,500
2021,"Harburg",insgesamt,"insgesamt",Anzahl,RH03353,3080
2021,"Lüchow-Dannenberg",männlich,"insgesamt",Anzahl,RH03354,190
2021,"Lüchow-Dannenberg",weiblich,"insgesamt",Anzahl,RH03354,160
2021,"Lüchow-Dannenberg",insgesamt,"insgesamt",Anzahl,RH03354,350
2021,"Lüneburg",männlich,"insgesamt",Anzahl,RH03355,710
2021,"Lüneburg",weiblich,"insgesamt",Anzahl,RH03355,435
2021,"Lüneburg",insgesamt,"insgesamt",Anzahl,RH03355,1145
2021,"Osterholz",männlich,"insgesamt",Anzahl,RH03356,285
2021,"Osterholz",weiblich,"insgesamt",Anzahl,RH03356,265
2021,"Osterholz",insgesamt,"insgesamt",Anzahl,RH03356,550
2021,"Rotenburg (Wümme)",männlich,"insgesamt",Anzahl,RH03357,890
2021,"Rotenburg (Wümme)",weiblich,"insgesamt",Anzahl,RH03357,505
2021,"Rotenburg (Wümme)",insgesamt,"insgesamt",Anzahl,RH03357,1395
2021,"Heidekreis",männlich,"insgesamt",Anzahl,RH03358,1025
2021,"Heidekreis",weiblich,"insgesamt",Anzahl,RH03358,660
2021,"Heidekreis",insgesamt,"insgesamt",Anzahl,RH03358,1685
2021,"Stade",männlich,"insgesamt",Anzahl,RH03359,1180
2021,"Stade",weiblich,"insgesamt",Anzahl,RH03359,665
2021,"Stade",insgesamt,"insgesamt",Anzahl,RH03359,1845
2021,"Uelzen",männlich,"insgesamt",Anzahl,RH03360,325
2021,"Uelzen",weiblich,"insgesamt",Anzahl,RH03360,235
2021,"Uelzen",insgesamt,"insgesamt",Anzahl,RH03360,560
2021,"Verden",männlich,"insgesamt",Anzahl,RH03361,785
2021,"Verden",weiblich,"insgesamt",Anzahl,RH03361,390
2021,"Verden",insgesamt,"insgesamt",Anzahl,RH03361,1175
2021,"Statistische Region Lüneburg",männlich,"insgesamt",Anzahl,RH033,9455
2021,"Statistische Region Lüneburg",weiblich,"insgesamt",Anzahl,RH033,4720
2021,"Statistische Region Lüneburg",insgesamt,"insgesamt",Anzahl,RH033,14175
2021,"Delmenhorst, Stadt",männlich,"insgesamt",Anzahl,RH03401,290
2021,"Delmenhorst, Stadt",weiblich,"insgesamt",Anzahl,RH03401,190
2021,"Delmenhorst, Stadt",insgesamt,"insgesamt",Anzahl,RH03401,475
2021,"Emden, Stadt",männlich,"insgesamt",Anzahl,RH03402,440
2021,"Emden, Stadt",weiblich,"insgesamt",Anzahl,RH03402,245
2021,"Emden, Stadt",insgesamt,"insgesamt",Anzahl,RH03402,685
2021,"Oldenburg (Oldb), Stadt",männlich,"insgesamt",Anzahl,RH03403,750
2021,"Oldenburg (Oldb), Stadt",weiblich,"insgesamt",Anzahl,RH03403,555
2021,"Oldenburg (Oldb), Stadt",insgesamt,"insgesamt",Anzahl,RH03403,1305
2021,"Osnabrück, Stadt",männlich,"insgesamt",Anzahl,RH03404,1095
2021,"Osnabrück, Stadt",weiblich,"insgesamt",Anzahl,RH03404,565
2021,"Osnabrück, Stadt",insgesamt,"insgesamt",Anzahl,RH03404,1660
2021,"Wilhelmshaven, Stadt",männlich,"insgesamt",Anzahl,RH03405,360
2021,"Wilhelmshaven, Stadt",weiblich,"insgesamt",Anzahl,RH03405,225
2021,"Wilhelmshaven, Stadt",insgesamt,"insgesamt",Anzahl,RH03405,585
2021,"Ammerland",männlich,"insgesamt",Anzahl,RH03451,495
2021,"Ammerland",weiblich,"insgesamt",Anzahl,RH03451,330
2021,"Ammerland",insgesamt,"insgesamt",Anzahl,RH03451,825
2021,"Aurich",männlich,"insgesamt",Anzahl,RH03452,940
2021,"Aurich",weiblich,"insgesamt",Anzahl,RH03452,390
2021,"Aurich",insgesamt,"insgesamt",Anzahl,RH03452,1330
2021,"Cloppenburg",männlich,"insgesamt",Anzahl,RH03453,775
2021,"Cloppenburg",weiblich,"insgesamt",Anzahl,RH03453,400
2021,"Cloppenburg",insgesamt,"insgesamt",Anzahl,RH03453,1175
2021,"Emsland",männlich,"insgesamt",Anzahl,RH03454,1780
2021,"Emsland",weiblich,"insgesamt",Anzahl,RH03454,915
2021,"Emsland",insgesamt,"insgesamt",Anzahl,RH03454,2695
2021,"Friesland",männlich,"insgesamt",Anzahl,RH03455,450
2021,"Friesland",weiblich,"insgesamt",Anzahl,RH03455,340
2021,"Friesland",insgesamt,"insgesamt",Anzahl,RH03455,790
2021,"Grafschaft Bentheim",männlich,"insgesamt",Anzahl,RH03456,1260
2021,"Grafschaft Bentheim",weiblich,"insgesamt",Anzahl,RH03456,440
2021,"Grafschaft Bentheim",insgesamt,"insgesamt",Anzahl,RH03456,1700
2021,"Leer",männlich,"insgesamt",Anzahl,RH03457,1250
2021,"Leer",weiblich,"insgesamt",Anzahl,RH03457,765
2021,"Leer",insgesamt,"insgesamt",Anzahl,RH03457,2015
2021,"Oldenburg",männlich,"insgesamt",Anzahl,RH03458,350
2021,"Oldenburg",weiblich,"insgesamt",Anzahl,RH03458,235
2021,"Oldenburg",insgesamt,"insgesamt",Anzahl,RH03458,585
2021,"Osnabrück",männlich,"insgesamt",Anzahl,RH03459,1375
2021,"Osnabrück",weiblich,"insgesamt",Anzahl,RH03459,940
2021,"Osnabrück",insgesamt,"insgesamt",Anzahl,RH03459,2315
2021,"Vechta",männlich,"insgesamt",Anzahl,RH03460,565
2021,"Vechta",weiblich,"insgesamt",Anzahl,RH03460,350
2021,"Vechta",insgesamt,"insgesamt",Anzahl,RH03460,915
2021,"Wesermarsch",männlich,"insgesamt",Anzahl,RH03461,515
2021,"Wesermarsch",weiblich,"insgesamt",Anzahl,RH03461,345
2021,"Wesermarsch",insgesamt,"insgesamt",Anzahl,RH03461,860
2021,"Wittmund",männlich,"insgesamt",Anzahl,RH03462,305
2021,"Wittmund",weiblich,"insgesamt",Anzahl,RH03462,245
2021,"Wittmund",insgesamt,"insgesamt",Anzahl,RH03462,550
2021,"Statistische Region Weser-Ems",männlich,"insgesamt",Anzahl,RH034,12995
2021,"Statistische Region Weser-Ems",weiblich,"insgesamt",Anzahl,RH034,7465
2021,"Statistische Region Weser-Ems",insgesamt,"insgesamt",Anzahl,RH034,20465
2021,"Niedersachsen",männlich,"insgesamt",Anzahl,RH030,48745
2021,"Niedersachsen",weiblich,"insgesamt",Anzahl,RH030,29480
2021,"Niedersachsen",insgesamt,"insgesamt",Anzahl,RH030,78230
2020,"Braunschweig, Stadt",männlich,"insgesamt",Anzahl,RH03101,1945
2020,"Braunschweig, Stadt",weiblich,"insgesamt",Anzahl,RH03101,1160
2020,"Braunschweig, Stadt",insgesamt,"insgesamt",Anzahl,RH03101,3105
2020,"Salzgitter, Stadt",männlich,"insgesamt",Anzahl,RH03102,475
2020,"Salzgitter, Stadt",weiblich,"insgesamt",Anzahl,RH03102,315
2020,"Salzgitter, Stadt",insgesamt,"insgesamt",Anzahl,RH03102,795
2020,"Wolfsburg, Stadt",männlich,"insgesamt",Anzahl,RH03103,960
2020,"Wolfsburg, Stadt",weiblich,"insgesamt",Anzahl,RH03103,535
2020,"Wolfsburg, Stadt",insgesamt,"insgesamt",Anzahl,RH03103,1495
2020,"Gifhorn",männlich,"insgesamt",Anzahl,RH03151,1055
2020,"Gifhorn",weiblich,"insgesamt",Anzahl,RH03151,640
2020,"Gifhorn",insgesamt,"insgesamt",Anzahl,RH03151,1695
2020,"Goslar",männlich,"insgesamt",Anzahl,RH03153,765
2020,"Goslar",weiblich,"insgesamt",Anzahl,RH03153,425
2020,"Goslar",insgesamt,"insgesamt",Anzahl,RH03153,1190
2020,"Helmstedt",männlich,"insgesamt",Anzahl,RH03154,395
2020,"Helmstedt",weiblich,"insgesamt",Anzahl,RH03154,195
2020,"Helmstedt",insgesamt,"insgesamt",Anzahl,RH03154,590
2020,"Northeim",männlich,"insgesamt",Anzahl,RH03155,620
2020,"Northeim",weiblich,"insgesamt",Anzahl,RH03155,435
2020,"Northeim",insgesamt,"insgesamt",Anzahl,RH03155,1055
2020,"Peine",männlich,"insgesamt",Anzahl,RH03157,470
2020,"Peine",weiblich,"insgesamt",Anzahl,RH03157,315
2020,"Peine",insgesamt,"insgesamt",Anzahl,RH03157,790
2020,"Wolfenbüttel",männlich,"insgesamt",Anzahl,RH03158,590
2020,"Wolfenbüttel",weiblich,"insgesamt",Anzahl,RH03158,375
2020,"Wolfenbüttel",insgesamt,"insgesamt",Anzahl,RH03158,965
2020,"Göttingen",männlich,"insgesamt",Anzahl,RH03159,2325
2020,"Göttingen",weiblich,"insgesamt",Anzahl,RH03159,1715
2020,"Göttingen",insgesamt,"insgesamt",Anzahl,RH03159,4040
2020,"Statistische Region Braunschweig",männlich,"insgesamt",Anzahl,RH031,9605
2020,"Statistische Region Braunschweig",weiblich,"insgesamt",Anzahl,RH031,6110
2020,"Statistische Region Braunschweig",insgesamt,"insgesamt",Anzahl,RH031,15715
2020,"Region Hannover",männlich,"insgesamt",Anzahl,RH03241,7955
2020,"Region Hannover",weiblich,"insgesamt",Anzahl,RH03241,4960
2020,"Region Hannover",insgesamt,"insgesamt",Anzahl,RH03241,12915
2020,"Diepholz",männlich,"insgesamt",Anzahl,RH03251,1090
2020,"Diepholz",weiblich,"insgesamt",Anzahl,RH03251,790
2020,"Diepholz",insgesamt,"insgesamt",Anzahl,RH03251,1885
2020,"Hameln-Pyrmont",männlich,"insgesamt",Anzahl,RH03252,660
2020,"Hameln-Pyrmont",weiblich,"insgesamt",Anzahl,RH03252,520
2020,"Hameln-Pyrmont",insgesamt,"insgesamt",Anzahl,RH03252,1180
2020,"Hildesheim",männlich,"insgesamt",Anzahl,RH03254,1485
2020,"Hildesheim",weiblich,"insgesamt",Anzahl,RH03254,750
2020,"Hildesheim",insgesamt,"insgesamt",Anzahl,RH03254,2235
2020,"Holzminden",männlich,"insgesamt",Anzahl,RH03255,290
2020,"Holzminden",weiblich,"insgesamt",Anzahl,RH03255,170
2020,"Holzminden",insgesamt,"insgesamt",Anzahl,RH03255,460
2020,"Nienburg (Weser)",männlich,"insgesamt",Anzahl,RH03256,520
2020,"Nienburg (Weser)",weiblich,"insgesamt",Anzahl,RH03256,410
2020,"Nienburg (Weser)",insgesamt,"insgesamt",Anzahl,RH03256,930
2020,"Schaumburg",männlich,"insgesamt",Anzahl,RH03257,885
2020,"Schaumburg",weiblich,"insgesamt",Anzahl,RH03257,565
2020,"Schaumburg",insgesamt,"insgesamt",Anzahl,RH03257,1450
2020,"Statistische Region Hannover",männlich,"insgesamt",Anzahl,RH032,12890
2020,"Statistische Region Hannover",weiblich,"insgesamt",Anzahl,RH032,8165
2020,"Statistische Region Hannover",insgesamt,"insgesamt",Anzahl,RH032,21055
2020,"Celle",männlich,"insgesamt",Anzahl,RH03351,610
2020,"Celle",weiblich,"insgesamt",Anzahl,RH03351,365
2020,"Celle",insgesamt,"insgesamt",Anzahl,RH03351,975
2020,"Cuxhaven",männlich,"insgesamt",Anzahl,RH03352,715
2020,"Cuxhaven",weiblich,"insgesamt",Anzahl,RH03352,460
2020,"Cuxhaven",insgesamt,"insgesamt",Anzahl,RH03352,1175
2020,"Harburg",männlich,"insgesamt",Anzahl,RH03353,2150
2020,"Harburg",weiblich,"insgesamt",Anzahl,RH03353,395
2020,"Harburg",insgesamt,"insgesamt",Anzahl,RH03353,2545
2020,"Lüchow-Dannenberg",männlich,"insgesamt",Anzahl,RH03354,155
2020,"Lüchow-Dannenberg",weiblich,"insgesamt",Anzahl,RH03354,115
