Year,Kategorie,Altersgruppe,Units,Value
2018,Fortzüge,40 - 65,Anzahl,30996
2018,Saldo,40 - 65,Anzahl,+8429
2017,Zuzüge,40 - 65,Anzahl,35487
2017,Fortzüge,40 - 65,Anzahl,29342
2017,Saldo,40 - 65,Anzahl,+6145
2016,Zuzüge,40 - 65,Anzahl,36957
2016,Fortzüge,40 - 65,Anzahl,34215
2016,Saldo,40 - 65,Anzahl,+2742
2015,Zuzüge,40 - 65,Anzahl,40575
2015,Fortzüge,40 - 65,Anzahl,23775
2015,Saldo,40 - 65,Anzahl,+16800
2014,Zuzüge,40 - 65,Anzahl,33483
2014,Fortzüge,40 - 65,Anzahl,24998
2014,Saldo,40 - 65,Anzahl,+8485
2013,Zuzüge,40 - 65,Anzahl,28096
2013,Fortzüge,40 - 65,Anzahl,23110
2013,Saldo,40 - 65,Anzahl,+4986
2012,Zuzüge,40 - 65,Anzahl,26129
2012,Fortzüge,40 - 65,Anzahl,21870
2012,Saldo,40 - 65,Anzahl,+4259
2011,Zuzüge,40 - 65,Anzahl,25444
2011,Fortzüge,40 - 65,Anzahl,20815
2011,Saldo,40 - 65,Anzahl,+4629
2010,Zuzüge,40 - 65,Anzahl,20561
2010,Fortzüge,40 - 65,Anzahl,18419
2010,Saldo,40 - 65,Anzahl,+2142
2009,Zuzüge,40 - 65,Anzahl,20294
2009,Fortzüge,40 - 65,Anzahl,20223
2009,Saldo,40 - 65,Anzahl,+71
2008,Zuzüge,40 - 65,Anzahl,18730
2008,Fortzüge,40 - 65,Anzahl,19736
2008,Saldo,40 - 65,Anzahl,-1006
2007,Zuzüge,40 - 65,Anzahl,18476
2007,Fortzüge,40 - 65,Anzahl,15776
2007,Saldo,40 - 65,Anzahl,+2700
2006,Zuzüge,40 - 65,Anzahl,17646
2006,Fortzüge,40 - 65,Anzahl,14590
2006,Saldo,40 - 65,Anzahl,+3056
2005,Zuzüge,40 - 65,Anzahl,23652
2005,Fortzüge,40 - 65,Anzahl,13785
2005,Saldo,40 - 65,Anzahl,+9867
2020,Zuzüge,65 - 80,Anzahl,1732
2020,Fortzüge,65 - 80,Anzahl,1878
2020,Saldo,65 - 80,Anzahl,-146
2019,Zuzüge,65 - 80,Anzahl,2116
2019,Fortzüge,65 - 80,Anzahl,2493
2019,Saldo,65 - 80,Anzahl,-377
2018,Zuzüge,65 - 80,Anzahl,2092
2018,Fortzüge,65 - 80,Anzahl,2139
2018,Saldo,65 - 80,Anzahl,-47
2017,Zuzüge,65 - 80,Anzahl,1878
2017,Fortzüge,65 - 80,Anzahl,1998
2017,Saldo,65 - 80,Anzahl,-120
2016,Zuzüge,65 - 80,Anzahl,1884
2016,Fortzüge,65 - 80,Anzahl,2172
2016,Saldo,65 - 80,Anzahl,-288
2015,Zuzüge,65 - 80,Anzahl,1969
2015,Fortzüge,65 - 80,Anzahl,1513
2015,Saldo,65 - 80,Anzahl,+456
2014,Zuzüge,65 - 80,Anzahl,1774
2014,Fortzüge,65 - 80,Anzahl,1738
2014,Saldo,65 - 80,Anzahl,+36
2013,Zuzüge,65 - 80,Anzahl,1407
2013,Fortzüge,65 - 80,Anzahl,1370
2013,Saldo,65 - 80,Anzahl,+37
2012,Zuzüge,65 - 80,Anzahl,1118
2012,Fortzüge,65 - 80,Anzahl,1393
2012,Saldo,65 - 80,Anzahl,-275
2011,Zuzüge,65 - 80,Anzahl,1108
2011,Fortzüge,65 - 80,Anzahl,1343
2011,Saldo,65 - 80,Anzahl,-235
2010,Zuzüge,65 - 80,Anzahl,1148
2010,Fortzüge,65 - 80,Anzahl,1379
2010,Saldo,65 - 80,Anzahl,-231
2009,Zuzüge,65 - 80,Anzahl,1259
2009,Fortzüge,65 - 80,Anzahl,1683
2009,Saldo,65 - 80,Anzahl,-424
2008,Zuzüge,65 - 80,Anzahl,1317
2008,Fortzüge,65 - 80,Anzahl,1628
2008,Saldo,65 - 80,Anzahl,-311
2007,Zuzüge,65 - 80,Anzahl,1610
2007,Fortzüge,65 - 80,Anzahl,1179
2007,Saldo,65 - 80,Anzahl,+431
2006,Zuzüge,65 - 80,Anzahl,1633
2006,Fortzüge,65 - 80,Anzahl,1256
2006,Saldo,65 - 80,Anzahl,+377
2005,Zuzüge,65 - 80,Anzahl,3208
2005,Fortzüge,65 - 80,Anzahl,1125
2005,Saldo,65 - 80,Anzahl,+2083
2020,Zuzüge,80 u.ä.,Anzahl,251
2020,Fortzüge,80 u.ä.,Anzahl,385
2020,Saldo,80 u.ä.,Anzahl,-134
2019,Zuzüge,80 u.ä.,Anzahl,307
2019,Fortzüge,80 u.ä.,Anzahl,530
2019,Saldo,80 u.ä.,Anzahl,-223
2018,Zuzüge,80 u.ä.,Anzahl,287
2018,Fortzüge,80 u.ä.,Anzahl,400
2018,Saldo,80 u.ä.,Anzahl,-113
2017,Zuzüge,80 u.ä.,Anzahl,261
2017,Fortzüge,80 u.ä.,Anzahl,437
2017,Saldo,80 u.ä.,Anzahl,-176
2016,Zuzüge,80 u.ä.,Anzahl,273
2016,Fortzüge,80 u.ä.,Anzahl,469
2016,Saldo,80 u.ä.,Anzahl,-196
2015,Zuzüge,80 u.ä.,Anzahl,257
2015,Fortzüge,80 u.ä.,Anzahl,236
2015,Saldo,80 u.ä.,Anzahl,+21
2014,Zuzüge,80 u.ä.,Anzahl,240
2014,Fortzüge,80 u.ä.,Anzahl,266
2014,Saldo,80 u.ä.,Anzahl,-245
2013,Zuzüge,80 u.ä.,Anzahl,167
2013,Fortzüge,80 u.ä.,Anzahl,198
2013,Saldo,80 u.ä.,Anzahl,-31
2012,Zuzüge,80 u.ä.,Anzahl,174
2012,Fortzüge,80 u.ä.,Anzahl,222
2012,Saldo,80 u.ä.,Anzahl,-48
2011,Zuzüge,80 u.ä.,Anzahl,183
2011,Fortzüge,80 u.ä.,Anzahl,173
2011,Saldo,80 u.ä.,Anzahl,+10
2010,Zuzüge,80 u.ä.,Anzahl,158
2010,Fortzüge,80 u.ä.,Anzahl,231
2010,Saldo,80 u.ä.,Anzahl,-73
2009,Zuzüge,80 u.ä.,Anzahl,177
2009,Fortzüge,80 u.ä.,Anzahl,258
2009,Saldo,80 u.ä.,Anzahl,-81
2008,Zuzüge,80 u.ä.,Anzahl,176
2008,Fortzüge,80 u.ä.,Anzahl,246
2008,Saldo,80 u.ä.,Anzahl,-70
2007,Zuzüge,80 u.ä.,Anzahl,174
2007,Fortzüge,80 u.ä.,Anzahl,169
2007,Saldo,80 u.ä.,Anzahl,+5
2006,Zuzüge,80 u.ä.,Anzahl,162
2006,Fortzüge,80 u.ä.,Anzahl,158
2006,Saldo,80 u.ä.,Anzahl,+4
2005,Zuzüge,80 u.ä.,Anzahl,301
2005,Fortzüge,80 u.ä.,Anzahl,150
2005,Saldo,80 u.ä.,Anzahl,+151
