Year,Kategorie,Migrationsstatus,Geschlecht,Units,Value
2015,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,55.23
2015,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen,%,43.78
2015,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Insgesamt,%,49.92
2014,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,54.37
2014,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen,%,44.17
2014,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Insgesamt,%,49.54
2013,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,54.64
2013,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen,%,43.21
2013,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Insgesamt,%,49.25
2012,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,54.19
2012,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen,%,44.81
2012,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Insgesamt,%,49.93
2011,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,54.02
2011,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen,%,47.35
2011,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Insgesamt,%,51.02
2005,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,60.46
2005,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen,%,44.98
2005,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Insgesamt,%,53.67
2022,Erwerbstätigenquote,Insgesamt,Männer,%,79.6249601263804
2022,Erwerbstätigenquote,Insgesamt,Frauen,%,72.4555231372066
2022,Erwerbstätigenquote,Insgesamt,Insgesamt,%,78.4995670284003
2021,Erwerbstätigenquote,Insgesamt,Männer,%,77.9739154269008
2021,Erwerbstätigenquote,Insgesamt,Frauen,%,70.4471888656881
2021,Erwerbstätigenquote,Insgesamt,Insgesamt,%,76.3255806802502
2019,Erwerbstätigenquote,Insgesamt,Männer,%,80
2019,Erwerbstätigenquote,Insgesamt,Frauen,%,71.85
2019,Erwerbstätigenquote,Insgesamt,Insgesamt,%,75.98
2018,Erwerbstätigenquote,Insgesamt,Männer,%,79.08
2018,Erwerbstätigenquote,Insgesamt,Frauen,%,71.38
2018,Erwerbstätigenquote,Insgesamt,Insgesamt,%,75.29
2017,Erwerbstätigenquote,Insgesamt,Männer,%,78.13
2017,Erwerbstätigenquote,Insgesamt,Frauen,%,70.3
2017,Erwerbstätigenquote,Insgesamt,Insgesamt,%,74.29
2016,Erwerbstätigenquote,Insgesamt,Männer,%,77.32
2016,Erwerbstätigenquote,Insgesamt,Frauen,%,69
2016,Erwerbstätigenquote,Insgesamt,Insgesamt,%,73.23
2015,Erwerbstätigenquote,Insgesamt,Männer,%,77.6
2015,Erwerbstätigenquote,Insgesamt,Frauen,%,69.1
2015,Erwerbstätigenquote,Insgesamt,Insgesamt,%,73.38
2014,Erwerbstätigenquote,Insgesamt,Männer,%,77.85
2014,Erwerbstätigenquote,Insgesamt,Frauen,%,68.73
2014,Erwerbstätigenquote,Insgesamt,Insgesamt,%,73.32
2013,Erwerbstätigenquote,Insgesamt,Männer,%,77.78
2013,Erwerbstätigenquote,Insgesamt,Frauen,%,68.43
2013,Erwerbstätigenquote,Insgesamt,Insgesamt,%,73.12
2012,Erwerbstätigenquote,Insgesamt,Männer,%,77.28
2012,Erwerbstätigenquote,Insgesamt,Frauen,%,67.3
2012,Erwerbstätigenquote,Insgesamt,Insgesamt,%,72.32
2011,Erwerbstätigenquote,Insgesamt,Männer,%,77.15
2011,Erwerbstätigenquote,Insgesamt,Frauen,%,66.63
2011,Erwerbstätigenquote,Insgesamt,Insgesamt,%,71.92
2005,Erwerbstätigenquote,Insgesamt,Männer,%,70.92
2005,Erwerbstätigenquote,Insgesamt,Frauen,%,57.68
2005,Erwerbstätigenquote,Insgesamt,Insgesamt,%,64.36
2022,Erwerbstätigenquote,ohne Migrationshintergrund,Männer,%,81.6751161261257
2022,Erwerbstätigenquote,ohne Migrationshintergrund,Frauen,%,76.4948357391737
2022,Erwerbstätigenquote,ohne Migrationshintergrund,Insgesamt,%,79.0866200485526
2021,Erwerbstätigenquote,ohne Migrationshintergrund,Männer,%,80.2134744144636
2021,Erwerbstätigenquote,ohne Migrationshintergrund,Frauen,%,74.4074535696995
2021,Erwerbstätigenquote,ohne Migrationshintergrund,Insgesamt,%,77.3118199299304
2019,Erwerbstätigenquote,ohne Migrationshintergrund,Männer,%,82.12
2019,Erwerbstätigenquote,ohne Migrationshintergrund,Frauen,%,75.37
2019,Erwerbstätigenquote,ohne Migrationshintergrund,Insgesamt,%,78.75
2018,Erwerbstätigenquote,ohne Migrationshintergrund,Männer,%,81.22
2018,Erwerbstätigenquote,ohne Migrationshintergrund,Frauen,%,74.78
2018,Erwerbstätigenquote,ohne Migrationshintergrund,Insgesamt,%,78.03
2017,Erwerbstätigenquote,ohne Migrationshintergrund,Männer,%,80.69
2017,Erwerbstätigenquote,ohne Migrationshintergrund,Frauen,%,73.9
2017,Erwerbstätigenquote,ohne Migrationshintergrund,Insgesamt,%,77.33
2016,Erwerbstätigenquote,ohne Migrationshintergrund,Männer,%,79.59
2016,Erwerbstätigenquote,ohne Migrationshintergrund,Frauen,%,72.01
2016,Erwerbstätigenquote,ohne Migrationshintergrund,Insgesamt,%,75.83
2015,Erwerbstätigenquote,ohne Migrationshintergrund,Männer,%,79.03
2015,Erwerbstätigenquote,ohne Migrationshintergrund,Frauen,%,71.93
2015,Erwerbstätigenquote,ohne Migrationshintergrund,Insgesamt,%,75.5
2014,Erwerbstätigenquote,ohne Migrationshintergrund,Männer,%,79.19
2014,Erwerbstätigenquote,ohne Migrationshintergrund,Frauen,%,71.31
2014,Erwerbstätigenquote,ohne Migrationshintergrund,Insgesamt,%,75.28
2013,Erwerbstätigenquote,ohne Migrationshintergrund,Männer,%,79.26
2013,Erwerbstätigenquote,ohne Migrationshintergrund,Frauen,%,70.65
2013,Erwerbstätigenquote,ohne Migrationshintergrund,Insgesamt,%,74.97
2012,Erwerbstätigenquote,ohne Migrationshintergrund,Männer,%,78.59
2012,Erwerbstätigenquote,ohne Migrationshintergrund,Frauen,%,69.52
2012,Erwerbstätigenquote,ohne Migrationshintergrund,Insgesamt,%,74.1
2011,Erwerbstätigenquote,ohne Migrationshintergrund,Männer,%,78.44
2011,Erwerbstätigenquote,ohne Migrationshintergrund,Frauen,%,68.82
2011,Erwerbstätigenquote,ohne Migrationshintergrund,Insgesamt,%,73.66
2005,Erwerbstätigenquote,ohne Migrationshintergrund,Männer,%,72.95
2005,Erwerbstätigenquote,ohne Migrationshintergrund,Frauen,%,60.09
2005,Erwerbstätigenquote,ohne Migrationshintergrund,Insgesamt,%,66.56
2022,Erwerbstätigenquote,mit Migrationshintergrund,Männer,%,73.9896328785851
2022,Erwerbstätigenquote,mit Migrationshintergrund,Frauen,%,60.816625332417
2022,Erwerbstätigenquote,mit Migrationshintergrund,Insgesamt,%,67.5602963049375
2021,Erwerbstätigenquote,mit Migrationshintergrund,Männer,%,71.6095063985375
2021,Erwerbstätigenquote,mit Migrationshintergrund,Frauen,%,58.3349083349083
2021,Erwerbstätigenquote,mit Migrationshintergrund,Insgesamt,%,65.2179847877028
2019,Erwerbstätigenquote,mit Migrationshintergrund,Männer,%,73.38
2019,Erwerbstätigenquote,mit Migrationshintergrund,Frauen,%,59.83
2019,Erwerbstätigenquote,mit Migrationshintergrund,Insgesamt,%,66.92
2018,Erwerbstätigenquote,mit Migrationshintergrund,Männer,%,71.7
2018,Erwerbstätigenquote,mit Migrationshintergrund,Frauen,%,58.62
2018,Erwerbstätigenquote,mit Migrationshintergrund,Insgesamt,%,65.48
2017,Erwerbstätigenquote,mit Migrationshintergrund,Männer,%,70.09
2017,Erwerbstätigenquote,mit Migrationshintergrund,Frauen,%,57.93
2017,Erwerbstätigenquote,mit Migrationshintergrund,Insgesamt,%,64.34
2016,Erwerbstätigenquote,mit Migrationshintergrund,Männer,%,68.83
2016,Erwerbstätigenquote,mit Migrationshintergrund,Frauen,%,56.69
2016,Erwerbstätigenquote,mit Migrationshintergrund,Insgesamt,%,63.08
2015,Erwerbstätigenquote,mit Migrationshintergrund,Männer,%,71.38
2015,Erwerbstätigenquote,mit Migrationshintergrund,Frauen,%,56.65
2015,Erwerbstätigenquote,mit Migrationshintergrund,Insgesamt,%,64.1
2014,Erwerbstätigenquote,mit Migrationshintergrund,Männer,%,71.77
2014,Erwerbstätigenquote,mit Migrationshintergrund,Frauen,%,57.17
2014,Erwerbstätigenquote,mit Migrationshintergrund,Insgesamt,%,64.48
2013,Erwerbstätigenquote,mit Migrationshintergrund,Männer,%,71.51
2013,Erwerbstätigenquote,mit Migrationshintergrund,Frauen,%,59.01
2013,Erwerbstätigenquote,mit Migrationshintergrund,Insgesamt,%,65.29
2012,Erwerbstätigenquote,mit Migrationshintergrund,Männer,%,70.98
2012,Erwerbstätigenquote,mit Migrationshintergrund,Frauen,%,56.8
2012,Erwerbstätigenquote,mit Migrationshintergrund,Insgesamt,%,63.89
2011,Erwerbstätigenquote,mit Migrationshintergrund,Männer,%,70.8
2011,Erwerbstätigenquote,mit Migrationshintergrund,Frauen,%,56.2
2011,Erwerbstätigenquote,mit Migrationshintergrund,Insgesamt,%,63.43
2005,Erwerbstätigenquote,mit Migrationshintergrund,Männer,%,60.69
2005,Erwerbstätigenquote,mit Migrationshintergrund,Frauen,%,45.23
2005,Erwerbstätigenquote,mit Migrationshintergrund,Insgesamt,%,53.11
2022,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,76.6489058039962
2022,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen,%,60.1302431730542
2022,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,68.5271527791213
2021,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,74.1507969673452
2021,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen,%,57.9670620071457
2021,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,66.3037907210366
2019,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,76.55
2019,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen,%,60.43
2019,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,68.83
2018,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,75.22
2018,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen,%,60.77
2018,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,68.29
2017,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,72.44
2017,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen,%,58.84
2017,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,65.99
2016,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,72.35
2016,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen,%,59.06
2016,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,65.99
2015,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,76.2
2015,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen,%,59.66
2015,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,67.92
2014,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,76.75
2014,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen,%,60.58
2014,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,68.59
2013,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,76.19
2013,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen,%,61.98
2013,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,69.04
2012,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,76.27
2012,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen,%,59.9
2012,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,67.94
2011,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,75.84
2011,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen,%,58.27
2011,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,66.77
2005,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,63.07
2005,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen,%,46.05
2005,Erwerbstätigenquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,54.59
2022,Erwerbstätigenquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,66.0725400328184
2022,Erwerbstätigenquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen,%,62.9866501086619
2022,Erwerbstätigenquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Insgesamt,%,64.6012197288176
2021,Erwerbstätigenquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,64.5568921752566
2021,Erwerbstätigenquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen,%,59.4095485146069
2021,Erwerbstätigenquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Insgesamt,%,62.1309707690963
2019,Erwerbstätigenquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,56.92
2019,Erwerbstätigenquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen,%,48.56
2019,Erwerbstätigenquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Insgesamt,%,53.15
2018,Erwerbstätigenquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,56.17
2018,Erwerbstätigenquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen,%,48.17
