Year,Altersgruppe,Units,Geschlecht,Value
2017,45 – 65,"in 1000",Weiblich,121.26993
2017,65 und älter,"in 1000",Weiblich,50.15644
2017,Insgesamt,"in 1000",Weiblich,351.38354
2016,18 – 25,"in 1000",Weiblich,35.38491
2016,25 – 45,"in 1000",Weiblich,111.55392
2016,45 – 65,"in 1000",Weiblich,103.83453
2016,65 und älter,"in 1000",Weiblich,50.48963
2016,Insgesamt,"in 1000",Weiblich,301.26299
2015,18 – 25,"in 1000",Weiblich,36.3457
2015,25 – 45,"in 1000",Weiblich,107.25866
2015,45 – 65,"in 1000",Weiblich,100.07469
2015,65 und älter,"in 1000",Weiblich,44.90148
2015,Insgesamt,"in 1000",Weiblich,288.58054
2014,18 – 25,"in 1000",Weiblich,37.82553
2014,25 – 45,"in 1000",Weiblich,109.11468
2014,45 – 65,"in 1000",Weiblich,99.10548
2014,65 und älter,"in 1000",Weiblich,45.26922
2014,Insgesamt,"in 1000",Weiblich,291.31491
2013,18 – 25,"in 1000",Weiblich,42.88363
2013,25 – 45,"in 1000",Weiblich,106.54449
2013,45 – 65,"in 1000",Weiblich,100.40627
2013,65 und älter,"in 1000",Weiblich,46.07346
2013,Insgesamt,"in 1000",Weiblich,295.90786
2012,18 – 25,"in 1000",Weiblich,39.71699
2012,25 – 45,"in 1000",Weiblich,105.36062
2012,45 – 65,"in 1000",Weiblich,98.77585
2012,65 und älter,"in 1000",Weiblich,45.08324
2012,Insgesamt,"in 1000",Weiblich,288.9367
2011,18 – 25,"in 1000",Weiblich,43.41377
2011,25 – 45,"in 1000",Weiblich,104.17531
2011,45 – 65,"in 1000",Weiblich,96.00452
2011,65 und älter,"in 1000",Weiblich,42.31946
2011,Insgesamt,"in 1000",Weiblich,285.91306
2022,18 – 25,"in 1000",Insgesamt,102.9
2022,25 – 45,"in 1000",Insgesamt,277.3
2022,45 – 65,"in 1000",Insgesamt,253.7
2022,65 und älter,"in 1000",Insgesamt,134.5
2022,Insgesamt,"in 1000",Insgesamt,768.5
2021,18 – 25,"in 1000",Insgesamt,108.1
2021,25 – 45,"in 1000",Insgesamt,281.9
2021,45 – 65,"in 1000",Insgesamt,256.1
2021,65 und älter,"in 1000",Insgesamt,134.3
2021,Insgesamt,"in 1000",Insgesamt,780.4
2019,18 – 25,"in 1000",Insgesamt,93.59323
2019,25 – 45,"in 1000",Insgesamt,266.11489
2019,45 – 65,"in 1000",Insgesamt,223.57265
2019,65 und älter,"in 1000",Insgesamt,100.36001
2019,Insgesamt,"in 1000",Insgesamt,683.64078
2018,18 – 25,"in 1000",Insgesamt,89.25492
2018,25 – 45,"in 1000",Insgesamt,270.80156
2018,45 – 65,"in 1000",Insgesamt,217.58045
2018,65 und älter,"in 1000",Insgesamt,93.6739
2018,Insgesamt,"in 1000",Insgesamt,671.31083
2017,18 – 25,"in 1000",Insgesamt,95.77135
2017,25 – 45,"in 1000",Insgesamt,281.66754
2017,45 – 65,"in 1000",Insgesamt,232.19674
2017,65 und älter,"in 1000",Insgesamt,91.78206
2017,Insgesamt,"in 1000",Insgesamt,701.41768
2016,18 – 25,"in 1000",Insgesamt,79.39018
2016,25 – 45,"in 1000",Insgesamt,227.80875
2016,45 – 65,"in 1000",Insgesamt,200.27554
2016,65 und älter,"in 1000",Insgesamt,88.44875
2016,Insgesamt,"in 1000",Insgesamt,595.92322
2015,18 – 25,"in 1000",Insgesamt,76.19723
2015,25 – 45,"in 1000",Insgesamt,213.4757
2015,45 – 65,"in 1000",Insgesamt,193.95814
2015,65 und älter,"in 1000",Insgesamt,78.15952
2015,Insgesamt,"in 1000",Insgesamt,561.79061
2014,18 – 25,"in 1000",Insgesamt,74.31023
2014,25 – 45,"in 1000",Insgesamt,216.98976
2014,45 – 65,"in 1000",Insgesamt,192.73489
2014,65 und älter,"in 1000",Insgesamt,80.96077
2014,Insgesamt,"in 1000",Insgesamt,564.99565
2013,18 – 25,"in 1000",Insgesamt,86.44505
2013,25 – 45,"in 1000",Insgesamt,215.84247
2013,45 – 65,"in 1000",Insgesamt,196.31173
2013,65 und älter,"in 1000",Insgesamt,78.52971
2013,Insgesamt,"in 1000",Insgesamt,577.12897
2012,18 – 25,"in 1000",Insgesamt,85.75851
2012,25 – 45,"in 1000",Insgesamt,206.53496
2012,45 – 65,"in 1000",Insgesamt,192.56999
2012,65 und älter,"in 1000",Insgesamt,75.77312
2012,Insgesamt,"in 1000",Insgesamt,560.63658
2011,18 – 25,"in 1000",Insgesamt,92.80972
2011,25 – 45,"in 1000",Insgesamt,206.09914
2011,45 – 65,"in 1000",Insgesamt,182.01581
2011,65 und älter,"in 1000",Insgesamt,73.63744
2011,Insgesamt,"in 1000",Insgesamt,554.56211
2022,18 – 25,%,Männlich,16.4461247637051
2022,25 – 45,%,Männlich,13.9145437937684
2022,45 – 65,%,Männlich,10.5581078781691
2022,65 und älter,%,Männlich,7.9507566042575
2022,Insgesamt,%,Männlich,11.5867773696719
2021,18 – 25,%,Männlich,17.7044025157233
2021,25 – 45,%,Männlich,14.4663787785318
2021,45 – 65,%,Männlich,10.625
2021,65 und älter,%,Männlich,8.02501302761855
2021,Insgesamt,%,Männlich,11.8618851315749
2019,18 – 25,%,Männlich,16.7449072529977
2019,25 – 45,%,Männlich,17.0062334975766
2019,45 – 65,%,Männlich,9.866231772612
2019,65 und älter,%,Männlich,6.17696220355876
2019,Insgesamt,%,Männlich,11.5949742707171
2018,18 – 25,%,Männlich,16.7815496327527
2018,25 – 45,%,Männlich,17.2415709460747
2018,45 – 65,%,Männlich,9.420043159879
2018,65 und älter,%,Männlich,5.66627494468339
2018,Insgesamt,%,Männlich,11.3510857318192
2017,18 – 25,%,Männlich,18.4394199528971
2017,25 – 45,%,Männlich,17.8204375528459
2017,45 – 65,%,Männlich,9.94077848167587
2017,65 und älter,%,Männlich,5.93783187617187
2017,Insgesamt,%,Männlich,12.0076948369523
2016,18 – 25,%,Männlich,15.3441355896507
2016,25 – 45,%,Männlich,14.0342304622595
2016,45 – 65,%,Männlich,8.55200090605567
2016,65 und älter,%,Männlich,5.30329390106923
2016,Insgesamt,%,Männlich,9.95937668532896
2015,18 – 25,%,Männlich,14.31915756426
2015,25 – 45,%,Männlich,12.6894189278841
2015,45 – 65,%,Männlich,8.4355978708859
2015,65 und älter,%,Männlich,4.55462914197987
2015,Insgesamt,%,Männlich,9.23472507622753
2014,18 – 25,%,Männlich,12.9533675997133
2014,25 – 45,%,Männlich,12.7409971855852
2014,45 – 65,%,Männlich,8.60365605033021
2014,65 und älter,%,Männlich,4.90454883126544
2014,Insgesamt,%,Männlich,9.29523051762923
2013,18 – 25,%,Männlich,15.4101784448276
2013,25 – 45,%,Männlich,12.7438436128692
2013,45 – 65,%,Männlich,8.87465894540649
2013,65 und älter,%,Männlich,4.57943595966487
2013,Insgesamt,%,Männlich,9.59884787247046
2012,18 – 25,%,Männlich,15.8299732711268
2012,25 – 45,%,Männlich,11.6890852865719
2012,45 – 65,%,Männlich,8.67532296624198
2012,65 und älter,%,Männlich,4.46261344810404
2012,Insgesamt,%,Männlich,9.28803759028066
2011,18 – 25,%,Männlich,16.3748163317643
2011,25 – 45,%,Männlich,11.5361758253579
2011,45 – 65,%,Männlich,8.1601077357145
2011,65 und älter,%,Männlich,4.55061222541543
2011,Insgesamt,%,Männlich,9.17694777955286
2022,18 – 25,%,Weiblich,16.6120576671035
2022,25 – 45,%,Weiblich,14.7377273205088
2022,45 – 65,%,Weiblich,10.9479193044653
2022,65 und älter,%,Weiblich,7.69720777152564
2022,Insgesamt,%,Weiblich,11.619520558068
2021,18 – 25,%,Weiblich,17.2781854569713
2021,25 – 45,%,Weiblich,15.2040486701841
2021,45 – 65,%,Weiblich,11.1364403917595
2021,65 und älter,%,Weiblich,7.87052073183934
2021,Insgesamt,%,Weiblich,11.9170363265795
2019,18 – 25,%,Weiblich,18.049068776728
2019,25 – 45,%,Weiblich,16.4730658509634
2019,45 – 65,%,Weiblich,10.3731936986988
2019,65 und älter,%,Weiblich,6.43878957821639
2019,Insgesamt,%,Weiblich,11.4877355488118
2018,18 – 25,%,Weiblich,16.3169539449203
2018,25 – 45,%,Weiblich,17.1239511331406
2018,45 – 65,%,Weiblich,10.2571585549158
2018,65 und älter,%,Weiblich,5.98665512053588
2018,Insgesamt,%,Weiblich,11.2948263759482
2017,18 – 25,%,Weiblich,16.1119107321209
2017,25 – 45,%,Weiblich,17.4864304388627
2017,45 – 65,%,Weiblich,10.7739580800481
2017,65 und älter,%,Weiblich,5.79473606523543
2017,Insgesamt,%,Weiblich,11.554486278898
2016,18 – 25,%,Weiblich,13.5046707731504
2016,25 – 45,%,Weiblich,13.9075080113719
2016,45 – 65,%,Weiblich,9.12086361560576
2016,65 und älter,%,Weiblich,5.47569960193791
2016,Insgesamt,%,Weiblich,9.64156149859499
2015,18 – 25,%,Weiblich,14.0114359951465
2015,25 – 45,%,Weiblich,13.087934705057
2015,45 – 65,%,Weiblich,8.82271954606639
2015,65 und älter,%,Weiblich,4.83831884284848
2015,Insgesamt,%,Weiblich,9.18681685652629
2014,18 – 25,%,Weiblich,14.3639024032361
2014,25 – 45,%,Weiblich,13.151221654629
2014,45 – 65,%,Weiblich,9.00615749927939
2014,65 und älter,%,Weiblich,4.8487417153852
2014,Insgesamt,%,Weiblich,9.31588514180186
2013,18 – 25,%,Weiblich,16.0235967844768
2013,25 – 45,%,Weiblich,12.6541880616247
2013,45 – 65,%,Weiblich,9.16617935581047
2013,65 und älter,%,Weiblich,4.98252645536919
2013,Insgesamt,%,Weiblich,9.454836619411
2012,18 – 25,%,Weiblich,14.7903280458124
2012,25 – 45,%,Weiblich,12.1963448084566
2012,45 – 65,%,Weiblich,9.19599786913502
2012,65 und älter,%,Weiblich,4.89494315531461
2012,Insgesamt,%,Weiblich,9.238470072059
2011,18 – 25,%,Weiblich,15.3985370638373
2011,25 – 45,%,Weiblich,11.8358462594099
2011,45 – 65,%,Weiblich,9.08985201499229
2011,65 und älter,%,Weiblich,4.6011067847012
2011,Insgesamt,%,Weiblich,9.11119380316455
2022,18 – 25,%,Insgesamt,16.5301204819277
2022,25 – 45,%,Insgesamt,14.318909428896
2022,45 – 65,%,Insgesamt,10.8321591733914
2022,65 und älter,%,Insgesamt,7.81204623337399
2022,Insgesamt,%,Insgesamt,11.6035029442851
2021,18 – 25,%,Insgesamt,17.4975720297831
2021,25 – 45,%,Insgesamt,14.8266975227476
2021,45 – 65,%,Insgesamt,10.8867539534093
2021,65 und älter,%,Insgesamt,7.94063737953054
2021,Insgesamt,%,Insgesamt,11.8914471178021
2019,18 – 25,%,Insgesamt,17.3884155198524
2019,25 – 45,%,Insgesamt,16.7438380602436
2019,45 – 65,%,Insgesamt,10.1224827170742
2019,65 und älter,%,Insgesamt,6.32059115886176
2019,Insgesamt,%,Insgesamt,11.540030642558
2018,18 – 25,%,Insgesamt,16.5587685051662
2018,25 – 45,%,Insgesamt,17.1834984388552
2018,45 – 65,%,Insgesamt,9.84180193277519
2018,65 und älter,%,Insgesamt,5.84236570247135
2018,Insgesamt,%,Insgesamt,11.3223192854301
2017,18 – 25,%,Insgesamt,17.3232342791242
2017,25 – 45,%,Insgesamt,17.6561158851081
2017,45 – 65,%,Insgesamt,10.3591724523591
2017,65 und älter,%,Insgesamt,5.85876973129258
2017,Insgesamt,%,Insgesamt,11.7762961527567
2016,18 – 25,%,Insgesamt,14.4659129273183
2016,25 – 45,%,Insgesamt,13.9718894541672
2016,45 – 65,%,Insgesamt,8.83777872514921
2016,65 und älter,%,Insgesamt,5.40035490938
2016,Insgesamt,%,Insgesamt,9.79613262044201
2015,18 – 25,%,Insgesamt,14.1707074023232
2015,25 – 45,%,Insgesamt,12.8865683932748
2015,45 – 65,%,Insgesamt,8.63099681533366
2015,65 und älter,%,Insgesamt,4.71339673232599
2015,Insgesamt,%,Insgesamt,9.21005334159255
2014,18 – 25,%,Insgesamt,13.6349218497176
2014,25 – 45,%,Insgesamt,12.9440312747326
2014,45 – 65,%,Insgesamt,8.80602560853197
2014,65 und älter,%,Insgesamt,4.87318695890029
2014,Insgesamt,%,Insgesamt,9.30586870662498
2013,18 – 25,%,Insgesamt,15.708498768107
2013,25 – 45,%,Insgesamt,12.6994294783051
2013,45 – 65,%,Insgesamt,9.02140601180997
2013,65 und älter,%,Insgesamt,4.80762807914701
2013,Insgesamt,%,Insgesamt,9.52446607551356
2012,18 – 25,%,Insgesamt,15.3308890961805
2012,25 – 45,%,Insgesamt,11.9424694069823
2012,45 – 65,%,Insgesamt,8.9348097603427
2012,65 und älter,%,Insgesamt,4.71012760805972
2012,Insgesamt,%,Insgesamt,9.26242561174375
2011,18 – 25,%,Insgesamt,15.9031743421205
2011,25 – 45,%,Insgesamt,11.6857266899539
2011,45 – 65,%,Insgesamt,8.62544833863511
2011,65 und älter,%,Insgesamt,4.57949515977363
2011,Insgesamt,%,Insgesamt,9.14292922200461
